year,age,population
1990,0,153.547
1990,1,150.924
1990,2,148.622
1990,3,146.586
1990,4,144.755
1990,5,143.074
1990,6,141.485
1990,7,139.929
1990,8,138.351
1990,9,136.694
1990,10,135.000
1990,11,133.316
1990,12,131.073
1990,13,128.002
1990,14,124.358
1990,15,120.707
1990,16,116.997
1990,17,113.141
1990,18,109.174
1990,19,105.157
1990,20,101.104
1990,21,96.991
1990,22,93.211
1990,23,89.955
1990,24,87.066
1990,25,84.206
1990,26,81.453
1990,27,78.720
1990,28,75.931
1990,29,73.153
1990,30,70.498
1990,31,67.900
1990,32,65.554
1990,33,63.546
1990,34,61.764
1990,35,60.050
1990,36,58.487
1990,37,56.706
1990,38,54.528
1990,39,52.146
1990,40,49.902
1990,41,47.678
1990,42,45.858
1990,43,44.652
1990,44,43.855
1990,45,43.040
1990,46,42.274
1990,47,41.490
1990,48,40.607
1990,49,39.652
1990,50,38.744
1990,51,37.868
1990,52,36.867
1990,53,35.675
1990,54,34.347
1990,55,33.032
1990,56,31.728
1990,57,30.342
1990,58,28.853
1990,59,27.312
1990,60,25.778
1990,61,24.208
1990,62,22.849
1990,63,21.820
1990,64,20.999
1990,65,20.164
1990,66,19.370
1990,67,18.480
1990,68,17.407
1990,69,16.225
1990,70,15.095
1990,71,13.988
1990,72,12.916
1990,73,11.895
1990,74,10.919
1990,75,9.958
1990,76,9.022
1990,77,8.120
1990,78,7.258
1990,79,6.436
1990,80,5.654
1990,81,4.914
1990,82,4.222
1990,83,3.581
1990,84,2.992
1990,85,2.449
1990,86,1.947
1990,87,1.520
1990,88,1.182
1990,89,0.914
1990,90,0.685
1990,91,0.492
1990,92,0.342
1990,93,0.228
1990,94,0.148
1990,95,0.094
1990,96,0.070
1990,97,0.050
1990,98,0.029
1990,99,0.007
1990,100,0.018
1991,0,154.264
1991,1,151.973
1991,2,149.426
1991,3,147.106
1991,4,144.974
1991,5,142.991
1991,6,141.102
1991,7,139.254
1991,8,137.481
1991,9,135.775
1991,10,134.054
1991,11,132.283
1991,12,130.519
1991,13,128.241
1991,14,125.191
1991,15,121.613
1991,16,118.042
1991,17,114.422
1991,18,110.691
1991,19,106.884
1991,20,103.054
1991,21,99.194
1991,22,95.282
1991,23,91.688
1991,24,88.588
1991,25,85.832
1991,26,83.107
1991,27,80.486
1991,28,77.866
1991,29,75.166
1991,30,72.460
1991,31,69.868
1991,32,67.326
1991,33,65.028
1991,34,63.061
1991,35,61.313
1991,36,59.627
1991,37,58.084
1991,38,56.322
1991,39,54.167
1991,40,51.806
1991,41,49.579
1991,42,47.369
1991,43,45.558
1991,44,44.356
1991,45,43.558
1991,46,42.741
1991,47,41.969
1991,48,41.178
1991,49,40.285
1991,50,39.316
1991,51,38.395
1991,52,37.503
1991,53,36.488
1991,54,35.283
1991,55,33.944
1991,56,32.615
1991,57,31.299
1991,58,29.900
1991,59,28.405
1991,60,26.857
1991,61,25.317
1991,62,23.743
1991,63,22.374
1991,64,21.330
1991,65,20.490
1991,66,19.639
1991,67,18.827
1991,68,17.921
1991,69,16.832
1991,70,15.636
1991,71,14.492
1991,72,13.376
1991,73,12.295
1991,74,11.269
1991,75,10.292
1991,76,9.333
1991,77,8.401
1991,78,7.510
1991,79,6.669
1991,80,5.875
1991,81,5.122
1991,82,4.414
1991,83,3.760
1991,84,3.165
1991,85,2.627
1991,86,2.134
1991,87,1.683
1991,88,1.304
1991,89,1.004
1991,90,0.770
1991,91,0.573
1991,92,0.412
1991,93,0.286
1991,94,0.190
1991,95,0.120
1991,96,0.074
1991,97,0.052
1991,98,0.031
1991,99,0.006
1991,100,0.019
1992,0,154.937
1992,1,152.251
1992,2,150.470
1992,3,147.998
1992,4,145.657
1992,5,143.431
1992,6,141.292
1992,7,139.196
1992,8,137.087
1992,9,135.096
1992,10,133.263
1992,11,131.477
1992,12,129.626
1992,13,127.783
1992,14,125.467
1992,15,122.439
1992,16,118.925
1992,17,115.431
1992,18,111.901
1992,19,108.291
1992,20,104.644
1992,21,100.998
1992,22,97.330
1992,23,93.617
1992,24,90.209
1992,25,87.262
1992,26,84.638
1992,27,82.046
1992,28,79.555
1992,29,77.049
1992,30,74.437
1992,31,71.800
1992,32,69.270
1992,33,66.784
1992,34,64.532
1992,35,62.604
1992,36,60.892
1992,37,59.231
1992,38,57.708
1992,39,55.965
1992,40,53.830
1992,41,51.491
1992,42,49.279
1992,43,47.082
1992,44,45.279
1992,45,44.081
