year,age,population
1990,0,15.947
1990,1,14.944
1990,2,13.910
1990,3,12.862
1990,4,11.818
1990,5,10.794
1990,6,9.807
1990,7,8.872
1990,8,8.010
1990,9,7.234
1990,10,6.523
1990,11,5.849
1990,12,5.437
1990,13,5.387
1990,14,5.593
1990,15,5.828
1990,16,6.119
1990,17,6.444
1990,18,6.764
1990,19,7.079
1990,20,7.421
1990,21,7.780
1990,22,8.059
1990,23,8.203
1990,24,8.247
1990,25,8.270
1990,26,8.263
1990,27,8.178
1990,28,8.002
1990,29,7.754
1990,30,7.468
1990,31,7.157
1990,32,6.778
1990,33,6.322
1990,34,5.814
1990,35,5.301
1990,36,4.788
1990,37,4.287
1990,38,3.814
1990,39,3.376
1990,40,2.950
1990,41,2.527
1990,42,2.221
1990,43,2.073
1990,44,2.041
1990,45,2.019
1990,46,2.029
1990,47,2.035
1990,48,2.013
1990,49,1.974
1990,50,1.960
1990,51,1.961
1990,52,1.963
1990,53,1.962
1990,54,1.958
1990,55,1.956
1990,56,1.954
1990,57,1.940
1990,58,1.908
1990,59,1.861
1990,60,1.813
1990,61,1.761
1990,62,1.707
1990,63,1.649
1990,64,1.592
1990,65,1.530
1990,66,1.463
1990,67,1.395
1990,68,1.322
1990,69,1.249
1990,70,1.174
1990,71,1.098
1990,72,1.017
1990,73,0.934
1990,74,0.846
1990,75,0.761
1990,76,0.675
1990,77,0.595
1990,78,0.523
1990,79,0.456
1990,80,0.391
1990,81,0.332
1990,82,0.276
1990,83,0.229
1990,84,0.188
1990,85,0.149
1990,86,0.116
1990,87,0.087
1990,88,0.066
1990,89,0.050
1990,90,0.035
1990,91,0.026
1990,92,0.019
1990,93,0.011
1990,94,0.008
1990,95,0.004
1990,96,0.003
1990,97,0.002
1990,98,0.002
1990,99,0.000
1990,100,0.001
1991,0,16.082
1991,1,15.619
1991,2,14.675
1991,3,13.691
1991,4,12.688
1991,5,11.680
1991,6,10.688
1991,7,9.726
1991,8,8.812
1991,9,7.968
1991,10,7.204
1991,11,6.503
1991,12,5.835
1991,13,5.430
1991,14,5.391
1991,15,5.609
1991,16,5.852
1991,17,6.152
1991,18,6.482
1991,19,6.805
1991,20,7.120
1991,21,7.461
1991,22,7.820
1991,23,8.096
1991,24,8.236
1991,25,8.274
1991,26,8.292
1991,27,8.279
1991,28,8.188
1991,29,8.007
1991,30,7.756
1991,31,7.466
1991,32,7.151
1991,33,6.769
1991,34,6.313
1991,35,5.804
1991,36,5.292
1991,37,4.779
1991,38,4.279
1991,39,3.807
1991,40,3.371
1991,41,2.947
1991,42,2.526
1991,43,2.220
1991,44,2.071
1991,45,2.037
1991,46,2.011
1991,47,2.020
1991,48,2.022
1991,49,1.997
1991,50,1.957
1991,51,1.940
1991,52,1.938
1991,53,1.937
1991,54,1.933
1991,55,1.926
1991,56,1.921
1991,57,1.916
1991,58,1.899
1991,59,1.864
1991,60,1.814
1991,61,1.763
1991,62,1.709
1991,63,1.652
1991,64,1.591
1991,65,1.531
1991,66,1.467
1991,67,1.398
1991,68,1.328
1991,69,1.253
1991,70,1.179
1991,71,1.103
1991,72,1.026
1991,73,0.946
1991,74,0.863
1991,75,0.779
1991,76,0.696
1991,77,0.613
1991,78,0.537
1991,79,0.469
1991,80,0.406
1991,81,0.346
1991,82,0.292
1991,83,0.240
1991,84,0.198
1991,85,0.162
1991,86,0.127
1991,87,0.099
1991,88,0.073
1991,89,0.056
1991,90,0.041
1991,91,0.029
1991,92,0.022
1991,93,0.015
1991,94,0.009
1991,95,0.007
1991,96,0.003
1991,97,0.002
1991,98,0.002
1991,99,0.000
1991,100,0.001
1992,0,16.129
1992,1,15.633
1992,2,15.337
1992,3,14.448
1992,4,13.513
1992,5,12.550
1992,6,11.577
1992,7,10.612
1992,8,9.674
1992,9,8.778
1992,10,7.948
1992,11,7.195
1992,12,6.502
1992,13,5.838
1992,14,5.439
1992,15,5.410
