year,age,population
1990,0,122.201
1990,1,118.732
1990,2,115.240
1990,3,111.742
1990,4,108.242
1990,5,104.755
1990,6,101.292
1990,7,97.861
1990,8,94.472
1990,9,91.138
1990,10,87.851
1990,11,84.602
1990,12,81.493
1990,13,78.570
1990,14,75.790
1990,15,73.069
1990,16,70.435
1990,17,67.821
1990,18,65.194
1990,19,62.589
1990,20,60.078
1990,21,57.649
1990,22,55.328
1990,23,53.134
1990,24,51.058
1990,25,49.048
1990,26,47.099
1990,27,45.284
1990,28,43.628
1990,29,42.093
1990,30,40.639
1990,31,39.303
1990,32,37.899
1990,33,36.333
1990,34,34.707
1990,35,33.155
1990,36,31.576
1990,37,30.391
1990,38,29.800
1990,39,29.566
1990,40,29.298
1990,41,29.120
1990,42,28.555
1990,43,27.337
1990,44,25.709
1990,45,24.174
1990,46,22.627
1990,47,21.221
1990,48,20.080
1990,49,19.119
1990,50,18.118
1990,51,17.117
1990,52,16.155
1990,53,15.231
1990,54,14.339
1990,55,13.485
1990,56,12.668
1990,57,11.860
1990,58,11.052
1990,59,10.252
1990,60,9.487
1990,61,8.748
1990,62,8.047
1990,63,7.388
1990,64,6.768
1990,65,6.176
1990,66,5.610
1990,67,5.074
1990,68,4.563
1990,69,4.080
1990,70,3.626
1990,71,3.203
1990,72,2.812
1990,73,2.458
1990,74,2.141
1990,75,1.847
1990,76,1.581
1990,77,1.341
1990,78,1.126
1990,79,0.938
1990,80,0.770
1990,81,0.622
1990,82,0.496
1990,83,0.399
1990,84,0.321
1990,85,0.257
1990,86,0.209
1990,87,0.166
1990,88,0.128
1990,89,0.092
1990,90,0.068
1990,91,0.051
1990,92,0.037
1990,93,0.026
1990,94,0.016
1990,95,0.010
1990,96,0.009
1990,97,0.007
1990,98,0.005
1990,99,0.002
1990,100,0.004
1991,0,120.345
1991,1,120.406
1991,2,117.451
1991,3,114.364
1991,4,111.166
1991,5,107.867
1991,6,104.498
1991,7,101.086
1991,8,97.584
1991,9,93.988
1991,10,90.346
1991,11,86.723
1991,12,83.109
1991,13,79.627
1991,14,76.347
1991,15,73.229
1991,16,70.170
1991,17,67.190
1991,18,64.343
1991,19,61.652
1991,20,59.101
1991,21,56.654
1991,22,54.312
1991,23,52.105
1991,24,50.038
1991,25,48.103
1991,26,46.256
1991,27,44.490
1991,28,42.848
1991,29,41.341
1991,30,39.937
1991,31,38.621
1991,32,37.423
1991,33,36.147
1991,34,34.696
1991,35,33.173
1991,36,31.720
1991,37,30.236
1991,38,29.132
1991,39,28.607
1991,40,28.429
1991,41,28.211
1991,42,28.077
1991,43,27.555
1991,44,26.383
1991,45,24.803
1991,46,23.308
1991,47,21.800
1991,48,20.427
1991,49,19.317
1991,50,18.383
1991,51,17.406
1991,52,16.429
1991,53,15.487
1991,54,14.583
1991,55,13.708
1991,56,12.872
1991,57,12.070
1991,58,11.278
1991,59,10.488
1991,60,9.705
1991,61,8.958
1991,62,8.236
1991,63,7.554
1991,64,6.913
1991,65,6.314
1991,66,5.742
1991,67,5.197
1991,68,4.681
1991,69,4.194
1991,70,3.735
1991,71,3.306
1991,72,2.907
1991,73,2.539
1991,74,2.203
1991,75,1.900
1991,76,1.623
1991,77,1.370
1991,78,1.148
1991,79,0.961
1991,80,0.802
1991,81,0.663
1991,82,0.545
1991,83,0.441
1991,84,0.356
1991,85,0.283
1991,86,0.224
1991,87,0.180
1991,88,0.141
1991,89,0.107
1991,90,0.078
1991,91,0.057
1991,92,0.042
1991,93,0.032
1991,94,0.022
1991,95,0.013
1991,96,0.009
1991,97,0.007
1991,98,0.005
1991,99,0.002
1991,100,0.004
1992,0,116.509
1992,1,115.894
1992,2,118.086
1992,3,115.655
1992,4,112.986
1992,5,110.103
1992,6,107.020
1992,7,103.784
1992,8,100.436
1992,9,96.881
1992,10,93.092
1992,11,89.159
1992,12,85.213
1992,13,81.253
1992,14,77.413
1992,15,73.789
1992,16,70.348
1992,17,66.964
1992,18,63.651
1992,19,60.584
1992,20,57.841
1992,21,55.355
1992,22,52.982
1992,23,50.738
1992,24,48.653
1992,25,46.725
1992,26,44.936
1992,27,43.262
1992,28,41.687
1992,29,40.225
1992,30,38.872
1992,31,37.608
1992,32,36.433
1992,33,35.380
1992,34,34.236
1992,35,32.907
1992,36,31.495
1992,37,30.147
1992,38,28.762
1992,39,27.746
1992,40,27.289
1992,41,27.167
1992,42,27.001
1992,43,26.911
1992,44,26.436
1992,45,25.313
1992,46,23.787
1992,47,22.342
1992,48,20.876
1992,49,19.545
1992,50,18.470
1992,51,17.566
1992,52,16.618
1992,53,15.668
1992,54,14.752
1992,55,13.870
1992,56,13.019
1992,57,12.201
1992,58,11.420
1992,59,10.647
1992,60,9.877
1992,61,9.117
1992,62,8.389
1992,63,7.689
1992,64,7.027
1992,65,6.409
1992,66,5.832
1992,67,5.283
1992,68,4.760
1992,69,4.269
1992,70,3.807
1992,71,3.373
1992,72,2.971
1992,73,2.599
1992,74,2.254
1992,75,1.938
1992,76,1.652
1992,77,1.391
1992,78,1.153
1992,79,0.951
1992,80,0.791
1992,81,0.663
1992,82,0.554
1992,83,0.464
1992,84,0.385
1992,85,0.311
1992,86,0.243
1992,87,0.190
1992,88,0.151
1992,89,0.115
1992,90,0.087
1992,91,0.062
1992,92,0.046
1992,93,0.034
1992,94,0.026
1992,95,0.018
1992,96,0.010
1992,97,0.007
1992,98,0.005
1992,99,0.002
1992,100,0.004
1993,0,111.945
1993,1,112.892
1993,2,113.160
1993,3,115.617
1993,4,113.714
1993,5,111.463
1993,6,108.897
1993,7,106.033
1993,8,102.932
1993,9,99.654
1993,10,96.050
1993,11,92.074
1993,12,87.858
1993,13,83.599
1993,14,79.296
1993,15,75.107
1993,16,71.146
1993,17,67.389
1993,18,63.685
1993,19,60.046
1993,20,56.766
1993,21,53.973
1993,22,51.556
1993,23,49.259
1993,24,47.116
1993,25,45.157
1993,26,43.366
1993,27,41.729
1993,28,40.225
1993,29,38.844
1993,30,37.563
1993,31,36.366
1993,32,35.240
1993,33,34.210
1993,34,33.300
1993,35,32.291
1993,36,31.083
1993,37,29.785
1993,38,28.541
1993,39,27.259
1993,40,26.329
1993,41,25.942
1993,42,25.877
1993,43,25.760
1993,44,25.716
1993,45,25.286
