year,age,population
1990,0,23.617
1990,1,23.841
1990,2,23.960
1990,3,23.989
1990,4,23.935
1990,5,23.816
1990,6,23.642
1990,7,23.427
1990,8,23.180
1990,9,22.918
1990,10,22.628
1990,11,22.309
1990,12,22.068
1990,13,21.959
1990,14,21.935
1990,15,21.916
1990,16,21.940
1990,17,21.885
1990,18,21.693
1990,19,21.435
1990,20,21.220
1990,21,20.999
1990,22,20.976
1990,23,21.258
1990,24,21.735
1990,25,22.182
1990,26,22.632
1990,27,23.038
1990,28,23.352
1990,29,23.588
1990,30,23.819
1990,31,24.037
1990,32,24.133
1990,33,24.058
1990,34,23.857
1990,35,23.618
1990,36,23.322
1990,37,22.993
1990,38,22.649
1990,39,22.277
1990,40,21.904
1990,41,21.594
1990,42,21.071
1990,43,20.225
1990,44,19.229
1990,45,18.268
1990,46,17.201
1990,47,16.749
1990,48,17.260
1990,49,18.355
1990,50,19.366
1990,51,20.488
1990,52,21.078
1990,53,20.760
1990,54,19.871
1990,55,19.074
1990,56,18.181
1990,57,17.595
1990,58,17.562
1990,59,17.846
1990,60,17.982
1990,61,18.094
1990,62,17.880
1990,63,17.153
1990,64,16.082
1990,65,15.071
1990,66,14.094
1990,67,13.002
1990,68,11.782
1990,69,10.519
1990,70,9.257
1990,71,7.903
1990,72,7.059
1990,73,6.996
1990,74,7.423
1990,75,7.792
1990,76,8.240
1990,77,8.367
1990,78,7.920
1990,79,7.108
1990,80,6.390
1990,81,5.687
1990,82,5.002
1990,83,4.390
1990,84,3.826
1990,85,3.246
1990,86,2.657
1990,87,2.140
1990,88,1.722
1990,89,1.384
1990,90,1.066
1990,91,0.777
1990,92,0.544
1990,93,0.384
1990,94,0.277
1990,95,0.195
1990,96,0.143
1990,97,0.103
1990,98,0.063
1990,99,0.030
1990,100,0.057
1991,0,21.592
1991,1,23.131
1991,2,23.460
1991,3,23.646
1991,4,23.709
1991,5,23.662
1991,6,23.523
1991,7,23.306
1991,8,23.053
1991,9,22.790
1991,10,22.527
1991,11,22.221
1991,12,21.878
1991,13,21.627
1991,14,21.530
1991,15,21.534
1991,16,21.538
1991,17,21.589
1991,18,21.543
1991,19,21.333
1991,20,21.037
1991,21,20.788
1991,22,20.531
1991,23,20.484
1991,24,20.759
1991,25,21.241
1991,26,21.692
1991,27,22.147
1991,28,22.552
1991,29,22.856
1991,30,23.077
1991,31,23.295
1991,32,23.503
1991,33,23.594
1991,34,23.524
1991,35,23.334
1991,36,23.108
1991,37,22.825
1991,38,22.513
1991,39,22.189
1991,40,21.840
1991,41,21.489
1991,42,21.199
1991,43,20.701
1991,44,19.882
1991,45,18.915
1991,46,17.981
1991,47,16.943
1991,48,16.503
1991,49,17.000
1991,50,18.065
1991,51,19.046
1991,52,20.135
1991,53,20.701
1991,54,20.381
1991,55,19.501
1991,56,18.711
1991,57,17.825
1991,58,17.235
1991,59,17.178
1991,60,17.425
1991,61,17.529
1991,62,17.608
1991,63,17.372
1991,64,16.643
1991,65,15.582
1991,66,14.577
1991,67,13.606
1991,68,12.526
1991,69,11.326
1991,70,10.089
1991,71,8.852
1991,72,7.528
1991,73,6.691
1991,74,6.596
1991,75,6.969
1991,76,7.289
1991,77,7.688
1991,78,7.780
1991,79,7.328
1991,80,6.528
1991,81,5.822
1991,82,5.132
1991,83,4.470
1991,84,3.895
1991,85,3.378
1991,86,2.846
1991,87,2.307
1991,88,1.840
1991,89,1.469
1991,90,1.174
1991,91,0.899
1991,92,0.654
1991,93,0.457
1991,94,0.319
1991,95,0.227
1991,96,0.144
1991,97,0.102
1991,98,0.063
1991,99,0.028
1991,100,0.057
1992,0,18.764
1992,1,20.317
1992,2,22.548
1992,3,22.983
1992,4,23.235
1992,5,23.331
1992,6,23.290
1992,7,23.134
1992,8,22.873
1992,9,22.583
1992,10,22.307
1992,11,22.042
1992,12,21.724
1992,13,21.356
1992,14,21.095
1992,15,21.013
1992,16,21.043
1992,17,21.071
1992,18,21.149
1992,19,21.114
1992,20,20.883
1992,21,20.553
1992,22,20.270
1992,23,19.979
1992,24,19.905
1992,25,20.174
1992,26,20.660
1992,27,21.112
1992,28,21.570
1992,29,21.974
1992,30,22.265
1992,31,22.470
1992,32,22.676
1992,33,22.871
1992,34,22.957
1992,35,22.892
1992,36,22.716
1992,37,22.502
1992,38,22.234
1992,39,21.940
1992,40,21.636
1992,41,21.312
1992,42,20.985
1992,43,20.718
1992,44,20.244
1992,45,19.458
1992,46,18.523
1992,47,17.620
1992,48,16.614
1992,49,16.189
1992,50,16.669
1992,51,17.701
1992,52,18.648
1992,53,19.698
1992,54,20.239
1992,55,19.917
1992,56,19.051
1992,57,18.270
1992,58,17.396
1992,59,16.804
1992,60,16.722
1992,61,16.933
1992,62,17.002
1992,63,17.050
1992,64,16.793
1992,65,16.063
1992,66,15.017
1992,67,14.024
1992,68,13.060
1992,69,11.997
1992,70,10.824
1992,71,9.617
1992,72,8.410
1992,73,7.123
1992,74,6.295
1992,75,6.168
1992,76,6.486
1992,77,6.755
1992,78,7.103
1992,79,7.162
1992,80,6.704
1992,81,5.921
1992,82,5.229
1992,83,4.555
1992,84,3.920
1992,85,3.385
1992,86,2.915
1992,87,2.433
1992,88,1.948
1992,89,1.533
1992,90,1.209
1992,91,0.959
1992,92,0.728
1992,93,0.528
1992,94,0.367
1992,95,0.254
1992,96,0.176
1992,97,0.101
1992,98,0.060
1992,99,0.027
1992,100,0.056
1993,0,15.660
1993,1,17.915
1993,2,19.703
1993,3,21.933
1993,4,22.473
1993,5,22.789
1993,6,22.918
1993,7,22.885
1993,8,22.709
1993,9,22.407
1993,10,22.081
1993,11,21.791
1993,12,21.524
1993,13,21.195
1993,14,20.803
1993,15,20.534
1993,16,20.465
1993,17,20.521
1993,18,20.574
1993,19,20.678
1993,20,20.652
1993,21,20.404
1993,22,20.038
1993,23,19.724
1993,24,19.397
1993,25,19.300
1993,26,19.560
1993,27,20.049
1993,28,20.502
1993,29,20.962
1993,30,21.363
1993,31,21.643
1993,32,21.831
1993,33,22.023
1993,34,22.206
1993,35,22.288
1993,36,22.228
1993,37,22.064
1993,38,21.864
1993,39,21.611
1993,40,21.335
1993,41,21.054
1993,42,20.753
1993,43,20.450
1993,44,20.206
1993,45,19.758
1993,46,19.006
1993,47,18.103
1993,48,17.233
1993,49,16.261
1993,50,15.851
1993,51,16.314
1993,52,17.310
1993,53,18.223
1993,54,19.233
1993,55,19.747
1993,56,19.425
1993,57,18.573
1993,58,17.803
1993,59,16.942
1993,60,16.347
