year,age,population
1990,0,2015.394
1990,1,1914.191
1990,2,1819.943
1990,3,1732.266
1990,4,1650.781
1990,5,1575.103
1990,6,1504.852
1990,7,1439.646
1990,8,1379.103
1990,9,1322.842
1990,10,1270.338
1990,11,1221.070
1990,12,1175.362
1990,13,1133.110
1990,14,1093.513
1990,15,1056.256
1990,16,1021.874
1990,17,985.409
1990,18,944.517
1990,19,901.413
1990,20,860.585
1990,21,821.031
1990,22,784.611
1990,23,752.663
1990,24,724.153
1990,25,696.512
1990,26,670.024
1990,27,645.619
1990,28,623.427
1990,29,603.041
1990,30,584.029
1990,31,566.604
1990,32,549.197
1990,33,531.022
1990,34,512.779
1990,35,495.490
1990,36,478.399
1990,37,464.147
1990,38,453.971
1990,39,446.280
1990,40,438.502
1990,41,431.468
1990,42,421.653
1990,43,407.140
1990,44,389.647
1990,45,372.975
1990,46,356.570
1990,47,340.446
1990,48,325.069
1990,49,310.408
1990,50,295.607
1990,51,280.382
1990,52,267.727
1990,53,258.895
1990,54,252.423
1990,55,245.959
1990,56,240.420
1990,57,232.229
1990,58,219.505
1990,59,204.126
1990,60,189.549
1990,61,174.741
1990,62,162.623
1990,63,154.886
1990,64,149.927
1990,65,144.591
1990,66,139.683
1990,67,133.418
1990,68,124.637
1990,69,114.357
1990,70,104.686
1990,71,95.139
1990,72,86.428
1990,73,79.090
1990,74,72.680
1990,75,66.303
1990,76,60.261
1990,77,53.928
1990,78,46.946
1990,79,39.722
1990,80,32.981
1990,81,26.522
1990,82,21.037
1990,83,16.922
1990,84,13.834
1990,85,10.988
1990,86,8.491
1990,87,6.420
1990,88,4.719
1990,89,3.357
1990,90,2.327
1990,91,1.593
1990,92,1.046
1990,93,0.614
1990,94,0.295
1990,95,0.186
1990,96,0.161
1990,97,0.141
1990,98,0.088
1990,99,0.018
1990,100,0.041
1991,0,2072.664
1991,1,1981.151
1991,2,1887.048
1991,3,1799.837
1991,4,1718.918
1991,5,1643.691
1991,6,1574.116
1991,7,1510.153
1991,8,1448.396
1991,9,1387.126
1991,10,1327.423
1991,11,1271.518
1991,12,1218.277
1991,13,1169.766
1991,14,1127.010
1991,15,1088.370
1991,16,1051.536
1991,17,1017.397
1991,18,981.270
1991,19,940.730
1991,20,897.985
1991,21,857.641
1991,22,818.730
1991,23,782.635
1991,24,750.492
1991,25,721.482
1991,26,693.395
1991,27,666.365
1991,28,641.856
1991,29,620.272
1991,30,600.914
1991,31,582.820
1991,32,566.354
1991,33,549.474
1991,34,531.117
1991,35,512.235
1991,36,494.381
1991,37,476.705
1991,38,461.922
1991,39,451.364
1991,40,443.396
1991,41,435.289
1991,42,427.890
1991,43,417.844
1991,44,403.298
1991,45,385.903
1991,46,369.334
1991,47,353.069
1991,48,337.021
1991,49,321.593
1991,50,306.808
1991,51,291.898
1991,52,276.535
1991,53,263.857
1991,54,255.194
1991,55,248.989
1991,56,242.764
1991,57,237.501
1991,58,229.330
1991,59,216.227
1991,60,200.221
1991,61,185.066
1991,62,169.665
1991,63,157.115
1991,64,149.227
1991,65,144.308
1991,66,138.984
1991,67,134.083
1991,68,127.903
1991,69,119.296
1991,70,109.245
1991,71,99.831
1991,72,90.599
1991,73,82.081
1991,74,74.728
1991,75,68.184
1991,76,61.717
1991,77,55.584
1991,78,49.292
1991,79,42.567
1991,80,35.741
1991,81,29.381
1991,82,23.306
1991,83,18.213
1991,84,14.489
1991,85,11.779
1991,86,9.318
1991,87,7.210
1991,88,5.464
1991,89,3.995
1991,90,2.795
1991,91,1.926
1991,92,1.320
1991,93,0.869
1991,94,0.508
1991,95,0.240
1991,96,0.172
1991,97,0.144
1991,98,0.086
1991,99,0.017
1991,100,0.042
1992,0,2133.608
1992,1,2026.963
1992,2,1950.025
1992,3,1862.869
1992,4,1782.553
1992,5,1708.261
1992,6,1639.170
1992,7,1575.583
1992,8,1517.801
1992,9,1459.396
1992,10,1397.303
1992,11,1334.070
1992,12,1274.678
1992,13,1217.385
1992,14,1165.998
1992,15,1122.671
1992,16,1084.928
1992,17,1048.459
1992,18,1014.510
1992,19,978.663
1992,20,938.412
1992,21,895.960
1992,22,856.036
1992,23,817.706
1992,24,781.882
1992,25,749.492
1992,26,719.937
1992,27,691.361
1992,28,663.749
1992,29,639.095
1992,30,618.087
1992,31,599.726
1992,32,582.520
1992,33,566.987
1992,34,550.606
1992,35,532.041
1992,36,512.489
1992,37,494.043
1992,38,475.755
1992,39,460.419
1992,40,449.464
1992,41,441.204
1992,42,432.758
1992,43,424.982
1992,44,414.688
1992,45,400.088
1992,46,382.764
1992,47,366.272
1992,48,350.121
1992,49,334.125
1992,50,318.621
1992,51,303.689
1992,52,288.648
1992,53,273.121
1992,54,260.402
1992,55,251.894
1992,56,245.947
1992,57,239.949
1992,58,234.955
1992,59,226.791
1992,60,213.288
1992,61,196.632
1992,62,180.876
1992,63,164.857
1992,64,151.856
1992,65,143.806
1992,66,138.920
1992,67,133.598
1992,68,128.698
1992,69,122.592
1992,70,114.145
1992,71,104.307
1992,72,95.136
1992,73,86.205
1992,74,77.865
1992,75,70.486
1992,76,63.798
1992,77,57.232
1992,78,50.997
1992,79,44.737
1992,80,38.258
1992,81,31.820
1992,82,25.830
1992,83,20.128
1992,84,15.421
1992,85,12.079
1992,86,9.746
1992,87,7.664
1992,88,5.941
1992,89,4.517
1992,90,3.278
1992,91,2.238
1992,92,1.528
1992,93,1.049
1992,94,0.693
1992,95,0.404
1992,96,0.184
1992,97,0.144
1992,98,0.082
1992,99,0.016
1992,100,0.045
1993,0,2198.531
1993,1,2087.220
1993,2,1986.984
1993,3,1920.233
1993,4,1839.970
1993,5,1766.503
1993,6,1698.794
1993,7,1635.798
1993,8,1578.163
1993,9,1526.531
1993,10,1471.441
1993,11,1408.480
1993,12,1341.667
1993,13,1278.742
1993,14,1217.350
1993,15,1163.047
1993,16,1119.118
1993,17,1082.247
1993,18,1046.117
1993,19,1012.334
1993,20,976.743
1993,21,936.753
1993,22,894.564
1993,23,855.033
1993,24,817.258
1993,25,781.678
1993,26,749.020
1993,27,718.898
1993,28,689.812
1993,29,661.597
1993,30,636.782
1993,31,616.334
1993,32,598.960
1993,33,582.630
1993,34,568.020
1993,35,552.129
1993,36,533.341
1993,37,513.106
1993,38,494.053
1993,39,475.139
1993,40,459.239
1993,41,447.877
1993,42,439.321
1993,43,430.528
1993,44,422.370
1993,45,411.822
1993,46,397.156
1993,47,379.890
1993,48,363.463
1993,49,347.417
1993,50,331.460
1993,51,315.870
1993,52,300.779
1993,53,285.597
1993,54,269.896
1993,55,257.126
1993,56,248.766
1993,57,243.074
1993,58,237.300
1993,59,232.571
1993,60,224.409
1993,61,210.495
1993,62,193.176
1993,63,176.809
1993,64,160.158
1993,65,146.698
1993,66,138.478
1993,67,133.622
