year,age,population
1990,0,9305.671
1990,1,9483.414
1990,2,9624.298
1990,3,9732.667
1990,4,9812.840
1990,5,9869.176
1990,6,9905.991
1990,7,9927.649
1990,8,9938.453
1990,9,9942.770
1990,10,9938.401
1990,11,9923.154
1990,12,9933.993
1990,13,9988.308
1990,14,10070.871
1990,15,10151.290
1990,16,10238.348
1990,17,10314.172
1990,18,10367.738
1990,19,10410.128
1990,20,10456.936
1990,21,10497.069
1990,22,10572.750
1990,23,10704.006
1990,24,10866.406
1990,25,11014.855
1990,26,11157.454
1990,27,11267.039
1990,28,11325.136
1990,29,11342.830
1990,30,11351.848
1990,31,11348.530
1990,32,11311.285
1990,33,11233.382
1990,34,11123.086
1990,35,10990.562
1990,36,10828.078
1990,37,10670.033
1990,38,10532.753
1990,39,10397.431
1990,40,10261.456
1990,41,10164.488
1990,42,9921.891
1990,43,9454.133
1990,44,8868.576
1990,45,8307.719
1990,46,7689.790
1990,47,7394.969
1990,48,7609.827
1990,49,8136.012
1990,50,8618.262
1990,51,9163.271
1990,52,9433.197
1990,53,9235.446
1990,54,8747.920
1990,55,8318.468
1990,56,7850.379
1990,57,7560.829
1990,58,7584.115
1990,59,7793.024
1990,60,7929.986
1990,61,8051.279
1990,62,8053.716
1990,63,7861.576
1990,64,7531.954
1990,65,7227.272
1990,66,6950.535
1990,67,6551.168
1990,68,5981.976
1990,69,5323.711
1990,70,4670.509
1990,71,3963.036
1990,72,3521.869
1990,73,3503.197
1990,74,3746.616
1990,75,3948.230
1990,76,4184.038
1990,77,4251.287
1990,78,4023.278
1990,79,3605.625
1990,80,3235.720
1990,81,2872.101
1990,82,2519.360
1990,83,2205.496
1990,84,1920.239
1990,85,1624.352
1990,86,1324.616
1990,87,1063.377
1990,88,857.511
1990,89,694.273
1990,90,541.467
1990,91,402.445
1990,92,290.615
1990,93,208.435
1990,94,149.979
1990,95,105.306
1990,96,75.516
1990,97,52.892
1990,98,32.447
1990,99,15.357
1990,100,29.376
1991,0,8939.696
1991,1,9317.068
1991,2,9502.876
1991,3,9649.438
1991,4,9761.376
1991,5,9843.296
1991,6,9899.728
1991,7,9935.162
1991,8,9954.838
1991,9,9963.594
1991,10,9965.739
1991,11,9958.537
1991,12,9940.004
1991,13,9947.802
1991,14,9999.616
1991,15,10080.165
1991,16,10158.473
1991,17,10243.163
1991,18,10318.048
1991,19,10372.771
1991,20,10417.610
1991,21,10466.701
1991,22,10509.263
1991,23,10586.471
1991,24,10717.691
1991,25,10878.977
1991,26,11026.397
1991,27,11167.888
1991,28,11275.911
1991,29,11331.973
1991,30,11347.244
1991,31,11353.614
1991,32,11347.413
1991,33,11307.271
1991,34,11226.633
1991,35,11113.637
1991,36,10978.332
1991,37,10813.064
1991,38,10651.939
1991,39,10511.133
1991,40,10372.063
1991,41,10232.192
1991,42,10130.834
1991,43,9885.142
1991,44,9416.374
1991,45,8830.878
1991,46,8269.760
1991,47,7651.943
1991,48,7354.473
1991,49,7562.355
1991,50,8078.886
1991,51,8551.595
1991,52,9086.127
1991,53,9348.244
1991,54,9147.277
1991,55,8659.165
1991,56,8228.357
1991,57,7759.466
1991,58,7465.293
1991,59,7477.862
1991,60,7672.358
1991,61,7795.996
1991,62,7904.207
1991,63,7895.552
1991,64,7695.706
1991,65,7360.978
1991,66,7050.435
1991,67,6766.327
1991,68,6364.980
1991,69,5801.841
1991,70,5153.900
1991,71,4510.645
1991,72,3815.663
1991,73,3375.277
1991,74,3338.766
1991,75,3553.131
1991,76,3728.686
1991,77,3938.421
1991,78,3987.539
1991,79,3754.703
1991,80,3341.718
1991,81,2976.054
1991,82,2617.369
1991,83,2274.875
1991,84,1977.642
1991,85,1713.444
1991,86,1439.746
1991,87,1163.552
1991,88,925.126
1991,89,739.797
1991,90,595.277
1991,91,461.470
1991,92,341.531
1991,93,245.498
1991,94,174.440
1991,95,123.650
1991,96,79.181
1991,97,54.903
1991,98,33.417
1991,99,15.757
1991,100,30.534
1992,0,8499.766
1992,1,8886.639
1992,2,9331.090
1992,3,9524.749
1992,4,9676.842
1992,5,9792.262
1992,6,9875.918
1992,7,9932.478
1992,8,9966.575
1992,9,9984.367
1992,10,9991.200
1992,11,9991.288
1992,12,9981.395
1992,13,9959.755
1992,14,9964.605
1992,15,10013.927
1992,16,10092.396
1992,17,10168.519
1992,18,10250.801
1992,19,10324.710
1992,20,10380.620
1992,21,10428.003
1992,22,10479.427
1992,23,10524.483
1992,24,10603.260
1992,25,10734.428
1992,26,10894.542
1992,27,11040.889
1992,28,11181.218
1992,29,11287.675
1992,30,11341.747
1992,31,11354.695
1992,32,11358.516
1992,33,11349.492
1992,34,11306.516
1992,35,11223.126
1992,36,11107.408
1992,37,10969.255
1992,38,10801.165
1992,39,10636.903
1992,40,10492.505
1992,41,10349.597
1992,42,10205.764
1992,43,10099.957
1992,44,9851.095
1992,45,9381.211
1992,46,8795.725
1992,47,8234.234
1992,48,7616.437
1992,49,7316.300
