year,age,population
1990,0,19.814
1990,1,20.008
1990,2,20.092
1990,3,20.074
1990,4,19.962
1990,5,19.770
1990,6,19.501
1990,7,19.174
1990,8,18.789
1990,9,18.361
1990,10,17.900
1990,11,17.413
1990,12,16.910
1990,13,16.404
1990,14,15.902
1990,15,15.406
1990,16,14.915
1990,17,14.483
1990,18,14.135
1990,19,13.852
1990,20,13.577
1990,21,13.291
1990,22,13.127
1990,23,13.131
1990,24,13.233
1990,25,13.317
1990,26,13.410
1990,27,13.385
1990,28,13.174
1990,29,12.825
1990,30,12.486
1990,31,12.157
1990,32,11.713
1990,33,11.122
1990,34,10.444
1990,35,9.763
1990,36,9.057
1990,37,8.474
1990,38,8.100
1990,39,7.862
1990,40,7.609
1990,41,7.367
1990,42,7.134
1990,43,6.888
1990,44,6.637
1990,45,6.408
1990,46,6.202
1990,47,5.979
1990,48,5.734
1990,49,5.474
1990,50,5.222
1990,51,4.973
1990,52,4.733
1990,53,4.511
1990,54,4.299
1990,55,4.090
1990,56,3.884
1990,57,3.677
1990,58,3.461
1990,59,3.245
1990,60,3.036
1990,61,2.835
1990,62,2.639
1990,63,2.447
1990,64,2.264
1990,65,2.086
1990,66,1.910
1990,67,1.759
1990,68,1.643
1990,69,1.549
1990,70,1.459
1990,71,1.380
1990,72,1.289
1990,73,1.175
1990,74,1.048
1990,75,0.930
1990,76,0.818
1990,77,0.715
1990,78,0.634
1990,79,0.565
1990,80,0.499
1990,81,0.440
1990,82,0.377
1990,83,0.310
1990,84,0.243
1990,85,0.181
1990,86,0.124
1990,87,0.078
1990,88,0.052
1990,89,0.037
1990,90,0.019
1990,91,0.017
1990,92,0.012
1990,93,0.008
1990,94,0.004
1990,95,0.000
1990,96,0.002
1990,97,0.000
1990,98,0.002
1990,99,0.000
1990,100,0.000
1991,0,19.875
1991,1,19.507
1991,2,19.637
1991,3,19.692
1991,4,19.676
1991,5,19.591
1991,6,19.448
1991,7,19.253
1991,8,18.983
1991,9,18.619
1991,10,18.188
1991,11,17.736
1991,12,17.262
1991,13,16.766
1991,14,16.254
1991,15,15.738
1991,16,15.228
1991,17,14.720
1991,18,14.277
1991,19,13.932
1991,20,13.662
1991,21,13.395
1991,22,13.121
1991,23,12.958
1991,24,12.945
1991,25,13.021
1991,26,13.083
1991,27,13.152
1991,28,13.115
1991,29,12.906
1991,30,12.571
1991,31,12.244
1991,32,11.928
1991,33,11.501
1991,34,10.933
1991,35,10.283
1991,36,9.628
1991,37,8.951
1991,38,8.388
1991,39,8.023
1991,40,7.786
1991,41,7.534
1991,42,7.293
1991,43,7.057
1991,44,6.807
1991,45,6.553
1991,46,6.318
1991,47,6.104
1991,48,5.875
1991,49,5.623
1991,50,5.356
1991,51,5.097
1991,52,4.842
1991,53,4.596
1991,54,4.372
1991,55,4.159
1991,56,3.949
1991,57,3.744
1991,58,3.537
1991,59,3.324
1991,60,3.110
1991,61,2.903
1991,62,2.705
1991,63,2.513
1991,64,2.324
1991,65,2.145
1991,66,1.970
1991,67,1.798
1991,68,1.651
1991,69,1.541
1991,70,1.453
1991,71,1.370
1991,72,1.297
1991,73,1.210
1991,74,1.097
1991,75,0.967
1991,76,0.848
1991,77,0.733
1991,78,0.630
1991,79,0.553
1991,80,0.491
1991,81,0.430
1991,82,0.376
1991,83,0.321
1991,84,0.262
1991,85,0.205
1991,86,0.152
1991,87,0.104
1991,88,0.066
1991,89,0.044
1991,90,0.031
1991,91,0.016
1991,92,0.013
1991,93,0.010
1991,94,0.007
1991,95,0.003
1991,96,0.002
1991,97,0.000
1991,98,0.002
1991,99,0.000
1991,100,0.000
1992,0,20.216
1992,1,19.942
1992,2,19.250
1992,3,19.315
1992,4,19.342
1992,5,19.328
1992,6,19.270
1992,7,19.176
1992,8,19.053
1992,9,18.839
1992,10,18.495
1992,11,18.062
1992,12,17.615
1992,13,17.156
1992,14,16.662
1992,15,16.144
1992,16,15.615
1992,17,15.088
1992,18,14.562
1992,19,14.107
1992,20,13.765
1992,21,13.505
1992,22,13.247
1992,23,12.984
1992,24,12.821
1992,25,12.792
1992,26,12.843
1992,27,12.881
1992,28,12.928
1992,29,12.878
1992,30,12.671
1992,31,12.348
1992,32,12.034
1992,33,11.729
1992,34,11.318
1992,35,10.773
1992,36,10.146
1992,37,9.519
1992,38,8.866
1992,39,8.324
1992,40,7.966
1992,41,7.730
1992,42,7.478
1992,43,7.236
1992,44,6.998
1992,45,6.744
1992,46,6.484
1992,47,6.244
1992,48,6.023
1992,49,5.786
1992,50,5.525
1992,51,5.252
1992,52,4.986
1992,53,4.722
1992,54,4.471
1992,55,4.244
1992,56,4.030
1992,57,3.820
1992,58,3.613
1992,59,3.407
1992,60,3.195
1992,61,2.982
1992,62,2.778
1992,63,2.583
1992,64,2.393
1992,65,2.208
1992,66,2.031
1992,67,1.860
1992,68,1.690
1992,69,1.548
1992,70,1.443
1992,71,1.362
1992,72,1.284
1992,73,1.218
1992,74,1.136
1992,75,1.021
1992,76,0.889
1992,77,0.767
1992,78,0.651
1992,79,0.548
1992,80,0.474
1992,81,0.417
1992,82,0.362
1992,83,0.314
1992,84,0.266
1992,85,0.215
1992,86,0.167
1992,87,0.123
1992,88,0.086
1992,89,0.054
1992,90,0.036
1992,91,0.024
1992,92,0.013
1992,93,0.011
1992,94,0.007
1992,95,0.006
1992,96,0.002
1992,97,0.000
1992,98,0.002
1992,99,0.000
1992,100,0.000
1993,0,20.690
1993,1,20.114
1993,2,19.652
1993,3,19.032
1993,4,19.031
1993,5,19.032
1993,6,19.019
1993,7,18.987
1993,8,18.941
1993,9,18.892
1993,10,18.733
1993,11,18.408
1993,12,17.971
1993,13,17.530
1993,14,17.083
1993,15,16.593
1993,16,16.066
1993,17,15.522
1993,18,14.979
1993,19,14.432
1993,20,13.965
1993,21,13.625
1993,22,13.376
1993,23,13.126
1993,24,12.873
1993,25,12.709
1993,26,12.664
1993,27,12.690
1993,28,12.707
1993,29,12.729
1993,30,12.667
1993,31,12.460
1993,32,12.152
1993,33,11.848
1993,34,11.552
1993,35,11.159
1993,36,10.633
1993,37,10.031
1993,38,9.427
1993,39,8.800
1993,40,8.276
1993,41,7.925
1993,42,7.689
1993,43,7.437
1993,44,7.194
1993,45,6.952
1993,46,6.695
1993,47,6.429
1993,48,6.182
1993,49,5.953
1993,50,5.708
1993,51,5.440
1993,52,5.158
1993,53,4.884
1993,54,4.612
1993,55,4.356
1993,56,4.124
1993,57,3.909
1993,58,3.698
1993,59,3.490
1993,60,3.283
1993,61,3.073
1993,62,2.861
1993,63,2.658
1993,64,2.466
1993,65,2.278
1993,66,2.096
1993,67,1.922
1993,68,1.752
1993,69,1.587
1993,70,1.447
1993,71,1.349
1993,72,1.273
1993,73,1.200
1993,74,1.142
1993,75,1.063
1993,76,0.948
1993,77,0.813
1993,78,0.688
1993,79,0.569
1993,80,0.467
1993,81,0.395
1993,82,0.345
1993,83,0.296
1993,84,0.252
1993,85,0.211
1993,86,0.169
1993,87,0.129
1993,88,0.095
1993,89,0.067
1993,90,0.043
1993,91,0.028
1993,92,0.018
1993,93,0.009
1993,94,0.008
1993,95,0.006
1993,96,0.003
1993,97,0.002
1993,98,0.002
1993,99,0.000
1993,100,0.000
1994,0,21.084
1994,1,20.288
1994,2,19.665
1994,3,19.200
1994,4,18.832
1994,5,18.766
1994,6,18.738
1994,7,18.729
1994,8,18.722
1994,9,18.725
1994,10,18.750
1994,11,18.645
1994,12,18.340
1994,13,17.897
1994,14,17.463
1994,15,17.027
1994,16,16.540
1994,17,16.005
1994,18,15.444
1994,19,14.885
1994,20,14.316
1994,21,13.837
1994,22,13.499
1994,23,13.259
1994,24,13.018
1994,25,12.774
1994,26,12.611
1994,27,12.549
1994,28,12.549
1994,29,12.543
1994,30,12.544
1994,31,12.467
1994,32,12.263
1994,33,11.966
1994,34,11.672
1994,35,11.389
1994,36,11.009
1994,37,10.503
1994,38,9.926
1994,39,9.345
1994,40,8.743
1994,41,8.236
1994,42,7.892
1994,43,7.655
1994,44,7.403
1994,45,7.160
1994,46,6.914
1994,47,6.651
1994,48,6.381
1994,49,6.126
1994,50,5.888
1994,51,5.637
1994,52,5.359
1994,53,5.069
1994,54,4.787
1994,55,4.507
1994,56,4.244
1994,57,4.009
1994,58,3.791
1994,59,3.578
1994,60,3.370
1994,61,3.163
1994,62,2.954
1994,63,2.741
1994,64,2.541
1994,65,2.351
1994,66,2.166
1994,67,1.986
1994,68,1.814
1994,69,1.647
1994,70,1.484
1994,71,1.348
1994,72,1.254
1994,73,1.185
1994,74,1.119
1994,75,1.066
1994,76,0.991
1994,77,0.876
1994,78,0.737
1994,79,0.610
1994,80,0.488
1994,81,0.385
1994,82,0.318
1994,83,0.272
1994,84,0.229
1994,85,0.191
1994,86,0.156
1994,87,0.123
1994,88,0.091
1994,89,0.068
1994,90,0.047
1994,91,0.031
1994,92,0.020
1994,93,0.012
1994,94,0.007
1994,95,0.005
1994,96,0.003
1994,97,0.002
1994,98,0.001
1994,99,0.000
1994,100,0.000
1995,0,21.235
1995,1,20.372
1995,2,19.704
1995,3,19.206
1995,4,18.855
1995,5,18.627
1995,6,18.497
1995,7,18.441
1995,8,18.433
1995,9,18.453
1995,10,18.505
1995,11,18.603
1995,12,18.553
1995,13,18.268
1995,14,17.820
1995,15,17.392
1995,16,16.967
1995,17,16.484
1995,18,15.940
1995,19,15.363
1995,20,14.787
1995,21,14.198
1995,22,13.706
1995,23,13.369
1995,24,13.140
1995,25,12.906
1995,26,12.673
1995,27,12.509
1995,28,12.431
1995,29,12.406
1995,30,12.377
1995,31,12.354
1995,32,12.265
1995,33,12.062
1995,34,11.777
1995,35,11.495
1995,36,11.221
1995,37,10.857
1995,38,10.372
1995,39,9.818
1995,40,9.261
1995,41,8.683
1995,42,8.195
1995,43,7.857
1995,44,7.620
1995,45,7.368
1995,46,7.123
1995,47,6.874
1995,48,6.607
1995,49,6.330
1995,50,6.069
