year,age,population
1990,0,60.187
1990,1,61.297
1990,2,62.301
1990,3,63.194
1990,4,63.970
1990,5,64.622
1990,6,65.145
1990,7,65.533
1990,8,65.778
1990,9,65.879
1990,10,65.976
1990,11,66.215
1990,12,65.838
1990,13,64.534
1990,14,62.750
1990,15,61.106
1990,16,59.308
1990,17,58.769
1990,18,60.206
1990,19,62.906
1990,20,65.451
1990,21,68.116
1990,22,70.379
1990,23,71.838
1990,24,72.752
1990,25,73.843
1990,26,75.037
1990,27,75.882
1990,28,76.247
1990,29,76.315
1990,30,76.387
1990,31,76.394
1990,32,76.658
1990,33,77.370
1990,34,78.388
1990,35,79.114
1990,36,79.345
1990,37,80.431
1990,38,82.880
1990,39,85.907
1990,40,88.621
1990,41,91.685
1990,42,91.735
1990,43,87.162
1990,44,79.711
1990,45,72.603
1990,46,65.038
1990,47,59.412
1990,48,57.195
1990,49,57.190
1990,50,56.750
1990,51,56.428
1990,52,55.881
1990,53,54.686
1990,54,53.156
1990,55,51.946
1990,56,50.821
1990,57,50.176
1990,58,50.236
1990,59,50.709
1990,60,51.076
1990,61,51.452
1990,62,51.372
1990,63,50.555
1990,64,49.203
1990,65,47.896
1990,66,46.631
1990,67,44.900
1990,68,42.544
1990,69,39.825
1990,70,37.070
1990,71,34.102
1990,72,31.870
1990,73,30.841
1990,74,30.551
1990,75,30.091
1990,76,29.689
1990,77,28.785
1990,78,27.026
1990,79,24.709
1990,80,22.528
1990,81,20.400
1990,82,18.186
1990,83,15.904
1990,84,13.618
1990,85,11.360
1990,86,9.111
1990,87,7.186
1990,88,5.742
1990,89,4.656
1990,90,3.633
1990,91,2.709
1990,92,1.963
1990,93,1.393
1990,94,0.973
1990,95,0.659
1990,96,0.450
1990,97,0.295
1990,98,0.163
1990,99,0.060
1990,100,0.139
1991,0,62.141
1991,1,60.664
1991,2,61.563
1991,3,62.432
1991,4,63.256
1991,5,64.012
1991,6,64.697
1991,7,65.305
1991,8,65.749
1991,9,65.983
