year,age,population
1990,0,715.248
1990,1,745.283
1990,2,765.537
1990,3,777.391
1990,4,782.211
1990,5,781.376
1990,6,776.259
1990,7,768.233
1990,8,758.673
1990,9,748.951
1990,10,737.325
1990,11,722.055
1990,12,720.091
1990,13,739.045
1990,14,770.938
1990,15,800.806
1990,16,832.380
1990,17,855.246
1990,18,862.949
1990,19,860.814
1990,20,860.414
1990,21,859.172
1990,22,859.514
1990,23,863.730
1990,24,869.928
1990,25,874.436
1990,26,878.591
1990,27,879.406
1990,28,875.221
1990,29,867.979
1990,30,861.072
1990,31,853.573
1990,32,848.805
1990,33,848.682
1990,34,851.579
1990,35,851.676
1990,36,847.393
1990,37,849.624
1990,38,862.324
1990,39,879.049
1990,40,893.895
1990,41,913.440
1990,42,903.563
1990,43,848.409
1990,44,766.043
1990,45,688.361
1990,46,606.558
1990,47,550.925
1990,48,538.982
1990,49,555.681
1990,50,567.756
1990,51,581.015
1990,52,593.375
1990,53,600.184
1990,54,603.376
1990,55,610.226
1990,56,620.112
1990,57,624.031
1990,58,618.478
1990,59,606.952
1990,60,593.869
1990,61,575.261
1990,62,566.763
1990,63,575.604
1990,64,592.680
1990,65,607.110
1990,66,627.610
1990,67,614.763
1990,68,549.943
1990,69,454.659
1990,70,364.506
1990,71,266.944
1990,72,209.256
1990,73,216.839
1990,74,265.229
1990,75,305.876
1990,76,350.045
1990,77,374.107
1990,78,361.912
1990,79,326.392
1990,80,297.019
1990,81,268.363
1990,82,240.456
1990,83,216.411
1990,84,194.801
1990,85,171.248
1990,86,146.830
1990,87,123.952
1990,88,103.438
1990,89,85.024
1990,90,67.388
1990,91,50.542
1990,92,36.772
1990,93,27.002
1990,94,20.266
1990,95,14.506
1990,96,9.941
1990,97,6.489
1990,98,3.840
1990,99,1.932
1990,100,3.370
1991,0,700.881
1991,1,723.166
1991,2,748.662
1991,3,766.152
1991,4,776.713
1991,5,781.406
1991,6,781.611
1991,7,778.701
1991,8,772.222
1991,9,762.633
1991,10,751.917
1991,11,739.881
1991,12,724.499
1991,13,722.311
1991,14,740.882
1991,15,772.303
1991,16,801.716
1991,17,832.829
1991,18,855.352
1991,19,862.902
1991,20,860.752
1991,21,860.328
1991,22,859.050
1991,23,859.487
1991,24,863.972
1991,25,870.541
1991,26,875.416
1991,27,879.968
1991,28,881.027
1991,29,876.835
1991,30,869.418
1991,31,862.350
1991,32,854.670
1991,33,849.723
1991,34,849.454
1991,35,852.222
1991,36,852.160
1991,37,847.705
1991,38,849.736
1991,39,862.193
1991,40,878.652
1991,41,893.231
1991,42,912.490
1991,43,902.389
1991,44,847.110
1991,45,764.678
1991,46,686.911
1991,47,605.016
1991,48,549.256
1991,49,537.124
1991,50,553.589
1991,51,565.423
1991,52,578.434
1991,53,590.504
1991,54,596.969
1991,55,599.777
1991,56,606.220
1991,57,615.664
1991,58,619.165
1991,59,613.245
1991,60,601.373
1991,61,587.962
1991,62,569.115
1991,63,560.131
1991,64,568.097
1991,65,584.101
1991,66,597.462
1991,67,616.685
1991,68,603.355
1991,69,539.313
1991,70,445.519
1991,71,356.701
