year,age,population
1990,0,3.603
1990,1,3.267
1990,2,3.004
1990,3,2.804
1990,4,2.663
1990,5,2.568
1990,6,2.512
1990,7,2.487
1990,8,2.485
1990,9,2.495
1990,10,2.527
1990,11,2.587
1990,12,2.588
1990,13,2.486
1990,14,2.323
1990,15,2.181
1990,16,2.038
1990,17,1.930
1990,18,1.877
1990,19,1.862
1990,20,1.843
1990,21,1.815
1990,22,1.831
1990,23,1.899
1990,24,2.000
1990,25,2.099
1990,26,2.215
1990,27,2.273
1990,28,2.239
1990,29,2.150
1990,30,2.063
1990,31,1.965
1990,32,1.904
1990,33,1.915
1990,34,1.964
1990,35,1.998
1990,36,2.036
1990,37,2.017
1990,38,1.905
1990,39,1.736
1990,40,1.578
1990,41,1.410
1990,42,1.281
1990,43,1.218
1990,44,1.196
1990,45,1.165
1990,46,1.136
1990,47,1.101
1990,48,1.054
1990,49,1.000
1990,50,0.953
1990,51,0.911
1990,52,0.858
1990,53,0.788
1990,54,0.707
1990,55,0.630
1990,56,0.550
1990,57,0.495
1990,58,0.481
1990,59,0.494
1990,60,0.502
1990,61,0.518
1990,62,0.515
1990,63,0.475
1990,64,0.416
1990,65,0.362
1990,66,0.310
1990,67,0.269
1990,68,0.254
1990,69,0.251
1990,70,0.245
1990,71,0.242
1990,72,0.237
1990,73,0.226
1990,74,0.218
1990,75,0.207
1990,76,0.200
1990,77,0.188
1990,78,0.167
1990,79,0.146
1990,80,0.123
1990,81,0.100
1990,82,0.081
1990,83,0.069
1990,84,0.061
1990,85,0.054
1990,86,0.045
1990,87,0.038
1990,88,0.030
1990,89,0.023
1990,90,0.018
1990,91,0.011
1990,92,0.008
1990,93,0.005
1990,94,0.003
1990,95,0.003
1990,96,0.001
1990,97,0.001
1990,98,0.000
1990,99,0.000
1990,100,0.000
1991,0,3.872
1991,1,3.582
1991,2,3.282
1991,3,3.043
1991,4,2.857
1991,5,2.721
1991,6,2.624
1991,7,2.556
1991,8,2.521
1991,9,2.518
1991,10,2.528
1991,11,2.558
1991,12,2.614
1991,13,2.610
1991,14,2.501
1991,15,2.331
1991,16,2.182
1991,17,2.032
1991,18,1.923
1991,19,1.879
1991,20,1.880
1991,21,1.876
1991,22,1.863
1991,23,1.891
1991,24,1.967
1991,25,2.072
1991,26,2.175
1991,27,2.295
1991,28,2.354
1991,29,2.310
1991,30,2.208
1991,31,2.108
1991,32,1.994
1991,33,1.923
1991,34,1.930
1991,35,1.979
1991,36,2.012
1991,37,2.049
1991,38,2.029
1991,39,1.916
1991,40,1.744
1991,41,1.584
1991,42,1.416
1991,43,1.285
1991,44,1.222
1991,45,1.199
1991,46,1.168
1991,47,1.139
1991,48,1.103
1991,49,1.056
1991,50,1.001
1991,51,0.952
1991,52,0.911
1991,53,0.856
1991,54,0.786
1991,55,0.705
1991,56,0.627
1991,57,0.546
1991,58,0.491
1991,59,0.476
1991,60,0.489
1991,61,0.496
1991,62,0.512
1991,63,0.508
1991,64,0.468
1991,65,0.409
1991,66,0.355
1991,67,0.303
1991,68,0.263
1991,69,0.246
1991,70,0.242
1991,71,0.237
1991,72,0.232
1991,73,0.227
1991,74,0.216
1991,75,0.207
1991,76,0.195
1991,77,0.187
1991,78,0.176
1991,79,0.155
1991,80,0.135
1991,81,0.112
1991,82,0.091
1991,83,0.072
1991,84,0.061
1991,85,0.054
1991,86,0.048
1991,87,0.039
1991,88,0.033
1991,89,0.025
1991,90,0.020
1991,91,0.015
1991,92,0.010
1991,93,0.006
1991,94,0.005
1991,95,0.002
1991,96,0.001
1991,97,0.001
1991,98,0.000
1991,99,0.000
1991,100,0.000
1992,0,4.059
1992,1,3.723
1992,2,3.544
1992,3,3.282
1992,4,3.068
1992,5,2.897
1992,6,2.767
1992,7,2.666
1992,8,2.588
1992,9,2.545
1992,10,2.538
1992,11,2.550
1992,12,2.576
1992,13,2.630
1992,14,2.619
1992,15,2.505
1992,16,2.328
1992,17,2.173
1992,18,2.016
1992,19,1.906
1992,20,1.873
1992,21,1.889
1992,22,1.900
1992,23,1.903
1992,24,1.943
1992,25,2.026
1992,26,2.134
1992,27,2.241
1992,28,2.366
1992,29,2.423
1992,30,2.372
1992,31,2.255
1992,32,2.143
1992,33,2.015
1992,34,1.933
1992,35,1.935
1992,36,1.984
1992,37,2.017
1992,38,2.052
1992,39,2.033
1992,40,1.917
1992,41,1.744
1992,42,1.583
1992,43,1.415
1992,44,1.283
1992,45,1.219
1992,46,1.198
1992,47,1.166
1992,48,1.136
1992,49,1.100
1992,50,1.053
1992,51,0.996
1992,52,0.948
1992,53,0.906
1992,54,0.851
1992,55,0.780
1992,56,0.699
1992,57,0.621
1992,58,0.540
1992,59,0.484
1992,60,0.470
1992,61,0.480
1992,62,0.489
1992,63,0.503
1992,64,0.498
1992,65,0.459
1992,66,0.400
1992,67,0.347
1992,68,0.295
1992,69,0.254
1992,70,0.237
1992,71,0.233
1992,72,0.227
1992,73,0.222
1992,74,0.216
1992,75,0.204
1992,76,0.194
1992,77,0.182
1992,78,0.174
1992,79,0.162
1992,80,0.143
1992,81,0.122
1992,82,0.102
1992,83,0.081
1992,84,0.064
1992,85,0.052
1992,86,0.047
1992,87,0.040
1992,88,0.033
1992,89,0.028
1992,90,0.021
1992,91,0.016
1992,92,0.012
1992,93,0.008
1992,94,0.005
1992,95,0.004
1992,96,0.002
1992,97,0.001
1992,98,0.000
1992,99,0.000
1992,100,0.000
1993,0,4.177
1993,1,3.878
1993,2,3.624
1993,3,3.497
1993,4,3.273
1993,5,3.085
1993,6,2.929
1993,7,2.805
1993,8,2.702
1993,9,2.613
1993,10,2.562
1993,11,2.551
1993,12,2.565
1993,13,2.588
1993,14,2.637
1993,15,2.622
1993,16,2.502
1993,17,2.319
1993,18,2.158
1993,19,1.995
1993,20,1.885
1993,21,1.860
1993,22,1.894
1993,23,1.919
1993,24,1.938
1993,25,1.989
1993,26,2.079
1993,27,2.191
1993,28,2.302
1993,29,2.430
1993,30,2.485
1993,31,2.427
1993,32,2.297
1993,33,2.171
1993,34,2.031
1993,35,1.938
1993,36,1.935
1993,37,1.984
1993,38,2.016
1993,39,2.051
1993,40,2.030
1993,41,1.913
1993,42,1.740
1993,43,1.578
1993,44,1.409
1993,45,1.278
1993,46,1.214
1993,47,1.192
1993,48,1.161
1993,49,1.130
1993,50,1.095
1993,51,1.046
