year,age,population
1990,0,5.955
1990,1,5.698
1990,2,5.460
1990,3,5.239
1990,4,5.037
1990,5,4.853
1990,6,4.686
1990,7,4.537
1990,8,4.406
1990,9,4.294
1990,10,4.196
1990,11,4.112
1990,12,4.054
1990,13,4.031
1990,14,4.035
1990,15,4.039
1990,16,4.040
1990,17,4.060
1990,18,4.104
1990,19,4.157
1990,20,4.208
1990,21,4.269
1990,22,4.251
1990,23,4.108
1990,24,3.888
1990,25,3.675
1990,26,3.446
1990,27,3.274
1990,28,3.195
1990,29,3.177
1990,30,3.141
1990,31,3.100
1990,32,3.051
1990,33,2.987
1990,34,2.905
1990,35,2.834
1990,36,2.776
1990,37,2.678
1990,38,2.514
1990,39,2.316
1990,40,2.122
1990,41,1.915
1990,42,1.784
1990,43,1.772
1990,44,1.834
1990,45,1.888
1990,46,1.957
1990,47,1.958
1990,48,1.843
1990,49,1.659
1990,50,1.491
1990,51,1.314
1990,52,1.194
1990,53,1.174
1990,54,1.212
1990,55,1.237
1990,56,1.273
1990,57,1.261
1990,58,1.176
1990,59,1.046
1990,60,0.925
1990,61,0.801
1990,62,0.710
1990,63,0.674
1990,64,0.672
1990,65,0.663
1990,66,0.663
1990,67,0.636
1990,68,0.571
1990,69,0.478
1990,70,0.395
1990,71,0.308
1990,72,0.255
1990,73,0.247
1990,74,0.274
1990,75,0.295
1990,76,0.322
1990,77,0.327
1990,78,0.288
1990,79,0.226
1990,80,0.172
1990,81,0.116
1990,82,0.075
1990,83,0.058
1990,84,0.056
1990,85,0.052
1990,86,0.051
1990,87,0.046
1990,88,0.039
1990,89,0.027
1990,90,0.011
1990,91,0.011
1990,92,0.010
1990,93,0.008
1990,94,0.004
1990,95,0.002
1990,96,0.002
1990,97,0.003
1990,98,0.001
1990,99,0.000
1990,100,0.000
1991,0,5.697
1991,1,5.832
1991,2,5.629
1991,3,5.430
1991,4,5.233
1991,5,5.046
1991,6,4.863
1991,7,4.690
1991,8,4.532
1991,9,4.396
1991,10,4.280
1991,11,4.175
1991,12,4.077
1991,13,4.012
1991,14,3.985
1991,15,3.989
1991,16,3.994
1991,17,3.996
1991,18,4.017
1991,19,4.060
1991,20,4.114
1991,21,4.164
1991,22,4.225
1991,23,4.212
1991,24,4.086
1991,25,3.886
1991,26,3.695
1991,27,3.488
1991,28,3.325
1991,29,3.237
1991,30,3.196
1991,31,3.139
1991,32,3.075
1991,33,3.012
1991,34,2.946
1991,35,2.872
1991,36,2.806
1991,37,2.753
1991,38,2.658
1991,39,2.497
1991,40,2.299
1991,41,2.108
1991,42,1.903
1991,43,1.771
1991,44,1.754
1991,45,1.805
1991,46,1.849
1991,47,1.908
1991,48,1.904
1991,49,1.796
1991,50,1.625
1991,51,1.469
1991,52,1.305
1991,53,1.192
1991,54,1.166
1991,55,1.190
1991,56,1.203
1991,57,1.226
1991,58,1.208
1991,59,1.124
1991,60,1.005
1991,61,0.891
1991,62,0.775
1991,63,0.690
1991,64,0.652
1991,65,0.646
1991,66,0.634
1991,67,0.630
1991,68,0.601
1991,69,0.539
1991,70,0.452
1991,71,0.374
1991,72,0.292
1991,73,0.242
1991,74,0.233
1991,75,0.254
1991,76,0.273
1991,77,0.295
1991,78,0.298
1991,79,0.262
1991,80,0.205
1991,81,0.155
1991,82,0.104
1991,83,0.066
1991,84,0.051
1991,85,0.048
1991,86,0.046
1991,87,0.044
1991,88,0.040
1991,89,0.034
1991,90,0.023
1991,91,0.009
1991,92,0.009
1991,93,0.009
1991,94,0.007
1991,95,0.003
1991,96,0.002
1991,97,0.001
1991,98,0.002
1991,99,0.000
1991,100,0.000
1992,0,5.253
1992,1,5.331
1992,2,5.721
1992,3,5.573
1992,4,5.411
1992,5,5.239
1992,6,5.063
1992,7,4.884
1992,8,4.703
1992,9,4.536
1992,10,4.395
1992,11,4.275
1992,12,4.162
1992,13,4.052
1992,14,3.977
1992,15,3.947
1992,16,3.953
1992,17,3.957
1992,18,3.960
1992,19,3.981
1992,20,4.026
1992,21,4.078
1992,22,4.130
1992,23,4.189
1992,24,4.182
1992,25,4.071
1992,26,3.894
1992,27,3.721
1992,28,3.537
1992,29,3.383
1992,30,3.285
1992,31,3.221
1992,32,3.143
1992,33,3.058
1992,34,2.979
1992,35,2.911
1992,36,2.845
1992,37,2.784
1992,38,2.735
1992,39,2.644
1992,40,2.484
1992,41,2.288
1992,42,2.097
1992,43,1.895
1992,44,1.763
1992,45,1.738
1992,46,1.781
1992,47,1.814
1992,48,1.862
1992,49,1.855
1992,50,1.752
1992,51,1.594
1992,52,1.450
1992,53,1.300
1992,54,1.192
1992,55,1.160
1992,56,1.171
1992,57,1.171
1992,58,1.183
1992,59,1.156
1992,60,1.076
1992,61,0.965
1992,62,0.859
1992,63,0.752
1992,64,0.670
1992,65,0.633
1992,66,0.621
1992,67,0.606
1992,68,0.598
1992,69,0.568
1992,70,0.508
1992,71,0.427
1992,72,0.353
1992,73,0.278
1992,74,0.229
1992,75,0.219
1992,76,0.236
1992,77,0.250
1992,78,0.269
1992,79,0.270
1992,80,0.236
1992,81,0.184
1992,82,0.139
1992,83,0.092
1992,84,0.058
1992,85,0.044
1992,86,0.041
1992,87,0.039
1992,88,0.038
1992,89,0.034
1992,90,0.028
1992,91,0.020
1992,92,0.007
1992,93,0.008
1992,94,0.007
1992,95,0.005
1992,96,0.003
1992,97,0.002
