year,age,population
1990,0,33.028
1990,1,32.053
1990,2,31.073
1990,3,30.093
1990,4,29.117
1990,5,28.146
1990,6,27.185
1990,7,26.238
1990,8,25.306
1990,9,24.396
1990,10,23.502
1990,11,22.625
1990,12,21.795
1990,13,21.024
1990,14,20.303
1990,15,19.596
1990,16,18.908
1990,17,18.252
1990,18,17.633
1990,19,17.042
1990,20,16.469
1990,21,15.929
1990,22,15.353
1990,23,14.717
1990,24,14.049
1990,25,13.411
1990,26,12.793
1990,27,12.226
1990,28,11.734
1990,29,11.302
1990,30,10.885
1990,31,10.487
1990,32,10.137
1990,33,9.846
1990,34,9.597
1990,35,9.369
1990,36,9.171
1990,37,8.973
1990,38,8.761
1990,39,8.549
1990,40,8.355
1990,41,8.176
1990,42,8.017
1990,43,7.885
1990,44,7.773
1990,45,7.666
1990,46,7.569
1990,47,7.473
1990,48,7.380
1990,49,7.288
1990,50,7.196
1990,51,7.105
1990,52,7.021
1990,53,6.947
1990,54,6.880
1990,55,6.801
1990,56,6.719
1990,57,6.612
1990,58,6.471
1990,59,6.301
1990,60,6.126
1990,61,5.949
1990,62,5.740
1990,63,5.496
1990,64,5.228
1990,65,4.954
1990,66,4.669
1990,67,4.404
1990,68,4.177
1990,69,3.972
1990,70,3.763
1990,71,3.555
1990,72,3.332
1990,73,3.073
1990,74,2.801
1990,75,2.535
1990,76,2.274
1990,77,2.031
1990,78,1.813
1990,79,1.618
1990,80,1.428
1990,81,1.247
1990,82,1.077
1990,83,0.916
1990,84,0.765
1990,85,0.628
1990,86,0.498
1990,87,0.391
1990,88,0.304
1990,89,0.235
1990,90,0.176
1990,91,0.128
1990,92,0.088
1990,93,0.059
1990,94,0.040
1990,95,0.025
1990,96,0.018
1990,97,0.014
1990,98,0.007
1990,99,0.002
1990,100,0.005
1991,0,33.635
1991,1,32.802
1991,2,31.858
1991,3,30.908
1991,4,29.954
1991,5,29.003
1991,6,28.056
1991,7,27.118
1991,8,26.187
1991,9,25.264
1991,10,24.357
1991,11,23.465
1991,12,22.589
1991,13,21.758
1991,14,20.990
1991,15,20.271
1991,16,19.567
1991,17,18.878
1991,18,18.223
1991,19,17.604
1991,20,17.014
1991,21,16.442
1991,22,15.902
1991,23,15.326
1991,24,14.689
1991,25,14.021
1991,26,13.384
1991,27,12.764
1991,28,12.196
1991,29,11.704
1991,30,11.271
1991,31,10.854
1991,32,10.455
1991,33,10.104
1991,34,9.812
1991,35,9.562
1991,36,9.333
1991,37,9.133
1991,38,8.934
1991,39,8.721
1991,40,8.509
1991,41,8.314
1991,42,8.133
1991,43,7.974
1991,44,7.839
1991,45,7.725
1991,46,7.615
1991,47,7.515
1991,48,7.416
1991,49,7.321
1991,50,7.225
1991,51,7.130
1991,52,7.034
1991,53,6.947
1991,54,6.869
1991,55,6.796
1991,56,6.713
1991,57,6.625
1991,58,6.513
1991,59,6.365
1991,60,6.188
1991,61,6.006
1991,62,5.821
1991,63,5.607
1991,64,5.356
1991,65,5.083
1991,66,4.805
1991,67,4.516
1991,68,4.245
1991,69,4.013
1991,70,3.802
1991,71,3.588
1991,72,3.375
1991,73,3.149
1991,74,2.891
1991,75,2.621
1991,76,2.359
1991,77,2.103
1991,78,1.864
1991,79,1.655
1991,80,1.466
1991,81,1.286
1991,82,1.114
1991,83,0.955
1991,84,0.806
1991,85,0.669
1991,86,0.545
1991,87,0.429
1991,88,0.335
1991,89,0.258
1991,90,0.198
1991,91,0.148
1991,92,0.107
1991,93,0.073
1991,94,0.049
1991,95,0.033
1991,96,0.020
1991,97,0.013
1991,98,0.008
1991,99,0.002
1991,100,0.005
1992,0,34.207
1992,1,33.349
1992,2,32.579
1992,3,31.666
1992,4,30.743
1992,5,29.818
1992,6,28.891
1992,7,27.968
1992,8,27.053
1992,9,26.138
1992,10,25.224
1992,11,24.320
1992,12,23.431
1992,13,22.553
1992,14,21.723
1992,15,20.957
1992,16,20.242
1992,17,19.538
1992,18,18.850
1992,19,18.195
1992,20,17.577
1992,21,16.988
1992,22,16.415
1992,23,15.876
1992,24,15.300
1992,25,14.663
1992,26,13.994
1992,27,13.357
1992,28,12.736
1992,29,12.167
1992,30,11.676
1992,31,11.241
1992,32,10.822
1992,33,10.424
1992,34,10.072
1992,35,9.779
1992,36,9.527
1992,37,9.298
1992,38,9.096
1992,39,8.896
1992,40,8.682
1992,41,8.469
1992,42,8.273
1992,43,8.092
1992,44,7.930
1992,45,7.795
1992,46,7.677
1992,47,7.564
1992,48,7.462
1992,49,7.360
1992,50,7.261
1992,51,7.163
1992,52,7.065
1992,53,6.965
1992,54,6.873
1992,55,6.791
1992,56,6.713
1992,57,6.624
1992,58,6.533
1992,59,6.413
1992,60,6.260
1992,61,6.075
1992,62,5.886
1992,63,5.695
1992,64,5.473
1992,65,5.218
1992,66,4.939
1992,67,4.656
1992,68,4.362
1992,69,4.088
1992,70,3.849
1992,71,3.633
1992,72,3.412
1992,73,3.195
1992,74,2.966
1992,75,2.710
1992,76,2.442
1992,77,2.183
1992,78,1.931
1992,79,1.699
1992,80,1.495
1992,81,1.316
1992,82,1.144
1992,83,0.981
1992,84,0.832
1992,85,0.696
1992,86,0.573
1992,87,0.462
1992,88,0.362
1992,89,0.278
1992,90,0.212
1992,91,0.162
1992,92,0.118
1992,93,0.087
1992,94,0.059
1992,95,0.039
1992,96,0.025
1992,97,0.015
1992,98,0.008
1992,99,0.003
1992,100,0.005
1993,0,34.752
1993,1,33.944
1993,2,33.115
1993,3,32.359
1993,4,31.475
1993,5,30.583
1993,6,29.683
1993,7,28.783
1993,8,27.882
1993,9,26.989
1993,10,26.092
1993,11,25.186
1993,12,24.285
1993,13,23.397
1993,14,22.520
1993,15,21.690
1993,16,20.926
1993,17,20.213
1993,18,19.512
1993,19,18.823
1993,20,18.168
1993,21,17.552
1993,22,16.962
1993,23,16.391
1993,24,15.850
1993,25,15.276
1993,26,14.637
1993,27,13.969
1993,28,13.331
1993,29,12.709
1993,30,12.140
1993,31,11.647
1993,32,11.212
1993,33,10.793
1993,34,10.393
1993,35,10.042
1993,36,9.745
1993,37,9.494
1993,38,9.263
1993,39,9.059
1993,40,8.859
1993,41,8.644
1993,42,8.429
1993,43,8.234
1993,44,8.051
1993,45,7.888
1993,46,7.750
1993,47,7.629
1993,48,7.515
1993,49,7.410
1993,50,7.304
1993,51,7.203
1993,52,7.101
1993,53,6.999
1993,54,6.896
1993,55,6.800
1993,56,6.714
1993,57,6.630
1993,58,6.537
1993,59,6.440
1993,60,6.315
1993,61,6.155
1993,62,5.963
1993,63,5.767
1993,64,5.568
1993,65,5.341
1993,66,5.078
1993,67,4.796
1993,68,4.507
1993,69,4.210
1993,70,3.930
1993,71,3.686
1993,72,3.463
1993,73,3.237
1993,74,3.016
1993,75,2.784
1993,76,2.528
1993,77,2.263
1993,78,2.007
1993,79,1.760
1993,80,1.533
1993,81,1.337
1993,82,1.165
1993,83,1.002
1993,84,0.848
1993,85,0.710
1993,86,0.586
1993,87,0.477
1993,88,0.380
1993,89,0.293
1993,90,0.222
1993,91,0.166
1993,92,0.125
1993,93,0.090
1993,94,0.065
1993,95,0.045
1993,96,0.029
1993,97,0.018
1993,98,0.009
1993,99,0.002
1993,100,0.007
1994,0,35.290
1994,1,34.522
1994,2,33.729
1994,3,32.917
1994,4,32.143
1994,5,31.289
1994,6,30.424
1994,7,29.553
1994,8,28.677
1994,9,27.800
1994,10,26.929
1994,11,26.048
1994,12,25.151
1994,13,24.252
1994,14,23.367
1994,15,22.489
1994,16,21.660
1994,17,20.898
1994,18,20.187
1994,19,19.487
1994,20,18.799
1994,21,18.144
1994,22,17.527
1994,23,16.939
1994,24,16.368
1994,25,15.828
1994,26,15.252
1994,27,14.614
1994,28,13.945
1994,29,13.307
1994,30,12.683
1994,31,12.114
1994,32,11.620
1994,33,11.185
1994,34,10.764
1994,35,10.364
1994,36,10.011
1994,37,9.714
1994,38,9.462
1994,39,9.229
1994,40,9.024
1994,41,8.822
1994,42,8.607
1994,43,8.391
1994,44,8.195
1994,45,8.011
1994,46,7.846
1994,47,7.706
1994,48,7.584
1994,49,7.466
1994,50,7.357
1994,51,7.250
1994,52,7.145
1994,53,7.040
1994,54,6.935
1994,55,6.828
1994,56,6.727
1994,57,6.638
