year,age,population
1990,0,38.682
1990,1,36.729
1990,2,34.896
1990,3,33.183
1990,4,31.579
1990,5,30.082
1990,6,28.682
1990,7,27.377
1990,8,26.158
1990,9,25.020
1990,10,23.986
1990,11,23.082
1990,12,22.147
1990,13,21.117
1990,14,20.076
1990,15,19.107
1990,16,18.116
1990,17,17.555
1990,18,17.630
1990,19,18.093
1990,20,18.518
1990,21,19.032
1990,22,19.149
1990,23,18.594
1990,24,17.609
1990,25,16.700
1990,26,15.760
1990,27,14.928
1990,28,14.322
1990,29,13.852
1990,30,13.318
1990,31,12.762
1990,32,12.174
1990,33,11.527
1990,34,10.846
1990,35,10.195
1990,36,9.590
1990,37,8.938
1990,38,8.211
1990,39,7.464
1990,40,6.744
1990,41,6.005
1990,42,5.509
1990,43,5.378
1990,44,5.476
1990,45,5.566
1990,46,5.718
1990,47,5.702
1990,48,5.385
1990,49,4.889
1990,50,4.450
1990,51,4.015
1990,52,3.683
1990,53,3.525
1990,54,3.482
1990,55,3.419
1990,56,3.367
1990,57,3.291
1990,58,3.160
1990,59,3.000
1990,60,2.857
1990,61,2.720
1990,62,2.602
1990,63,2.515
1990,64,2.446
1990,65,2.372
1990,66,2.301
1990,67,2.215
1990,68,2.107
1990,69,1.985
1990,70,1.865
1990,71,1.747
1990,72,1.615
1990,73,1.461
1990,74,1.296
1990,75,1.133
1990,76,0.971
1990,77,0.823
1990,78,0.700
1990,79,0.592
1990,80,0.489
1990,81,0.392
1990,82,0.306
1990,83,0.236
1990,84,0.178
1990,85,0.127
1990,86,0.083
1990,87,0.050
1990,88,0.029
1990,89,0.017
1990,90,0.010
1990,91,0.008
1990,92,0.007
1990,93,0.004
1990,94,0.001
1990,95,0.001
1990,96,0.000
1990,97,0.000
1990,98,0.000
1990,99,0.000
1990,100,0.000
1991,0,40.174
1991,1,37.954
1991,2,36.098
1991,3,34.373
1991,4,32.774
1991,5,31.287
1991,6,29.908
1991,7,28.630
1991,8,27.424
1991,9,26.270
1991,10,25.169
1991,11,24.171
1991,12,23.295
1991,13,22.370
1991,14,21.328
1991,15,20.256
1991,16,19.253
1991,17,18.223
1991,18,17.614
1991,19,17.635
1991,20,18.040
1991,21,18.407
