year,age,population
1990,0,90.502
1990,1,91.340
1990,2,91.867
1990,3,92.113
1990,4,92.104
1990,5,91.874
1990,6,91.450
1990,7,90.861
1990,8,90.137
1990,9,89.309
1990,10,88.385
1990,11,87.376
1990,12,86.408
1990,13,85.549
1990,14,84.770
1990,15,84.081
1990,16,83.610
1990,17,82.904
1990,18,81.779
1990,19,80.537
1990,20,79.393
1990,21,77.984
1990,22,78.181
1990,23,80.827
1990,24,84.916
1990,25,88.683
1990,26,92.579
1990,27,94.964
1990,28,94.870
1990,29,93.083
1990,30,91.421
1990,31,89.594
1990,32,87.448
1990,33,85.114
1990,34,82.609
1990,35,79.823
1990,36,76.773
1990,37,73.883
1990,38,71.353
1990,39,69.043
1990,40,66.903
1990,41,65.286
1990,42,62.803
1990,43,58.865
1990,44,54.343
1990,45,50.114
1990,46,45.301
1990,47,44.243
1990,48,48.958
1990,49,57.132
1990,50,64.843
1990,51,73.366
1990,52,78.028
1990,53,76.268
1990,54,70.476
1990,55,65.304
1990,56,59.439
1990,57,55.943
1990,58,56.685
1990,59,59.892
1990,60,62.175
1990,61,64.512
1990,62,64.483
1990,63,60.637
1990,64,54.358
1990,65,48.553
1990,66,42.720
1990,67,37.452
1990,68,33.365
1990,69,30.161
1990,70,26.734
1990,71,23.055
1990,72,20.748
1990,73,20.431
1990,74,21.349
1990,75,22.259
1990,76,23.552
1990,77,23.666
1990,78,21.740
1990,79,18.548
1990,80,15.696
1990,81,12.819
1990,82,10.506
1990,83,9.200
1990,84,8.547
1990,85,7.773
1990,86,7.060
1990,87,6.233
1990,88,5.144
1990,89,3.926
1990,90,2.856
1990,91,1.850
1990,92,1.101
1990,93,0.721
1990,94,0.598
1990,95,0.499
1990,96,0.465
1990,97,0.427
1990,98,0.319
1990,99,0.175
1990,100,0.207
1991,0,87.454
1991,1,89.987
1991,2,90.811
1991,3,91.252
1991,4,91.359
1991,5,91.174
1991,6,90.727
1991,7,90.037
1991,8,89.261
1991,9,88.487
1991,10,87.697
1991,11,86.792
1991,12,85.801
1991,13,84.849
1991,14,83.990
1991,15,83.205
1991,16,82.518
1991,17,82.061
1991,18,81.358
1991,19,80.220
1991,20,78.956
1991,21,77.792
1991,22,76.363
1991,23,76.551
1991,24,79.203
1991,25,83.310
1991,26,87.094
1991,27,91.008
1991,28,93.408
1991,29,93.322
1991,30,91.537
1991,31,89.881
1991,32,88.064
1991,33,85.931
1991,34,83.612
1991,35,81.128
1991,36,78.362
1991,37,75.330
1991,38,72.471
1991,39,69.996
1991,40,67.752
1991,41,65.675
1991,42,64.118
1991,43,61.677
1991,44,57.756
1991,45,53.231
1991,46,48.997
1991,47,44.178
1991,48,43.094
1991,49,47.756
1991,50,55.859
1991,51,63.497
1991,52,71.939
1991,53,76.536
1991,54,74.741
1991,55,68.934
1991,56,63.743
1991,57,57.867
1991,58,54.339
1991,59,55.009
1991,60,58.124
1991,61,60.325
1991,62,62.583
1991,63,62.514
1991,64,58.691
1991,65,52.477
1991,66,46.729
1991,67,40.951
1991,68,35.752
1991,69,31.755
1991,70,28.647
1991,71,25.321
1991,72,21.764
1991,73,19.493
1991,74,19.077
1991,75,19.816
1991,76,20.564
1991,77,21.681
1991,78,21.719
1991,79,19.879
1991,80,16.880
1991,81,14.205
1991,82,11.517
1991,83,9.362
1991,84,8.146
1991,85,7.543
1991,86,6.833
1991,87,6.184
1991,88,5.442
1991,89,4.473
1991,90,3.394
1991,91,2.453
1991,92,1.576
1991,93,0.924
1991,94,0.594
1991,95,0.488
1991,96,0.460
1991,97,0.396
1991,98,0.286
1991,99,0.157
1991,100,0.217
1992,0,83.251
1992,1,86.439
1992,2,89.048
1992,3,89.852
1992,4,90.206
1992,5,90.171
1992,6,89.813
1992,7,89.147
1992,8,88.194
1992,9,87.233
1992,10,86.413
1992,11,85.665
1992,12,84.782
1992,13,83.815
1992,14,82.883
1992,15,82.029
1992,16,81.240
1992,17,80.560
1992,18,80.118
1992,19,79.422
1992,20,78.276
1992,21,76.994
1992,22,75.818
1992,23,74.376
1992,24,74.552
1992,25,77.199
1992,26,81.304
1992,27,85.087
1992,28,89.002
1992,29,91.405
1992,30,91.326
1992,31,89.553
1992,32,87.912
1992,33,86.112
1992,34,84.001
1992,35,81.711
1992,36,79.258
1992,37,76.526
1992,38,73.524
1992,39,70.711
1992,40,68.303
1992,41,66.138
1992,42,64.131
1992,43,62.642
1992,44,60.256
1992,45,56.370
1992,46,51.863
1992,47,47.644
1992,48,42.842
1992,49,41.735
1992,50,46.323
1992,51,54.319
1992,52,61.845
1992,53,70.166
1992,54,74.677
1992,55,72.855
1992,56,67.059
1992,57,61.874
1992,58,56.016
1992,59,52.470
1992,60,53.066
1992,61,56.073
1992,62,58.184
1992,63,60.349
1992,64,60.241
1992,65,56.459
1992,66,50.338
1992,67,44.677
1992,68,38.979
1992,69,33.876
1992,70,29.987
1992,71,26.991
1992,72,23.780
1992,73,20.365
1992,74,18.140
1992,75,17.625
1992,76,18.182
1992,77,18.763
1992,78,19.698
1992,79,19.659
1992,80,17.916
1992,81,15.122
1992,82,12.639
1992,83,10.156
1992,84,8.168
1992,85,7.048
1992,86,6.497
1992,87,5.855
1992,88,5.275
1992,89,4.622
1992,90,3.776
1992,91,2.844
1992,92,2.037
1992,93,1.292
1992,94,0.743
1992,95,0.463
1992,96,0.375
1992,97,0.337
1992,98,0.223
1992,99,0.122
1992,100,0.226
1993,0,78.309
1993,1,82.614
1993,2,85.859
1993,3,87.847
1993,4,88.629
1993,5,88.895
1993,6,88.721
1993,7,88.187
1993,8,87.307
1993,9,86.095
1993,10,84.952
1993,11,84.086
1993,12,83.384
1993,13,82.527
1993,14,81.585
1993,15,80.676
1993,16,79.830
1993,17,79.038
1993,18,78.369
1993,19,77.943
1993,20,77.254
1993,21,76.105
1993,22,74.810
1993,23,73.623
1993,24,72.173
1993,25,72.338
1993,26,74.970
1993,27,79.063
1993,28,82.831
1993,29,86.737
1993,30,89.137
1993,31,89.066
1993,32,87.308
1993,33,85.686
1993,34,83.910
1993,35,81.828
1993,36,79.571
1993,37,77.158
1993,38,74.467
1993,39,71.505
1993,40,68.746
1993,41,66.411
1993,42,64.331
1993,43,62.401
1993,44,60.984
1993,45,58.661
1993,46,54.821
1993,47,50.344
1993,48,46.152
1993,49,41.382
1993,50,40.258
1993,51,44.756
1993,52,52.619
1993,53,60.015
1993,54,68.190
1993,55,72.600
1993,56,70.759
1993,57,64.990
1993,58,59.825
1993,59,54.004
1993,60,50.450
1993,61,50.970
1993,62,53.861
1993,63,55.874
1993,64,57.943
1993,65,57.794
1993,66,54.065
1993,67,48.056
1993,68,42.496
1993,69,36.897
1993,70,31.904
1993,71,28.133
1993,72,25.259
1993,73,22.173
1993,74,18.908
1993,75,16.736
1993,76,16.125
1993,77,16.497
1993,78,16.911
1993,79,17.661
1993,80,17.546
1993,81,15.903
1993,82,13.325
1993,83,11.040
1993,84,8.766
1993,85,6.952
1993,86,5.932
1993,87,5.435
1993,88,4.863
1993,89,4.351
1993,90,3.789
1993,91,3.071
1993,92,2.286
1993,93,1.615
1993,94,1.006
1993,95,0.559
1993,96,0.332
1993,97,0.261
1993,98,0.152
1993,99,0.079
1993,100,0.232
1994,0,73.177
1994,1,78.347
1994,2,82.318
1994,3,85.208
