year,age,population
1990,0,838.181
1990,1,861.491
1990,2,875.243
1990,3,880.831
1990,4,879.649
1990,5,873.095
1990,6,862.562
1990,7,849.445
1990,8,835.143
1990,9,821.046
1990,10,808.345
1990,11,798.225
1990,12,793.124
1990,13,794.845
1990,14,804.165
1990,15,815.263
1990,16,823.561
1990,17,860.314
1990,18,938.651
1990,19,1041.846
1990,20,1140.854
1990,21,1242.459
1990,22,1319.872
1990,23,1357.116
1990,24,1366.196
1990,25,1376.444
1990,26,1383.622
1990,27,1380.229
1990,28,1365.998
1990,29,1343.364
1990,30,1315.503
1990,31,1282.332
1990,32,1249.132
1990,33,1219.049
1990,34,1190.753
1990,35,1161.639
1990,36,1134.471
1990,37,1103.572
1990,38,1066.594
1990,39,1028.218
1990,40,993.208
1990,41,957.910
1990,42,943.382
1990,43,959.729
1990,44,996.457
1990,45,1029.775
1990,46,1060.605
1990,47,1095.520
1990,48,1134.150
1990,49,1171.418
1990,50,1208.534
1990,51,1252.361
1990,52,1255.070
1990,53,1195.231
1990,54,1096.996
1990,55,1002.597
1990,56,899.570
1990,57,831.058
1990,58,821.516
1990,59,849.061
1990,60,866.419
1990,61,881.916
1990,62,889.427
1990,63,880.783
1990,64,859.864
1990,65,843.972
1990,66,835.944
1990,67,801.499
1990,68,727.332
1990,69,631.058
1990,70,537.868
1990,71,435.831
1990,72,378.973
1990,73,394.533
1990,74,454.780
1990,75,506.687
1990,76,563.187
1990,77,591.099
1990,78,569.302
1990,79,515.110
1990,80,468.020
1990,81,421.396
1990,82,373.923
1990,83,329.313
1990,84,286.851
1990,85,242.021
1990,86,195.618
1990,87,155.319
1990,88,124.485
1990,89,100.720
1990,90,77.889
1990,91,56.734
1990,92,39.869
1990,93,27.826
1990,94,19.577
1990,95,13.366
1990,96,9.298
1990,97,6.293
1990,98,3.552
1990,99,1.265
1990,100,2.728
1991,0,817.694
1991,1,850.274
1991,2,871.627
1991,3,884.222
1991,4,889.317
1991,5,888.170
1991,6,882.210
1991,7,872.863
1991,8,860.549
1991,9,846.194
1991,10,831.558
1991,11,818.633
1991,12,808.402
1991,13,803.507
1991,14,805.924
1991,15,816.254
1991,16,828.292
1991,17,837.488
1991,18,875.156
1991,19,954.393
1991,20,1058.425
1991,21,1158.222
1991,22,1260.608
1991,23,1338.365
1991,24,1375.319
1991,25,1383.670
1991,26,1393.156
1991,27,1399.479
1991,28,1395.202
1991,29,1380.140
1991,30,1356.699
1991,31,1327.939
1991,32,1293.786
1991,33,1259.697
1991,34,1228.885
1991,35,1199.958
1991,36,1170.176
1991,37,1142.335
1991,38,1110.700
1991,39,1072.881
1991,40,1033.592
1991,41,997.684
1991,42,961.501
1991,43,946.053
1991,44,961.435
1991,45,997.178
1991,46,1029.533
1991,47,1059.421
1991,48,1093.443
1991,49,1131.247
1991,50,1167.754
1991,51,1204.106
1991,52,1247.126
1991,53,1249.255
1991,54,1189.172
1991,55,1090.883
1991,56,996.394
1991,57,893.328
1991,58,824.428
1991,59,813.938
1991,60,840.175
1991,61,856.315
1991,62,870.638
1991,63,876.962
1991,64,867.150
1991,65,845.126
1991,66,828.016
1991,67,818.470
1991,68,783.367
1991,69,709.889
1991,70,615.016
1991,71,523.076
1991,72,422.618
1991,73,365.486
1991,74,377.841
1991,75,433.102
1991,76,480.470
1991,77,532.444
1991,78,556.915
1991,79,533.527
1991,80,479.099
1991,81,431.738
1991,82,384.946
1991,83,338.297
1991,84,295.762
1991,85,256.254
1991,86,214.554
1991,87,171.514
1991,88,134.563
1991,89,106.833
1991,90,85.968
1991,91,66.115
1991,92,47.995
1991,93,33.611
1991,94,23.234
1991,95,16.059
1991,96,9.940
1991,97,6.707
1991,98,3.793
1991,99,1.388
1991,100,2.926
1992,0,788.513
1992,1,830.717
1992,2,863.242
1992,3,882.660
1992,4,894.111
1992,5,898.715
1992,6,897.603
1992,7,892.232
1992,8,884.062
1992,9,872.540
1992,10,858.117
1992,11,842.925
1992,12,829.764
1992,13,819.411
1992,14,814.719
1992,15,817.834
1992,16,829.183
1992,17,842.176
1992,18,852.282
1992,19,890.900
1992,20,971.121
1992,21,1076.098
1992,22,1176.784
1992,23,1280.057
1992,24,1358.237
1992,25,1394.940
1992,26,1402.567
1992,27,1411.303
1992,28,1416.775
1992,29,1411.610
1992,30,1395.700
1992,31,1371.427
1992,32,1341.739
1992,33,1306.569
1992,34,1271.554
1992,35,1239.982
1992,36,1210.393
1992,37,1179.913
1992,38,1151.370
1992,39,1118.966
1992,40,1080.267
1992,41,1040.023
1992,42,1003.182
1992,43,966.076
1992,44,949.690
1992,45,964.121
1992,46,998.917
1992,47,1030.341
1992,48,1059.317
1992,49,1092.478
1992,50,1129.494
1992,51,1165.278
1992,52,1200.902
1992,53,1243.159
1992,54,1244.707
1992,55,1184.322
1992,56,1085.877
1992,57,991.201
1992,58,887.993
1992,59,818.632
1992,60,807.184
1992,61,832.140
1992,62,847.075
1992,63,860.239
1992,64,865.381
1992,65,854.390
1992,66,831.237
1992,67,812.891
1992,68,801.816
1992,69,766.019
1992,70,693.156
1992,71,599.589
1992,72,508.804
1992,73,409.825
1992,74,352.361
1992,75,361.521
1992,76,411.848
1992,77,454.723
1992,78,502.219
1992,79,523.270
1992,80,498.268
1992,81,443.546
1992,82,395.868
1992,83,348.859
1992,84,302.986
1992,85,262.486
1992,86,225.894
1992,87,187.283
1992,88,147.567
1992,89,113.927
1992,90,89.277
1992,91,71.291
1992,92,54.399
1992,93,39.296
1992,94,27.383
1992,95,18.663
1992,96,12.555
1992,97,7.172
1992,98,4.080
1992,99,1.535
1992,100,3.129
1993,0,757.198
1993,1,808.733
1993,2,848.448
1993,3,876.372
1993,4,893.853
1993,5,904.159
1993,6,908.274
1993,7,907.195
1993,8,902.413
1993,9,895.423
1993,10,884.691
1993,11,870.198
1993,12,854.447
1993,13,841.047
1993,14,830.571
1993,15,826.080
1993,16,829.895
1993,17,842.269
1993,18,856.220
1993,19,867.238
1993,20,906.816
1993,21,988.034
1993,22,1093.973
1993,23,1195.568
1993,24,1299.745
1993,25,1378.363
1993,26,1414.817
1993,27,1421.723
1993,28,1429.705
1993,29,1434.328
1993,30,1428.272
1993,31,1411.510
1993,32,1386.400
1993,33,1355.776
1993,34,1319.582
1993,35,1283.635
1993,36,1251.295
1993,37,1221.039
1993,38,1189.853
1993,39,1160.604
1993,40,1127.425
1993,41,1087.837
1993,42,1046.630
1993,43,1008.848
1993,44,970.810
1993,45,953.483
1993,46,966.966
1993,47,1000.815
1993,48,1031.311
1993,49,1059.379
1993,50,1091.683
1993,51,1127.916
1993,52,1162.979
1993,53,1197.880
1993,54,1239.378
1993,55,1240.347
1993,56,1179.646
1993,57,1081.033
1993,58,986.153
1993,59,882.785
1993,60,812.954
1993,61,800.543
1993,62,824.218
1993,63,837.950
1993,64,849.954
1993,65,853.913
1993,66,841.739
1993,67,817.451
1993,68,797.864
1993,69,785.255
1993,70,748.757
1993,71,676.498
1993,72,584.224
1993,73,494.585
1993,74,397.072
1993,75,339.264
1993,76,345.225
1993,77,390.616
1993,78,428.997
1993,79,472.012
1993,80,489.641
1993,81,463.018
1993,82,407.992
1993,83,359.988
1993,84,312.755
1993,85,267.654
1993,86,229.185
1993,87,195.508
1993,88,159.989
1993,89,123.594
1993,90,93.268
1993,91,71.699
1993,92,56.598
1993,93,42.667
1993,94,30.588
1993,95,21.147
1993,96,14.084
1993,97,9.046
1993,98,4.380
1993,99,1.697
1993,100,3.344
1994,0,733.156
1994,1,788.871
1994,2,833.291
1994,3,867.444
1994,4,888.566
1994,5,904.089
1994,6,913.237
1994,7,916.859
1994,8,915.814
1994,9,911.628
1994,10,905.824
1994,11,895.896
1994,12,881.348
1994,13,865.056
1994,14,851.430
1994,15,840.842
1994,16,836.558
1994,17,841.069
1994,18,854.456
1994,19,869.350
1994,20,881.270
1994,21,921.766
1994,22,1003.894
1994,23,1110.682
1994,24,1213.076
1994,25,1318.044
1994,26,1397.015
1994,27,1433.182
1994,28,1439.358
1994,29,1446.579
1994,30,1450.344
1994,31,1443.404
1994,32,1425.805
