year,age,population
1990,0,522.584
1990,1,506.085
1990,2,490.402
1990,3,475.486
1990,4,461.285
1990,5,447.753
1990,6,434.835
1990,7,422.486
1990,8,410.653
1990,9,399.289
1990,10,388.340
1990,11,377.761
1990,12,367.498
1990,13,357.505
1990,14,347.730
1990,15,338.160
1990,16,328.778
1990,17,319.357
1990,18,309.771
1990,19,300.082
1990,20,290.515
1990,21,281.075
1990,22,271.429
1990,23,261.439
1990,24,251.270
1990,25,241.246
1990,26,231.339
1990,27,221.597
1990,28,212.089
1990,29,202.819
1990,30,193.865
1990,31,185.368
1990,32,176.879
1990,33,168.234
1990,34,159.761
1990,35,151.645
1990,36,143.481
1990,37,137.502
1990,38,134.720
1990,39,133.946
1990,40,133.133
1990,41,132.879
1990,42,130.990
1990,43,126.239
1990,44,119.701
1990,45,113.675
1990,46,107.677
1990,47,102.278
1990,48,97.990
1990,49,94.438
1990,50,90.723
1990,51,87.019
1990,52,83.417
1990,53,79.877
1990,54,76.411
1990,55,73.068
1990,56,69.836
1990,57,66.660
1990,58,63.522
1990,59,60.425
1990,60,57.398
1990,61,54.434
1990,62,51.511
1990,63,48.626
1990,64,45.777
1990,65,42.981
1990,66,40.250
1990,67,37.510
1990,68,34.730
1990,69,31.949
1990,70,29.247
1990,71,26.619
1990,72,24.064
1990,73,21.592
1990,74,19.215
1990,75,16.934
1990,76,14.760
1990,77,12.724
1990,78,10.850
1990,79,9.131
1990,80,7.532
1990,81,6.048
1990,82,4.773
1990,83,3.742
1990,84,2.915
1990,85,2.191
1990,86,1.577
1990,87,1.092
1990,88,0.736
1990,89,0.485
1990,90,0.314
1990,91,0.222
1990,92,0.155
1990,93,0.084
1990,94,0.018
1990,95,0.019
1990,96,0.015
1990,97,0.011
1990,98,0.007
1990,99,0.003
1990,100,0.002
1991,0,531.931
1991,1,517.705
1991,2,502.038
1991,3,487.086
1991,4,472.804
1991,5,459.140
1991,6,446.062
1991,7,433.530
1991,8,421.446
1991,9,409.737
1991,10,398.393
1991,11,387.418
1991,12,376.767
1991,13,366.422
1991,14,356.366
1991,15,346.541
1991,16,336.892
1991,17,327.408
1991,18,317.918
1991,19,308.316
1991,20,298.646
1991,21,289.094
1991,22,279.671
1991,23,270.043
1991,24,260.072
1991,25,249.923
1991,26,239.922
1991,27,230.043
1991,28,220.327
1991,29,210.842
1991,30,201.594
1991,31,192.662
1991,32,184.188
1991,33,175.717
1991,34,167.084
1991,35,158.619
1991,36,150.509
1991,37,142.351
1991,38,136.377
1991,39,133.605
1991,40,132.841
1991,41,132.036
1991,42,131.785
1991,43,129.902
1991,44,125.159
1991,45,118.631
1991,46,112.611
1991,47,106.618
1991,48,101.211
1991,49,96.895
1991,50,93.299
1991,51,89.542
1991,52,85.795
1991,53,82.149
1991,54,78.562
1991,55,75.050
1991,56,71.660
1991,57,68.381
1991,58,65.171
1991,59,62.018
1991,60,58.919
1991,61,55.891
1991,62,52.928
1991,63,50.005
1991,64,47.116
1991,65,44.260
1991,66,41.462
1991,67,38.737
1991,68,35.997
1991,69,33.206
1991,70,30.412
1991,71,27.702
1991,72,25.072
1991,73,22.534
1991,74,20.109
1991,75,17.803
1991,76,15.594
1991,77,13.496
1991,78,11.548
1991,79,9.771
1991,80,8.156
1991,81,6.664
1991,82,5.286
1991,83,4.118
1991,84,3.191
1991,85,2.466
1991,86,1.832
1991,87,1.319
1991,88,0.915
1991,89,0.613
1991,90,0.398
1991,91,0.256
1991,92,0.182
1991,93,0.127
1991,94,0.069
1991,95,0.015
1991,96,0.016
1991,97,0.012
1991,98,0.007
1991,99,0.005
1991,100,0.002
1992,0,542.053
1992,1,526.062
1992,2,513.184
1992,3,498.339
1992,4,484.109
1992,5,470.449
1992,6,457.313
1992,7,444.681
1992,8,432.526
1992,9,420.699
1992,10,409.104
1992,11,397.772
1992,12,386.766
1992,13,376.034
1992,14,365.600
1992,15,355.475
1992,16,345.591
1992,17,335.857
1992,18,326.266
1992,19,316.699
1992,20,307.075
1992,21,297.418
1992,22,287.873
1992,23,278.460
1992,24,268.845
1992,25,258.886
1992,26,248.748
1992,27,238.766
1992,28,228.905
1992,29,219.210
1992,30,209.742
