year,age,population
1990,0,102.752
1990,1,105.875
1990,2,109.436
1990,3,113.343
1990,4,117.502
1990,5,121.820
1990,6,126.203
1990,7,130.560
1990,8,134.796
1990,9,138.818
1990,10,142.765
1990,11,146.774
1990,12,149.598
1990,13,150.685
1990,14,150.631
1990,15,150.416
1990,16,149.635
1990,17,149.752
1990,18,151.527
1990,19,154.161
1990,20,156.376
1990,21,158.755
1990,22,159.194
1990,23,156.623
1990,24,152.211
1990,25,147.980
1990,26,143.254
1990,27,140.353
1990,28,140.549
1990,29,142.616
1990,30,144.268
1990,31,146.195
1990,32,146.571
1990,33,144.324
1990,34,140.498
1990,35,136.921
1990,36,132.892
1990,37,130.565
1990,38,131.087
1990,39,133.229
1990,40,135.134
1990,41,137.795
1990,42,137.435
1990,43,132.193
1990,44,124.171
1990,45,116.848
1990,46,108.940
1990,47,105.208
1990,48,108.183
1990,49,115.359
1990,50,121.842
1990,51,128.782
1990,52,133.518
1990,53,134.292
1990,54,132.513
1990,55,131.092
1990,56,129.114
1990,57,128.181
1990,58,129.266
1990,59,131.262
1990,60,132.501
1990,61,133.814
1990,62,131.905
1990,63,125.127
1990,64,115.269
1990,65,105.741
1990,66,95.821
1990,67,87.467
1990,68,81.983
1990,69,78.446
1990,70,74.461
1990,71,70.299
1990,72,67.083
1990,73,65.061
1990,74,63.786
1990,75,62.563
1990,76,61.557
1990,77,59.784
1990,78,56.695
1990,79,52.685
1990,80,48.898
1990,81,45.332
1990,82,40.961
1990,83,35.462
1990,84,29.368
1990,85,23.426
1990,86,17.358
1990,87,12.661
1990,88,10.112
1990,89,9.014
1990,90,7.899
1990,91,7.067
1990,92,6.159
1990,93,4.855
1990,94,3.374
1990,95,2.235
1990,96,1.302
1990,97,0.624
1990,98,0.266
1990,99,0.138
1990,100,0.540
1991,0,101.469
1991,1,103.229
1991,2,106.344
1991,3,109.969
1991,4,114.000
1991,5,118.326
1991,6,122.855
1991,7,127.485
1991,8,132.068
1991,9,136.477
1991,10,140.635
1991,11,144.728
1991,12,148.889
1991,13,151.821
1991,14,152.947
1991,15,152.888
1991,16,152.659
1991,17,151.849
1991,18,151.942
1991,19,153.710
1991,20,156.345
1991,21,158.547
1991,22,160.904
1991,23,161.307
1991,24,158.679
1991,25,154.196
1991,26,149.891
1991,27,145.088
1991,28,142.110
1991,29,142.232
1991,30,144.227
1991,31,145.804
1991,32,147.650
1991,33,147.955
1991,34,145.657
1991,35,141.787
1991,36,138.164
1991,37,134.092
1991,38,131.702
1991,39,132.132
1991,40,134.163
1991,41,135.961
1991,42,138.515
1991,43,138.052
1991,44,132.719
1991,45,124.612
1991,46,117.205
1991,47,109.215
1991,48,105.411
1991,49,108.328
1991,50,115.457
1991,51,121.887
1991,52,128.760
1991,53,133.462
1991,54,134.249
1991,55,132.505
1991,56,131.106
1991,57,129.159
1991,58,128.161
1991,59,129.038
1991,60,130.731
1991,61,131.678
1991,62,132.690
1991,63,130.509
1991,64,123.515
1991,65,113.482
1991,66,103.766
1991,67,93.646
1991,68,85.138
1991,69,79.567
1991,70,75.981
1991,71,71.953
1991,72,67.774
1991,73,64.469
1991,74,62.241
1991,75,60.690
1991,76,59.232
1991,77,58.013
1991,78,56.074
1991,79,52.887
1991,80,48.845
1991,81,45.037
1991,82,41.447
1991,83,37.201
1991,84,32.036
1991,85,26.408
1991,86,20.931
1991,87,15.363
1991,88,11.064
1991,89,8.731
1991,90,7.734
1991,91,6.740
1991,92,6.018
1991,93,5.240
1991,94,4.108
1991,95,2.823
1991,96,1.389
1991,97,0.755
1991,98,0.380
1991,99,0.205
1991,100,0.567
1992,0,102.366
1992,1,102.652
1992,2,103.848
1992,3,106.961
1992,4,110.657
1992,5,114.814
1992,6,119.315
1992,7,124.060
1992,8,128.943
1992,9,133.759
1992,10,138.348
1992,11,142.645
1992,12,146.891
1992,13,151.212
1992,14,154.252
1992,15,155.421
1992,16,155.355
1992,17,155.113
1992,18,154.273
1992,19,154.342
1992,20,156.105
1992,21,158.746
1992,22,160.937
1992,23,163.276
1992,24,163.643
1992,25,160.954
1992,26,156.394
1992,27,152.009
1992,28,147.123
1992,29,144.064
1992,30,144.112
1992,31,146.038
1992,32,147.542
1992,33,149.310
1992,34,149.545
1992,35,147.190
1992,36,143.274
1992,37,139.599
1992,38,135.478
1992,39,133.022
1992,40,133.360
1992,41,135.284
1992,42,136.976
1992,43,139.427
1992,44,138.862
1992,45,133.428
1992,46,125.228
1992,47,117.726
1992,48,109.642
1992,49,105.761
1992,50,108.624
1992,51,115.716
1992,52,122.101
1992,53,128.919
1992,54,133.592
1992,55,134.392
1992,56,132.682
1992,57,131.304
1992,58,129.384
1992,59,128.321
1992,60,128.989
1992,61,130.384
1992,62,131.040
1992,63,131.753
