year,age,population
1990,0,2.906
1990,1,2.982
1990,2,3.006
1990,3,2.984
1990,4,2.923
1990,5,2.831
1990,6,2.717
1990,7,2.586
1990,8,2.443
1990,9,2.302
1990,10,2.147
1990,11,1.969
1990,12,1.863
1990,13,1.871
1990,14,1.946
1990,15,2.013
1990,16,2.093
1990,17,2.110
1990,18,2.011
1990,19,1.842
1990,20,1.691
1990,21,1.535
1990,22,1.427
1990,23,1.400
1990,24,1.427
1990,25,1.441
1990,26,1.457
1990,27,1.457
1990,28,1.426
1990,29,1.373
1990,30,1.328
1990,31,1.283
1990,32,1.237
1990,33,1.192
1990,34,1.144
1990,35,1.096
1990,36,1.046
1990,37,0.994
1990,38,0.941
1990,39,0.884
1990,40,0.833
1990,41,0.785
1990,42,0.735
1990,43,0.680
1990,44,0.623
1990,45,0.570
1990,46,0.513
1990,47,0.489
1990,48,0.515
1990,49,0.573
1990,50,0.628
1990,51,0.694
1990,52,0.723
1990,53,0.691
1990,54,0.622
1990,55,0.561
1990,56,0.494
1990,57,0.460
1990,58,0.482
1990,59,0.538
1990,60,0.586
1990,61,0.639
1990,62,0.665
1990,63,0.653
1990,64,0.614
1990,65,0.579
1990,66,0.541
1990,67,0.515
1990,68,0.513
1990,69,0.524
1990,70,0.530
1990,71,0.535
1990,72,0.523
1990,73,0.476
1990,74,0.411
1990,75,0.348
1990,76,0.282
1990,77,0.233
1990,78,0.208
1990,79,0.201
1990,80,0.191
1990,81,0.182
1990,82,0.171
1990,83,0.147
1990,84,0.118
1990,85,0.095
1990,86,0.070
1990,87,0.052
1990,88,0.040
1990,89,0.032
1990,90,0.024
1990,91,0.019
1990,92,0.013
1990,93,0.010
1990,94,0.006
1990,95,0.001
1990,96,0.003
1990,97,0.001
1990,98,0.001
1990,99,0.001
1990,100,0.000
1991,0,2.655
1991,1,2.857
1991,2,2.924
1991,3,2.942
1991,4,2.919
1991,5,2.858
1991,6,2.769
1991,7,2.659
1991,8,2.534
1991,9,2.406
1991,10,2.282
1991,11,2.143
1991,12,1.984
1991,13,1.884
1991,14,1.881
1991,15,1.931
1991,16,1.977
1991,17,2.034
1991,18,2.035
1991,19,1.928
1991,20,1.760
1991,21,1.609
1991,22,1.449
1991,23,1.346
1991,24,1.333
1991,25,1.379
1991,26,1.411
1991,27,1.447
1991,28,1.461
1991,29,1.431
1991,30,1.373
1991,31,1.324
1991,32,1.274
1991,33,1.223
1991,34,1.175
1991,35,1.126
1991,36,1.075
1991,37,1.021
1991,38,0.968
1991,39,0.912
1991,40,0.856
1991,41,0.804
1991,42,0.756
1991,43,0.706
1991,44,0.654
1991,45,0.601
1991,46,0.552
1991,47,0.499
1991,48,0.478
1991,49,0.501
1991,50,0.556
1991,51,0.607
1991,52,0.670
1991,53,0.696
1991,54,0.666
1991,55,0.600
1991,56,0.541
1991,57,0.478
1991,58,0.445
1991,59,0.468
1991,60,0.522
1991,61,0.570
1991,62,0.621
1991,63,0.646
1991,64,0.633
1991,65,0.591
1991,66,0.555
1991,67,0.514
1991,68,0.488
1991,69,0.483
1991,70,0.495
1991,71,0.499
1991,72,0.503
1991,73,0.491
