year,age,population
1990,0,7.239
1990,1,6.885
1990,2,6.649
1990,3,6.516
1990,4,6.476
1990,5,6.514
1990,6,6.618
1990,7,6.772
1990,8,6.968
1990,9,7.190
1990,10,7.430
1990,11,7.677
1990,12,7.899
1990,13,8.074
1990,14,8.201
1990,15,8.329
1990,16,8.480
1990,17,8.465
1990,18,8.207
1990,19,7.801
1990,20,7.399
1990,21,6.946
1990,22,6.672
1990,23,6.706
1990,24,6.926
1990,25,7.100
1990,26,7.289
1990,27,7.345
1990,28,7.181
1990,29,6.870
1990,30,6.591
1990,31,6.305
1990,32,6.056
1990,33,5.885
1990,34,5.761
1990,35,5.617
1990,36,5.460
1990,37,5.313
1990,38,5.172
1990,39,5.035
1990,40,4.901
1990,41,4.781
1990,42,4.622
1990,43,4.402
1990,44,4.149
1990,45,3.906
1990,46,3.661
1990,47,3.470
1990,48,3.365
1990,49,3.318
1990,50,3.267
1990,51,3.225
1990,52,3.172
1990,53,3.093
1990,54,2.999
1990,55,2.916
1990,56,2.838
1990,57,2.768
1990,58,2.712
1990,59,2.663
1990,60,2.612
1990,61,2.560
1990,62,2.507
1990,63,2.454
1990,64,2.400
1990,65,2.345
1990,66,2.293
1990,67,2.215
1990,68,2.092
1990,69,1.946
1990,70,1.802
1990,71,1.649
1990,72,1.526
1990,73,1.452
1990,74,1.409
1990,75,1.361
1990,76,1.316
1990,77,1.251
1990,78,1.146
1990,79,1.019
1990,80,0.901
1990,81,0.780
1990,82,0.679
1990,83,0.606
1990,84,0.551
1990,85,0.497
1990,86,0.448
1990,87,0.394
1990,88,0.335
1990,89,0.272
1990,90,0.215
1990,91,0.160
1990,92,0.118
1990,93,0.089
1990,94,0.070
1990,95,0.055
1990,96,0.042
1990,97,0.031
1990,98,0.023
1990,99,0.014
1990,100,0.025
1991,0,7.317
1991,1,7.229
1991,2,6.942
1991,3,6.740
1991,4,6.619
1991,5,6.571
1991,6,6.577
1991,7,6.620
1991,8,6.745
1991,9,6.969
1991,10,7.251
1991,11,7.539
1991,12,7.847
1991,13,8.060
1991,14,8.119
1991,15,8.069
1991,16,8.031
1991,17,8.001
1991,18,7.900
1991,19,7.712
1991,20,7.471
1991,21,7.220
1991,22,6.930
1991,23,6.761
1991,24,6.790
1991,25,6.939
1991,26,7.059
1991,27,7.192
1991,28,7.219
1991,29,7.078
1991,30,6.821
1991,31,6.586
1991,32,6.343
1991,33,6.120
1991,34,5.950
1991,35,5.809
1991,36,5.651
1991,37,5.484
1991,38,5.323
1991,39,5.168
1991,40,5.019
1991,41,4.871
1991,42,4.732
1991,43,4.570
1991,44,4.366
1991,45,4.142
1991,46,3.928
1991,47,3.712
1991,48,3.538
1991,49,3.425
1991,50,3.357
1991,51,3.286
1991,52,3.223
1991,53,3.157
1991,54,3.078
1991,55,2.995
1991,56,2.918
1991,57,2.848
1991,58,2.779
1991,59,2.718
1991,60,2.658
1991,61,2.598
1991,62,2.536
1991,63,2.476
1991,64,2.415
1991,65,2.355
1991,66,2.293
1991,67,2.234
1991,68,2.153
1991,69,2.038
1991,70,1.903
1991,71,1.770
1991,72,1.630
1991,73,1.513
1991,74,1.434
1991,75,1.379
1991,76,1.321
1991,77,1.266
1991,78,1.193
1991,79,1.087
1991,80,0.961
1991,81,0.845
1991,82,0.726
1991,83,0.626
1991,84,0.555
1991,85,0.502
1991,86,0.450
1991,87,0.404
1991,88,0.354
1991,89,0.299
1991,90,0.241
1991,91,0.190
1991,92,0.140
1991,93,0.102
1991,94,0.076
1991,95,0.060
1991,96,0.045
1991,97,0.032
1991,98,0.023
1991,99,0.015
1991,100,0.027
1992,0,7.138
1992,1,6.911
1992,2,7.216
1992,3,6.994
1992,4,6.828
1992,5,6.718
1992,6,6.662
1992,7,6.637
1992,8,6.619
1992,9,6.714
1992,10,6.966
1992,11,7.308
1992,12,7.643
1992,13,8.013
1992,14,8.217
1992,15,8.160
1992,16,7.932
1992,17,7.729
1992,18,7.516
1992,19,7.331
1992,20,7.211
1992,21,7.137
1992,22,7.036
1992,23,6.912
1992,24,6.844
1992,25,6.871
1992,26,6.949
1992,27,7.014
1992,28,7.090
1992,29,7.089
1992,30,6.970
1992,31,6.770
1992,32,6.577
1992,33,6.376
1992,34,6.182
1992,35,6.011
1992,36,5.853
1992,37,5.684
1992,38,5.503
1992,39,5.331
1992,40,5.161
1992,41,5.000
1992,42,4.838
1992,43,4.682
1992,44,4.514
1992,45,4.328
1992,46,4.133
1992,47,3.947
1992,48,3.762
1992,49,3.603
1992,50,3.484
1992,51,3.393
1992,52,3.304
1992,53,3.219
1992,54,3.140
1992,55,3.062
1992,56,2.989
1992,57,2.919
1992,58,2.855
1992,59,2.790
1992,60,2.722
1992,61,2.651
1992,62,2.582
1992,63,2.512
1992,64,2.442
1992,65,2.375
1992,66,2.308
1992,67,2.240
1992,68,2.174
1992,69,2.091
1992,70,1.981
1992,71,1.860
1992,72,1.737
1992,73,1.609
1992,74,1.499
1992,75,1.416
1992,76,1.349
1992,77,1.280
1992,78,1.215
1992,79,1.135
1992,80,1.026
1992,81,0.904
1992,82,0.788
1992,83,0.670
1992,84,0.574
1992,85,0.503
1992,86,0.453
1992,87,0.403
1992,88,0.360
1992,89,0.313
1992,90,0.263
1992,91,0.210
1992,92,0.164
1992,93,0.120
1992,94,0.086
1992,95,0.064
1992,96,0.049
1992,97,0.033
1992,98,0.022
1992,99,0.016
1992,100,0.030
1993,0,6.808
1993,1,6.807
1993,2,6.806
1993,3,7.201
1993,4,7.044
1993,5,6.915
1993,6,6.815
1993,7,6.752
1993,8,6.695
1993,9,6.616
1993,10,6.681
1993,11,6.962
1993,12,7.362
1993,13,7.747
1993,14,8.175
1993,15,8.373
1993,16,8.199
1993,17,7.793
1993,18,7.424
1993,19,7.030
1993,20,6.759
1993,21,6.708
1993,22,6.802
1993,23,6.851
1993,24,6.890
1993,25,6.928
1993,26,6.949
1993,27,6.957
1993,28,6.967
1993,29,6.987
1993,30,6.957
1993,31,6.861
1993,32,6.715
1993,33,6.567
1993,34,6.409
1993,35,6.241
1993,36,6.070
1993,37,5.897
1993,38,5.714
1993,39,5.522
1993,40,5.336
1993,41,5.154
1993,42,4.980
1993,43,4.804
1993,44,4.629
1993,45,4.458
1993,46,4.288
1993,47,4.124
1993,48,3.964
1993,49,3.811
1993,50,3.669
1993,51,3.541
1993,52,3.429
1993,53,3.320
1993,54,3.214
1993,55,3.123
1993,56,3.045
1993,57,2.982
1993,58,2.919
1993,59,2.862
1993,60,2.799
1993,61,2.726
1993,62,2.644
1993,63,2.566
1993,64,2.486
1993,65,2.408
1993,66,2.334
1993,67,2.261
1993,68,2.186
1993,69,2.113
1993,70,2.028
1993,71,1.925
1993,72,1.815
1993,73,1.704
1993,74,1.589
1993,75,1.485
1993,76,1.397
1993,77,1.317
1993,78,1.240
1993,79,1.163
1993,80,1.076
1993,81,0.965
1993,82,0.846
1993,83,0.731
1993,84,0.616
1993,85,0.520
1993,86,0.452
1993,87,0.403
1993,88,0.357
1993,89,0.315
1993,90,0.273
1993,91,0.226
1993,92,0.180
1993,93,0.137
1993,94,0.100
1993,95,0.070
1993,96,0.051
1993,97,0.039
1993,98,0.023
1993,99,0.015
1993,100,0.032
1994,0,6.476
1994,1,6.698
1994,2,6.852
1994,3,6.950
1994,4,7.183
1994,5,7.092
1994,6,6.998
1994,7,6.910
1994,8,6.839
1994,9,6.750
1994,10,6.610
1994,11,6.647
1994,12,6.954
1994,13,7.415
1994,14,7.846
1994,15,8.336
1994,16,8.524
1994,17,8.235
1994,18,7.652
1994,19,7.116
1994,20,6.542
1994,21,6.184
1994,22,6.204
1994,23,6.464
1994,24,6.663
1994,25,6.866
1994,26,7.008
1994,27,7.025
1994,28,6.962
1994,29,6.919
1994,30,6.880
1994,31,6.822
1994,32,6.750
1994,33,6.659
1994,34,6.554
1994,35,6.438
1994,36,6.298
1994,37,6.128
1994,38,5.938
1994,39,5.742
1994,40,5.539
1994,41,5.340
1994,42,5.144
1994,43,4.958
1994,44,4.767
1994,45,4.576
1994,46,4.399
1994,47,4.247
1994,48,4.113
1994,49,3.981
1994,50,3.858
1994,51,3.732
1994,52,3.598
1994,53,3.463
1994,54,3.335
1994,55,3.208
1994,56,3.104
1994,57,3.028
1994,58,2.973
1994,59,2.918
1994,60,2.869
1994,61,2.807
1994,62,2.728
1994,63,2.636
1994,64,2.548
1994,65,2.460
1994,66,2.374
1994,67,2.292
1994,68,2.213
1994,69,2.132
1994,70,2.051
1994,71,1.964
1994,72,1.868
1994,73,1.770
1994,74,1.670
1994,75,1.567
1994,76,1.470
1994,77,1.378
1994,78,1.286
1994,79,1.198
1994,80,1.112
1994,81,1.016
1994,82,0.905
1994,83,0.787
1994,84,0.674
1994,85,0.561
1994,86,0.466
1994,87,0.401
1994,88,0.353
1994,89,0.309
1994,90,0.271
1994,91,0.232
1994,92,0.190
1994,93,0.149
1994,94,0.112
1994,95,0.079
1994,96,0.055
1994,97,0.038
1994,98,0.028
1994,99,0.016
1994,100,0.035
1995,0,6.257
1995,1,6.628
1995,2,6.888
1995,3,7.055
1995,4,7.141
1995,5,7.164
1995,6,7.140
1995,7,7.081
1995,8,7.004
1995,9,6.925
1995,10,6.805
1995,11,6.604
1995,12,6.611
1995,13,6.946
1995,14,7.466
1995,15,7.946
1995,16,8.495
1995,17,8.675
1995,18,8.270
1995,19,7.509
1995,20,6.809
1995,21,6.053
1995,22,5.610
1995,23,5.699
1995,24,6.125
1995,25,6.475
1995,26,6.842
1995,27,7.087
1995,28,7.101
1995,29,6.966
1995,30,6.869
1995,31,6.774
1995,32,6.687
1995,33,6.637
1995,34,6.602
1995,35,6.541
1995,36,6.467
1995,37,6.355
1995,38,6.185
1995,39,5.978
1995,40,5.769
1995,41,5.556
1995,42,5.343
1995,43,5.134
1995,44,4.935
1995,45,4.731
1995,46,4.521
1995,47,4.341
1995,48,4.206
1995,49,4.101
1995,50,3.997
1995,51,3.905
1995,52,3.795
1995,53,3.654
1995,54,3.497
1995,55,3.350
1995,56,3.202
1995,57,3.085
1995,58,3.009
1995,59,2.965
1995,60,2.917
1995,61,2.874
1995,62,2.815
