year,age,population
1990,0,3.185
1990,1,3.083
1990,2,2.980
1990,3,2.881
1990,4,2.785
1990,5,2.692
1990,6,2.604
1990,7,2.525
1990,8,2.453
1990,9,2.389
1990,10,2.335
1990,11,2.289
1990,12,2.260
1990,13,2.251
1990,14,2.260
1990,15,2.272
1990,16,2.282
1990,17,2.327
1990,18,2.420
1990,19,2.543
1990,20,2.659
1990,21,2.781
1990,22,2.855
1990,23,2.853
1990,24,2.800
1990,25,2.750
1990,26,2.690
1990,27,2.631
1990,28,2.570
1990,29,2.512
1990,30,2.443
1990,31,2.368
1990,32,2.296
1990,33,2.230
1990,34,2.169
1990,35,2.105
1990,36,2.034
1990,37,1.968
1990,38,1.905
1990,39,1.842
1990,40,1.783
1990,41,1.727
1990,42,1.650
1990,43,1.536
1990,44,1.405
1990,45,1.279
1990,46,1.148
1990,47,1.054
1990,48,1.011
1990,49,1.004
1990,50,0.994
1990,51,0.988
1990,52,0.976
1990,53,0.945
1990,54,0.904
1990,55,0.868
1990,56,0.834
1990,57,0.807
1990,58,0.788
1990,59,0.776
1990,60,0.762
1990,61,0.747
1990,62,0.723
1990,63,0.682
1990,64,0.630
1990,65,0.580
1990,66,0.529
1990,67,0.480
1990,68,0.433
1990,69,0.389
1990,70,0.344
1990,71,0.302
1990,72,0.263
1990,73,0.236
1990,74,0.214
1990,75,0.192
1990,76,0.175
1990,77,0.157
1990,78,0.140
1990,79,0.125
1990,80,0.112
1990,81,0.100
1990,82,0.088
1990,83,0.075
1990,84,0.061
1990,85,0.049
1990,86,0.039
1990,87,0.028
1990,88,0.022
1990,89,0.016
1990,90,0.012
1990,91,0.008
1990,92,0.006
1990,93,0.003
1990,94,0.002
1990,95,0.001
1990,96,0.002
1990,97,0.001
1990,98,0.000
1990,99,0.000
1990,100,0.000
1991,0,3.317
1991,1,3.188
1991,2,3.084
1991,3,2.981
1991,4,2.882
1991,5,2.786
1991,6,2.695
1991,7,2.608
1991,8,2.530
1991,9,2.460
1991,10,2.398
1991,11,2.346
1991,12,2.302
1991,13,2.275
1991,14,2.269
1991,15,2.283
1991,16,2.298
1991,17,2.312
1991,18,2.359
1991,19,2.451
1991,20,2.569
1991,21,2.682
1991,22,2.800
1991,23,2.869
1991,24,2.864
1991,25,2.807
1991,26,2.754
1991,27,2.690
1991,28,2.628
1991,29,2.566
1991,30,2.508
1991,31,2.438
1991,32,2.364
1991,33,2.291
1991,34,2.226
1991,35,2.165
1991,36,2.101
1991,37,2.030
1991,38,1.964
1991,39,1.899
1991,40,1.834
1991,41,1.773
1991,42,1.715
1991,43,1.636
1991,44,1.523
1991,45,1.394
1991,46,1.271
1991,47,1.141
1991,48,1.048
1991,49,1.006
1991,50,0.999
1991,51,0.989
1991,52,0.982
1991,53,0.971
1991,54,0.939
1991,55,0.900
1991,56,0.863
1991,57,0.829
1991,58,0.801
1991,59,0.781
1991,60,0.767
1991,61,0.751
1991,62,0.734
1991,63,0.707
1991,64,0.666
1991,65,0.613
1991,66,0.562
1991,67,0.510
1991,68,0.461
1991,69,0.414
1991,70,0.372
1991,71,0.327
1991,72,0.287
1991,73,0.249
1991,74,0.222
1991,75,0.200
1991,76,0.178
1991,77,0.162
1991,78,0.144
1991,79,0.128
1991,80,0.114
1991,81,0.101
1991,82,0.090
1991,83,0.078
1991,84,0.067
1991,85,0.054
1991,86,0.043
1991,87,0.033
