year,age,population
1990,0,313.692
1990,1,312.550
1990,2,310.115
1990,3,306.504
1990,4,301.834
1990,5,296.221
1990,6,289.782
1990,7,282.631
1990,8,274.889
1990,9,266.669
1990,10,257.978
1990,11,248.819
1990,12,239.868
1990,13,231.459
1990,14,223.379
1990,15,215.147
1990,16,206.957
1990,17,198.558
1990,18,189.815
1990,19,180.948
1990,20,172.299
1990,21,163.784
1990,22,155.883
1990,23,148.866
1990,24,142.527
1990,25,136.415
1990,26,130.660
1990,27,125.086
1990,28,119.566
1990,29,114.240
1990,30,109.253
1990,31,104.442
1990,32,100.516
1990,33,97.803
1990,34,95.899
1990,35,94.057
1990,36,92.414
1990,37,90.508
1990,38,88.023
1990,39,85.150
1990,40,82.483
1990,41,80.024
1990,42,77.092
1990,43,73.448
1990,44,69.419
1990,45,65.517
1990,46,61.572
1990,47,58.358
1990,48,56.283
1990,49,54.984
1990,50,53.634
1990,51,52.352
1990,52,51.159
1990,53,49.966
1990,54,48.766
1990,55,47.653
1990,56,46.630
1990,57,45.364
1990,58,43.712
1990,59,41.795
1990,60,39.899
1990,61,37.986
1990,62,36.014
1990,63,33.997
1990,64,31.955
1990,65,29.899
1990,66,27.850
1990,67,25.810
1990,68,23.787
1990,69,21.805
1990,70,19.863
1990,71,17.944
1990,72,16.220
1990,73,14.771
1990,74,13.517
1990,75,12.316
1990,76,11.212
1990,77,10.099
1990,78,8.921
1990,79,7.734
1990,80,6.642
1990,81,5.612
1990,82,4.738
1990,83,4.071
1990,84,3.558
1990,85,3.090
1990,86,2.689
1990,87,2.310
1990,88,1.927
1990,89,1.555
1990,90,1.243
1990,91,0.974
1990,92,0.753
1990,93,0.581
1990,94,0.450
1990,95,0.347
1990,96,0.267
1990,97,0.204
1990,98,0.148
1990,99,0.103
1990,100,0.269
1991,0,322.527
1991,1,313.549
1991,2,311.282
1991,3,308.197
1991,4,304.325
1991,5,299.701
1991,6,294.438
1991,7,288.657
1991,8,281.959
1991,9,274.213
1991,10,265.700
1991,11,256.873
1991,12,247.667
1991,13,238.582
1991,14,229.915
1991,15,221.508
1991,16,212.964
1991,17,204.443
1991,18,195.846
1991,19,187.117
1991,20,178.404
1991,21,169.899
1991,22,161.546
1991,23,153.793
1991,24,146.877
1991,25,140.613
1991,26,134.599
1991,27,128.951
1991,28,123.489
1991,29,118.084
1991,30,112.874
1991,31,107.999
1991,32,103.298
1991,33,99.467
1991,34,96.826
1991,35,94.974
1991,36,93.182
1991,37,91.585
1991,38,89.716
1991,39,87.260
1991,40,84.408
1991,41,81.759
1991,42,79.309
1991,43,76.389
1991,44,72.762
1991,45,68.750
1991,46,64.863
1991,47,60.928
1991,48,57.719
1991,49,55.642
1991,50,54.334
1991,51,52.975
1991,52,51.682
1991,53,50.473
1991,54,49.262
1991,55,48.039
1991,56,46.904
1991,57,45.858
1991,58,44.570
1991,59,42.896
1991,60,40.960
1991,61,39.045
1991,62,37.116
1991,63,35.130
1991,64,33.102
1991,65,31.054
1991,66,28.993
1991,67,26.940
1991,68,24.905
1991,69,22.893
1991,70,20.929
1991,71,19.007
1991,72,17.113
1991,73,15.410
1991,74,13.973
1991,75,12.728
1991,76,11.540
1991,77,10.449
1991,78,9.360
1991,79,8.224
1991,80,7.087
1991,81,6.047
1991,82,5.070
1991,83,4.245
1991,84,3.622
1991,85,3.147
1991,86,2.718
1991,87,2.356
1991,88,2.017
1991,89,1.673
1991,90,1.341
1991,91,1.065
1991,92,0.833
1991,93,0.641
1991,94,0.492
1991,95,0.378
1991,96,0.266
1991,97,0.200
1991,98,0.144
1991,99,0.101
1991,100,0.265
1992,0,334.857
1992,1,327.850
1992,2,313.061
1992,3,309.669
1992,4,305.937
1992,5,301.809
1992,6,297.235
1992,7,292.330
1992,8,287.211
1992,9,280.976
1992,10,273.234
1992,11,264.437
1992,12,255.484
1992,13,246.240
1992,14,237.031
1992,15,228.116
1992,16,219.392
1992,17,210.544
1992,18,201.701
1992,19,192.916
1992,20,184.211
1992,21,175.662
1992,22,167.310
1992,23,159.128
1992,24,151.531
1992,25,144.725
1992,26,138.543
1992,27,132.631
1992,28,127.100
1992,29,121.754
1992,30,116.470
1992,31,111.382
1992,32,106.625
1992,33,102.040
1992,34,98.308
1992,35,95.740
1992,36,93.944
1992,37,92.204
1992,38,90.655
1992,39,88.823
1992,40,86.400
1992,41,83.574
1992,42,80.942
1992,43,78.507
1992,44,75.602
1992,45,71.994
1992,46,68.006
1992,47,64.136
1992,48,60.216
1992,49,57.016
1992,50,54.939
1992,51,53.625
1992,52,52.256
1992,53,50.954
1992,54,49.732
1992,55,48.502
1992,56,47.260
1992,57,46.103
1992,58,45.034
1992,59,43.725
1992,60,42.032
1992,61,40.080
1992,62,38.148
1992,63,36.204
1992,64,34.206
1992,65,32.170
1992,66,30.117
1992,67,28.055
1992,68,26.001
1992,69,23.971
1992,70,21.973
1992,71,20.029
1992,72,18.130
1992,73,16.263
1992,74,14.582
1992,75,13.159
1992,76,11.925
1992,77,10.751
1992,78,9.673
1992,79,8.611
1992,80,7.516
1992,81,6.433
1992,82,5.444
1992,83,4.521
1992,84,3.748
1992,85,3.168
1992,86,2.732
1992,87,2.345
1992,88,2.020
1992,89,1.721
1992,90,1.417
1992,91,1.125
1992,92,0.887
1992,93,0.689
1992,94,0.529
1992,95,0.403
1992,96,0.306
1992,97,0.196
1992,98,0.140
1992,99,0.097
1992,100,0.257
1993,0,348.889
1993,1,337.473
1993,2,327.462
1993,3,312.422
1993,4,307.911
1993,5,303.533
1993,6,299.152
1993,7,294.629
1993,8,290.084
1993,9,285.631
1993,10,279.860
1993,11,272.125
1993,12,263.050
1993,13,253.974
1993,14,244.698
1993,15,235.368
1993,16,226.210
1993,17,217.174
1993,18,208.025
1993,19,198.866
1993,20,189.897
1993,21,181.219
1993,22,172.839
1993,23,164.643
1993,24,156.637
1993,25,149.199
1993,26,142.506
1993,27,136.408
1993,28,130.604
1993,29,125.189
1993,30,119.962
1993,31,114.804
1993,32,109.838
1993,33,105.202
1993,34,100.734
1993,35,97.103
1993,36,94.609
1993,37,92.870
1993,38,91.183
1993,39,89.682
1993,40,87.890
1993,41,85.499
1993,42,82.700
1993,43,80.089
1993,44,77.668
1993,45,74.778
1993,46,71.194
1993,47,67.230
1993,48,63.378
1993,49,59.477
1993,50,56.287
1993,51,54.210
1993,52,52.890
1993,53,51.514
1993,54,50.202
1993,55,48.968
1993,56,47.719
1993,57,46.459
1993,58,45.280
1993,59,44.190
1993,60,42.861
1993,61,41.150
1993,62,39.180
1993,63,37.234
1993,64,35.275
1993,65,33.267
1993,66,31.224
1993,67,29.167
1993,68,27.104
1993,69,25.050
1993,70,23.026
1993,71,21.044
1993,72,19.121
1993,73,17.245
1993,74,15.405
1993,75,13.748
1993,76,12.339
1993,77,11.117
1993,78,9.957
1993,79,8.895
1993,80,7.858
1993,81,6.805
1993,82,5.776
1993,83,4.839
1993,84,3.972
1993,85,3.249
1993,86,2.713
1993,87,2.317
1993,88,1.969
1993,89,1.684
1993,90,1.425
1993,91,1.161
1993,92,0.908
1993,93,0.708
1993,94,0.546
1993,95,0.417
1993,96,0.313
1993,97,0.233
1993,98,0.136
1993,99,0.093
1993,100,0.246
1994,0,362.048
1994,1,347.033
1994,2,334.284
1994,3,323.519
1994,4,311.903
1994,5,306.270
1994,6,301.246
1994,7,296.610
1994,8,292.137
1994,9,287.950
1994,10,284.160
1994,11,278.849
1994,12,271.120
1994,13,261.763
1994,14,252.561
1994,15,243.250
1994,16,233.796
1994,17,224.390
1994,18,215.040
1994,19,205.588
1994,20,196.109
1994,21,186.952
1994,22,178.299
1994,23,170.082
1994,24,162.042
1994,25,154.207
1994,26,146.926
1994,27,140.343
1994,28,134.327
1994,29,128.627
1994,30,123.327
1994,31,118.218
1994,32,113.180
1994,33,108.338
1994,34,103.819
1994,35,99.468
1994,36,95.936
1994,37,93.516
1994,38,91.831
1994,39,90.198
1994,40,88.743
1994,41,86.991
1994,42,84.631
1994,43,81.859
1994,44,79.266
1994,45,76.859
1994,46,73.984
1994,47,70.420
1994,48,66.480
1994,49,62.647
1994,50,58.760
1994,51,55.579
1994,52,53.503
1994,53,52.176
1994,54,50.792
1994,55,49.470
1994,56,48.222
1994,57,46.956
1994,58,45.675
1994,59,44.476
1994,60,43.363
1994,61,42.014
1994,62,40.283
1994,63,38.297
1994,64,36.334
1994,65,34.361
1994,66,32.341
1994,67,30.290
1994,68,28.230
1994,69,26.164
1994,70,24.109
1994,71,22.092
1994,72,20.123
1994,73,18.220
1994,74,16.368
1994,75,14.554
1994,76,12.920
1994,77,11.525
1994,78,10.314
1994,79,9.168
1994,80,8.120
1994,81,7.109
1994,82,6.098
1994,83,5.121
1994,84,4.237
1994,85,3.425
1994,86,2.751
1994,87,2.260
1994,88,1.902
1994,89,1.595
1994,90,1.349
1994,91,1.129
1994,92,0.906
1994,93,0.692
1994,94,0.529
1994,95,0.404
1994,96,0.305
1994,97,0.223
1994,98,0.161
1994,99,0.091
1994,100,0.235
1995,0,372.401
1995,1,355.610
1995,2,341.441
1995,3,329.585
1995,4,319.735
1995,5,311.584
1995,6,304.826
1995,7,299.152
1995,8,294.258
1995,9,289.834
1995,10,286.000
1995,11,282.871
1995,12,278.019
1995,13,270.289
1995,14,260.644
1995,15,251.311
1995,16,241.957
1995,17,232.374
1995,18,222.716
1995,19,213.043
1995,20,203.283
1995,21,193.477
1995,22,184.128
1995,23,175.493
1995,24,167.436
1995,25,159.544
1995,26,151.876
1995,27,144.747
1995,28,138.270
1995,29,132.332
1995,30,126.733
1995,31,121.545
1995,32,116.549
1995,33,111.631
1995,34,106.907
1995,35,102.503
1995,36,98.265
1995,37,94.830
1995,38,92.483
1995,39,90.852
1995,40,89.270
1995,41,87.862
1995,42,86.148
1995,43,83.818
1995,44,81.069
1995,45,78.495
1995,46,76.099
1995,47,73.238
1995,48,69.692
1995,49,65.772
1995,50,61.955
1995,51,58.082
1995,52,54.907
1995,53,52.830
1995,54,51.495
1995,55,50.102
1995,56,48.770
1995,57,47.508
1995,58,46.223
1995,59,44.921
1995,60,43.700
1995,61,42.564
1995,62,41.193
1995,63,39.443
1995,64,37.438
1995,65,35.458
1995,66,33.469
1995,67,31.436
1995,68,29.376
1995,69,27.310
1995,70,25.241
1995,71,23.184
1995,72,21.171
1995,73,19.215
1995,74,17.332
1995,75,15.500
1995,76,13.713
1995,77,12.100
1995,78,10.719
1995,79,9.517
1995,80,8.385
1995,81,7.350
1995,82,6.364
1995,83,5.395
1995,84,4.470
1995,85,3.638
1995,86,2.879
1995,87,2.256
1995,88,1.808
1995,89,1.489
1995,90,1.222
1995,91,1.014
1995,92,0.835
1995,93,0.650
1995,94,0.477
1995,95,0.351
1995,96,0.262
1995,97,0.192
1995,98,0.134
1995,99,0.089
1995,100,0.225
1996,0,378.351
1996,1,368.015
1996,2,352.898
1996,3,339.820
1996,4,328.564
1996,5,318.912
1996,6,310.562
1996,7,303.204
1996,8,297.085
1996,9,292.176
1996,10,287.985
1996,11,284.187
1996,12,281.012
1996,13,276.022
1996,14,268.027
1996,15,258.047
1996,16,248.393
1996,17,238.703
1996,18,228.927
1996,19,219.304
1996,20,209.814
1996,21,200.229
1996,22,190.618
1996,23,181.446
1996,24,172.937
1996,25,164.975
1996,26,157.203
1996,27,149.666
1996,28,142.671
1996,29,136.334
1996,30,130.536
1996,31,125.074
1996,32,120.018
1996,33,115.141
1996,34,110.324
1996,35,105.685
1996,36,101.363
1996,37,97.200
1996,38,93.822
1996,39,91.506
1996,40,89.888
1996,41,88.313
1996,42,86.908
1996,43,85.198
1996,44,82.883
1996,45,80.152
1996,46,77.593
1996,47,75.206
1996,48,72.359
1996,49,68.835
1996,50,64.941
1996,51,61.149
1996,52,57.299
1996,53,54.135
1996,54,52.055
1996,55,50.704
1996,56,49.296
1996,57,47.947
1996,58,46.667
1996,59,45.364
1996,60,44.043
1996,61,42.804
1996,62,41.649
1996,63,40.260
1996,64,38.497
1996,65,36.480
1996,66,34.491
1996,67,32.494
1996,68,30.457
1996,69,28.399
1996,70,26.338
1996,71,24.278
1996,72,22.233
1996,73,20.233
1996,74,18.296
1996,75,16.434
1996,76,14.627
1996,77,12.869
1996,78,11.285
1996,79,9.932
1996,80,8.760
1996,81,7.658
1996,82,6.655
1996,83,5.713
1996,84,4.809
1996,85,3.962
1996,86,3.205
1996,87,2.523
1996,88,1.966
1996,89,1.562
1996,90,1.276
1996,91,1.041
1996,92,0.863
1996,93,0.711
1996,94,0.551
1996,95,0.400
1996,96,0.261
1996,97,0.193
1996,98,0.138
1996,99,0.089
1996,100,0.217
1997,0,381.672
1997,1,367.630
1997,2,364.055
1997,3,350.592
1997,4,338.588
1997,5,327.917
1997,6,318.453
1997,7,309.894
1997,8,301.929
1997,9,295.359
1997,10,290.431
1997,11,286.466
1997,12,282.700
1997,13,279.474
1997,14,274.343
1997,15,266.073
1997,16,255.747
1997,17,245.762
1997,18,235.727
1997,19,225.746
1997,20,216.145
