year,age,population
1990,0,40.604
1990,1,39.363
1990,2,38.071
1990,3,36.738
1990,4,35.379
1990,5,34.001
1990,6,32.620
1990,7,31.246
1990,8,29.891
1990,9,28.566
1990,10,27.261
1990,11,25.971
1990,12,24.808
1990,13,23.825
1990,14,22.974
1990,15,22.150
1990,16,21.379
1990,17,20.615
1990,18,19.831
1990,19,19.050
1990,20,18.321
1990,21,17.636
1990,22,16.996
1990,23,16.414
1990,24,15.879
1990,25,15.376
1990,26,14.905
1990,27,14.468
1990,28,14.063
1990,29,13.689
1990,30,13.328
1990,31,12.963
1990,32,12.677
1990,33,12.505
1990,34,12.392
1990,35,12.278
1990,36,12.202
1990,37,11.952
1990,38,11.417
1990,39,10.716
1990,40,10.040
1990,41,9.340
1990,42,8.787
1990,43,8.482
1990,44,8.339
1990,45,8.166
1990,46,8.016
1990,47,7.794
1990,48,7.432
1990,49,6.989
1990,50,6.584
1990,51,6.188
1990,52,5.862
1990,53,5.655
1990,54,5.525
1990,55,5.390
1990,56,5.266
1990,57,5.139
1990,58,4.997
1990,59,4.843
1990,60,4.699
1990,61,4.560
1990,62,4.422
1990,63,4.289
1990,64,4.154
1990,65,4.016
1990,66,3.875
1990,67,3.708
1990,68,3.490
1990,69,3.243
1990,70,2.996
1990,71,2.749
1990,72,2.503
1990,73,2.262
1990,74,2.031
1990,75,1.800
1990,76,1.573
1990,77,1.356
1990,78,1.152
1990,79,0.960
1990,80,0.779
1990,81,0.608
1990,82,0.462
1990,83,0.352
1990,84,0.267
1990,85,0.193
1990,86,0.129
1990,87,0.081
1990,88,0.049
1990,89,0.029
1990,90,0.019
1990,91,0.017
1990,92,0.016
1990,93,0.009
1990,94,0.003
1990,95,0.001
1990,96,0.001
1990,97,0.000
1990,98,0.001
1990,99,0.000
1990,100,0.000
1991,0,41.273
1991,1,39.787
1991,2,38.564
1991,3,37.321
1991,4,36.064
1991,5,34.797
1991,6,33.532
1991,7,32.285
1991,8,31.008
1991,9,29.683
1991,10,28.344
1991,11,27.036
1991,12,25.741
1991,13,24.575
1991,14,23.596
1991,15,22.753
1991,16,21.931
1991,17,21.158
1991,18,20.396
1991,19,19.615
1991,20,18.840
1991,21,18.116
1991,22,17.436
1991,23,16.801
1991,24,16.224
1991,25,15.695
1991,26,15.198
1991,27,14.732
1991,28,14.300
1991,29,13.899
1991,30,13.528
1991,31,13.169
1991,32,12.807
1991,33,12.523
1991,34,12.351
1991,35,12.239
1991,36,12.125
1991,37,12.048
1991,38,11.800
1991,39,11.268
1991,40,10.573
1991,41,9.903
1991,42,9.207
1991,43,8.658
1991,44,8.355
1991,45,8.211
1991,46,8.038
1991,47,7.887
1991,48,7.666
1991,49,7.305
1991,50,6.865
1991,51,6.461
1991,52,6.066
1991,53,5.741
1991,54,5.531
1991,55,5.399
1991,56,5.260
1991,57,5.132
1991,58,5.001
1991,59,4.853
1991,60,4.694
1991,61,4.545
1991,62,4.401
1991,63,4.256
1991,64,4.116
1991,65,3.973
1991,66,3.827
1991,67,3.679
1991,68,3.507
1991,69,3.286
1991,70,3.038
1991,71,2.791
1991,72,2.544
1991,73,2.301
1991,74,2.067
1991,75,1.844
1991,76,1.623
1991,77,1.405
1991,78,1.202
1991,79,1.014
1991,80,0.839
1991,81,0.676
1991,82,0.524
1991,83,0.394
1991,84,0.297
1991,85,0.224
1991,86,0.160
1991,87,0.108
1991,88,0.067
1991,89,0.041
1991,90,0.024
1991,91,0.016
1991,92,0.013
1991,93,0.013
1991,94,0.008
1991,95,0.002
1991,96,0.001
1991,97,0.000
1991,98,0.001
1991,99,0.000
1991,100,0.000
1992,0,42.208
1992,1,40.728
1992,2,38.977
1992,3,37.769
1992,4,36.577
1992,5,35.396
1992,6,34.220
1992,7,33.066
1992,8,31.955
1992,9,30.773
1992,10,29.478
1992,11,28.127
1992,12,26.814
1992,13,25.515
1992,14,24.345
1992,15,23.369
1992,16,22.534
1992,17,21.716
1992,18,20.941
1992,19,20.177
1992,20,19.402
1992,21,18.633
1992,22,17.914
1992,23,17.238
1992,24,16.608
1992,25,16.036
1992,26,15.513
1992,27,15.022
1992,28,14.562
1992,29,14.134
1992,30,13.737
1992,31,13.368
1992,32,13.012
1992,33,12.652
1992,34,12.371
1992,35,12.199
1992,36,12.087
1992,37,11.974
1992,38,11.896
1992,39,11.648
1992,40,11.122
1992,41,10.431
1992,42,9.766
1992,43,9.076
1992,44,8.531
1992,45,8.228
1992,46,8.084
1992,47,7.911
1992,48,7.761
1992,49,7.538
1992,50,7.179
1992,51,6.741
1992,52,6.339
1992,53,5.946
1992,54,5.620
1992,55,5.409
1992,56,5.273
1992,57,5.131
1992,58,4.998
1992,59,4.864
1992,60,4.711
1992,61,4.546
1992,62,4.392
1992,63,4.241
1992,64,4.092
1992,65,3.943
1992,66,3.792
1992,67,3.639
1992,68,3.485
1992,69,3.306
1992,70,3.083
1992,71,2.833
1992,72,2.587
1992,73,2.339
1992,74,2.100
1992,75,1.872
1992,76,1.658
1992,77,1.446
1992,78,1.239
1992,79,1.048
1992,80,0.875
1992,81,0.719
1992,82,0.574
1992,83,0.439
1992,84,0.326
1992,85,0.243
1992,86,0.181
1992,87,0.127
1992,88,0.086
1992,89,0.055
1992,90,0.032
1992,91,0.019
1992,92,0.012
1992,93,0.011
1992,94,0.010
1992,95,0.005
1992,96,0.002
1992,97,0.000
1992,98,0.001
1992,99,0.000
1992,100,0.000
1993,0,43.286
1993,1,41.524
1993,2,39.888
1993,3,38.181
1993,4,36.990
1993,5,35.847
1993,6,34.739
1993,7,33.656
1993,8,32.614
1993,9,31.635
1993,10,30.550
1993,11,29.284
1993,12,27.919
1993,13,26.603
1993,14,25.298
1993,15,24.123
1993,16,23.152
1993,17,22.324
1993,18,21.507
1993,19,20.731
1993,20,19.968
1993,21,19.196
1993,22,18.431
1993,23,17.719
1993,24,17.046
1993,25,16.421
1993,26,15.855
1993,27,15.337
1993,28,14.851
1993,29,14.396
1993,30,13.974
1993,31,13.579
1993,32,13.213
1993,33,12.860
1993,34,12.503
1993,35,12.223
1993,36,12.052
1993,37,11.940
1993,38,11.826
1993,39,11.748
1993,40,11.502
1993,41,10.979
1993,42,10.293
1993,43,9.634
1993,44,8.948
1993,45,8.406
1993,46,8.105
1993,47,7.960
1993,48,7.787
1993,49,7.636
1993,50,7.414
1993,51,7.056
1993,52,6.620
1993,53,6.220
1993,54,5.826
1993,55,5.502
1993,56,5.288
1993,57,5.150
1993,58,5.003
1993,59,4.867
1993,60,4.728
1993,61,4.571
1993,62,4.400
1993,63,4.240
1993,64,4.084
1993,65,3.929
1993,66,3.772
1993,67,3.613
1993,68,3.452
1993,69,3.292
1993,70,3.107
1993,71,2.881
1993,72,2.630
1993,73,2.383
1993,74,2.136
1993,75,1.900
1993,76,1.678
1993,77,1.472
1993,78,1.270
1993,79,1.073
1993,80,0.895
1993,81,0.737
1993,82,0.599
1993,83,0.472
1993,84,0.354
1993,85,0.259
1993,86,0.188
1993,87,0.138
1993,88,0.095
1993,89,0.064
1993,90,0.042
1993,91,0.024
1993,92,0.013
1993,93,0.010
1993,94,0.007
1993,95,0.007
1993,96,0.004
1993,97,0.001
1993,98,0.001
1993,99,0.000
1993,100,0.000
1994,0,44.325
1994,1,42.310
1994,2,40.501
1994,3,38.884
1994,4,37.417
1994,5,36.241
1994,6,35.147
1994,7,34.113
1994,8,33.120
1994,9,32.189
1994,10,31.343
1994,11,30.352
1994,12,29.116
1994,13,27.734
1994,14,26.414
1994,15,25.102
1994,16,23.922
1994,17,22.954
1994,18,22.133
1994,19,21.317
1994,20,20.538
1994,21,19.775
1994,22,19.006
1994,23,18.246
1994,24,17.539
1994,25,16.868
1994,26,16.249
1994,27,15.686
1994,28,15.173
1994,29,14.693
1994,30,14.243
1994,31,13.825
1994,32,13.434
1994,33,13.069
1994,34,12.719
1994,35,12.364
1994,36,12.085
1994,37,11.914
1994,38,11.803
1994,39,11.689
1994,40,11.611
1994,41,11.365
1994,42,10.845
1994,43,10.164
1994,44,9.509
1994,45,8.828
1994,46,8.288
1994,47,7.989
1994,48,7.843
1994,49,7.670
1994,50,7.518
1994,51,7.296
1994,52,6.938
1994,53,6.504
1994,54,6.106
1994,55,5.713
1994,56,5.388
1994,57,5.172
1994,58,5.030
1994,59,4.881
1994,60,4.740
1994,61,4.596
1994,62,4.433
1994,63,4.258
