year,age,population
1990,0,239.418
1990,1,226.488
1990,2,214.729
1990,3,204.048
1990,4,194.356
1990,5,185.563
1990,6,177.584
1990,7,170.321
1990,8,163.692
1990,9,157.604
1990,10,152.070
1990,11,147.101
1990,12,142.098
1990,13,136.768
1990,14,131.323
1990,15,126.284
1990,16,121.544
1990,17,117.070
1990,18,112.899
1990,19,109.007
1990,20,105.305
1990,21,101.763
1990,22,98.594
1990,23,95.874
1990,24,93.489
1990,25,91.235
1990,26,89.143
1990,27,87.066
1990,28,84.908
1990,29,82.721
1990,30,80.588
1990,31,78.411
1990,32,76.444
1990,33,74.793
1990,34,73.275
1990,35,71.755
1990,36,70.440
1990,37,68.250
1990,38,64.693
1990,39,60.347
1990,40,56.187
1990,41,51.905
1990,42,48.646
1990,43,47.044
1990,44,46.521
1990,45,45.873
1990,46,45.344
1990,47,44.592
1990,48,43.330
1990,49,41.754
1990,50,40.364
1990,51,39.062
1990,52,37.767
1990,53,36.487
1990,54,35.222
1990,55,33.951
1990,56,32.671
1990,57,31.440
1990,58,30.290
1990,59,29.183
1990,60,28.068
1990,61,26.956
1990,62,25.802
1990,63,24.580
1990,64,23.309
1990,65,22.045
1990,66,20.784
1990,67,19.486
1990,68,18.139
1990,69,16.764
1990,70,15.405
1990,71,14.063
1990,72,12.732
1990,73,11.410
1990,74,10.116
1990,75,8.865
1990,76,7.657
1990,77,6.531
1990,78,5.503
1990,79,4.571
1990,80,3.698
1990,81,2.882
1990,82,2.197
1990,83,1.678
1990,84,1.285
1990,85,0.951
1990,86,0.673
1990,87,0.460
1990,88,0.297
1990,89,0.179
1990,90,0.104
1990,91,0.079
1990,92,0.059
1990,93,0.035
1990,94,0.009
1990,95,0.006
1990,96,0.004
1990,97,0.003
1990,98,0.003
1990,99,0.000
1990,100,0.000
1991,0,251.902
1991,1,240.067
1991,2,227.809
1991,3,216.646
1991,4,206.481
1991,5,197.223
1991,6,188.799
1991,7,181.142
1991,8,174.053
1991,9,167.408
1991,10,161.172
1991,11,155.458
1991,12,150.261
1991,13,145.052
1991,14,139.588
1991,15,134.052
1991,16,128.891
1991,17,124.011
1991,18,119.412
1991,19,115.137
1991,20,111.159
1991,21,107.372
1991,22,103.748
1991,23,100.505
1991,24,97.720
1991,25,95.277
1991,26,92.970
1991,27,90.827
1991,28,88.702
1991,29,86.495
1991,30,84.261
1991,31,82.082
1991,32,79.862
1991,33,77.847
1991,34,76.138
1991,35,74.558
1991,36,72.977
1991,37,71.599
1991,38,69.351
1991,39,65.742
1991,40,61.349
1991,41,57.141
1991,42,52.811
1991,43,49.502
1991,44,47.847
1991,45,47.266
1991,46,46.561
1991,47,45.976
1991,48,45.172
1991,49,43.862
1991,50,42.243
1991,51,40.809
1991,52,39.462
1991,53,38.120
1991,54,36.790
1991,55,35.469
1991,56,34.144
1991,57,32.810
1991,58,31.522
1991,59,30.311
1991,60,29.141
1991,61,27.963
1991,62,26.790
1991,63,25.572
1991,64,24.286
1991,65,22.950
1991,66,21.624
1991,67,20.306
1991,68,18.954
1991,69,17.556
1991,70,16.136
1991,71,14.738
1991,72,13.361
1991,73,12.012
1991,74,10.689
1991,75,9.411
1991,76,8.180
1991,77,6.996
1991,78,5.908
1991,79,4.936
1991,80,4.070
1991,81,3.266
1991,82,2.521
1991,83,1.902
1991,84,1.437
1991,85,1.088
1991,86,0.800
1991,87,0.566
1991,88,0.388
1991,89,0.249
1991,90,0.144
1991,91,0.086
1991,92,0.064
1991,93,0.049
1991,94,0.028
1991,95,0.008
1991,96,0.005
1991,97,0.003
1991,98,0.003
1991,99,0.001
1991,100,0.000
1992,0,267.646
1992,1,253.651
1992,2,242.031
1992,3,230.383
1992,4,219.756
1992,5,210.052
1992,6,201.179
1992,7,193.081
1992,8,185.703
1992,9,178.751
1992,10,172.056
1992,11,165.635
1992,12,159.709
1992,13,154.254
1992,14,148.811
1992,15,143.182
1992,16,137.526
1992,17,132.212
1992,18,127.165
1992,19,122.416
1992,20,118.014
1992,21,113.928
1992,22,110.034
1992,23,106.307
1992,24,102.973
1992,25,100.108
1992,26,97.594
1992,27,95.220
1992,28,93.014
1992,29,90.829
1992,30,88.562
1992,31,86.267
1992,32,84.031
1992,33,81.756
1992,34,79.680
1992,35,77.906
1992,36,76.253
1992,37,74.602
1992,38,73.154
1992,39,70.836
1992,40,67.155
1992,41,62.691
1992,42,58.411
1992,43,54.009
1992,44,50.633
1992,45,48.913
1992,46,48.272
1992,47,47.508
1992,48,46.862
1992,49,46.001
1992,50,44.636
1992,51,42.966
1992,52,41.478
1992,53,40.080
1992,54,38.683
1992,55,37.294
1992,56,35.912
1992,57,34.525
1992,58,33.128
1992,59,31.777
1992,60,30.498
1992,61,29.258
1992,62,28.011
1992,63,26.769
1992,64,25.482
1992,65,24.123
1992,66,22.715
1992,67,21.320
1992,68,19.937
1992,69,18.524
1992,70,17.068
1992,71,15.593
1992,72,14.148
1992,73,12.731
1992,74,11.354
1992,75,10.025
1992,76,8.755
1992,77,7.536
1992,78,6.371
1992,79,5.315
1992,80,4.394
1992,81,3.590
1992,82,2.850
1992,83,2.173
1992,84,1.616
1992,85,1.202
1992,86,0.897
1992,87,0.652
1992,88,0.462
1992,89,0.319
1992,90,0.201
1992,91,0.111
1992,92,0.066
1992,93,0.051
1992,94,0.038
1992,95,0.023
1992,96,0.006
1992,97,0.005
1992,98,0.002
1992,99,0.002
1992,100,0.000
1993,0,284.087
1993,1,269.499
1993,2,256.216
1993,3,244.003
1993,4,232.969
1993,5,222.884
1993,6,213.647
1993,7,205.163
1993,8,197.393
1993,9,190.299
1993,10,183.484
1993,11,176.737
1993,12,170.132
1993,13,163.993
1993,14,158.277
1993,15,152.598
1993,16,146.802
1993,17,141.025
1993,18,135.558
1993,19,130.344
1993,20,125.442
1993,21,120.912
1993,22,116.716
1993,23,112.716
1993,24,108.886
1993,25,105.459
1993,26,102.513
1993,27,99.928
1993,28,97.486
1993,29,95.217
1993,30,92.971
1993,31,90.644
1993,32,88.289
1993,33,85.993
1993,34,83.663
1993,35,81.528
1993,36,79.685
1993,37,77.962
1993,38,76.239
1993,39,74.720
1993,40,72.330
1993,41,68.579
1993,42,64.041
1993,43,59.690
1993,44,55.217
1993,45,51.771
1993,46,49.988
1993,47,49.285
1993,48,48.461
1993,49,47.754
1993,50,46.835
1993,51,45.415
1993,52,43.693
1993,53,42.153
1993,54,40.701
1993,55,39.249
1993,56,37.801
1993,57,36.357
1993,58,34.908
1993,59,33.449
1993,60,32.033
1993,61,30.684
1993,62,29.375
1993,63,28.057
1993,64,26.748
1993,65,25.390
1993,66,23.958
1993,67,22.477
1993,68,21.012
1993,69,19.564
1993,70,18.089
1993,71,16.573
1993,72,15.046
1993,73,13.552
1993,74,12.094
1993,75,10.690
1993,76,9.353
1993,77,8.092
1993,78,6.887
1993,79,5.741
1993,80,4.716
1993,81,3.846
1993,82,3.105
1993,83,2.430
1993,84,1.821
1993,85,1.328
1993,86,0.965
1993,87,0.704
1993,88,0.503
1993,89,0.357
1993,90,0.248
1993,91,0.154
1993,92,0.076
1993,93,0.048
1993,94,0.037
1993,95,0.028
1993,96,0.016
1993,97,0.005
1993,98,0.003
1993,99,0.002
1993,100,0.001
1994,0,297.939
1994,1,282.958
1994,2,269.295
1994,3,256.841
1994,4,244.730
1994,5,234.372
1994,6,224.881
1994,7,216.162
1994,8,208.111
1994,9,200.710
1994,10,193.937
1994,11,187.297
1994,12,180.531
1994,13,173.775
1994,14,167.452
1994,15,161.505
1994,16,155.618
1994,17,149.684
1994,18,143.816
1994,19,138.222
1994,20,132.867
1994,21,127.837
1994,22,123.201
1994,23,118.919
1994,24,114.830
1994,25,110.916
1994,26,107.415
1994,27,104.402
1994,28,101.759
1994,29,99.261
1994,30,96.941
1994,31,94.646
1994,32,92.270
