year,age,population
1990,0,20.133
1990,1,18.396
1990,2,17.104
1990,3,16.205
1990,4,15.652
1990,5,15.392
1990,6,15.372
1990,7,15.546
1990,8,15.860
1990,9,16.264
1990,10,16.780
1990,11,17.428
1990,12,17.797
1990,13,17.695
1990,14,17.283
1990,15,16.922
1990,16,16.536
1990,17,16.191
1990,18,15.959
1990,19,15.784
1990,20,15.558
1990,21,15.308
1990,22,15.022
1990,23,14.689
1990,24,14.322
1990,25,13.946
1990,26,13.545
1990,27,13.176
1990,28,12.866
1990,29,12.581
1990,30,12.285
1990,31,11.999
1990,32,11.618
1990,33,11.084
1990,34,10.456
1990,35,9.846
1990,36,9.214
1990,37,8.689
1990,38,8.341
1990,39,8.105
1990,40,7.856
1990,41,7.627
1990,42,7.336
1990,43,6.925
1990,44,6.448
1990,45,6.004
1990,46,5.568
1990,47,5.194
1990,48,4.918
1990,49,4.711
1990,50,4.506
1990,51,4.311
1990,52,4.130
1990,53,3.953
1990,54,3.783
1990,55,3.633
1990,56,3.502
1990,57,3.363
1990,58,3.200
1990,59,3.030
1990,60,2.866
1990,61,2.692
1990,62,2.584
1990,63,2.578
1990,64,2.631
1990,65,2.672
1990,66,2.725
1990,67,2.690
1990,68,2.506
1990,69,2.229
1990,70,1.974
1990,71,1.728
1990,72,1.484
1990,73,1.255
1990,74,1.048
1990,75,0.836
1990,76,0.602
1990,77,0.484
1990,78,0.541
1990,79,0.699
1990,80,0.852
1990,81,1.032
1990,82,1.103
1990,83,0.994
1990,84,0.772
1990,85,0.578
1990,86,0.380
1990,87,0.226
1990,88,0.154
1990,89,0.132
1990,90,0.102
1990,91,0.068
1990,92,0.046
1990,93,0.026
1990,94,0.014
1990,95,0.008
1990,96,0.008
1990,97,0.008
1990,98,0.006
1990,99,0.000
1990,100,0.002
1991,0,19.357
1991,1,19.261
1991,2,17.890
1991,3,16.879
1991,4,16.184
1991,5,15.765
1991,6,15.581
1991,7,15.590
1991,8,15.734
1991,9,15.960
1991,10,16.235
1991,11,16.600
1991,12,17.066
1991,13,17.304
1991,14,17.163
1991,15,16.771
1991,16,16.417
1991,17,16.036
1991,18,15.692
1991,19,15.445
1991,20,15.247
1991,21,15.006
1991,22,14.746
1991,23,14.451
1991,24,14.112
1991,25,13.742
1991,26,13.364
1991,27,12.966
1991,28,12.598
1991,29,12.281
1991,30,11.988
1991,31,11.686
1991,32,11.392
1991,33,11.024
1991,34,10.533
1991,35,9.970
1991,36,9.420
1991,37,8.855
1991,38,8.375
1991,39,8.030
1991,40,7.775
1991,41,7.510
1991,42,7.262
1991,43,6.970
1991,44,6.587
1991,45,6.157
1991,46,5.754
1991,47,5.358
1991,48,5.016
1991,49,4.753
1991,50,4.547
1991,51,4.347
1991,52,4.156
1991,53,3.978
1991,54,3.799
1991,55,3.627
1991,56,3.472
1991,57,3.333
1991,58,3.197
1991,59,3.058
1991,60,2.921
1991,61,2.791
1991,62,2.655
1991,63,2.563
1991,64,2.533
1991,65,2.542
1991,66,2.540
1991,67,2.544
1991,68,2.494
1991,69,2.353
1991,70,2.153
1991,71,1.968
1991,72,1.797
1991,73,1.592
1991,74,1.340
1991,75,1.074
1991,76,0.717
1991,77,0.520
1991,78,0.417
1991,79,0.450
1991,80,0.565
1991,81,0.719
1991,82,0.895
1991,83,0.971
1991,84,0.875
1991,85,0.671
1991,86,0.498
1991,87,0.321
1991,88,0.186
1991,89,0.123
1991,90,0.108
1991,91,0.083
1991,92,0.055
1991,93,0.038
1991,94,0.022
1991,95,0.011
1991,96,0.007
1991,97,0.010
1991,98,0.005
1991,99,0.001
1991,100,0.002
1992,0,18.697
1992,1,17.383
1992,2,18.545
1992,3,17.525
1992,4,16.785
1992,5,16.286
1992,6,15.997
1992,7,15.886
1992,8,15.923
1992,9,16.040
1992,10,16.179
1992,11,16.330
1992,12,16.548
1992,13,16.837
1992,14,16.948
1992,15,16.766
1992,16,16.393
1992,17,16.041
1992,18,15.663
1992,19,15.318
1992,20,15.053
1992,21,14.832
1992,22,14.573
1992,23,14.301
1992,24,13.997
1992,25,13.649
1992,26,13.271
1992,27,12.890
1992,28,12.492
1992,29,12.121
1992,30,11.795
1992,31,11.492
1992,32,11.182
1992,33,10.879
1992,34,10.519
1992,35,10.069
1992,36,9.563
1992,37,9.071
1992,38,8.568
1992,39,8.127
1992,40,7.783
1992,41,7.507
1992,42,7.225
1992,43,6.957
1992,44,6.660
1992,45,6.303
1992,46,5.915
1992,47,5.550
1992,48,5.191
1992,49,4.878
1992,50,4.625
1992,51,4.421
1992,52,4.221
1992,53,4.035
1992,54,3.857
1992,55,3.677
1992,56,3.500
1992,57,3.339
1992,58,3.190
1992,59,3.058
1992,60,2.940
1992,61,2.836
1992,62,2.737
1992,63,2.639
1992,64,2.562
1992,65,2.509
1992,66,2.472
1992,67,2.429
1992,68,2.384
1992,69,2.318
1992,70,2.220
1992,71,2.095
