year,age,population
1990,0,229.068
1990,1,232.717
1990,2,233.909
1990,3,232.906
1990,4,229.975
1990,5,225.378
1990,6,219.382
1990,7,212.246
1990,8,204.237
1990,9,195.618
1990,10,186.433
1990,11,176.720
1990,12,167.857
1990,13,160.550
1990,14,154.396
1990,15,148.143
1990,16,141.865
1990,17,136.762
1990,18,133.247
1990,19,130.804
1990,20,128.485
1990,21,126.462
1990,22,124.125
1990,23,121.064
1990,24,117.534
1990,25,114.257
1990,26,111.179
1990,27,107.710
1990,28,103.654
1990,29,99.268
1990,30,94.918
1990,31,90.440
1990,32,86.589
1990,33,83.757
1990,34,81.550
1990,35,79.338
1990,36,77.424
1990,37,74.760
1990,38,70.821
1990,39,66.199
1990,40,61.871
1990,41,57.472
1990,42,54.353
1990,43,53.228
1990,44,53.383
1990,45,53.409
1990,46,53.608
1990,47,53.333
1990,48,52.126
1990,49,50.322
1990,50,48.725
1990,51,47.196
1990,52,45.595
1990,53,43.946
1990,54,42.259
1990,55,40.536
1990,56,38.786
1990,57,37.066
1990,58,35.405
1990,59,33.798
1990,60,32.195
1990,61,30.592
1990,62,29.094
1990,63,27.743
1990,64,26.495
1990,65,25.255
1990,66,24.041
1990,67,22.831
1990,68,21.605
1990,69,20.371
1990,70,19.163
1990,71,17.990
1990,72,16.766
1990,73,15.456
1990,74,14.102
1990,75,12.786
1990,76,11.502
1990,77,10.257
1990,78,9.071
1990,79,7.943
1990,80,6.861
1990,81,5.821
1990,82,4.887
1990,83,4.084
1990,84,3.390
1990,85,2.753
1990,86,2.174
1990,87,1.686
1990,88,1.296
1990,89,0.990
1990,90,0.734
1990,91,0.530
1990,92,0.371
1990,93,0.249
1990,94,0.159
1990,95,0.103
1990,96,0.079
1990,97,0.062
1990,98,0.038
1990,99,0.012
1990,100,0.032
1991,0,230.261
1991,1,228.822
1991,2,231.310
1991,3,231.857
1991,4,230.637
1991,5,227.820
1991,6,223.677
1991,7,218.478
1991,8,211.892
1991,9,203.892
1991,10,194.948
1991,11,185.605
1991,12,175.809
1991,13,166.854
1991,14,159.458
1991,15,153.217
1991,16,146.867
1991,17,140.485
1991,18,135.300
1991,19,131.740
1991,20,129.279
1991,21,126.945
1991,22,124.912
1991,23,122.575
1991,24,119.522
1991,25,116.007
1991,26,112.753
1991,27,109.702
1991,28,106.277
1991,29,102.291
1991,30,97.988
1991,31,93.724
1991,32,89.337
1991,33,85.558
1991,34,82.772
1991,35,80.591
1991,36,78.407
1991,37,76.517
1991,38,73.883
1991,39,69.983
1991,40,65.404
1991,41,61.115
1991,42,56.752
1991,43,53.659
1991,44,52.545
1991,45,52.703
1991,46,52.729
1991,47,52.927
1991,48,52.647
1991,49,51.434
1991,50,49.620
1991,51,48.011
1991,52,46.467
1991,53,44.856
1991,54,43.206
1991,55,41.523
1991,56,39.801
1991,57,38.054
1991,58,36.327
1991,59,34.647
1991,60,33.014
1991,61,31.384
1991,62,29.755
1991,63,28.230
1991,64,26.852
1991,65,25.578
1991,66,24.313
1991,67,23.078
1991,68,21.845
1991,69,20.593
1991,70,19.336
1991,71,18.108
1991,72,16.920
1991,73,15.693
1991,74,14.397
1991,75,13.071
1991,76,11.786
1991,77,10.538
1991,78,9.339
1991,79,8.213
