year,age,population
1990,0,176.065
1990,1,172.662
1990,2,169.094
1990,3,165.373
1990,4,161.516
1990,5,157.539
1990,6,153.457
1990,7,149.282
1990,8,145.035
1990,9,140.726
1990,10,136.410
1990,11,132.139
1990,12,127.741
1990,13,123.163
1990,14,118.525
1990,15,113.948
1990,16,109.324
1990,17,105.270
1990,18,102.075
1990,19,99.432
1990,20,96.779
1990,21,94.264
1990,22,91.439
1990,23,88.032
1990,24,84.279
1990,25,80.689
1990,26,77.167
1990,27,73.785
1990,28,70.638
1990,29,67.668
1990,30,64.712
1990,31,61.764
1990,32,59.024
1990,33,56.550
1990,34,54.257
1990,35,52.034
1990,36,49.953
1990,37,47.667
1990,38,45.007
1990,39,42.160
1990,40,39.468
1990,41,36.848
1990,42,34.548
1990,43,32.720
1990,44,31.244
1990,45,29.826
1990,46,28.492
1990,47,27.359
1990,48,26.440
1990,49,25.686
1990,50,25.014
1990,51,24.426
1990,52,23.856
1990,53,23.261
1990,54,22.648
1990,55,22.084
1990,56,21.566
1990,57,20.947
1990,58,20.157
1990,59,19.260
1990,60,18.378
1990,61,17.462
1990,62,16.637
1990,63,15.966
1990,64,15.382
1990,65,14.782
1990,66,14.221
1990,67,13.499
1990,68,12.524
1990,69,11.402
1990,70,10.323
1990,71,9.220
1990,72,8.334
1990,73,7.790
1990,74,7.469
1990,75,7.127
1990,76,6.824
1990,77,6.423
1990,78,5.833
1990,79,5.130
1990,80,4.488
1990,81,3.872
1990,82,3.309
1990,83,2.830
1990,84,2.414
1990,85,2.014
1990,86,1.633
1990,87,1.306
1990,88,1.046
1990,89,0.840
1990,90,0.657
1990,91,0.506
1990,92,0.379
1990,93,0.276
1990,94,0.195
1990,95,0.134
1990,96,0.091
1990,97,0.061
1990,98,0.036
1990,99,0.016
1990,100,0.040
1991,0,179.915
1991,1,175.492
1991,2,172.013
1991,3,168.412
1991,4,164.692
1991,5,160.859
1991,6,156.935
1991,7,152.934
1991,8,148.806
1991,9,144.536
1991,10,140.163
1991,11,135.796
1991,12,131.480
1991,13,127.039
1991,14,122.430
1991,15,117.768
1991,16,113.164
1991,17,108.513
1991,18,104.435
1991,19,101.221
1991,20,98.563
1991,21,95.898
1991,22,93.375
1991,23,90.545
1991,24,87.130
1991,25,83.373
1991,26,79.783
1991,27,76.263
1991,28,72.897
1991,29,69.780
1991,30,66.852
1991,31,63.939
1991,32,61.037
1991,33,58.346
1991,34,55.927
1991,35,53.691
1991,36,51.525
1991,37,49.503
1991,38,47.267
1991,39,44.641
1991,40,41.819
1991,41,39.149
1991,42,36.551
1991,43,34.269
1991,44,32.461
1991,45,31.003
1991,46,29.599
1991,47,28.279
1991,48,27.152
1991,49,26.235
1991,50,25.477
1991,51,24.802
1991,52,24.206
1991,53,23.630
1991,54,23.028
1991,55,22.410
1991,56,21.838
1991,57,21.312
1991,58,20.684
1991,59,19.888
1991,60,18.984
1991,61,18.094
1991,62,17.174
1991,63,16.340
1991,64,15.658
1991,65,15.060
1991,66,14.447
1991,67,13.872
1991,68,13.143
1991,69,12.171
1991,70,11.060
1991,71,9.990
1991,72,8.900
1991,73,8.018
1991,74,7.462
1991,75,7.121
1991,76,6.763
1991,77,6.444
1991,78,6.036
1991,79,5.450
1991,80,4.763
1991,81,4.135
1991,82,3.534
1991,83,2.992
1991,84,2.540
1991,85,2.157
1991,86,1.789
1991,87,1.443
1991,88,1.146
1991,89,0.912
1991,90,0.727
1991,91,0.565
1991,92,0.434
1991,93,0.325
1991,94,0.235
1991,95,0.164
1991,96,0.100
1991,97,0.068
1991,98,0.040
1991,99,0.020
1991,100,0.044
1992,0,183.902
1992,1,179.828
1992,2,174.807
1992,3,171.256
1992,4,167.623
1992,5,163.906
1992,6,160.101
1992,7,156.231
1992,8,152.315
1992,9,148.235
1992,10,143.945
1992,11,139.512
1992,12,135.097
1992,13,130.736
1992,14,126.257
1992,15,121.619
1992,16,116.936
1992,17,112.308
1992,18,107.633
1992,19,103.533
1992,20,100.302
1992,21,97.632
1992,22,94.955
1992,23,92.427
1992,24,89.591
1992,25,86.173
1992,26,82.413
1992,27,78.826
1992,28,75.311
1992,29,71.961
1992,30,68.877
1992,31,65.993
1992,32,63.125
1992,33,60.270
1992,34,57.631
1992,35,55.267
1992,36,53.092
1992,37,50.983
1992,38,49.022
1992,39,46.836
1992,40,44.247
1992,41,41.450
1992,42,38.806
1992,43,36.230
1992,44,33.969
1992,45,32.181
1992,46,30.742
1992,47,29.354
1992,48,28.047
1992,49,26.928
1992,50,26.013
1992,51,25.253
1992,52,24.572
1992,53,23.972
1992,54,23.388
1992,55,22.781
1992,56,22.157
1992,57,21.578
1992,58,21.044
1992,59,20.409
1992,60,19.605
1992,61,18.695
1992,62,17.800
1992,63,16.874
1992,64,16.033
1992,65,15.338
1992,66,14.729
1992,67,14.103
1992,68,13.513
1992,69,12.778
1992,70,11.811
1992,71,10.709
1992,72,9.651
1992,73,8.575
1992,74,7.695
1992,75,7.130
1992,76,6.768
1992,77,6.394
1992,78,6.060
1992,79,5.644
1992,80,5.064
1992,81,4.392
1992,82,3.779
1992,83,3.194
1992,84,2.672
1992,85,2.249
1992,86,1.898
1992,87,1.563
1992,88,1.251
1992,89,0.986
1992,90,0.777
1992,91,0.613
1992,92,0.473
1992,93,0.362
1992,94,0.270
1992,95,0.193
1992,96,0.133
1992,97,0.076
1992,98,0.047
1992,99,0.023
1992,100,0.049
1993,0,187.683
1993,1,183.228
1993,2,178.932
1993,3,174.038
1993,4,170.415
1993,5,166.753
1993,6,163.041
1993,7,159.265
1993,8,155.452
1993,9,151.622
1993,10,147.591
1993,11,143.286
1993,12,138.792
1993,13,134.332
1993,14,129.930
1993,15,125.414
1993,16,120.748
1993,17,116.047
1993,18,111.397
1993,19,106.701
1993,20,102.582
1993,21,99.335
1993,22,96.652
1993,23,93.966
1993,24,91.434
1993,25,88.595
1993,26,85.173
1993,27,81.413
1993,28,77.830
1993,29,74.322
1993,30,70.991
1993,31,67.940
1993,32,65.102
1993,33,62.281
1993,34,59.475
1993,35,56.887
1993,36,54.581
1993,37,52.465
1993,38,50.418
1993,39,48.516
1993,40,46.382
1993,41,43.832
1993,42,41.061
1993,43,38.444
1993,44,35.891
1993,45,33.653
1993,46,31.885
1993,47,30.467
1993,48,29.094
1993,49,27.801
1993,50,26.691
1993,51,25.778
1993,52,25.016
1993,53,24.332
1993,54,23.725
1993,55,23.136
1993,56,22.523
1993,57,21.893
1993,58,21.308
1993,59,20.766
1993,60,20.123
1993,61,19.313
1993,62,18.398
1993,63,17.496
1993,64,16.566
1993,65,15.717
1993,66,15.013
1993,67,14.390
1993,68,13.752
1993,69,13.148
1993,70,12.407
1993,71,11.443
1993,72,10.355
1993,73,9.307
1993,74,8.244
1993,75,7.370
1993,76,6.793
1993,77,6.413
1993,78,6.021
1993,79,5.672
1993,80,5.250
1993,81,4.676
1993,82,4.018
1993,83,3.421
1993,84,2.852
1993,85,2.352
1993,86,1.956
1993,87,1.638
1993,88,1.336
1993,89,1.059
1993,90,0.825
1993,91,0.641
1993,92,0.499
1993,93,0.381
1993,94,0.290
1993,95,0.215
1993,96,0.152
1993,97,0.101
1993,98,0.055
1993,99,0.028
1993,100,0.053
1994,0,190.797
1994,1,186.177
1994,2,181.772
1994,3,177.554
1994,4,173.217
1994,5,169.524
1994,6,165.834
1994,7,162.126
1994,8,158.382
1994,9,154.627
1994,10,150.883
1994,11,146.905
1994,12,142.583
1994,13,138.031
1994,14,133.528
1994,15,129.084
1994,16,124.533
1994,17,119.843
1994,18,115.124
1994,19,110.453
1994,20,105.738
1994,21,101.599
1994,22,98.338
1994,23,95.644
1994,24,92.950
1994,25,90.414
1994,26,87.572
1994,27,84.150
1994,28,80.389
1994,29,76.812
1994,30,73.311
1994,31,69.999
1994,32,66.984
1994,33,64.192
1994,34,61.418
1994,35,58.661
1994,36,56.127
1994,37,53.880
1994,38,51.824
1994,39,49.836
1994,40,47.996
1994,41,45.915
1994,42,43.403
1994,43,40.661
1994,44,38.071
1994,45,35.542
1994,46,33.326
1994,47,31.580
1994,48,30.182
1994,49,28.826
1994,50,27.547
1994,51,26.447
1994,52,25.536
1994,53,24.771
1994,54,24.084
1994,55,23.472
1994,56,22.876
1994,57,22.258
1994,58,21.623
1994,59,21.031
1994,60,20.482
1994,61,19.831
1994,62,19.016
1994,63,18.095
1994,64,17.187
1994,65,16.254
1994,66,15.397
1994,67,14.682
1994,68,14.048
1994,69,13.396
1994,70,12.780
1994,71,12.031
1994,72,11.074
1994,73,9.997
1994,74,8.960
1994,75,7.912
1994,76,7.042
1994,77,6.455
1994,78,6.055
1994,79,5.648
1994,80,5.283
1994,81,4.855
1994,82,4.285
1994,83,3.645
1994,84,3.062
1994,85,2.509
1994,86,2.031
1994,87,1.662
1994,88,1.378
1994,89,1.109
1994,90,0.867
1994,91,0.663
1994,92,0.506
1994,93,0.385
1994,94,0.288
1994,95,0.217
1994,96,0.161
1994,97,0.111
1994,98,0.069
1994,99,0.032
1994,100,0.059
1995,0,192.911
1995,1,188.472
1995,2,184.227
1995,3,180.146
1995,4,176.200
1995,5,172.359
1995,6,168.595
1995,7,164.878
1995,8,161.177
1995,9,157.465
1995,10,153.767
1995,11,150.112
1995,12,146.186
1995,13,141.849
1995,14,137.240
1995,15,132.694
1995,16,128.211
1995,17,123.626
1995,18,118.911
1995,19,114.176
1995,20,109.486
1995,21,104.751
1995,22,100.595
1995,23,97.321
1995,24,94.616
1995,25,91.914
1995,26,89.375
1995,27,86.531
1995,28,83.107
1995,29,79.349
1995,30,75.777
1995,31,72.285
1995,32,68.994
1995,33,66.013
1995,34,63.269
1995,35,60.542
1995,36,57.836
1995,37,55.355
1995,38,53.166
1995,39,51.172
1995,40,49.244
1995,41,47.467
1995,42,45.438
1995,43,42.965
1995,44,40.252
1995,45,37.689
1995,46,35.185
1995,47,32.992
1995,48,31.269
1995,49,29.891
1995,50,28.551
1995,51,27.288
1995,52,26.196
1995,53,25.288
1995,54,24.522
1995,55,23.831
1995,56,23.213
1995,57,22.612
1995,58,21.988
1995,59,21.349
1995,60,20.750
1995,61,20.193
1995,62,19.536
1995,63,18.714
1995,64,17.788
1995,65,16.875
1995,66,15.938
1995,67,15.075
1995,68,14.348
1995,69,13.702
1995,70,13.039
1995,71,12.408
1995,72,11.655
1995,73,10.702
1995,74,9.637
1995,75,8.612
1995,76,7.578
1995,77,6.713
1995,78,6.116
1995,79,5.696
1995,80,5.273
1995,81,4.894
1995,82,4.458
1995,83,3.895
1995,84,3.270
1995,85,2.703
1995,86,2.166
1995,87,1.710
1995,88,1.369
1995,89,1.118
1995,90,0.882
1995,91,0.674
1995,92,0.502
1995,93,0.371
1995,94,0.270
1995,95,0.196
1995,96,0.145
1995,97,0.106
1995,98,0.069
1995,99,0.038
1995,100,0.066
1996,0,194.059
1996,1,191.474
1996,2,187.380
1996,3,183.359
1996,4,179.396
1996,5,175.486
1996,6,171.597
1996,7,167.706
1996,8,163.883
