year,age,population
1990,0,149.210
1990,1,129.720
1990,2,117.022
1990,3,110.259
1990,4,108.580
1990,5,111.134
1990,6,117.067
1990,7,125.525
1990,8,135.662
1990,9,146.617
1990,10,158.922
1990,11,173.097
1990,12,181.407
1990,13,180.243
1990,14,172.886
1990,15,166.224
1990,16,158.886
1990,17,152.624
1990,18,149.001
1990,19,146.984
1990,20,144.337
1990,21,141.957
1990,22,138.523
1990,23,133.302
1990,24,127.406
1990,25,122.191
1990,26,116.812
1990,27,115.544
1990,28,120.471
1990,29,129.397
1990,30,137.766
1990,31,146.148
1990,32,153.926
1990,33,160.228
1990,34,165.158
1990,35,170.260
1990,36,175.887
1990,37,177.365
1990,38,172.733
1990,39,164.220
1990,40,155.766
1990,41,146.279
1990,42,139.505
1990,43,137.605
1990,44,138.718
1990,45,139.057
1990,46,139.675
1990,47,138.640
1990,48,134.708
1990,49,129.117
1990,50,124.128
1990,51,119.027
1990,52,115.874
1990,53,115.839
1990,54,117.777
1990,55,119.444
1990,56,121.373
1990,57,122.371
1990,58,121.647
1990,59,119.842
1990,60,117.913
1990,61,115.095
1990,62,113.902
1990,63,115.499
1990,64,118.312
1990,65,120.673
1990,66,124.199
1990,67,121.226
1990,68,108.179
1990,69,89.225
1990,70,71.158
1990,71,51.502
1990,72,39.781
1990,73,41.063
1990,74,50.416
1990,75,58.223
1990,76,66.871
1990,77,70.830
1990,78,66.524
1990,79,56.984
1990,80,48.844
1990,81,40.823
1990,82,33.739
1990,83,28.678
1990,84,24.976
1990,85,20.849
1990,86,16.612
1990,87,13.016
1990,88,10.243
1990,89,8.111
1990,90,6.224
1990,91,4.618
1990,92,3.326
1990,93,2.309
1990,94,1.534
1990,95,0.958
1990,96,0.649
1990,97,0.416
1990,98,0.223
1990,99,0.072
1990,100,0.173
1991,0,150.042
1991,1,143.829
1991,2,128.275
1991,3,118.082
1991,4,112.622
1991,5,111.276
1991,6,113.210
1991,7,117.590
1991,8,124.847
1991,9,134.788
1991,10,146.152
1991,11,158.403
1991,12,172.271
1991,13,180.366
1991,14,179.147
1991,15,171.840
1991,16,165.214
1991,17,157.910
1991,18,151.708
1991,19,148.169
1991,20,146.249
1991,21,143.707
1991,22,141.438
1991,23,138.094
1991,24,132.926
1991,25,127.052
1991,26,121.860
1991,27,116.498
