year,age,population
1990,0,4.306
1990,1,4.304
1990,2,4.300
1990,3,4.291
1990,4,4.280
1990,5,4.265
1990,6,4.251
1990,7,4.236
1990,8,4.220
1990,9,4.206
1990,10,4.192
1990,11,4.172
1990,12,4.168
1990,13,4.178
1990,14,4.200
1990,15,4.221
1990,16,4.250
1990,17,4.260
1990,18,4.248
1990,19,4.219
1990,20,4.193
1990,21,4.162
1990,22,4.157
1990,23,4.195
1990,24,4.258
1990,25,4.311
1990,26,4.363
1990,27,4.392
1990,28,4.383
1990,29,4.347
1990,30,4.309
1990,31,4.268
1990,32,4.212
1990,33,4.139
1990,34,4.056
1990,35,3.963
1990,36,3.860
1990,37,3.762
1990,38,3.674
1990,39,3.589
1990,40,3.499
1990,41,3.408
1990,42,3.299
1990,43,3.161
1990,44,3.005
1990,45,2.857
1990,46,2.713
1990,47,2.574
1990,48,2.439
1990,49,2.315
1990,50,2.197
1990,51,2.075
1990,52,2.003
1990,53,1.999
1990,54,2.040
1990,55,2.080
1990,56,2.129
1990,57,2.158
1990,58,2.150
1990,59,2.119
1990,60,2.091
1990,61,2.066
1990,62,2.031
1990,63,1.988
1990,64,1.938
1990,65,1.884
1990,66,1.826
1990,67,1.761
1990,68,1.687
1990,69,1.605
1990,70,1.522
1990,71,1.436
1990,72,1.357
1990,73,1.288
1990,74,1.226
1990,75,1.163
1990,76,1.099
1990,77,1.035
1990,78,0.967
1990,79,0.896
1990,80,0.827
1990,81,0.759
1990,82,0.694
1990,83,0.628
1990,84,0.565
1990,85,0.503
1990,86,0.444
1990,87,0.387
1990,88,0.332
1990,89,0.281
1990,90,0.231
1990,91,0.184
1990,92,0.144
1990,93,0.113
1990,94,0.088
1990,95,0.068
1990,96,0.048
1990,97,0.033
1990,98,0.022
1990,99,0.013
1990,100,0.020
1991,0,4.395
1991,1,4.314
1991,2,4.305
1991,3,4.297
1991,4,4.286
1991,5,4.276
1991,6,4.264
1991,7,4.253
1991,8,4.242
1991,9,4.227
1991,10,4.214
1991,11,4.200
1991,12,4.182
1991,13,4.178
1991,14,4.185
1991,15,4.203
1991,16,4.219
1991,17,4.244
1991,18,4.249
1991,19,4.234
1991,20,4.201
1991,21,4.171
1991,22,4.136
1991,23,4.130
1991,24,4.170
1991,25,4.236
1991,26,4.293
1991,27,4.348
1991,28,4.381
1991,29,4.374
1991,30,4.339
1991,31,4.303
1991,32,4.265
1991,33,4.209
1991,34,4.137
1991,35,4.053
1991,36,3.961
1991,37,3.857
1991,38,3.758
1991,39,3.670
1991,40,3.584
1991,41,3.494
1991,42,3.402
1991,43,3.291
1991,44,3.154
1991,45,2.997
1991,46,2.849
1991,47,2.704
1991,48,2.565
1991,49,2.431
1991,50,2.307
1991,51,2.189
1991,52,2.068
1991,53,1.995
1991,54,1.991
1991,55,2.029
1991,56,2.068
1991,57,2.114
1991,58,2.142
1991,59,2.132
1991,60,2.101
1991,61,2.072
1991,62,2.046
1991,63,2.010
1991,64,1.964
1991,65,1.911
1991,66,1.855
1991,67,1.793
1991,68,1.725
1991,69,1.650
1991,70,1.566
1991,71,1.481
1991,72,1.394
1991,73,1.313
1991,74,1.242
1991,75,1.177
1991,76,1.112
1991,77,1.046
1991,78,0.981
1991,79,0.911
1991,80,0.841
1991,81,0.771
1991,82,0.704
1991,83,0.639
1991,84,0.575
1991,85,0.513
1991,86,0.454
1991,87,0.397
