year,age,population
1990,0,24846.252
1990,1,24638.628
1990,2,24359.372
1990,3,24017.211
1990,4,23620.877
1990,5,23179.096
1990,6,22700.600
1990,7,22194.114
1990,8,21668.371
1990,9,21132.098
1990,10,20580.947
1990,11,20010.571
1990,12,19495.082
1990,13,19069.362
1990,14,18702.910
1990,15,18332.242
1990,16,17972.333
1990,17,17600.682
1990,18,17200.447
1990,19,16786.021
1990,20,16386.079
1990,21,15991.819
1990,22,15621.164
1990,23,15284.920
1990,24,14971.623
1990,25,14659.973
1990,26,14355.389
1990,27,14042.156
1990,28,13710.667
1990,29,13368.939
1990,30,13025.897
1990,31,12669.326
1990,32,12344.975
1990,33,12073.138
1990,34,11825.797
1990,35,11572.544
1990,36,11340.936
1990,37,10998.986
1990,38,10484.807
1990,39,9869.490
1990,40,9279.621
1990,41,8682.231
1990,42,8189.997
1990,43,7869.359
1990,44,7665.401
1990,45,7450.794
1990,46,7243.851
1990,47,7060.405
1990,48,6893.253
1990,49,6737.261
1990,50,6596.179
1990,51,6471.275
1990,52,6317.966
1990,53,6115.011
1990,54,5879.374
1990,55,5650.060
1990,56,5420.239
1990,57,5188.331
1990,58,4957.768
1990,59,4727.605
1990,60,4494.522
1990,61,4260.469
1990,62,4025.799
1990,63,3790.792
1990,64,3557.041
1990,65,3325.978
1990,66,3097.446
1990,67,2877.056
1990,68,2667.803
1990,69,2467.867
1990,70,2273.029
1990,71,2084.844
1990,72,1901.960
1990,73,1723.517
1990,74,1551.075
1990,75,1386.809
1990,76,1230.001
1990,77,1084.890
1990,78,953.722
1990,79,834.605
1990,80,723.394
1990,81,620.907
1990,82,526.596
1990,83,439.763
1990,84,360.858
1990,85,290.023
1990,86,226.035
1990,87,173.595
1990,88,134.670
1990,89,106.288
1990,90,83.084
1990,91,65.624
1990,92,51.028
1990,93,37.152
1990,94,24.721
1990,95,16.359
1990,96,11.249
1990,97,7.499
1990,98,4.324
1990,99,1.842
1990,100,5.718
1991,0,24891.488
1991,1,24693.887
1991,2,24476.371
1991,3,24199.971
1991,4,23870.720
1991,5,23494.646
1991,6,23080.994
1991,7,22639.004
1991,8,22158.655
1991,9,21639.561
1991,10,21097.381
1991,11,20544.066
1991,12,19972.305
1991,13,19454.842
1991,14,19027.608
1991,15,18659.811
1991,16,18286.604
1991,17,17923.191
1991,18,17548.993
1991,19,17147.978
1991,20,16733.940
1991,21,16334.088
1991,22,15939.842
1991,23,15569.483
1991,24,15233.828
1991,25,14921.307
1991,26,14610.499
1991,27,14306.830
1991,28,13994.328
1991,29,13663.240
1991,30,13321.660
1991,31,12978.778
1991,32,12622.382
1991,33,12297.862
1991,34,12025.375
1991,35,11777.074
1991,36,11522.747
1991,37,11289.790
1991,38,10946.949
1991,39,10432.690
1991,40,9817.695
1991,41,9227.825
1991,42,8630.285
1991,43,8137.160
1991,44,7814.537
1991,45,7607.772
1991,46,7390.230
1991,47,7180.148
1991,48,6993.106
1991,49,6821.867
1991,50,6661.412
1991,51,6515.696
1991,52,6386.020
1991,53,6227.783
1991,54,6019.776
1991,55,5779.044
1991,56,5544.724
1991,57,5310.067
1991,58,5073.413
1991,59,4838.207
1991,60,4603.642
1991,61,4366.510
1991,62,4128.718
1991,63,3891.211
1991,64,3654.570
1991,65,3420.157
1991,66,3188.889
1991,67,2960.726
1991,68,2741.206
1991,69,2533.236
1991,70,2335.080
1991,71,2142.603
1991,72,1957.254
1991,73,1778.120
1991,74,1604.538
1991,75,1437.809
1991,76,1279.581
1991,77,1129.154
1991,78,990.745
1991,79,866.510
1991,80,754.498
1991,81,650.487
1991,82,555.166
1991,83,468.163
1991,84,388.812
1991,85,317.340
1991,86,253.694
1991,87,196.756
1991,88,150.283
1991,89,115.774
1991,90,90.661
1991,91,70.490
1991,92,55.690
1991,93,43.349
1991,94,31.411
1991,95,20.605
1991,96,11.949
1991,97,8.125
1991,98,4.786
1991,99,2.096
1991,100,5.940
1992,0,24981.407
1992,1,24828.134
1992,2,24541.624
1992,3,24314.219
1992,4,24040.675
1992,5,23724.325
1992,6,23368.508
1992,7,22982.972
1992,8,22577.477
1992,9,22123.255
1992,10,21610.806
1992,11,21062.720
1992,12,20507.241
1992,13,19934.094
1992,14,19414.658
1992,15,18985.908
1992,16,18616.766
1992,17,18241.020
1992,18,17874.103
1992,19,17497.357
1992,20,17095.563
1992,21,16681.913
1992,22,16282.148
1992,23,15887.915
1992,24,15517.853
1992,25,15182.784
1992,26,14871.041
1992,27,14561.072
1992,28,14258.316
1992,29,13946.545
1992,30,13615.859
1992,31,13274.425
1992,32,12931.702
1992,33,12575.480
1992,34,12250.789
1992,35,11977.654
1992,36,11728.392
1992,37,11472.991
1992,38,11238.684
1992,39,10894.953
1992,40,10380.611
1992,41,9765.939
1992,42,9176.066
1992,43,8578.374
1992,44,8084.358
1992,45,7759.747
1992,46,7550.180
1992,47,7329.702
1992,48,7116.479
1992,49,6925.844
1992,50,6750.520
1992,51,6585.601
1992,52,6435.252
1992,53,6300.808
1992,54,6137.642
1992,55,5924.584
1992,56,5678.758
1992,57,5439.436
1992,58,5199.940
1992,59,4958.544
1992,60,4718.695
1992,61,4479.729
1992,62,4238.550
1992,63,3997.017
1992,64,3756.674
1992,65,3518.400
1992,66,3283.326
1992,67,3051.851
1992,68,2824.057
1992,69,2605.406
1992,70,2398.718
1992,71,2202.339
1992,72,2012.225
1992,73,1829.710
1992,74,1654.322
1992,75,1485.602
1992,76,1324.584
1992,77,1172.388
1992,78,1028.342
1992,79,896.635
1992,80,779.327
1992,81,674.418
1992,82,577.605
1992,83,489.448
1992,84,409.750
1992,85,337.878
1992,86,273.837
1992,87,217.378
1992,88,167.486
1992,89,126.979
1992,90,96.885
1992,91,75.039
1992,92,57.900
1992,93,45.760
1992,94,35.672
1992,95,25.672
