year,age,population
1990,0,4342.111
1990,1,4414.471
1990,2,4467.981
1990,3,4504.071
1990,4,4524.171
1990,5,4529.710
1990,6,4522.117
1990,7,4502.823
1990,8,4473.258
1990,9,4434.852
1990,10,4387.568
1990,11,4331.372
1990,12,4275.019
1990,13,4222.869
1990,14,4171.956
1990,15,4114.806
1990,16,4052.735
1990,17,3987.740
1990,18,3920.016
1990,19,3849.184
1990,20,3775.339
1990,21,3699.259
1990,22,3616.848
1990,23,3526.328
1990,24,3429.992
1990,25,3331.091
1990,26,3228.006
1990,27,3127.944
1990,28,3034.506
1990,29,2943.944
1990,30,2851.239
1990,31,2760.196
1990,32,2655.777
1990,33,2530.892
1990,34,2394.158
1990,35,2262.448
1990,36,2133.798
1990,37,2013.189
1990,38,1905.267
1990,39,1808.893
1990,40,1715.624
1990,41,1623.963
1990,42,1555.398
1990,43,1518.766
1990,44,1503.753
1990,45,1490.478
1990,46,1482.060
1990,47,1469.981
1990,48,1447.704
1990,49,1418.393
1990,50,1392.433
1990,51,1368.587
1990,52,1337.126
1990,53,1294.512
1990,54,1244.265
1990,55,1193.506
1990,56,1140.881
1990,57,1088.868
1990,58,1039.444
1990,59,991.383
1990,60,942.127
1990,61,892.946
1990,62,841.645
1990,63,787.119
1990,64,731.164
1990,65,676.479
1990,66,622.288
1990,67,572.803
1990,68,530.325
1990,69,492.991
1990,70,456.368
1990,71,421.005
1990,72,387.960
1990,73,357.209
1990,74,328.301
1990,75,301.080
1990,76,275.903
1990,77,249.820
1990,78,221.447
1990,79,192.160
1990,80,164.808
1990,81,138.947
1990,82,115.130
1990,83,93.967
1990,84,75.221
1990,85,57.768
1990,86,41.489
1990,87,28.599
1990,88,19.977
1990,89,14.560
1990,90,10.258
1990,91,7.315
1990,92,5.116
1990,93,3.085
1990,94,1.364
1990,95,0.646
1990,96,0.758
1990,97,0.845
1990,98,0.544
1990,99,0.048
1990,100,0.167
1991,0,4339.888
1991,1,4347.958
1991,2,4409.590
1991,3,4457.139
1991,4,4491.169
1991,5,4512.243
1991,6,4521.855
1991,7,4521.509
1991,8,4507.085
1991,9,4477.274
1991,10,4435.448
1991,11,4386.317
1991,12,4328.978
1991,13,4271.327
1991,14,4217.797
1991,15,4165.485
1991,16,4106.867
1991,17,4043.218
1991,18,3977.153
1991,19,3909.151
1991,20,3838.575
1991,21,3764.955
1991,22,3689.167
1991,23,3607.037
1991,24,3516.691
1991,25,3420.462
1991,26,3321.752
1991,27,3218.919
1991,28,3119.030
1991,29,3025.631
1991,30,2935.022
1991,31,2842.275
1991,32,2751.174
1991,33,2646.718
1991,34,2521.850
1991,35,2385.155
1991,36,2253.443
1991,37,2124.742
1991,38,2004.087
1991,39,1896.131
1991,40,1799.710
1991,41,1706.344
1991,42,1614.558
1991,43,1545.714
1991,44,1508.587
1991,45,1492.922
1991,46,1478.973
1991,47,1469.849
1991,48,1457.000
1991,49,1433.890
1991,50,1403.708
1991,51,1376.857
1991,52,1352.096
1991,53,1319.778
1991,54,1276.404
1991,55,1225.472
1991,56,1174.038
1991,57,1120.774
1991,58,1068.127
1991,59,1018.052
1991,60,969.354
1991,61,919.512
1991,62,869.779
1991,63,818.056
1991,64,763.289
1991,65,707.224
1991,66,652.473
1991,67,598.285
1991,68,548.795
1991,69,506.254
1991,70,468.848
1991,71,432.253
1991,72,397.016
1991,73,364.137
1991,74,333.575
1991,75,304.923
1991,76,278.068
1991,77,253.349
1991,78,227.963
1991,79,200.602
1991,80,172.576
1991,81,146.524
1991,82,121.954
1991,83,99.767
1991,84,80.692
1991,85,64.290
1991,86,49.130
1991,87,35.183
1991,88,24.179
1991,89,16.737
1991,90,12.003
1991,91,8.434
1991,92,6.033
1991,93,4.228
1991,94,2.558
1991,95,1.137
1991,96,0.777
1991,97,0.882
1991,98,0.566
1991,99,0.042
1991,100,0.173
1992,0,4366.510
1992,1,4399.034
1992,2,4351.023
1992,3,4401.882
1992,4,4443.436
1992,5,4475.383
1992,6,4497.416
1992,7,4511.101
1992,8,4518.005
1992,9,4508.462
1992,10,4478.426
1992,11,4433.203
1992,12,4382.256
1992,13,4323.810
1992,14,4264.897
1992,15,4210.021
1992,16,4156.342
1992,17,4096.293
1992,18,4031.106
1992,19,3964.012
1992,20,3895.777
1992,21,3825.500
1992,22,3752.154
1992,23,3676.705
1992,24,3594.912
1992,25,3504.796
1992,26,3408.734
1992,27,3310.280
1992,28,3207.766
1992,29,3108.112
1992,30,3014.813
1992,31,2924.214
1992,32,2831.487
1992,33,2740.384
1992,34,2635.959
1992,35,2511.186
1992,36,2374.621
1992,37,2242.988
1992,38,2114.321
1992,39,1993.694
1992,40,1885.777
1992,41,1789.368
1992,42,1695.966
1992,43,1604.114
1992,44,1535.033
1992,45,1497.435
1992,46,1481.129
1992,47,1466.514
1992,48,1456.689
1992,49,1443.077
1992,50,1419.151
1992,51,1388.115
1992,52,1360.390
1992,53,1334.729
1992,54,1301.573
1992,55,1257.469
1992,56,1205.881
1992,57,1153.807
1992,58,1099.938
1992,59,1046.690
1992,60,995.994
1992,61,946.691
1992,62,896.295
1992,63,846.040
1992,64,793.929
1992,65,738.956
1992,66,682.818
1992,67,628.033
1992,68,573.885
1992,69,524.421
1992,70,481.845
1992,71,444.390
1992,72,407.845
1992,73,372.759
1992,74,340.066
1992,75,309.714
1992,76,281.335
1992,77,254.864
1992,78,230.619
1992,79,205.947
1992,80,179.615
1992,81,152.870
1992,82,128.135
1992,83,104.874
1992,84,84.331
1992,85,67.357
1992,86,53.310
1992,87,40.457
1992,88,28.849
1992,89,19.741
1992,90,13.485
1992,91,9.438
1992,92,6.602
1992,93,4.747
1992,94,3.337
1992,95,2.030
1992,96,0.907
1992,97,0.910
1992,98,0.579
1992,99,0.032
1992,100,0.179
1993,0,4406.496
1993,1,4403.429
1993,2,4406.392
1993,3,4352.589
1993,4,4392.661
1993,5,4428.209
1993,6,4458.062
1993,7,4481.047
1993,8,4498.796
1993,9,4512.946
1993,10,4508.287
1993,11,4478.034
1993,12,4429.433
1993,13,4376.687
1993,14,4317.155
1993,15,4257.002
1993,16,4200.797
1993,17,4145.772
1993,18,4084.313
1993,19,4017.610
1993,20,3949.511
1993,21,3881.065
1993,22,3811.114
1993,23,3738.065
1993,24,3662.983
1993,25,3581.551
1993,26,3491.699
1993,27,3395.838
1993,28,3297.672
1993,29,3195.512
1993,30,3096.129
1993,31,3002.961
1993,32,2912.404
1993,33,2819.726
1993,34,2728.654
1993,35,2624.296
1993,36,2499.663
1993,37,2363.272
1993,38,2231.766
1993,39,2103.175
1993,40,1982.619
1993,41,1874.776
1993,42,1778.414
1993,43,1685.008
1993,44,1593.121
1993,45,1523.829
1993,46,1485.772
1993,47,1468.829
1993,48,1453.556
1993,49,1443.033
1993,50,1428.662
1993,51,1403.928
1993,52,1372.050
1993,53,1343.460
1993,54,1316.909
1993,55,1282.928
1993,56,1238.108
1993,57,1185.883
1993,58,1133.185
1993,59,1078.732
1993,60,1024.900
1993,61,973.603
1993,62,923.709
1993,63,872.778
1993,64,822.019
1993,65,769.538
1993,66,714.378
1993,67,658.185
1993,68,603.388
1993,69,549.296
1993,70,499.875
1993,71,457.279
1993,72,419.789
1993,73,383.307
1993,74,348.382
1993,75,315.888
1993,76,285.755
1993,77,257.659
1993,78,231.581
1993,79,207.819
1993,80,183.867
1993,81,158.576
1993,82,133.119
1993,83,109.708
1993,84,87.764
1993,85,68.871
1993,86,54.005
1993,87,42.317
1993,88,31.772
1993,89,22.508
1993,90,15.298
1993,91,10.229
1993,92,6.870
1993,93,4.769
1993,94,3.459
1993,95,2.446
1993,96,1.500
1993,97,0.679
1993,98,0.586
1993,99,0.016
1993,100,0.186
1994,0,4437.171
1994,1,4403.564
1994,2,4384.819
1994,3,4378.481
1994,4,4354.577
1994,5,4383.872
1994,6,4413.422
1994,7,4441.184
1994,8,4465.124
1994,9,4486.937
1994,10,4508.328
1994,11,4508.550
1994,12,4478.079
1994,13,4426.096
1994,14,4371.547
1994,15,4310.924
1994,16,4249.524
1994,17,4191.988
1994,18,4135.612
1994,19,4072.736
1994,20,4004.514
1994,21,3935.403
1994,22,3866.741
1994,23,3797.106
1994,24,3724.349
1994,25,3649.625
1994,26,3568.548
1994,27,3478.949
1994,28,3383.280
1994,29,3285.393
1994,30,3183.576
1994,31,3084.454
1994,32,2991.408
1994,33,2900.884
1994,34,2808.248
1994,35,2717.198
1994,36,2612.895
1994,37,2488.390
1994,38,2352.159
1994,39,2220.767
1994,40,2092.241
1994,41,1971.745
1994,42,1863.964
1994,43,1767.640
1994,44,1674.220
1994,45,1582.290
1994,46,1512.779
1994,47,1474.262
1994,48,1456.680
1994,49,1440.746
1994,50,1429.525
1994,51,1414.397
1994,52,1388.850
1994,53,1356.129
1994,54,1326.672
1994,55,1299.228
1994,56,1264.419
1994,57,1218.879
1994,58,1166.013
1994,59,1112.687
1994,60,1057.643
1994,61,1003.223
1994,62,951.320
1994,63,900.833
1994,64,849.361
1994,65,798.093
1994,66,745.237
1994,67,689.885
1994,68,633.631
1994,69,578.817
1994,70,524.776
1994,71,475.393
1994,72,432.773
1994,73,395.245
1994,74,358.820
1994,75,324.055
1994,76,291.755
1994,77,261.839
1994,78,234.024
1994,79,208.335
1994,80,185.052
1994,81,161.821
1994,82,137.564
1994,83,113.393
1994,84,91.305
1994,85,70.672
