year,age,population
1990,0,1806.199
1990,1,1858.552
1990,2,1889.031
1990,3,1899.727
1990,4,1892.734
1990,5,1870.139
1990,6,1834.035
1990,7,1786.516
1990,8,1729.671
1990,9,1665.593
1990,10,1594.667
1990,11,1517.280
1990,12,1444.050
1990,13,1380.478
1990,14,1323.538
1990,15,1264.830
1990,16,1206.179
1990,17,1150.999
1990,18,1100.208
1990,19,1053.397
1990,20,1008.696
1990,21,965.821
1990,22,928.502
1990,23,898.204
1990,24,873.034
1990,25,849.504
1990,26,828.133
1990,27,807.050
1990,28,784.917
1990,29,762.379
1990,30,740.777
1990,31,719.070
1990,32,699.187
1990,33,681.970
1990,34,665.782
1990,35,649.361
1990,36,634.414
1990,37,611.498
1990,38,576.256
1990,39,533.615
1990,40,492.914
1990,41,452.346
1990,42,417.090
1990,43,390.684
1990,44,370.853
1990,45,351.050
1990,46,331.723
1990,47,317.918
1990,48,311.219
1990,49,309.373
1990,50,308.418
1990,51,309.000
1990,52,308.196
1990,53,304.107
1990,54,297.792
1990,55,292.422
1990,56,287.614
1990,57,280.980
1990,58,271.728
1990,59,260.732
1990,60,249.403
1990,61,237.152
1990,62,226.181
1990,63,217.635
1990,64,210.322
1990,65,202.393
1990,66,194.801
1990,67,184.038
1990,68,168.360
1990,69,149.737
1990,70,131.810
1990,71,113.756
1990,72,98.130
1990,73,86.541
1990,74,77.786
1990,75,68.962
1990,76,60.536
1990,77,53.074
1990,78,46.533
1990,79,40.785
1990,80,35.754
1990,81,31.458
1990,82,27.333
1990,83,23.093
1990,84,18.934
1990,85,15.312
1990,86,12.098
1990,87,9.377
1990,88,7.223
1990,89,5.533
1990,90,4.097
1990,91,2.916
1990,92,2.002
1990,93,1.325
1990,94,0.851
1990,95,0.560
1990,96,0.443
1990,97,0.356
1990,98,0.221
1990,99,0.069
1990,100,0.154
1991,0,1716.633
1991,1,1796.502
1991,2,1847.517
1991,3,1878.373
1991,4,1890.710
1991,5,1886.168
1991,6,1867.103
1991,7,1835.875
1991,8,1790.531
