year,age,population
1990,0,639.104
1990,1,618.212
1990,2,599.394
1990,3,582.417
1990,4,567.049
1990,5,553.059
1990,6,540.217
1990,7,528.291
1990,8,517.050
1990,9,506.262
1990,10,495.953
1990,11,486.148
1990,12,475.334
1990,13,462.775
1990,14,449.002
1990,15,435.126
1990,16,420.719
1990,17,406.519
1990,18,392.937
1990,19,379.415
1990,20,365.646
1990,21,352.476
1990,22,335.808
1990,23,313.826
1990,24,288.831
1990,25,264.978
1990,26,241.465
1990,27,221.262
1990,28,206.277
1990,29,195.279
1990,30,184.174
1990,31,172.617
1990,32,166.250
1990,33,167.098
1990,34,172.195
1990,35,177.553
1990,36,185.170
1990,37,185.239
1990,38,172.859
1990,39,152.963
1990,40,134.800
1990,41,115.829
1990,42,102.965
1990,43,100.367
1990,44,104.297
1990,45,106.984
1990,46,110.123
1990,47,111.224
1990,48,108.310
1990,49,102.895
1990,50,98.456
1990,51,94.278
1990,52,90.447
1990,53,87.345
1990,54,84.693
1990,55,81.861
1990,56,79.014
1990,57,76.029
1990,58,72.797
1990,59,69.446
1990,60,66.201
1990,61,62.997
1990,62,60.071
1990,63,57.561
1990,64,55.348
1990,65,53.128
1990,66,50.901
1990,67,48.862
1990,68,47.056
1990,69,45.370
1990,70,43.692
1990,71,42.098
1990,72,40.097
1990,73,37.452
1990,74,34.398
1990,75,31.426
1990,76,28.463
1990,77,25.584
1990,78,22.889
1990,79,20.346
1990,80,17.832
1990,81,15.384
1990,82,13.105
1990,83,11.041
1990,84,9.173
1990,85,7.428
1990,86,5.801
1990,87,4.430
1990,88,3.367
1990,89,2.551
1990,90,1.849
1990,91,1.266
1990,92,0.823
1990,93,0.508
1990,94,0.299
1990,95,0.180
1990,96,0.146
1990,97,0.123
1990,98,0.071
1990,99,0.003
1990,100,0.026
1991,0,649.208
1991,1,634.117
1991,2,614.476
1991,3,596.548
1991,4,580.150
1991,5,565.104
1991,6,551.182
1991,7,538.161
1991,8,526.082
1991,9,514.850
1991,10,504.155
1991,11,493.812
1991,12,483.907
1991,13,472.942
1991,14,460.174
1991,15,446.162
1991,16,432.048
1991,17,417.395
1991,18,403.025
1991,19,389.390
1991,20,375.904
1991,21,362.171
1991,22,349.044
1991,23,332.474
1991,24,310.654
1991,25,285.864
1991,26,262.226
1991,27,238.942
1991,28,218.945
1991,29,204.119
1991,30,193.247
1991,31,182.277
1991,32,170.859
1991,33,164.594
1991,34,165.495
1991,35,170.611
1991,36,175.984
1991,37,183.598
1991,38,183.700
1991,39,171.417
1991,40,151.652
1991,41,133.608
1991,42,114.753
1991,43,101.963
1991,44,99.369
1991,45,103.258
1991,46,105.906
1991,47,108.999
1991,48,110.066
1991,49,107.144
1991,50,101.738
1991,51,97.296
1991,52,93.112
1991,53,89.267
1991,54,86.138
1991,55,83.452
1991,56,80.584
1991,57,77.697
1991,58,74.673
1991,59,71.405
1991,60,68.017
1991,61,64.731
1991,62,61.485
1991,63,58.509
1991,64,55.944
1991,65,53.669
1991,66,51.389
1991,67,49.107
1991,68,47.000
1991,69,45.099
1991,70,43.310
1991,71,41.538
1991,72,39.856
1991,73,37.796
1991,74,35.131
1991,75,32.089
1991,76,29.139
1991,77,26.208
1991,78,23.390
1991,79,20.788
1991,80,18.365
1991,81,15.980
1991,82,13.668
1991,83,11.542
1991,84,9.652
1991,85,7.969
1991,86,6.409
1991,87,4.969
1991,88,3.765
1991,89,2.836
1991,90,2.130
1991,91,1.534
1991,92,1.053
1991,93,0.688
1991,94,0.421
1991,95,0.240
1991,96,0.160
1991,97,0.130
1991,98,0.074
1991,99,0.006
1991,100,0.030
1992,0,659.188
1992,1,640.345
1992,2,630.592
1992,3,612.153
1992,4,595.070
1992,5,579.213
1992,6,564.452
1992,7,550.566
1992,8,537.338
1992,9,525.078
1992,10,513.832
1992,11,503.203
1992,12,492.804
1992,13,482.775
1992,14,471.634
1992,15,458.630
1992,16,444.349
1992,17,429.965
1992,18,415.035
1992,19,400.460
1992,20,386.744
1992,21,373.261
1992,22,359.532
1992,23,346.420
1992,24,329.909
1992,25,308.201
1992,26,283.560
1992,27,260.081
1992,28,236.973
1992,29,217.134
1992,30,202.433
1992,31,191.664
1992,32,180.801
1992,33,169.496
1992,34,163.320
1992,35,164.274
1992,36,169.421
1992,37,174.821
1992,38,182.450
1992,39,182.585
1992,40,170.370
1992,41,150.693
1992,42,132.723
1992,43,113.943
1992,44,101.198
1992,45,98.601
1992,46,102.457
1992,47,105.074
1992,48,108.127
1992,49,109.162
1992,50,106.227
1992,51,100.816
1992,52,96.362
1992,53,92.163
1992,54,88.294
1992,55,85.132
1992,56,82.405
1992,57,79.495
1992,58,76.562
1992,59,73.493
1992,60,70.180
1992,61,66.748
1992,62,63.415
1992,63,60.117
1992,64,57.087
1992,65,54.460
1992,66,52.118
1992,67,49.773
1992,68,47.433
1992,69,45.250
1992,70,43.254
1992,71,41.356
1992,72,39.486
1992,73,37.714
1992,74,35.588
1992,75,32.899
1992,76,29.862
1992,77,26.927
1992,78,24.021
1992,79,21.258
1992,80,18.742
1992,81,16.434
1992,82,14.170
1992,83,11.989
1992,84,10.011
1992,85,8.290
1992,86,6.788
1992,87,5.409
1992,88,4.151
1992,89,3.111
1992,90,2.314
1992,91,1.716
1992,92,1.224
1992,93,0.842
1992,94,0.555
1992,95,0.336
1992,96,0.182
1992,97,0.136
1992,98,0.077
1992,99,0.005
1992,100,0.034
1993,0,670.285
1993,1,653.319
1993,2,637.111
1993,3,628.057
1993,4,610.791
1993,5,594.528
1993,6,579.185
1993,7,564.687
1993,8,550.815
1993,9,537.359
1993,10,524.900
1993,11,513.620
1993,12,503.042
1993,13,492.569
1993,14,482.402
1993,15,471.068
1993,16,457.808
1993,17,443.233
1993,18,428.557
1993,19,413.325
1993,20,398.525
1993,21,384.705
1993,22,371.205
1993,23,357.459
1993,24,344.339
1993,25,327.863
1993,26,306.231
1993,27,281.701
1993,28,258.344
1993,29,235.376
1993,30,215.665
1993,31,201.065
1993,32,190.381
1993,33,179.609
1993,34,168.400
1993,35,162.302
1993,36,163.311
1993,37,168.498
1993,38,173.933
1993,39,181.588
1993,40,181.757
1993,41,169.591
1993,42,149.969
1993,43,132.048
1993,44,113.311
1993,45,100.591
1993,46,97.988
1993,47,101.818
1993,48,104.406
1993,49,107.425
1993,50,108.430
1993,51,105.476
1993,52,100.053
1993,53,95.580
1993,54,91.358
1993,55,87.459
1993,56,84.260
1993,57,81.488
1993,58,78.530
1993,59,75.547
1993,60,72.428
1993,61,69.065
1993,62,65.584
1993,63,62.198
1993,64,58.845
1993,65,55.754
1993,66,53.061
1993,67,50.649
1993,68,48.236
1993,69,45.833
1993,70,43.572
1993,71,41.475
1993,72,39.466
1993,73,37.497
1993,74,35.630
1993,75,33.437
1993,76,30.718
1993,77,27.682
1993,78,24.757
1993,79,21.872
1993,80,19.158
1993,81,16.726
1993,82,14.527
1993,83,12.384
1993,84,10.329
1993,85,8.496
1993,86,6.941
1993,87,5.616
1993,88,4.417
1993,89,3.340
1993,90,2.462
1993,91,1.795
1993,92,1.304
1993,93,0.916
1993,94,0.634
1993,95,0.422
1993,96,0.251
1993,97,0.124
1993,98,0.077
1993,99,0.005
1993,100,0.038
1994,0,684.227
1994,1,668.408
1994,2,652.889
1994,3,637.672
1994,4,625.899
1994,5,609.797
1994,6,594.345
1994,7,579.510
1994,8,565.265
1994,9,551.399
1994,10,537.707
1994,11,525.041
1994,12,513.719
1994,13,503.186
1994,14,492.634
1994,15,482.321
1994,16,470.787
1994,17,457.260
1994,18,442.385
1994,19,427.407
1994,20,411.863
1994,21,396.827
1994,22,382.895
1994,23,369.370
1994,24,355.597
1994,25,342.464
1994,26,326.010
1994,27,304.444
1994,28,280.009
1994,29,256.760
1994,30,233.917
1994,31,214.324
1994,32,199.817
1994,33,189.211
1994,34,178.523
1994,35,167.403
1994,36,161.381
1994,37,162.446
1994,38,167.674
1994,39,173.148
1994,40,180.835
1994,41,181.037
1994,42,168.914
1994,43,149.335
1994,44,131.450
1994,45,112.748
1994,46,100.043
1994,47,97.433
1994,48,101.239
1994,49,103.801
1994,50,106.786
1994,51,107.762
1994,52,104.788
1994,53,99.349
1994,54,94.853
1994,55,90.608
1994,56,86.676
1994,57,83.437
1994,58,80.618
1994,59,77.610
1994,60,74.577
1994,61,71.404
1994,62,67.990
1994,63,64.457
1994,64,61.016
1994,65,57.605
1994,66,54.452
1994,67,51.691
1994,68,49.208
1994,69,46.724
1994,70,44.256
1994,71,41.917
1994,72,39.717
1994,73,37.598
1994,74,35.525
1994,75,33.563
1994,76,31.302
1994,77,28.550
1994,78,25.514
1994,79,22.597
1994,80,19.731
1994,81,17.065
1994,82,14.716
1994,83,12.625
1994,84,10.600
1994,85,8.671
1994,86,6.983
1994,87,5.592
1994,88,4.447
1994,89,3.425
1994,90,2.530
1994,91,1.812
1994,92,1.276
1994,93,0.892
1994,94,0.608
1994,95,0.425
1994,96,0.289
1994,97,0.167
1994,98,0.066
1994,99,0.005
1994,100,0.044
1995,0,702.150
1995,1,686.034
1995,2,670.113
1995,3,654.413
1995,4,638.949
1995,5,623.740
1995,6,608.806
1995,7,594.168
1995,8,579.841
1995,9,565.851
1995,10,551.991
1995,11,538.061
1995,12,525.186
1995,13,513.825
1995,14,503.335
1995,15,492.703
1995,16,482.245
1995,17,470.510
1995,18,456.716
1995,19,441.538
1995,20,426.257
1995,21,410.401
1995,22,395.129
1995,23,381.083
1995,24,367.533
1995,25,353.734
1995,26,340.586
1995,27,324.156
1995,28,302.654
1995,29,278.314
1995,30,255.174
1995,31,232.458
1995,32,212.980
1995,33,198.567
1995,34,188.039
1995,35,177.437
1995,36,166.405
1995,37,160.458
1995,38,161.579
1995,39,166.850
1995,40,172.363
1995,41,180.081
1995,42,180.318
1995,43,168.235
1995,44,148.701
1995,45,130.853
1995,46,112.183
1995,47,99.495
1995,48,96.878
1995,49,100.659
1995,50,103.194
1995,51,106.147
1995,52,107.094
1995,53,104.098
1995,54,98.644
1995,55,94.126
1995,56,89.855
1995,57,85.892
1995,58,82.612
1995,59,79.746
1995,60,76.690
1995,61,73.603
1995,62,70.378
1995,63,66.913
1995,64,63.327
1995,65,59.831
1995,66,56.362
1995,67,53.147
1995,68,50.318
1995,69,47.763
1995,70,45.208
1995,71,42.676
1995,72,40.257
1995,73,37.955
1995,74,35.723
1995,75,33.548
1995,76,31.491
1995,77,29.160
1995,78,26.377
1995,79,23.339
1995,80,20.431
1995,81,17.584
1995,82,14.967
1995,83,12.699
1995,84,10.718
1995,85,8.812
1995,86,7.008
1995,87,5.465
1995,88,4.241
1995,89,3.273
1995,90,2.431
1995,91,1.716
1995,92,1.161
1995,93,0.756
1995,94,0.479
1995,95,0.299
1995,96,0.215
1995,97,0.156
1995,98,0.082
1995,99,0.008
1995,100,0.049
1996,0,724.564
1996,1,701.898
1996,2,685.294
1996,3,669.141
1996,4,653.416
1996,5,638.084
1996,6,623.169
1996,7,608.699
1996,8,594.374
1996,9,580.053
1996,10,565.875
1996,11,551.908
1996,12,537.907
1996,13,524.938
1996,14,513.465
1996,15,502.855
1996,16,492.096
1996,17,481.502
1996,18,469.671
1996,19,455.842
1996,20,440.672
1996,21,425.398
1996,22,409.555
1996,23,394.304
1996,24,380.286
1996,25,366.767
1996,26,353.007
1996,27,339.903
1996,28,323.520
1996,29,302.064
1996,30,277.771
1996,31,254.675
1996,32,232.003
1996,33,212.562
1996,34,198.176
1996,35,187.666
1996,36,177.080
1996,37,166.064
1996,38,160.115
1996,39,161.207
1996,40,166.432
1996,41,171.899
1996,42,179.561
1996,43,179.763
1996,44,167.682
1996,45,148.170
1996,46,130.337
1996,47,111.682
1996,48,98.987
1996,49,96.323
1996,50,100.035
1996,51,102.501
1996,52,105.382
1996,53,106.261
1996,54,103.214
1996,55,97.713
1996,56,93.146
1996,57,88.822
1996,58,84.802
1996,59,81.455
1996,60,78.516
1996,61,75.388
1996,62,72.229
1996,63,68.934
1996,64,65.406
1996,65,61.761
1996,66,58.207
1996,67,54.681
1996,68,51.405
1996,69,48.506
1996,70,45.875
1996,71,43.255
1996,72,40.668
1996,73,38.190
1996,74,35.818
1996,75,33.517
1996,76,31.288
1996,77,29.183
1996,78,26.853
1996,79,24.139
1996,80,21.221
1996,81,18.438
1996,82,15.725
1996,83,13.260
1996,84,11.165
1996,85,9.367
1996,86,7.649
1996,87,6.037
1996,88,4.670
1996,89,3.593
1996,90,2.750
1996,91,2.030
1996,92,1.434
1996,93,0.972
1996,94,0.628
1996,95,0.389
1996,96,0.232
1996,97,0.165
1996,98,0.087
1996,99,0.010
1996,100,0.054
1997,0,751.099
1997,1,728.949
1997,2,701.485
1997,3,684.396
1997,4,668.016
1997,5,652.268
1997,6,637.071
1997,7,622.457
1997,8,608.452
1997,9,594.443
1997,10,580.133
1997,11,565.768
1997,12,551.700
1997,13,537.628
1997,14,524.570
1997,15,512.989
1997,16,502.258
1997,17,491.376
1997,18,480.649
