year,age,population
1990,0,48.022
1990,1,52.467
1990,2,56.364
1990,3,59.748
1990,4,62.645
1990,5,65.088
1990,6,67.110
1990,7,68.737
1990,8,70.005
1990,9,70.942
1990,10,71.485
1990,11,71.571
1990,12,71.699
1990,13,72.092
1990,14,72.494
1990,15,72.633
1990,16,72.792
1990,17,71.725
1990,18,68.853
1990,19,64.882
1990,20,60.995
1990,21,56.835
1990,22,53.808
1990,23,52.692
1990,24,52.805
1990,25,52.741
1990,26,52.860
1990,27,52.520
1990,28,51.287
1990,29,49.560
1990,30,48.086
1990,31,46.610
1990,32,45.815
1990,33,46.091
1990,34,47.026
1990,35,47.812
1990,36,48.585
1990,37,49.062
1990,38,49.010
1990,39,48.546
1990,40,48.121
1990,41,47.750
1990,42,46.784
1990,43,44.980
1990,44,42.651
1990,45,40.327
1990,46,37.863
1990,47,35.860
1990,48,34.663
1990,49,33.985
1990,50,33.218
1990,51,32.491
1990,52,31.686
1990,53,30.675
1990,54,29.561
1990,55,28.581
1990,56,27.707
1990,57,26.867
1990,58,26.054
1990,59,25.304
1990,60,24.585
1990,61,23.813
1990,62,23.469
1990,63,23.758
1990,64,24.417
1990,65,25.019
1990,66,25.694
1990,67,25.898
1990,68,25.333
1990,69,24.260
1990,70,23.221
1990,71,22.078
1990,72,21.067
1990,73,20.346
1990,74,19.771
1990,75,19.080
1990,76,18.386
1990,77,17.370
1990,78,15.872
1990,79,14.077
1990,80,12.335
1990,81,10.567
1990,82,9.017
1990,83,7.836
1990,84,6.912
1990,85,5.984
1990,86,5.101
1990,87,4.288
1990,88,3.532
1990,89,2.837
1990,90,2.226
1990,91,1.679
1990,92,1.231
1990,93,0.899
1990,94,0.655
1990,95,0.460
1990,96,0.313
1990,97,0.203
1990,98,0.117
1990,99,0.056
1990,100,0.116
1991,0,46.703
1991,1,48.844
1991,2,52.825
1991,3,56.429
1991,4,59.661
1991,5,62.519
1991,6,65.030
1991,7,67.227
1991,8,68.968
1991,9,70.202
1991,10,71.012
1991,11,71.482
1991,12,71.533
1991,13,71.562
1991,14,71.761
1991,15,71.913
1991,16,71.822
1991,17,71.755
1991,18,70.515
1991,19,67.556
1991,20,63.565
1991,21,59.660
1991,22,55.481
1991,23,52.517
1991,24,51.578
1991,25,51.936
1991,26,52.119
1991,27,52.501
1991,28,52.369
1991,29,51.253
1991,30,49.577
1991,31,48.163
1991,32,46.746
1991,33,45.981
1991,34,46.250
1991,35,47.155
1991,36,47.901
1991,37,48.623
1991,38,49.057
1991,39,48.983
1991,40,48.511
1991,41,48.070
1991,42,47.680
1991,43,46.699
1991,44,44.885
1991,45,42.550
1991,46,40.220
1991,47,37.751
1991,48,35.741
1991,49,34.532
1991,50,33.841
1991,51,33.061
1991,52,32.322
1991,53,31.502
1991,54,30.477
1991,55,29.348
1991,56,28.351
1991,57,27.456
1991,58,26.599
1991,59,25.779
1991,60,25.024
1991,61,24.298
1991,62,23.518
1991,63,23.145
1991,64,23.376
1991,65,23.956
1991,66,24.481
1991,67,25.076
1991,68,25.204
1991,69,24.569
1991,70,23.432
1991,71,22.331
1991,72,21.132
1991,73,20.066
1991,74,19.287
1991,75,18.661
1991,76,17.926
1991,77,17.192
1991,78,16.165
1991,79,14.698
1991,80,12.966
1991,81,11.288
1991,82,9.594
1991,83,8.116
1991,84,7.000
1991,85,6.137
1991,86,5.276
1991,87,4.462
1991,88,3.721
1991,89,3.042
1991,90,2.426
1991,91,1.891
1991,92,1.419
1991,93,1.034
1991,94,0.749
1991,95,0.539
