year,age,population
1990,0,101.199
1990,1,98.240
1990,2,95.983
1990,3,94.336
1990,4,93.216
1990,5,92.532
1990,6,92.199
1990,7,92.128
1990,8,92.234
1990,9,92.426
1990,10,92.692
1990,11,93.014
1990,12,92.947
1990,13,92.251
1990,14,91.061
1990,15,89.882
1990,16,88.782
1990,17,86.893
1990,18,83.885
1990,19,80.214
1990,20,76.610
1990,21,72.867
1990,22,69.937
1990,23,68.354
1990,24,67.675
1990,25,66.944
1990,26,66.370
1990,27,65.765
1990,28,64.940
1990,29,64.047
1990,30,63.275
1990,31,62.420
1990,32,62.192
1990,33,62.907
1990,34,64.123
1990,35,65.136
1990,36,66.149
1990,37,66.221
1990,38,64.826
1990,39,62.407
1990,40,60.070
1990,41,57.775
1990,42,54.898
1990,43,51.290
1990,44,47.302
1990,45,43.334
1990,46,39.188
1990,47,36.155
1990,48,34.876
1990,49,34.766
1990,50,34.585
1990,51,34.569
1990,52,34.445
1990,53,33.947
1990,54,33.235
1990,55,32.731
1990,56,32.336
1990,57,31.964
1990,58,31.607
1990,59,31.255
1990,60,30.869
1990,61,30.425
1990,62,30.011
1990,63,29.653
1990,64,29.289
1990,65,28.895
1990,66,28.578
1990,67,27.768
1990,68,26.223
1990,69,24.239
1990,70,22.285
1990,71,20.168
1990,72,18.683
1990,73,18.246
1990,74,18.437
1990,75,18.482
1990,76,18.599
1990,77,18.184
1990,78,16.881
1990,79,15.015
1990,80,13.281
1990,81,11.555
1990,82,9.945
1990,83,8.575
1990,84,7.384
1990,85,6.176
1990,86,4.975
1990,87,3.952
1990,88,3.165
1990,89,2.557
1990,90,2.009
1990,91,1.534
1990,92,1.143
1990,93,0.823
1990,94,0.571
1990,95,0.384
1990,96,0.252
1990,97,0.157
1990,98,0.082
1990,99,0.028
1990,100,0.076
1991,0,102.154
1991,1,101.041
1991,2,98.597
1991,3,96.746
1991,4,95.406
1991,5,94.501
1991,6,93.954
1991,7,93.689
1991,8,93.621
1991,9,93.670
1991,10,93.761
1991,11,93.894
1991,12,94.054
1991,13,93.833
1991,14,93.011
1991,15,91.721
1991,16,90.431
1991,17,89.209
1991,18,87.263
1991,19,84.292
1991,20,80.721
1991,21,77.215
1991,22,73.578
1991,23,70.739
1991,24,69.210
1991,25,68.560
1991,26,67.869
1991,27,67.337
1991,28,66.760
1991,29,65.942
1991,30,65.040
1991,31,64.259
1991,32,63.392
1991,33,63.156
1991,34,63.870
1991,35,65.091
1991,36,66.102
1991,37,67.100
1991,38,67.178
1991,39,65.826
1991,40,63.465
1991,41,61.181
1991,42,58.950
1991,43,56.063
1991,44,52.334
1991,45,48.155
1991,46,44.010
1991,47,39.683
1991,48,36.518
1991,49,35.197
1991,50,35.104
1991,51,34.930
1991,52,34.914
1991,53,34.824
1991,54,34.400
1991,55,33.785
1991,56,33.379
1991,57,33.091
1991,58,32.775
1991,59,32.385
1991,60,31.943
1991,61,31.474
1991,62,30.937
1991,63,30.447
1991,64,30.049
1991,65,29.665
1991,66,29.237
1991,67,28.877
1991,68,28.020
1991,69,26.422
1991,70,24.377
1991,71,22.364
1991,72,20.195
1991,73,18.621
1991,74,18.041
1991,75,18.058
1991,76,17.940
1991,77,17.893
1991,78,17.358
1991,79,16.003
1991,80,14.132
1991,81,12.396
1991,82,10.676
1991,83,9.090
1991,84,7.770
1991,85,6.644
1991,86,5.509
1991,87,4.391
1991,88,3.448
1991,89,2.730
1991,90,2.187
1991,91,1.705
1991,92,1.297
1991,93,0.963
1991,94,0.687
1991,95,0.468
1991,96,0.270
1991,97,0.173
1991,98,0.093
1991,99,0.033
1991,100,0.081
1992,0,103.180
1992,1,100.546
1992,2,101.407
1992,3,99.466
1992,4,98.008
1992,5,96.967
1992,6,96.273
1992,7,95.859
1992,8,95.659
1992,9,95.594
1992,10,95.587
1992,11,95.579
