year,age,population
1990,0,567.272
1990,1,561.688
1990,2,559.867
1990,3,561.630
1990,4,566.795
1990,5,575.183
1990,6,586.612
1990,7,600.903
1990,8,617.875
1990,9,637.348
1990,10,658.213
1990,11,679.362
1990,12,705.254
1990,13,737.573
1990,14,773.347
1990,15,808.170
1990,16,843.208
1990,17,871.552
1990,18,889.403
1990,19,899.687
1990,20,908.939
1990,21,915.619
1990,22,920.767
1990,23,925.477
1990,24,928.698
1990,25,929.413
1990,26,929.188
1990,27,921.624
1990,28,903.880
1990,29,879.739
1990,30,855.979
1990,31,831.421
1990,32,810.799
1990,33,797.218
1990,34,788.854
1990,35,779.073
1990,36,767.154
1990,37,763.497
1990,38,771.955
1990,39,787.117
1990,40,802.118
1990,41,821.221
1990,42,824.018
1990,43,800.582
1990,44,761.540
1990,45,725.394
1990,46,685.988
1990,47,663.882
1990,48,670.385
1990,49,694.544
1990,50,715.029
1990,51,737.233
1990,52,748.629
1990,53,741.192
1990,54,721.836
1990,55,705.132
1990,56,687.736
1990,57,674.084
1990,58,667.710
1990,59,665.659
1990,60,660.200
1990,61,651.387
1990,62,644.579
1990,63,641.197
1990,64,638.217
1990,65,634.789
1990,66,635.375
1990,67,615.514
1990,68,564.323
1990,69,495.017
1990,70,428.198
1990,71,355.552
1990,72,311.183
1990,73,312.801
1990,74,342.775
1990,75,367.222
1990,76,394.671
1990,77,403.909
1990,78,381.529
1990,79,338.906
1990,80,301.215
1990,81,263.883
1990,82,228.800
1990,83,199.583
1990,84,174.463
1990,85,147.943
1990,86,120.986
1990,87,97.552
1990,88,79.024
1990,89,64.293
1990,90,50.653
1990,91,38.405
1990,92,28.378
1990,93,20.647
1990,94,14.821
1990,95,10.324
1990,96,7.118
1990,97,4.708
1990,98,2.742
1990,99,1.238
1990,100,2.192
1991,0,561.729
1991,1,564.355
1991,2,560.567
1991,3,559.957
1991,4,562.437
1991,5,567.917
1991,6,576.220
1991,7,587.158
1991,8,601.111
1991,9,618.172
1991,10,637.975
1991,11,658.964
1991,12,680.131
1991,13,705.966
1991,14,738.123
1991,15,773.671
1991,16,808.265
1991,17,843.051
1991,18,871.205
1991,19,888.966
1991,20,899.231
1991,21,908.446
1991,22,915.093
1991,23,920.209
1991,24,924.886
1991,25,928.073
1991,26,928.761
1991,27,928.517
1991,28,920.923
1991,29,903.126
1991,30,878.920
1991,31,855.095
1991,32,830.467
1991,33,809.786
1991,34,796.173
1991,35,787.787
1991,36,777.978
1991,37,766.032
1991,38,762.318
1991,39,770.669
1991,40,785.695
1991,41,800.553
1991,42,819.493
1991,43,822.162
1991,44,798.663
1991,45,759.589
1991,46,723.387
1991,47,683.916
1991,48,661.676
1991,49,667.936
1991,50,691.780
1991,51,711.933
1991,52,733.768
1991,53,744.811
1991,54,737.067
1991,55,717.416
1991,56,700.376
1991,57,682.617
1991,58,668.518
1991,59,661.581
1991,60,658.879
1991,61,652.792
1991,62,643.399
1991,63,635.866
1991,64,631.540
1991,65,627.518
1991,66,623.032
1991,67,622.400
1991,68,601.919
1991,69,551.052
1991,70,482.604
1991,71,416.560
1991,72,344.896
1991,73,300.534
1991,74,300.586
1991,75,328.050
1991,76,350.248
1991,77,375.451
1991,78,383.107
1991,79,360.252
1991,80,317.939
1991,81,280.525
1991,82,243.545
1991,83,209.181
1991,84,181.097
1991,85,157.415
1991,86,132.445
1991,87,107.148
1991,88,85.401
1991,89,68.512
1991,90,55.366
1991,91,43.330
1991,92,32.697
1991,93,24.044
1991,94,17.324
1991,95,12.237
1991,96,7.586
1991,97,5.066
1991,98,2.978
1991,99,1.363
1991,100,2.363
1992,0,556.655
1992,1,554.224
1992,2,561.651
1992,3,559.657
1992,4,560.258
1992,5,563.456
1992,6,569.255
1992,7,577.472
1992,8,587.926
1992,9,601.546
1992,10,618.701
1992,11,638.843
1992,12,659.962
1992,13,681.157
1992,14,706.944
1992,15,738.952
1992,16,774.286
1992,17,808.663
1992,18,843.213
1992,19,871.185
1992,20,888.866
1992,21,899.112
1992,22,908.297
1992,23,914.910
1992,24,919.998
1992,25,924.644
1992,26,927.798
1992,27,928.460
1992,28,928.196
1992,29,920.567
1992,30,902.713
1992,31,878.433
1992,32,854.534
1992,33,829.824
1992,34,809.079
1992,35,795.427
1992,36,787.018
1992,37,777.175
1992,38,765.200
1992,39,761.426
1992,40,769.674
1992,41,784.569
1992,42,799.290
1992,43,818.073
1992,44,820.616
1992,45,797.045
1992,46,757.925
1992,47,721.652
1992,48,682.103
1992,49,659.718
1992,50,665.741
1992,51,689.276
1992,52,709.105
1992,53,730.580
1992,54,741.274
1992,55,733.220
1992,56,713.268
1992,57,695.882
1992,58,677.756
1992,59,663.205
1992,60,655.701
1992,61,652.350
1992,62,645.629
1992,63,635.655
1992,64,627.394
1992,65,622.121
1992,66,617.057
1992,67,611.511
1992,68,609.660
1992,69,588.552
1992,70,537.989
1992,71,470.374
1992,72,405.080
1992,73,334.372
1992,74,289.999
1992,75,288.485
1992,76,313.450
1992,77,333.408
1992,78,356.374
1992,79,362.450
1992,80,339.113
1992,81,297.093
1992,82,259.943
1992,83,223.300
1992,84,189.643
1992,85,162.682
1992,86,140.427
1992,87,116.998
1992,88,93.352
1992,89,73.283
1992,90,58.027
1992,91,46.461
1992,92,36.022
1992,93,27.003
1992,94,19.720
1992,95,14.006
1992,96,9.659
1992,97,5.466
1992,98,3.252
1992,99,1.504
1992,100,2.540
1993,0,551.569
1993,1,550.960
1993,2,551.207
1993,3,559.009
1993,4,558.810
1993,5,560.621
1993,6,564.538
1993,7,570.655
1993,8,578.791
1993,9,588.760
1993,10,602.047
1993,11,619.301
1993,12,639.783
1993,13,661.034
1993,14,682.259
1993,15,708.001
1993,16,739.864
1993,17,774.988
1993,18,809.153
1993,19,843.468
1993,20,871.263
1993,21,888.864
1993,22,899.095
1993,23,908.248
1993,24,914.831
1993,25,919.890
1993,26,924.505
1993,27,927.625
1993,28,928.262
1993,29,927.979
1993,30,920.316
1993,31,902.400
1993,32,878.043
1993,33,854.068
1993,34,829.275
1993,35,808.462
1993,36,794.770
1993,37,786.335
1993,38,776.461
1993,39,764.453
1993,40,760.617
1993,41,768.766
1993,42,783.529
1993,43,798.116
1993,44,816.744
1993,45,819.162
1993,46,795.515
1993,47,756.345
1993,48,719.998
1993,49,680.365
1993,50,657.834
1993,51,663.617
1993,52,686.849
1993,53,706.355
