year,age,population
1990,0,56.790
1990,1,58.094
1990,2,58.869
1990,3,59.182
1990,4,59.093
1990,5,58.672
1990,6,57.985
1990,7,57.091
1990,8,56.061
1990,9,54.959
1990,10,53.713
1990,11,52.264
1990,12,51.332
1990,13,51.252
1990,14,51.692
1990,15,51.989
1990,16,52.285
1990,17,52.282
1990,18,51.770
1990,19,50.899
1990,20,50.044
1990,21,49.154
1990,22,48.091
1990,23,46.839
1990,24,45.436
1990,25,43.960
1990,26,42.401
1990,27,40.826
1990,28,39.275
1990,29,37.730
1990,30,36.157
1990,31,34.593
1990,32,32.961
1990,33,31.233
1990,34,29.468
1990,35,27.753
1990,36,26.064
1990,37,24.558
1990,38,23.328
1990,39,22.298
1990,40,21.309
1990,41,20.380
1990,42,19.549
1990,43,18.817
1990,44,18.168
1990,45,17.588
1990,46,17.079
1990,47,16.582
1990,48,16.062
1990,49,15.545
1990,50,15.079
1990,51,14.649
1990,52,14.279
1990,53,13.985
1990,54,13.744
1990,55,13.519
1990,56,13.307
1990,57,13.119
1990,58,12.952
1990,59,12.796
1990,60,12.643
1990,61,12.502
1990,62,12.313
1990,63,12.058
1990,64,11.754
1990,65,11.448
1990,66,11.134
1990,67,10.806
1990,68,10.470
1990,69,10.123
1990,70,9.766
1990,71,9.395
1990,72,9.022
1990,73,8.655
1990,74,8.287
1990,75,7.906
1990,76,7.507
1990,77,7.114
1990,78,6.739
1990,79,6.363
1990,80,5.988
1990,81,5.639
1990,82,5.187
1990,83,4.576
1990,84,3.880
1990,85,3.209
1990,86,2.524
1990,87,1.996
1990,88,1.719
1990,89,1.604
1990,90,1.484
1990,91,1.402
1990,92,1.268
1990,93,1.018
1990,94,0.710
1990,95,0.197
1990,96,0.156
1990,97,0.117
1990,98,0.078
1990,99,0.039
1990,100,0.059
1991,0,56.223
1991,1,56.705
1991,2,57.701
1991,3,58.279
1991,4,58.490
1991,5,58.372
1991,6,57.995
1991,7,57.422
1991,8,56.609
1991,9,55.574
1991,10,54.412
1991,11,53.141
1991,12,51.690
1991,13,50.733
1991,14,50.596
1991,15,50.959
1991,16,51.186
1991,17,51.412
1991,18,51.354
1991,19,50.803
1991,20,49.911
1991,21,49.036
1991,22,48.128
1991,23,47.074
1991,24,45.870
1991,25,44.541
1991,26,43.140
1991,27,41.662
1991,28,40.161
1991,29,38.670
1991,30,37.176
1991,31,35.657
1991,32,34.149
1991,33,32.563
1991,34,30.866
1991,35,29.124
1991,36,27.429
1991,37,25.756
1991,38,24.269
1991,39,23.063
1991,40,22.060
1991,41,21.092
1991,42,20.183
1991,43,19.369
1991,44,18.649
1991,45,18.009
1991,46,17.437
1991,47,16.934
1991,48,16.438
1991,49,15.915
1991,50,15.391
1991,51,14.915
1991,52,14.476
1991,53,14.097
1991,54,13.797
1991,55,13.553
1991,56,13.323
1991,57,13.105
1991,58,12.912
1991,59,12.743
1991,60,12.585
1991,61,12.429
1991,62,12.285
1991,63,12.090
1991,64,11.826
1991,65,11.509
1991,66,11.192
1991,67,10.867
1991,68,10.525
1991,69,10.166
1991,70,9.796
