year,age,population
1990,0,1188.849
1990,1,1241.384
1990,2,1289.641
1990,3,1334.345
1990,4,1376.215
1990,5,1415.977
1990,6,1454.352
1990,7,1492.065
1990,8,1529.839
1990,9,1568.393
1990,10,1602.532
1990,11,1627.058
1990,12,1672.298
1990,13,1750.824
1990,14,1845.590
1990,15,1932.393
1990,16,2022.561
1990,17,2063.794
1990,18,2029.691
1990,19,1946.858
1990,20,1868.072
1990,21,1782.483
1990,22,1713.146
1990,23,1676.776
1990,24,1661.818
1990,25,1641.816
1990,26,1624.226
1990,27,1604.204
1990,28,1577.396
1990,29,1549.713
1990,30,1529.305
1990,31,1512.025
1990,32,1517.128
1990,33,1554.219
1990,34,1613.397
1990,35,1669.709
1990,36,1721.593
1990,37,1787.656
1990,38,1872.515
1990,39,1963.997
1990,40,2051.498
1990,41,2144.569
1990,42,2182.865
1990,43,2137.626
1990,44,2038.348
1990,45,1942.988
1990,46,1839.604
1990,47,1755.171
1990,48,1708.855
1990,49,1687.391
1990,50,1656.547
1990,51,1621.013
1990,52,1594.514
1990,53,1579.771
1990,54,1571.970
1990,55,1563.475
1990,56,1555.686
1990,57,1539.844
1990,58,1510.763
1990,59,1471.723
1990,60,1432.827
1990,61,1394.011
1990,62,1344.785
1990,63,1281.566
1990,64,1209.462
1990,65,1137.430
1990,66,1063.984
1990,67,995.898
1990,68,937.553
1990,69,886.459
1990,70,834.216
1990,71,780.677
1990,72,736.382
1990,73,705.148
1990,74,681.893
1990,75,658.774
1990,76,638.631
1990,77,608.801
1990,78,562.588
1990,79,506.222
1990,80,452.879
1990,81,400.216
1990,82,350.796
1990,83,307.322
1990,84,268.400
1990,85,229.930
1990,86,192.722
1990,87,159.110
1990,88,129.844
1990,89,104.410
1990,90,81.193
1990,91,60.113
1990,92,43.056
1990,93,30.674
1990,94,21.967
1990,95,15.075
1990,96,10.112
1990,97,6.450
1990,98,3.506
1990,99,1.308
1990,100,2.821
1991,0,1158.217
1991,1,1200.509
1991,2,1247.979
1991,3,1292.731
1991,4,1335.256
1991,5,1376.045
1991,6,1415.736
1991,7,1454.962
1991,8,1493.499
1991,9,1531.550
1991,10,1570.035
1991,11,1604.609
1991,12,1630.058
1991,13,1675.397
1991,14,1752.680
1991,15,1845.421
1991,16,1930.411
1991,17,2018.674
1991,18,2058.908
1991,19,2025.278
1991,20,1943.866
1991,21,1866.346
1991,22,1782.067
1991,23,1713.860
1991,24,1678.210
1991,25,1663.684
1991,26,1644.210
1991,27,1627.198
1991,28,1607.502
1991,29,1580.667
1991,30,1552.714
1991,31,1532.007
1991,32,1514.357
1991,33,1519.126
1991,34,1555.995
1991,35,1615.015
1991,36,1671.099
1991,37,1722.708
1991,38,1788.506
1991,39,1873.125
1991,40,1964.372
1991,41,2051.623
1991,42,2144.451
1991,43,2182.410
1991,44,2136.694
1991,45,2036.854
1991,46,1940.915
1991,47,1836.887
1991,48,1751.962
1991,49,1705.406
1991,50,1683.838
1991,51,1652.831
1991,52,1617.152
1991,53,1590.232
1991,54,1574.641
1991,55,1565.718
1991,56,1556.136
1991,57,1547.244
1991,58,1530.370
1991,59,1500.411
1991,60,1460.603
1991,61,1420.894
1991,62,1381.214
1991,63,1331.294
1991,64,1267.630
1991,65,1195.226
1991,66,1122.839
1991,67,1049.018
1991,68,980.411
1991,69,921.320
1991,70,869.298
1991,71,816.172
1991,72,761.873
1991,73,716.371
1991,74,683.263
1991,75,657.782
1991,76,632.611
1991,77,610.471
1991,78,579.251
1991,79,532.579
1991,80,476.451
1991,81,423.441
1991,82,371.270
1991,83,322.777
1991,84,280.721
1991,85,243.594
1991,86,207.060
1991,87,171.896
1991,88,140.529
1991,89,113.711
1991,90,90.813
1991,91,70.133
1991,92,51.620
1991,93,36.725
1991,94,25.879
1991,95,18.249
1991,96,11.312
1991,97,7.175
1991,98,3.933
1991,99,1.575
1991,100,3.179
1992,0,1149.612
1992,1,1198.295
1992,2,1212.085
1992,3,1254.483
1992,4,1295.723
1992,5,1336.066
1992,6,1375.769
1992,7,1415.385
1992,8,1455.462
1992,9,1494.819
1992,10,1533.144
1992,11,1571.559
1992,12,1606.564
1992,13,1632.935
1992,14,1678.371
1992,15,1754.402
1992,16,1845.111
1992,17,1928.279
1992,18,2014.629
1992,19,2053.861
1992,20,2020.706
1992,21,1940.723
1992,22,1864.475
1992,23,1781.515
1992,24,1714.444
1992,25,1679.514
1992,26,1665.424
1992,27,1646.480
1992,28,1630.048
1992,29,1610.678
1992,30,1583.820
1992,31,1555.598
1992,32,1534.593
1992,33,1516.574
1992,34,1521.009
1992,35,1557.653
1992,36,1616.510
1992,37,1672.363
1992,38,1723.692
1992,39,1789.220
1992,40,1873.591
1992,41,1964.597
1992,42,2051.590
1992,43,2144.169
1992,44,2181.787
1992,45,2135.598
1992,46,2035.201
1992,47,1938.693
1992,48,1834.027
1992,49,1748.615
1992,50,1701.824
1992,51,1680.153
1992,52,1648.986
1992,53,1613.164
1992,54,1585.826
1992,55,1569.387
1992,56,1559.340
1992,57,1548.674
1992,58,1538.676
1992,59,1520.773
1992,60,1489.937
1992,61,1449.362
1992,62,1408.844
1992,63,1368.302
1992,64,1317.690
1992,65,1253.587
1992,66,1180.888
1992,67,1108.153
1992,68,1033.960
1992,69,964.839
1992,70,905.005
1992,71,852.057
1992,72,798.053
1992,73,742.997
1992,74,696.291
1992,75,661.311
1992,76,633.604
1992,77,606.380
1992,78,582.244
1992,79,549.636
1992,80,502.507
1992,81,446.623
1992,82,393.949
1992,83,342.275
1992,84,294.713
1992,85,254.080
1992,86,218.753
1992,87,184.158
1992,88,151.040
1992,89,121.926
1992,90,97.556
1992,91,77.201
1992,92,59.060
1992,93,43.116
1992,94,30.388
1992,95,21.078
1992,96,14.526
1992,97,8.030
1992,98,4.468
1992,99,1.919
1992,100,3.587
1993,0,1156.497
1993,1,1189.183
1993,2,1220.575
1993,3,1223.360
1993,4,1260.674
1993,5,1298.391
1993,6,1336.540
1993,7,1375.148
1993,8,1414.678
1993,9,1455.595
1993,10,1495.765
1993,11,1534.353
1993,12,1572.687
1993,13,1608.117
1993,14,1635.401
1993,15,1680.923
1993,16,1755.685
1993,17,1844.335
1993,18,1925.663
1993,19,2010.075
1993,20,2048.296
1993,21,2015.624
1993,22,1937.090
1993,23,1862.135
1993,24,1780.513
1993,25,1714.597
1993,26,1680.398
1993,27,1666.745
1993,28,1648.337
1993,29,1632.488
1993,30,1613.452
1993,31,1586.575
1993,32,1558.091
1993,33,1536.794
1993,34,1518.411
1993,35,1522.510
1993,36,1558.921
1993,37,1617.598
1993,38,1673.206
1993,39,1724.243
1993,40,1789.483
1993,41,1873.588
1993,42,1964.326
1993,43,2051.043
1993,44,2143.346
1993,45,2180.615
1993,46,2133.964
1993,47,2033.037
1993,48,1935.981
1993,49,1830.706
1993,50,1744.827
1993,51,1697.812
1993,52,1676.044
1993,53,1644.726
1993,54,1608.768
1993,55,1581.019
1993,56,1563.735
1993,57,1552.569
1993,58,1540.818
1993,59,1529.719
1993,60,1510.789
1993,61,1479.084
1993,62,1437.753
1993,63,1396.434
1993,64,1355.042
1993,65,1303.750
1993,66,1239.223
1993,67,1166.248
1993,68,1093.181
1993,69,1018.637
1993,70,949.018
1993,71,888.456
1993,72,834.595
1993,73,779.727
1993,74,723.927
1993,75,676.029
1993,76,639.183
1993,77,609.257
1993,78,579.987
1993,79,553.860
1993,80,519.872
1993,81,472.298
1993,82,416.671
1993,83,364.345
1993,84,313.183
1993,85,266.566
1993,86,227.364
1993,87,193.847
1993,88,161.201
1993,89,130.140
1993,90,103.283
1993,91,81.372
1993,92,63.564
1993,93,47.967
1993,94,34.599
1993,95,24.040
1993,96,16.270
1993,97,10.798
1993,98,5.104
1993,99,2.335
1993,100,4.060
1994,0,1168.345
1994,1,1184.089
1994,2,1202.738
1994,3,1224.205
1994,4,1234.297
1994,5,1266.516
1994,6,1300.700
1994,7,1336.645
1994,8,1374.147
1994,9,1413.582
1994,10,1455.327
1994,11,1496.296
1994,12,1535.140
1994,13,1573.382
1994,14,1609.224
1994,15,1637.418
1994,16,1683.011
1994,17,1756.483
1994,18,1843.052
1994,19,1922.514
1994,20,2004.968
1994,21,2042.167
1994,22,2009.986
1994,23,1932.924
1994,24,1859.281
1994,25,1779.022
1994,26,1714.277
1994,27,1680.818
1994,28,1667.606
1994,29,1649.738
1994,30,1634.479
1994,31,1615.779
1994,32,1588.892
1994,33,1560.155
1994,34,1538.571
1994,35,1519.828
1994,36,1523.592
1994,37,1559.757
1994,38,1618.241
1994,39,1673.588
1994,40,1724.318
1994,41,1789.253
1994,42,1873.066
1994,43,1963.516
1994,44,2049.928
1994,45,2141.933
1994,46,2178.843
1994,47,2131.741
1994,48,2030.312
1994,49,1932.736
1994,50,1826.880
1994,51,1740.558
1994,52,1693.334
1994,53,1671.473
1994,54,1640.011
1994,55,1603.931
1994,56,1575.776
1994,57,1557.654
1994,58,1545.370
1994,59,1532.539
1994,60,1520.340
1994,61,1500.390
1994,62,1467.825
1994,63,1425.749
1994,64,1383.642
1994,65,1341.409
1994,66,1289.452
1994,67,1224.520
1994,68,1151.288
1994,69,1077.911
1994,70,1003.035
1994,71,932.937
1994,72,871.664
1994,73,816.907
1994,74,761.187
1994,75,704.661
1994,76,655.582
1994,77,616.883
1994,78,584.745
1994,79,553.439
1994,80,525.328
1994,81,489.968
1994,82,441.962
1994,83,386.609
1994,84,334.647
1994,85,284.009
1994,86,238.348
1994,87,200.590
1994,88,168.890
1994,89,138.204
1994,90,109.206
1994,91,84.616
1994,92,65.167
1994,93,49.911
1994,94,36.864
1994,95,26.073
1994,96,17.686
1994,97,11.458
1994,98,7.068
1994,99,2.810
1994,100,4.614
1995,0,1177.159
1995,1,1180.181
1995,2,1188.889
1995,3,1202.849
1995,4,1221.627
1995,5,1244.794
1995,6,1271.912
1995,7,1302.554
1995,8,1336.283
1995,9,1372.667
1995,10,1411.993
1995,11,1454.551
1995,12,1496.306
1995,13,1535.389
1995,14,1573.527
1995,15,1609.770
1995,16,1638.860
1995,17,1684.510
1995,18,1756.667
1995,19,1841.126
1995,20,1918.698
1995,21,1999.165
1995,22,2035.329
1995,23,2003.652
1995,24,1928.086
1995,25,1855.781
1995,26,1776.910
1995,27,1713.358
1995,28,1680.651
1995,29,1667.885
1995,30,1650.563
1995,31,1635.896
1995,32,1617.541
1995,33,1590.653
1995,34,1561.673
1995,35,1539.809
1995,36,1520.714
1995,37,1524.140
1995,38,1560.049
1995,39,1618.318
1995,40,1673.385
1995,41,1723.791
1995,42,1788.399
1995,43,1871.892
1995,44,1962.019
1995,45,2048.100
1995,46,2139.773
1995,47,2176.311
1995,48,2128.776
1995,49,2026.881
1995,50,1928.819
1995,51,1822.418
1995,52,1735.686
1995,53,1688.267
1995,54,1666.323
1995,55,1634.728
1995,56,1598.536
1995,57,1569.987
1995,58,1551.034
1995,59,1537.637
1995,60,1523.731
1995,61,1510.439
1995,62,1489.475
1995,63,1456.062
1995,64,1413.257
1995,65,1370.376
1995,66,1327.319
1995,67,1274.715
1995,68,1209.401
1995,69,1135.938
1995,70,1062.275
1995,71,987.095
1995,72,916.544
1995,73,854.581
1995,74,798.946
1995,75,742.397
1995,76,685.163
1995,77,634.923
1995,78,594.384
1995,79,560.049
1995,80,526.717
1995,81,496.634
1995,82,459.916
1995,83,411.497
1995,84,356.434
1995,85,304.855
1995,86,254.758
1995,87,210.069
1995,88,173.766
1995,89,143.895
1995,90,115.175
1995,91,88.251
