year,age,population
1990,0,108.004
1990,1,111.168
1990,2,113.018
1990,3,113.701
1990,4,113.361
1990,5,112.140
1990,6,110.185
1990,7,107.638
1990,8,104.645
1990,9,101.349
1990,10,97.629
1990,11,93.363
1990,12,90.024
1990,13,88.289
1990,14,87.505
1990,15,86.413
1990,16,85.355
1990,17,83.500
1990,18,80.336
1990,19,76.326
1990,20,72.456
1990,21,68.542
1990,22,64.772
1990,23,61.335
1990,24,58.126
1990,25,54.863
1990,26,51.631
1990,27,48.438
1990,28,45.264
1990,29,42.164
1990,30,39.203
1990,31,36.366
1990,32,33.810
1990,33,31.625
1990,34,29.746
1990,35,27.997
1990,36,26.387
1990,37,25.035
1990,38,23.975
1990,39,23.143
1990,40,22.435
1990,41,21.845
1990,42,21.345
1990,43,20.902
1990,44,20.507
1990,45,20.177
1990,46,19.890
1990,47,19.609
1990,48,19.305
1990,49,18.969
1990,50,18.647
1990,51,18.343
1990,52,17.898
1990,53,17.234
1990,54,16.429
1990,55,15.634
1990,56,14.823
1990,57,14.054
1990,58,13.378
1990,59,12.763
1990,60,12.129
1990,61,11.480
1990,62,10.885
1990,63,10.368
1990,64,9.894
1990,65,9.438
1990,66,9.020
1990,67,8.524
1990,68,7.887
1990,69,7.182
1990,70,6.509
1990,71,5.834
1990,72,5.304
1990,73,4.998
1990,74,4.843
1990,75,4.673
1990,76,4.521
1990,77,4.333
1990,78,4.062
1990,79,3.738
1990,80,3.443
1990,81,3.174
1990,82,2.856
1990,83,2.461
1990,84,2.028
1990,85,1.611
1990,86,1.198
1990,87,0.861
1990,88,0.639
1990,89,0.502
1990,90,0.369
1990,91,0.252
1990,92,0.164
1990,93,0.100
1990,94,0.056
1990,95,0.034
1990,96,0.026
1990,97,0.021
1990,98,0.013
1990,99,0.003
1990,100,0.006
1991,0,112.845
1991,1,109.475
1991,2,111.691
1991,3,112.992
1991,4,113.458
1991,5,113.166
1991,6,112.260
1991,7,110.884
1991,8,108.791
1991,9,105.937
1991,10,102.590
1991,11,98.949
1991,12,94.827
1991,13,91.630
1991,14,90.031
1991,15,89.379
1991,16,88.410
1991,17,87.467
1991,18,85.728
1991,19,82.691
1991,20,78.807
1991,21,75.046
1991,22,71.229
1991,23,67.516
1991,24,64.082
1991,25,60.833
1991,26,57.519
1991,27,54.225
1991,28,50.932
1991,29,47.616
1991,30,44.343
1991,31,41.204
1991,32,38.184
1991,33,35.445
1991,34,33.083
1991,35,31.038
1991,36,29.123
1991,37,27.346
1991,38,25.870
1991,39,24.753
1991,40,23.909
1991,41,23.190
1991,42,22.595
1991,43,22.094
1991,44,21.647
1991,45,21.243
1991,46,20.912
1991,47,20.632
1991,48,20.337
1991,49,19.991
1991,50,19.594
1991,51,19.212
1991,52,18.846
1991,53,18.345
1991,54,17.638
1991,55,16.799
1991,56,15.966
1991,57,15.117
1991,58,14.303
1991,59,13.573
1991,60,12.897
1991,61,12.206
1991,62,11.503
1991,63,10.852
1991,64,10.283
1991,65,9.758
1991,66,9.253
1991,67,8.786
1991,68,8.257
1991,69,7.605
1991,70,6.902
1991,71,6.229
1991,72,5.560
1991,73,5.030
1991,74,4.709
1991,75,4.533
1991,76,4.348
1991,77,4.183
1991,78,3.985
1991,79,3.711
1991,80,3.387
1991,81,3.094
1991,82,2.828
1991,83,2.523
1991,84,2.162
1991,85,1.771
1991,86,1.398
1991,87,1.029
1991,88,0.731
1991,89,0.536
1991,90,0.419
1991,91,0.306
1991,92,0.209
1991,93,0.138
1991,94,0.083
1991,95,0.046
1991,96,0.029
1991,97,0.023
1991,98,0.013
1991,99,0.004
1991,100,0.006
1992,0,119.991
1992,1,119.594
1992,2,111.300
1992,3,112.571
1992,4,113.325
1992,5,113.573
1992,6,113.331
1992,7,112.737
1992,8,111.937
1992,9,110.295
1992,10,107.572
1992,11,104.162
1992,12,100.589
1992,13,96.599
1992,14,93.533
1992,15,92.067
1992,16,91.543
1992,17,90.699
1992,18,89.864
1992,19,88.238
1992,20,85.319
1992,21,81.550
1992,22,77.886
1992,23,74.154
1992,24,70.486
1992,25,67.045
1992,26,63.745
1992,27,60.370
1992,28,57.001
1992,29,53.599
1992,30,50.130
1992,31,46.672
1992,32,43.346
