year,age,population
1990,0,389.135
1990,1,381.738
1990,2,374.835
1990,3,368.370
1990,4,362.276
1990,5,356.495
1990,6,350.962
1990,7,345.620
1990,8,340.404
1990,9,335.254
1990,10,330.262
1990,11,325.516
1990,12,320.194
1990,13,313.928
1990,14,307.112
1990,15,300.881
1990,16,295.448
1990,17,289.373
1990,18,282.199
1990,19,274.841
1990,20,267.937
1990,21,260.467
1990,22,258.070
1990,23,263.326
1990,24,273.279
1990,25,282.405
1990,26,291.832
1990,27,298.118
1990,28,298.996
1990,29,296.010
1990,30,293.187
1990,31,289.974
1990,32,284.670
1990,33,276.908
1990,34,267.288
1990,35,256.862
1990,36,245.533
1990,37,233.926
1990,38,222.492
1990,39,211.089
1990,40,200.101
1990,41,190.650
1990,42,178.423
1990,43,161.701
1990,44,143.292
1990,45,125.595
1990,46,105.575
1990,47,98.950
1990,48,112.970
1990,49,139.254
1990,50,164.005
1990,51,192.169
1990,52,204.979
1990,53,192.399
1990,54,164.162
1990,55,138.803
1990,56,111.133
1990,57,94.320
1990,58,96.305
1990,59,109.738
1990,60,120.052
1990,61,131.026
1990,62,134.706
1990,63,125.947
1990,64,109.383
1990,65,94.808
1990,66,80.281
1990,67,68.125
1990,68,60.488
1990,69,55.960
1990,70,50.636
1990,71,44.887
1990,72,41.206
1990,73,40.313
1990,74,41.156
1990,75,42.194
1990,76,44.006
1990,77,43.759
1990,78,39.970
1990,79,34.007
1990,80,28.641
1990,81,23.233
1990,82,18.931
1990,83,16.558
1990,84,15.448
1990,85,14.125
1990,86,12.908
1990,87,11.570
1990,88,9.860
1990,89,7.976
1990,90,6.353
1990,91,4.885
1990,92,3.677
1990,93,2.821
1990,94,2.228
1990,95,1.707
1990,96,1.279
1990,97,0.943
1990,98,0.668
1990,99,0.453
1990,100,1.117
1991,0,366.677
1991,1,380.678
1991,2,375.556
1991,3,370.013
1991,4,364.148
1991,5,358.052
1991,6,351.675
1991,7,344.957
1991,8,338.752
1991,9,333.459
1991,10,328.719
1991,11,323.844
1991,12,319.045
1991,13,313.819
1991,14,307.869
1991,15,301.500
1991,16,295.690
1991,17,290.691
1991,18,284.908
1991,19,277.794
1991,20,270.336
1991,21,263.348
1991,22,255.796
1991,23,253.237
1991,24,258.232
1991,25,267.869
1991,26,276.685
1991,27,285.808
1991,28,291.848
1991,29,292.575
1991,30,289.525
1991,31,286.638
1991,32,283.344
1991,33,278.159
1991,34,270.805
1991,35,261.768
1991,36,251.921
1991,37,241.227
1991,38,230.050
1991,39,218.697
1991,40,207.158
1991,41,196.065
1991,42,186.462
1991,43,174.227
1991,44,157.749
1991,45,139.727
1991,46,122.364
1991,47,102.700
1991,48,96.215
1991,49,110.031
1991,50,135.900
1991,51,160.264
1991,52,188.003
1991,53,200.562
1991,54,188.035
1991,55,160.039
1991,56,134.883
1991,57,107.451
1991,58,90.742
1991,59,92.602
1991,60,105.775
1991,61,115.875
1991,62,126.625
1991,63,130.234
1991,64,121.654
1991,65,105.424
1991,66,91.155
1991,67,76.938
1991,68,65.042
1991,69,57.563
1991,70,53.123
1991,71,47.908
1991,72,42.293
1991,73,38.661
1991,74,37.693
1991,75,38.392
1991,76,39.293
1991,77,40.946
1991,78,40.658
1991,79,37.022
1991,80,31.334
1991,81,26.227
1991,82,21.094
1991,83,17.015
1991,84,14.769
1991,85,13.725
1991,86,12.488
1991,87,11.355
1991,88,10.132
1991,89,8.591
1991,90,6.905
1991,91,5.467
1991,92,4.179
1991,93,3.126
1991,94,2.380
1991,95,1.869
1991,96,1.302
1991,97,0.935
1991,98,0.651
1991,99,0.446
1991,100,1.112
1992,0,335.120
1992,1,346.255
1992,2,371.904
1992,3,369.068
1992,4,364.893
1992,5,359.636
1992,6,353.543
1992,7,346.571
1992,8,338.669
1992,9,331.605
1992,10,326.238
1992,11,321.914
1992,12,317.157
1992,13,312.310
1992,14,307.186
1992,15,301.557
1992,16,295.640
1992,17,290.257
1992,18,285.696
1992,19,280.212
1992,20,273.165
1992,21,265.610
1992,22,258.543
1992,23,250.916
1992,24,248.195
1992,25,252.927
1992,26,262.237
1992,27,270.736
1992,28,279.547
1992,29,285.335
1992,30,285.912
1992,31,282.797
1992,32,279.852
1992,33,276.477
1992,34,271.415
1992,35,264.476
1992,36,256.031
1992,37,246.773
1992,38,236.724
1992,39,225.985
1992,40,214.724
1992,41,203.056
1992,42,191.868
1992,43,182.118
1992,44,169.884
1992,45,153.665
1992,46,136.044
1992,47,119.030
1992,48,99.738
1992,49,93.398
1992,50,106.999
1992,51,132.431
1992,52,156.390
1992,53,183.679
1992,54,195.979
1992,55,183.515
1992,56,155.779
1992,57,130.849
1992,58,103.676
1992,59,87.084
1992,60,88.816
1992,61,101.720
1992,62,111.596
1992,63,122.113
1992,64,125.650
1992,65,117.253
1992,66,101.373
1992,67,87.421
1992,68,73.527
1992,69,61.898
1992,70,54.585
1992,71,50.236
1992,72,45.137
1992,73,39.658
1992,74,36.078
1992,75,35.036
1992,76,35.590
1992,77,36.353
1992,78,37.845
1992,79,37.516
1992,80,34.036
1992,81,28.629
1992,82,23.785
1992,83,18.933
1992,84,15.081
1992,85,12.963
1992,86,11.986
1992,87,10.836
1992,88,9.788
1992,89,8.683
1992,90,7.310
1992,91,5.825
1992,92,4.574
1992,93,3.469
1992,94,2.570
1992,95,1.937
1992,96,1.506
1992,97,0.922
1992,98,0.632
1992,99,0.437
1992,100,1.086
1993,0,298.936
1993,1,320.976
1993,2,337.368
1993,3,362.743
1993,4,362.201
1993,5,359.399
1993,6,354.754
1993,7,348.672
1993,8,341.112
1993,9,332.032
1993,10,324.114
1993,11,318.679
1993,12,314.774
1993,13,310.143
1993,14,305.252
1993,15,300.233
1993,16,294.933
1993,17,289.475
1993,18,284.524
1993,19,280.408
1993,20,275.228
1993,21,268.252
1993,22,260.611
1993,23,253.472
1993,24,245.776
1993,25,242.897
1993,26,247.359
1993,27,256.333
1993,28,264.508
1993,29,272.995
1993,30,278.527
1993,31,278.951
1993,32,275.777
1993,33,272.773
1993,34,269.323
1993,35,264.388
1993,36,257.872
1993,37,250.029
1993,38,241.369
1993,39,231.977
1993,40,221.687
1993,41,210.529
1993,42,198.745
1993,43,187.471
1993,44,177.586
1993,45,165.364
1993,46,149.421
1993,47,132.218
1993,48,115.571
1993,49,96.673
1993,50,90.483
1993,51,103.854
1993,52,128.825
1993,53,152.353
1993,54,179.165
1993,55,191.192
1993,56,178.804
1993,57,151.357
1993,58,126.677
1993,59,99.791
1993,60,83.334
1993,61,84.935
1993,62,97.556
1993,63,107.200
1993,64,117.472
1993,65,120.932
1993,66,112.729
1993,67,97.214
1993,68,83.594
1993,69,70.036
1993,70,58.688
1993,71,51.549
1993,72,47.295
1993,73,42.315
1993,74,36.981
1993,75,33.454
1993,76,32.341
1993,77,32.748
1993,78,33.373
1993,79,34.701
1993,80,34.333
1993,81,31.012
1993,82,25.891
1993,83,21.316
1993,84,16.749
1993,85,13.128
1993,86,11.142
1993,87,10.232
1993,88,9.171
1993,89,8.211
1993,90,7.221
1993,91,6.021
1993,92,4.738
1993,93,3.676
1993,94,2.753
1993,95,2.011
1993,96,1.491
1993,97,1.142
1993,98,0.613
1993,99,0.427
1993,100,1.045
1994,0,264.418
1994,1,295.141
1994,2,318.648
1994,3,335.647
1994,4,353.120
1994,5,354.869
1994,6,353.444
1994,7,349.417
1994,8,343.352
1994,9,335.216
1994,10,324.970
1994,11,316.209
1994,12,310.713
1994,13,307.233
1994,14,302.733
1994,15,297.805
1994,16,292.897
1994,17,287.932
1994,18,282.940
1994,19,278.427
1994,20,274.761
1994,21,269.890
1994,22,262.998
1994,23,255.278
1994,24,248.076
1994,25,240.322
1994,26,237.289
1994,27,241.475
1994,28,250.103
1994,29,257.940
1994,30,266.096
1994,31,271.363
1994,32,271.635
1994,33,268.405
1994,34,265.348
1994,35,261.825
1994,36,257.025
1994,37,250.940
1994,38,243.708
1994,39,235.656
1994,40,226.933
1994,41,217.106
1994,42,206.065
1994,43,194.180
1994,44,182.834
1994,45,172.828
1994,46,160.634
1994,47,144.986
1994,48,128.225
1994,49,111.966
1994,50,93.484
1994,51,87.453
1994,52,100.578
1994,53,125.054
1994,54,148.123
1994,55,174.423
1994,56,186.161
1994,57,173.865
1994,58,146.743
1994,59,122.344
1994,60,95.780
1994,61,79.479
1994,62,80.948
1994,63,93.270
1994,64,102.668
1994,65,112.684
1994,66,116.061
1994,67,108.063
1994,68,92.932
1994,69,79.663
1994,70,66.458
1994,71,55.405
1994,72,48.447
1994,73,44.296
1994,74,39.441
1994,75,34.258
1994,76,30.790
1994,77,29.605
1994,78,29.867
1994,79,30.352
1994,80,31.516
1994,81,31.107
1994,82,27.951
1994,83,23.122
1994,84,18.822
1994,85,14.545
1994,86,11.161
1994,87,9.307
1994,88,8.467
1994,89,7.496
1994,90,6.623
1994,91,5.753
