year,age,population
1990,0,935.484
1990,1,914.535
1990,2,892.339
1990,3,869.058
1990,4,844.847
1990,5,819.865
1990,6,794.270
1990,7,768.218
1990,8,741.866
1990,9,715.375
1990,10,688.742
1990,11,661.972
1990,12,636.000
1990,13,611.298
1990,14,587.553
1990,15,564.100
1990,16,541.206
1990,17,518.473
1990,18,495.682
1990,19,473.166
1990,20,451.391
1990,21,430.147
1990,22,410.467
1990,23,392.873
1990,24,376.863
1990,25,361.378
1990,26,346.588
1990,27,332.305
1990,28,318.304
1990,29,304.683
1990,30,291.629
1990,31,278.957
1990,32,267.026
1990,33,255.982
1990,34,245.528
1990,35,235.335
1990,36,225.622
1990,37,215.122
1990,38,203.225
1990,39,190.548
1990,40,178.510
1990,41,167.061
1990,42,155.745
1990,43,144.557
1990,44,133.819
1990,45,123.591
1990,46,113.539
1990,47,106.091
1990,48,102.364
1990,49,101.161
1990,50,100.089
1990,51,99.519
1990,52,98.742
1990,53,97.133
1990,54,94.955
1990,55,93.197
1990,56,91.766
1990,57,89.501
1990,58,85.961
1990,59,81.586
1990,60,77.281
1990,61,72.885
1990,62,68.659
1990,63,64.825
1990,64,61.265
1990,65,57.617
1990,66,53.937
1990,67,50.466
1990,68,47.278
1990,69,44.303
1990,70,41.394
1990,71,38.586
1990,72,35.810
1990,73,33.021
1990,74,30.257
1990,75,27.612
1990,76,25.075
1990,77,22.618
1990,78,20.233
1990,79,17.939
1990,80,15.760
1990,81,13.697
1990,82,11.769
1990,83,9.990
1990,84,8.360
1990,85,6.852
1990,86,5.455
1990,87,4.267
1990,88,3.325
1990,89,2.583
1990,90,1.942
1990,91,1.403
1990,92,0.981
1990,93,0.662
1990,94,0.432
1990,95,0.280
1990,96,0.201
1990,97,0.145
1990,98,0.081
1990,99,0.019
1990,100,0.055
1991,0,932.683
1991,1,927.080
1991,2,907.562
1991,3,886.605
1991,4,864.383
1991,5,841.066
1991,6,816.827
1991,7,791.846
1991,8,766.261
1991,9,740.232
1991,10,713.947
1991,11,687.437
1991,12,660.701
1991,13,634.768
1991,14,610.158
1991,15,586.530
1991,16,563.142
1991,17,540.274
1991,18,517.556
1991,19,494.771
1991,20,472.252
1991,21,450.461
