year,age,population
1990,0,2.492
1990,1,2.402
1990,2,2.316
1990,3,2.233
1990,4,2.152
1990,5,2.074
1990,6,1.997
1990,7,1.925
1990,8,1.853
1990,9,1.785
1990,10,1.721
1990,11,1.666
1990,12,1.603
1990,13,1.521
1990,14,1.432
1990,15,1.349
1990,16,1.260
1990,17,1.220
1990,18,1.258
1990,19,1.341
1990,20,1.419
1990,21,1.507
1990,22,1.547
1990,23,1.509
1990,24,1.421
1990,25,1.342
1990,26,1.258
1990,27,1.192
1990,28,1.158
1990,29,1.146
1990,30,1.124
1990,31,1.105
1990,32,1.070
1990,33,1.019
1990,34,0.954
1990,35,0.893
1990,36,0.831
1990,37,0.780
1990,38,0.750
1990,39,0.729
1990,40,0.708
1990,41,0.691
1990,42,0.669
1990,43,0.641
1990,44,0.609
1990,45,0.580
1990,46,0.550
1990,47,0.527
1990,48,0.513
1990,49,0.503
1990,50,0.495
1990,51,0.489
1990,52,0.475
1990,53,0.448
1990,54,0.413
1990,55,0.380
1990,56,0.346
1990,57,0.322
1990,58,0.317
1990,59,0.323
1990,60,0.329
1990,61,0.333
1990,62,0.330
1990,63,0.310
1990,64,0.278
1990,65,0.250
1990,66,0.220
1990,67,0.197
1990,68,0.184
1990,69,0.177
1990,70,0.169
1990,71,0.162
1990,72,0.152
1990,73,0.138
1990,74,0.124
1990,75,0.110
1990,76,0.097
1990,77,0.084
1990,78,0.075
1990,79,0.063
1990,80,0.054
1990,81,0.045
1990,82,0.037
1990,83,0.031
1990,84,0.024
1990,85,0.019
1990,86,0.015
1990,87,0.012
1990,88,0.009
1990,89,0.007
1990,90,0.006
1990,91,0.004
1990,92,0.004
1990,93,0.003
1990,94,0.003
1990,95,0.002
1990,96,0.001
1990,97,0.000
1990,98,0.000
1990,99,0.000
1990,100,0.000
1991,0,2.505
1991,1,2.453
1991,2,2.372
1991,3,2.293
1991,4,2.214
1991,5,2.137
1991,6,2.061
1991,7,1.984
1991,8,1.913
1991,9,1.839
1991,10,1.772
1991,11,1.706
1991,12,1.649
1991,13,1.585
1991,14,1.500
1991,15,1.411
1991,16,1.325
1991,17,1.235
1991,18,1.194
1991,19,1.232
1991,20,1.316
1991,21,1.395
1991,22,1.484
1991,23,1.526
1991,24,1.490
1991,25,1.406
1991,26,1.330
1991,27,1.250
1991,28,1.187
1991,29,1.151
1991,30,1.136
1991,31,1.113
1991,32,1.090
1991,33,1.055
1991,34,1.002
1991,35,0.937
1991,36,0.877
1991,37,0.814
1991,38,0.763
1991,39,0.734
1991,40,0.714
1991,41,0.695
