year,age,population
1990,0,39.823
1990,1,45.072
1990,2,48.921
1990,3,51.524
1990,4,53.028
1990,5,53.588
1990,6,53.351
1990,7,52.470
1990,8,51.092
1990,9,49.374
1990,10,47.220
1990,11,44.539
1990,12,42.692
1990,13,42.308
1990,14,42.816
1990,15,43.091
1990,16,43.453
1990,17,43.198
1990,18,41.898
1990,19,39.970
1990,20,38.267
1990,21,36.617
1990,22,35.340
1990,23,34.682
1990,24,34.480
1990,25,34.215
1990,26,33.879
1990,27,34.018
1990,28,34.822
1990,29,36.003
1990,30,37.119
1990,31,38.296
1990,32,38.894
1990,33,38.565
1990,34,37.591
1990,35,36.660
1990,36,35.700
1990,37,34.489
1990,38,33.013
1990,39,31.369
1990,40,29.629
1990,41,27.712
1990,42,26.189
1990,43,25.332
1990,44,24.872
1990,45,24.311
1990,46,23.804
1990,47,22.898
1990,48,21.327
1990,49,19.347
1990,50,17.478
1990,51,15.622
1990,52,13.933
1990,53,12.542
1990,54,11.376
1990,55,10.201
1990,56,9.043
1990,57,8.076
1990,58,7.362
1990,59,6.828
1990,60,6.341
1990,61,5.931
1990,62,5.504
1990,63,5.000
1990,64,4.457
1990,65,3.980
1990,66,3.555
1990,67,3.136
1990,68,2.713
1990,69,2.304
1990,70,1.925
1990,71,1.570
1990,72,1.279
1990,73,1.075
1990,74,0.937
1990,75,0.815
1990,76,0.706
1990,77,0.644
1990,78,0.627
1990,79,0.645
1990,80,0.674
1990,81,0.727
1990,82,0.729
1990,83,0.640
1990,84,0.496
1990,85,0.368
1990,86,0.240
1990,87,0.142
1990,88,0.094
1990,89,0.079
1990,90,0.061
1990,91,0.043
1990,92,0.029
1990,93,0.018
1990,94,0.008
1990,95,0.003
1990,96,0.003
1990,97,0.002
1990,98,0.002
1990,99,0.001
1990,100,0.000
1991,0,37.519
1991,1,39.856
1991,2,44.015
1991,3,46.961
1991,4,48.832
1991,5,49.763
1991,6,49.899
1991,7,49.378
1991,8,48.310
1991,9,46.817
1991,10,45.056
1991,11,42.972
1991,12,40.475
1991,13,38.825
1991,14,38.606
1991,15,39.289
1991,16,39.787
1991,17,40.346
1991,18,40.572
1991,19,40.175
1991,20,39.389
1991,21,38.763
1991,22,38.204
1991,23,37.691
1991,24,37.275
1991,25,36.947
1991,26,36.575
1991,27,36.113
1991,28,35.962
1991,29,36.287
1991,30,36.874
1991,31,37.355
1991,32,37.817
1991,33,37.901
1991,34,37.398
1991,35,36.465
1991,36,35.540
1991,37,34.616
1991,38,33.351
1991,39,31.653
1991,40,29.690
1991,41,27.683
1991,42,25.514
1991,43,23.826
1991,44,22.939
1991,45,22.543
1991,46,22.047
1991,47,21.626
1991,48,20.810
1991,49,19.318
1991,50,17.413
1991,51,15.638
1991,52,13.880
1991,53,12.328
1991,54,11.126
1991,55,10.178
1991,56,9.217
1991,57,8.283
1991,58,7.479
1991,59,6.832
1991,60,6.302
1991,61,5.824
1991,62,5.415
1991,63,5.003
1991,64,4.554
1991,65,4.087
1991,66,3.672
1991,67,3.303
1991,68,2.932
1991,69,2.545
1991,70,2.160
1991,71,1.806
1991,72,1.473
1991,73,1.199
1991,74,1.007
1991,75,0.876
1991,76,0.759
1991,77,0.654
1991,78,0.592
1991,79,0.569
1991,80,0.580
1991,81,0.599
1991,82,0.642
1991,83,0.641
1991,84,0.560
1991,85,0.432
1991,86,0.313
1991,87,0.204
1991,88,0.122
1991,89,0.079
1991,90,0.067
1991,91,0.050
1991,92,0.036
1991,93,0.024
1991,94,0.015
1991,95,0.007
1991,96,0.003
1991,97,0.002
1991,98,0.002
1991,99,0.001
1991,100,0.000
1992,0,34.611
1992,1,39.965
1992,2,38.977
1992,3,41.941
1992,4,43.908
1992,5,45.000
1992,6,45.333
1992,7,45.037
1992,8,44.243
1992,9,43.011
1992,10,41.435
1992,11,39.671
1992,12,37.705
1992,13,35.453
1992,14,34.039
1992,15,33.989
1992,16,34.835
1992,17,35.545
1992,18,36.290
1992,19,36.996
1992,20,37.517
1992,21,37.901
1992,22,38.375
1992,23,38.929
1992,24,39.197
1992,25,39.034
1992,26,38.587
1992,27,38.115
1992,28,37.538
1992,29,37.097
1992,30,36.933
1992,31,36.907
1992,32,36.735
1992,33,36.468
1992,34,36.033
1992,35,35.364
1992,36,34.495
1992,37,33.597
1992,38,32.730
1992,39,31.441
1992,40,29.556
1992,41,27.318
1992,42,25.087
1992,43,22.714
1992,44,20.899
1992,45,20.002
1992,46,19.678
1992,47,19.260
1992,48,18.936
1992,49,18.230
1992,50,16.849
1992,51,15.065
1992,52,13.425
1992,53,11.807
1992,54,10.427
1992,55,9.444
1992,56,8.738
1992,57,8.014
1992,58,7.327
1992,59,6.706
1992,60,6.141
1992,61,5.627
1992,62,5.171
1992,63,4.770
1992,64,4.385
1992,65,3.999
