year,age,population
1990,0,131.422
1990,1,128.866
1990,2,126.049
1990,3,123.025
1990,4,119.840
1990,5,116.539
1990,6,113.170
1990,7,109.787
1990,8,106.431
1990,9,103.153
1990,10,99.864
1990,11,96.483
1990,12,93.723
1990,13,91.899
1990,14,90.664
1990,15,89.488
1990,16,88.660
1990,17,87.049
1990,18,84.098
1990,19,80.427
1990,20,77.018
1990,21,73.443
1990,22,71.332
1990,23,71.526
1990,24,73.142
1990,25,74.476
1990,26,75.894
1990,27,76.473
1990,28,75.593
1990,29,73.699
1990,30,71.908
1990,31,70.052
1990,32,67.795
1990,33,65.098
1990,34,62.064
1990,35,58.883
1990,36,55.568
1990,37,52.155
1990,38,48.704
1990,39,45.247
1990,40,41.942
1990,41,38.968
1990,42,35.714
1990,43,31.964
1990,44,28.154
1990,45,24.570
1990,46,20.708
1990,47,19.346
1990,48,21.745
1990,49,26.444
1990,50,30.946
1990,51,36.020
1990,52,38.853
1990,53,37.870
1990,54,34.502
1990,55,31.575
1990,56,28.327
1990,57,26.354
1990,58,26.679
1990,59,28.342
1990,60,29.515
1990,61,30.727
1990,62,30.689
1990,63,28.624
1990,64,25.279
1990,65,22.187
1990,66,19.052
1990,67,16.350
1990,68,14.478
1990,69,13.187
1990,70,11.765
1990,71,10.269
1990,72,9.244
1990,73,8.862
1990,74,8.889
1990,75,8.968
1990,76,9.230
1990,77,9.083
1990,78,8.217
1990,79,6.922
1990,80,5.763
1990,81,4.593
1990,82,3.738
1990,83,3.406
1990,84,3.410
1990,85,3.360
1990,86,3.360
1990,87,3.216
1990,88,2.812
1990,89,2.254
1990,90,1.766
1990,91,1.302
1990,92,0.932
1990,93,0.716
1990,94,0.607
1990,95,0.494
1990,96,0.398
1990,97,0.317
1990,98,0.239
1990,99,0.169
1990,100,0.383
1991,0,128.748
1991,1,129.796
1991,2,127.563
1991,3,124.970
1991,4,122.086
1991,5,118.971
1991,6,115.673
1991,7,112.242
1991,8,108.814
1991,9,105.478
1991,10,102.256
1991,11,98.988
1991,12,95.607
1991,13,92.849
1991,14,91.033
1991,15,89.809
1991,16,88.638
1991,17,87.814
1991,18,86.199
1991,19,83.239
1991,20,79.552
1991,21,76.128
1991,22,72.536
1991,23,70.402
1991,24,70.561
1991,25,72.138
1991,26,73.432
1991,27,74.812
1991,28,75.362
1991,29,74.466
1991,30,72.567
1991,31,70.774
1991,32,68.919
1991,33,66.668
1991,34,63.982
1991,35,60.965
1991,36,57.802
1991,37,54.505
1991,38,51.124
1991,39,47.724
1991,40,44.327
1991,41,41.079
1991,42,38.160
1991,43,34.948
1991,44,31.214
1991,45,27.402
1991,46,23.818
1991,47,19.958
1991,48,18.573
1991,49,20.914
1991,50,25.535
1991,51,29.958
1991,52,34.945
1991,53,37.728
1991,54,36.753
1991,55,33.432
1991,56,30.547
1991,57,27.349
1991,58,25.397
1991,59,25.686
1991,60,27.284
1991,61,28.401
1991,62,29.556
1991,63,29.496
1991,64,27.462
1991,65,24.184
1991,66,21.153
1991,67,18.078
1991,68,15.434
1991,69,13.609
1991,70,12.360
1991,71,10.983
1991,72,9.546
1991,73,8.542
1991,74,8.128
1991,75,8.093
1991,76,8.114
1991,77,8.306
1991,78,8.150
1991,79,7.370
1991,80,6.219
1991,81,5.196
1991,82,4.170
1991,83,3.413
1991,84,3.102
1991,85,3.077
1991,86,3.010
1991,87,2.988
1991,88,2.844
1991,89,2.477
1991,90,1.979
1991,91,1.545
1991,92,1.130
1991,93,0.801
1991,94,0.610
1991,95,0.516
1991,96,0.415
1991,97,0.318
1991,98,0.236
1991,99,0.169
1991,100,0.401
1992,0,124.699
1992,1,125.613
1992,2,128.021
1992,3,126.114
1992,4,123.747
1992,5,121.007
1992,6,117.964
1992,7,114.674
1992,8,111.183
1992,9,107.716
1992,10,104.403
1992,11,101.242
1992,12,97.999
1992,13,94.620
1992,14,91.868
1992,15,90.063
1992,16,88.849
1992,17,87.688
1992,18,86.866
1992,19,85.251
1992,20,82.284
1992,21,78.586
1992,22,75.149
1992,23,71.546
1992,24,69.392
1992,25,69.516
1992,26,71.050
1992,27,72.306
1992,28,73.644
1992,29,74.164
1992,30,73.254
1992,31,71.354
1992,32,69.560
1992,33,67.707
1992,34,65.464
1992,35,62.794
1992,36,59.796
1992,37,56.656
1992,38,53.381
1992,39,50.036
1992,40,46.689
1992,41,43.357
1992,42,40.169
1992,43,37.310
1992,44,34.141
1992,45,30.429
1992,46,26.620
1992,47,23.039
1992,48,19.187
1992,49,17.779
1992,50,20.060
1992,51,24.598
1992,52,28.938
1992,53,33.832
1992,54,36.559
1992,55,35.597
1992,56,32.324
1992,57,29.485
1992,58,26.342
1992,59,24.411
1992,60,24.665
1992,61,26.196
1992,62,27.255
1992,63,28.354
1992,64,28.270
1992,65,26.271
1992,66,23.063
1992,67,20.096
1992,68,17.084
1992,69,14.502
1992,70,12.726
1992,71,11.519
1992,72,10.191
1992,73,8.812
1992,74,7.833
1992,75,7.386
1992,76,7.288
1992,77,7.251
1992,78,7.375
1992,79,7.209
1992,80,6.516
1992,81,5.511
1992,82,4.624
