year,age,population
1990,0,164.695
1990,1,156.174
1990,2,148.512
1990,3,141.645
1990,4,135.506
1990,5,130.033
1990,6,125.157
1990,7,120.815
1990,8,116.941
1990,9,113.472
1990,10,110.358
1990,11,107.551
1990,12,104.901
1990,13,102.305
1990,14,99.752
1990,15,97.361
1990,16,95.144
1990,17,92.642
1990,18,89.653
1990,19,86.365
1990,20,83.161
1990,21,79.958
1990,22,76.895
1990,23,74.082
1990,24,71.432
1990,25,68.779
1990,26,66.179
1990,27,63.528
1990,28,60.768
1990,29,57.969
1990,30,55.251
1990,31,52.571
1990,32,50.101
1990,33,47.935
1990,34,45.982
1990,35,44.089
1990,36,42.315
1990,37,40.476
1990,38,38.475
1990,39,36.419
1990,40,34.498
1990,41,32.659
1990,42,31.068
1990,43,29.817
1990,44,28.826
1990,45,27.887
1990,46,27.005
1990,47,26.289
1990,48,25.756
1990,49,25.349
1990,50,24.991
1990,51,24.705
1990,52,24.310
1990,53,23.706
1990,54,22.970
1990,55,22.265
1990,56,21.548
1990,57,20.864
1990,58,20.242
1990,59,19.654
1990,60,19.032
1990,61,18.403
1990,62,17.688
1990,63,16.841
1990,64,15.907
1990,65,14.979
1990,66,14.041
1990,67,13.117
1990,68,12.239
1990,69,11.388
1990,70,10.536
1990,71,9.693
1990,72,8.860
1990,73,8.035
1990,74,7.226
1990,75,6.446
1990,76,5.697
1990,77,4.984
1990,78,4.320
1990,79,3.702
1990,80,3.120
1990,81,2.570
1990,82,2.094
1990,83,1.702
1990,84,1.381
1990,85,1.094
1990,86,0.844
1990,87,0.635
1990,88,0.471
1990,89,0.340
1990,90,0.241
1990,91,0.167
1990,92,0.113
1990,93,0.069
1990,94,0.036
1990,95,0.023
1990,96,0.018
1990,97,0.016
1990,98,0.009
1990,99,0.002
1990,100,0.004
1991,0,169.238
1991,1,162.495
1991,2,154.657
1991,3,147.500
1991,4,140.983
1991,5,135.065
1991,6,129.689
1991,7,124.790
1991,8,120.423
1991,9,116.584
1991,10,113.177
1991,11,110.062
1991,12,107.210
1991,13,104.512
1991,14,101.872
1991,15,99.278
1991,16,96.837
1991,17,94.560
1991,18,92.009
1991,19,88.985
1991,20,85.675
1991,21,82.448
1991,22,79.225
1991,23,76.148
1991,24,73.331
1991,25,70.684
1991,26,68.038
1991,27,65.449
1991,28,62.814
1991,29,60.076
1991,30,57.305
1991,31,54.618
1991,32,51.968
1991,33,49.532
1991,34,47.401
1991,35,45.482
1991,36,43.624
1991,37,41.883
1991,38,40.076
1991,39,38.099
1991,40,36.063
1991,41,34.159
1991,42,32.336
1991,43,30.757
1991,44,29.515
1991,45,28.528
1991,46,27.590
1991,47,26.709
1991,48,25.987
1991,49,25.442
1991,50,25.020
1991,51,24.643
1991,52,24.337
1991,53,23.922
1991,54,23.302
1991,55,22.550
1991,56,21.829
1991,57,21.096
1991,58,20.393
1991,59,19.749
1991,60,19.137
1991,61,18.494
1991,62,17.844
1991,63,17.110
1991,64,16.249
1991,65,15.305
1991,66,14.368
1991,67,13.422
1991,68,12.495
1991,69,11.612
1991,70,10.759
1991,71,9.909
1991,72,9.070
1991,73,8.247
1991,74,7.440
1991,75,6.654
1991,76,5.900
1991,77,5.179
1991,78,4.499
1991,79,3.874
1991,80,3.301
1991,81,2.764
1991,82,2.259
1991,83,1.826
1991,84,1.473
1991,85,1.187
1991,86,0.935
1991,87,0.718
1991,88,0.538
1991,89,0.397
1991,90,0.283
1991,91,0.199
1991,92,0.138
1991,93,0.094
1991,94,0.058
1991,95,0.029
1991,96,0.020
1991,97,0.017
1991,98,0.010
1991,99,0.003
1991,100,0.004
1992,0,173.400
1992,1,165.580
1992,2,160.343
1992,3,153.184
1992,4,146.530
1992,5,140.362
1992,6,134.665
1992,7,129.382
1992,8,124.459
1992,9,120.067
1992,10,116.261
1992,11,112.915
1992,12,109.797
1992,13,106.902
1992,14,104.152
1992,15,101.469
1992,16,98.834
1992,17,96.340
1992,18,94.004
1992,19,91.402
1992,20,88.344
1992,21,85.009
1992,22,81.759
1992,23,78.514
1992,24,75.424
1992,25,72.601
1992,26,69.957
1992,27,67.316
1992,28,64.737
1992,29,62.118
1992,30,59.402
1992,31,56.658
1992,32,53.999
1992,33,51.382
1992,34,48.977
1992,35,46.879
1992,36,44.996
1992,37,43.171
1992,38,41.465
1992,39,39.686
1992,40,37.734
1992,41,35.717
1992,42,33.831
1992,43,32.022
1992,44,30.455
1992,45,29.220
1992,46,28.239
1992,47,27.302
1992,48,26.420
1992,49,25.692
1992,50,25.137
1992,51,24.696
1992,52,24.303
1992,53,23.976
1992,54,23.542
1992,55,22.904
1992,56,22.137
1992,57,21.399
1992,58,20.649
1992,59,19.927
1992,60,19.262
1992,61,18.627
1992,62,17.960
1992,63,17.290
1992,64,16.537
1992,65,15.662
1992,66,14.706
1992,67,13.760
1992,68,12.809
1992,69,11.875
1992,70,10.988
1992,71,10.134
1992,72,9.284
1992,73,8.449
1992,74,7.636
1992,75,6.846
1992,76,6.084
1992,77,5.357
1992,78,4.661
1992,79,4.015
1992,80,3.430
1992,81,2.900
1992,82,2.408
1992,83,1.948
1992,84,1.559
1992,85,1.245
1992,86,0.993
1992,87,0.776
1992,88,0.593
1992,89,0.442
1992,90,0.322
1992,91,0.225
1992,92,0.157
1992,93,0.110
1992,94,0.075
1992,95,0.047
1992,96,0.022
1992,97,0.017
1992,98,0.010
1992,99,0.002
1992,100,0.004
1993,0,176.516
1993,1,169.476
1993,2,162.757
