year,age,population
1990,0,11358.414
1990,1,11337.148
1990,2,11301.031
1990,3,11250.562
1990,4,11186.307
1990,5,11108.830
1990,6,11018.644
1990,7,10916.304
1990,8,10802.370
1990,9,10677.378
1990,10,10542.745
1990,11,10399.875
1990,12,10244.975
1990,13,10076.863
1990,14,9898.647
1990,15,9716.172
1990,16,9529.950
1990,17,9340.476
1990,18,9149.139
1990,19,8957.364
1990,20,8761.096
1990,21,8556.140
1990,22,8371.920
1990,23,8221.028
1990,24,8088.152
1990,25,7950.091
1990,26,7817.319
1990,27,7646.189
1990,28,7414.490
1990,29,7145.113
1990,30,6880.266
1990,31,6608.106
1990,32,6362.925
1990,33,6164.982
1990,34,5996.002
1990,35,5821.326
1990,36,5652.412
1990,37,5460.924
1990,38,5230.736
1990,39,4978.906
1990,40,4737.967
1990,41,4500.599
1990,42,4286.246
1990,43,4107.632
1990,44,3955.140
1990,45,3804.789
1990,46,3659.322
1990,47,3527.702
1990,48,3411.357
1990,49,3306.493
1990,50,3208.324
1990,51,3118.302
1990,52,3025.153
1990,53,2922.912
1990,54,2816.263
1990,55,2714.208
1990,56,2613.071
1990,57,2521.056
1990,58,2442.540
1990,59,2371.978
1990,60,2300.442
1990,61,2230.885
1990,62,2150.994
1990,63,2054.141
1990,64,1946.363
1990,65,1841.269
1990,66,1737.235
1990,67,1633.016
1990,68,1529.779
1990,69,1428.248
1990,70,1327.101
1990,71,1225.473
1990,72,1133.583
1990,73,1056.031
1990,74,988.180
1990,75,921.477
1990,76,858.509
1990,77,791.763
1990,78,716.951
1990,79,638.125
1990,80,563.953
1990,81,492.968
1990,82,426.722
1990,83,366.961
1990,84,312.897
1990,85,261.666
1990,86,213.403
1990,87,171.811
1990,88,138.256
1990,89,111.228
1990,90,87.385
1990,91,66.932
1990,92,50.197
1990,93,36.854
1990,94,26.495
1990,95,18.104
1990,96,13.381
1990,97,9.641
1990,98,6.391
1990,99,3.691
1990,100,7.895
1991,0,11345.185
1991,1,11332.111
1991,2,11308.712
1991,3,11272.175
1991,4,11222.622
1991,5,11160.198
1991,6,11085.582
1991,7,10999.383
1991,8,10899.223
1991,9,10784.246
1991,10,10656.109
1991,11,10518.924
1991,12,10373.793
1991,13,10216.125
1991,14,10044.708
1991,15,9862.979
1991,16,9677.022
1991,17,9487.124
1991,18,9295.443
1991,19,9104.133
1991,20,8913.903
1991,21,8719.145
1991,22,8515.938
1991,23,8333.323
1991,24,8183.503
1991,25,8051.399
1991,26,7914.373
1991,27,7782.736
1991,28,7612.839
1991,29,7382.504
1991,30,7114.547
1991,31,6851.068
1991,32,6580.271
1991,33,6336.177
