year,age,population
1990,0,42.876
1990,1,42.388
1990,2,41.767
1990,3,41.036
1990,4,40.230
1990,5,39.377
1990,6,38.509
1990,7,37.654
1990,8,36.844
1990,9,36.108
1990,10,35.392
1990,11,34.646
1990,12,34.314
1990,13,34.599
1990,14,35.281
1990,15,35.982
1990,16,36.843
1990,17,37.371
1990,18,37.306
1990,19,36.905
1990,20,36.601
1990,21,36.200
1990,22,36.342
1990,23,37.347
1990,24,38.853
1990,25,40.217
1990,26,41.613
1990,27,42.450
1990,28,42.381
1990,29,41.706
1990,30,41.063
1990,31,40.323
1990,32,39.624
1990,33,39.101
1990,34,38.659
1990,35,38.156
1990,36,37.733
1990,37,36.946
1990,38,35.600
1990,39,33.979
1990,40,32.445
1990,41,30.786
1990,42,30.045
1990,43,30.735
1990,44,32.316
1990,45,33.772
1990,46,35.343
1990,47,36.376
1990,48,36.457
1990,49,35.914
1990,50,35.499
1990,51,35.074
1990,52,34.625
1990,53,34.229
1990,54,33.851
1990,55,33.331
1990,56,32.643
1990,57,32.116
1990,58,31.877
1990,59,31.760
1990,60,31.531
1990,61,31.321
1990,62,30.533
1990,63,28.872
1990,64,26.655
1990,65,24.526
1990,66,22.412
1990,67,20.392
1990,68,18.596
1990,69,17.011
1990,70,15.397
1990,71,13.682
1990,72,12.657
1990,73,12.651
1990,74,13.275
1990,75,13.850
1990,76,14.556
1990,77,14.740
1990,78,14.019
1990,79,12.715
1990,80,11.540
1990,81,10.376
1990,82,9.218
1990,83,8.146
1990,84,7.140
1990,85,6.098
1990,86,5.046
1990,87,4.106
1990,88,3.334
1990,89,2.696
1990,90,2.090
1990,91,1.529
1990,92,1.080
1990,93,0.773
1990,94,0.572
1990,95,0.416
1990,96,0.310
1990,97,0.230
1990,98,0.149
1990,99,0.079
1990,100,0.150
1991,0,39.357
1991,1,41.683
1991,2,41.540
1991,3,41.187
1991,4,40.656
1991,5,39.987
1991,6,39.220
1991,7,38.388
1991,8,37.539
1991,9,36.709
1991,10,35.938
1991,11,35.160
1991,12,34.324
1991,13,33.929
1991,14,34.198
1991,15,34.894
1991,16,35.594
1991,17,36.444
1991,18,36.960
1991,19,36.882
1991,20,36.463
1991,21,36.146
1991,22,35.749
1991,23,35.841
1991,24,36.711
1991,25,38.039
1991,26,39.236
1991,27,40.447
1991,28,41.206
1991,29,41.222
1991,30,40.736
1991,31,40.270
1991,32,39.730
1991,33,39.154
1991,34,38.626
1991,35,38.098
1991,36,37.524
1991,37,37.008
1991,38,36.209
1991,39,34.985
1991,40,33.561
1991,41,32.207
1991,42,30.755
1991,43,30.072
1991,44,30.576
1991,45,31.830
1991,46,32.982
1991,47,34.211
1991,48,35.081
1991,49,35.291
1991,50,35.054
1991,51,34.912
1991,52,34.783
1991,53,34.490
1991,54,34.010
1991,55,33.398
1991,56,32.683
1991,57,31.794
1991,58,31.137
1991,59,30.896
1991,60,30.861
1991,61,30.691
1991,62,30.533
1991,63,29.806
1991,64,28.214
1991,65,26.067
1991,66,24.010
1991,67,21.973
1991,68,19.987
1991,69,18.156
1991,70,16.490
1991,71,14.801
1991,72,13.011
1991,73,11.902
1991,74,11.807
1991,75,12.340
1991,76,12.828
1991,77,13.442
1991,78,13.575
1991,79,12.864
1991,80,11.609
1991,81,10.487
1991,82,9.384
1991,83,8.292
1991,84,7.288
1991,85,6.352
1991,86,5.387
1991,87,4.414
1991,88,3.556
1991,89,2.866
1991,90,2.308
1991,91,1.781
1991,92,1.298
1991,93,0.913
1991,94,0.648
1991,95,0.473
