year,age,population
1990,0,19198.387
1990,1,18486.052
1990,2,17814.656
1990,3,17181.388
1990,4,16583.409
1990,5,16017.902
1990,6,15482.050
1990,7,14973.006
1990,8,14487.968
1990,9,14024.097
1990,10,13582.314
1990,11,13163.495
1990,12,12746.180
1990,13,12320.050
1990,14,11893.474
1990,15,11483.074
1990,16,11083.012
1990,17,10705.468
1990,18,10357.318
1990,19,10030.527
1990,20,9710.135
1990,21,9399.246
1990,22,9087.946
1990,23,8769.820
1990,24,8449.261
1990,25,8138.341
1990,26,7836.129
1990,27,7534.764
1990,28,7232.015
1990,29,6931.447
1990,30,6639.844
1990,31,6357.143
1990,32,6084.275
1990,33,5822.882
1990,34,5573.599
1990,35,5333.747
1990,36,5101.685
1990,37,4893.032
1990,38,4714.578
1990,39,4558.769
1990,40,4409.786
1990,41,4269.117
1990,42,4135.701
1990,43,4006.895
1990,44,3882.100
1990,45,3764.450
1990,46,3654.506
1990,47,3538.415
1990,48,3409.957
1990,49,3274.930
1990,50,3144.505
1990,51,3015.383
1990,52,2895.602
1990,53,2790.020
1990,54,2693.901
1990,55,2597.784
1990,56,2503.573
1990,57,2407.740
1990,58,2307.583
1990,59,2204.922
1990,60,2104.325
1990,61,2004.951
1990,62,1905.670
1990,63,1806.410
1990,64,1707.304
1990,65,1609.015
1990,66,1511.922
1990,67,1414.172
1990,68,1315.054
1990,69,1215.785
1990,70,1118.586
1990,71,1023.491
1990,72,930.700
1990,73,840.713
1990,74,753.859
1990,75,670.199
1990,76,589.966
1990,77,514.516
1990,78,444.635
1990,79,380.138
1990,80,319.793
1990,81,263.458
1990,82,214.174
1990,83,173.204
1990,84,139.163
1990,85,108.964
1990,86,82.638
1990,87,61.196
1990,88,44.619
1990,89,32.129
1990,90,22.644
1990,91,16.140
1990,92,11.161
1990,93,6.948
1990,94,3.598
1990,95,2.219
1990,96,1.794
1990,97,1.437
1990,98,0.899
1990,99,0.244
1990,100,0.441
1991,0,19528.645
1991,1,18909.531
1991,2,18240.109
1991,3,17609.919
1991,4,17015.397
1991,5,16452.940
1991,6,15920.940
1991,7,15417.806
1991,8,14930.000
1991,9,14449.979
1991,10,13980.099
1991,11,13531.407
1991,12,13102.987
1991,13,12677.740
1991,14,12248.618
1991,15,11822.131
1991,16,11409.653
1991,17,11006.263
1991,18,10626.952
1991,19,10279.442
1991,20,9954.942
1991,21,9636.843
1991,22,9328.551
1991,23,9019.848
1991,24,8703.984
1991,25,8385.557
1991,26,8077.021
1991,27,7777.291
1991,28,7478.653
1991,29,7178.945
1991,30,6881.569
1991,31,6593.031
1991,32,6313.342
1991,33,6042.922
1991,34,5783.139
1991,35,5534.840
1991,36,5295.901
1991,37,5064.634
1991,38,4856.353
1991,39,4677.754
1991,40,4521.467
1991,41,4371.851
1991,42,4230.306
1991,43,4096.330
1991,44,3967.543
1991,45,3843.104
1991,46,3725.629
1991,47,3615.822
1991,48,3499.559
1991,49,3370.453
1991,50,3234.456
1991,51,3103.017
1991,52,2972.750
1991,53,2851.954
1991,54,2745.637
1991,55,2648.908
1991,56,2552.068
1991,57,2457.176
1991,58,2360.103
1991,59,2257.873
1991,60,2152.631
1991,61,2049.585
1991,62,1947.807
1991,63,1846.405
1991,64,1745.526
1991,65,1645.198
1991,66,1545.823
1991,67,1447.828
1991,68,1349.516
1991,69,1250.180
1991,70,1151.062
1991,71,1054.328
1991,72,959.975
1991,73,868.466
1991,74,780.375
1991,75,695.925
1991,76,614.906
1991,77,537.492
1991,78,465.401
1991,79,399.495
1991,80,339.416
1991,81,283.522
1991,82,231.692
1991,83,186.756
1991,84,149.817
1991,85,119.531
1991,86,92.871
1991,87,70.226
1991,88,51.869
1991,89,37.544
1991,90,26.678
1991,91,18.710
1991,92,13.372
1991,93,9.290
1991,94,5.779
1991,95,2.944
1991,96,1.881
1991,97,1.520
1991,98,0.951
1991,99,0.262
1991,100,0.460
1992,0,19895.796
1992,1,19178.330
1992,2,18643.367
1992,3,18015.400
1992,4,17425.158
1992,5,16868.291
1992,6,16340.400
1992,7,15841.099
1992,8,15369.979
1992,9,14902.804
1992,10,14427.270
1992,11,13950.891
1992,12,13494.867
1992,13,13056.521
1992,14,12622.921
1992,15,12190.264
1992,16,11763.259
1992,17,11348.132
1992,18,10940.855
1992,19,10559.255
1992,20,10211.889
1992,21,9889.192
1992,22,9572.922
1992,23,9266.767
1992,24,8960.244
1992,25,8646.261
1992,26,8329.598
1992,27,8023.124
1992,28,7725.554
1992,29,7429.337
1992,30,7132.415
1992,31,6837.955
1992,32,6552.232
1992,33,6275.328
1992,34,6007.151
1992,35,5748.780
1992,36,5501.306
1992,37,5263.110
1992,38,5032.490
1992,39,4824.434
1992,40,4645.570
1992,41,4488.646
1992,42,4338.272
1992,43,4195.729
1992,44,4061.071
1992,45,3932.164
1992,46,3807.957
1992,47,3690.530
1992,48,3580.736
1992,49,3464.169
1992,50,3334.276
1992,51,3197.171
1992,52,3064.594
1992,53,2933.038
1992,54,2811.099
1992,55,2703.929
1992,56,2606.456
1992,57,2508.776
1992,58,2413.079
1992,59,2314.661
1992,60,2210.251
1992,61,2102.340
1992,62,1996.749
1992,63,1892.471
1992,64,1788.869
1992,65,1686.292
1992,66,1584.673
1992,67,1484.129
1992,68,1385.195
1992,69,1286.219
1992,70,1186.581
1992,71,1087.501
1992,72,991.113
1992,73,897.414
1992,74,807.087
1992,75,720.800
1992,76,638.696
1992,77,560.246
1992,78,485.580
1992,79,416.767
1992,80,354.792
1992,81,299.056
1992,82,247.545
1992,83,200.159
1992,84,159.532
1992,85,126.593
1992,86,100.028
1992,87,76.859
1992,88,57.895
1992,89,42.586
1992,90,30.509
1992,91,21.259
1992,92,14.787
1992,93,10.627
1992,94,7.430
1992,95,4.611
1992,96,2.297
1992,97,1.590
1992,98,0.986
1992,99,0.286
1992,100,0.485
1993,0,20293.474
1993,1,19560.829
1993,2,18882.877
1993,3,18388.874
1993,4,17801.704
1993,5,17250.827
1993,6,16731.102
1993,7,16237.356
1993,8,15770.353
1993,9,15330.936
1993,10,14884.097
1993,11,14412.766
1993,12,13929.640
1993,13,13466.079
1993,14,13017.582
1993,15,12575.419
1993,16,12138.923
1993,17,11711.062
1993,18,11292.976
1993,19,10881.502
1993,20,10497.309
1993,21,10149.832
1993,22,9828.716
1993,23,9514.040
1993,24,9209.810
1993,25,8905.247
1993,26,8592.979
1993,27,8277.915
1993,28,7973.343
1993,29,7677.786
1993,30,7383.862
1993,31,7089.571
1993,32,6797.896
1993,33,6514.870
1993,34,6240.623
1993,35,5974.567
1993,36,5717.504
1993,37,5470.714
1993,38,5233.164
1993,39,5003.082
1993,40,4795.142
1993,41,4615.914
1993,42,4458.279
1993,43,4307.059
1993,44,4163.438
1993,45,4028.002
1993,46,3898.921
1993,47,3774.845
1993,48,3657.396
1993,49,3547.537
1993,50,3430.598
1993,51,3299.850
1993,52,3161.567
1993,53,3027.782
1993,54,2894.872
1993,55,2771.737
1993,56,2663.634
1993,57,2565.381
1993,58,2466.799
1993,59,2370.240
1993,60,2270.422
1993,61,2163.786
1993,62,2053.135
1993,63,1944.956
1993,64,1838.108
1993,65,1732.256
1993,66,1627.927
1993,67,1524.978
1993,68,1423.212
1993,69,1323.254
1993,70,1223.592
1993,71,1123.586
1993,72,1024.480
1993,73,928.381
1993,74,835.287
1993,75,746.073
1993,76,661.561
1993,77,581.768
1993,78,505.842
1993,79,433.897
1993,80,368.346
1993,81,310.260
1993,82,258.839
1993,83,211.692
1993,84,168.722
1993,85,132.374
1993,86,103.424
1993,87,80.558
1993,88,60.892
1993,89,45.577
1993,90,33.327
1993,91,23.480
