year,age,population
1990,0,61.913
1990,1,62.067
1990,2,62.205
1990,3,62.310
1990,4,62.377
1990,5,62.395
1990,6,62.354
1990,7,62.242
1990,8,62.053
1990,9,61.773
1990,10,61.424
1990,11,61.021
1990,12,60.416
1990,13,59.546
1990,14,58.482
1990,15,57.392
1990,16,56.274
1990,17,55.069
1990,18,53.768
1990,19,52.426
1990,20,51.041
1990,21,49.545
1990,22,48.371
1990,23,47.709
1990,24,47.341
1990,25,46.886
1990,26,46.452
1990,27,45.662
1990,28,44.302
1990,29,42.561
1990,30,40.874
1990,31,39.194
1990,32,37.440
1990,33,35.630
1990,34,33.802
1990,35,32.016
1990,36,30.295
1990,37,28.685
1990,38,27.234
1990,39,25.959
1990,40,24.745
1990,41,23.506
1990,42,22.862
1990,43,23.067
1990,44,23.804
1990,45,24.527
1990,46,25.397
1990,47,25.797
1990,48,25.386
1990,49,24.456
1990,50,23.644
1990,51,22.815
1990,52,22.105
1990,53,21.638
1990,54,21.321
1990,55,20.920
1990,56,20.455
1990,57,20.035
1990,58,19.678
1990,59,19.340
1990,60,18.968
1990,61,18.578
1990,62,18.048
1990,63,17.305
1990,64,16.414
1990,65,15.529
1990,66,14.671
1990,67,13.653
1990,68,12.413
1990,69,11.058
1990,70,9.726
1990,71,8.344
1990,72,7.302
1990,73,6.800
1990,74,6.644
1990,75,6.460
1990,76,6.338
1990,77,6.082
1990,78,5.561
1990,79,4.881
1990,80,4.280
1990,81,3.713
1990,82,3.187
1990,83,2.729
1990,84,2.323
1990,85,1.928
1990,86,1.551
1990,87,1.221
1990,88,0.953
1990,89,0.733
1990,90,0.538
1990,91,0.365
1990,92,0.236
1990,93,0.149
1990,94,0.100
1990,95,0.067
1990,96,0.058
1990,97,0.049
1990,98,0.032
1990,99,0.011
1990,100,0.017
1991,0,62.093
1991,1,61.866
1991,2,61.915
1991,3,61.980
1991,4,62.040
1991,5,62.086
1991,6,62.108
1991,7,62.094
1991,8,62.009
1991,9,61.836
1991,10,61.568
1991,11,61.243
1991,12,60.870
1991,13,60.311
1991,14,59.503
1991,15,58.514
1991,16,57.498
1991,17,56.452
1991,18,55.311
1991,19,54.059
1991,20,52.751
1991,21,51.399
1991,22,49.935
1991,23,48.777
1991,24,48.108
1991,25,47.719
1991,26,47.239
1991,27,46.776
1991,28,45.958
1991,29,44.572
1991,30,42.809
1991,31,41.097
1991,32,39.388
1991,33,37.608
1991,34,35.778
1991,35,33.931
1991,36,32.126
1991,37,30.386
1991,38,28.758
1991,39,27.291
1991,40,26.001
1991,41,24.771
1991,42,23.519
1991,43,22.857
1991,44,23.036
1991,45,23.745
1991,46,24.439
1991,47,25.279
1991,48,25.656
1991,49,25.226
1991,50,24.283
1991,51,23.457
1991,52,22.614
1991,53,21.889
1991,54,21.404
1991,55,21.068
1991,56,20.648
1991,57,20.167
1991,58,19.726
1991,59,19.344
1991,60,18.979
1991,61,18.582
1991,62,18.168
1991,63,17.615
1991,64,16.851
1991,65,15.941
1991,66,15.039
1991,67,14.162
1991,68,13.137
1991,69,11.910
1991,70,10.578
1991,71,9.271
1991,72,7.917
1991,73,6.889
1991,74,6.375
1991,75,6.192
1991,76,5.985
1991,77,5.843
1991,78,5.577
1991,79,5.068
1991,80,4.415
1991,81,3.840
1991,82,3.298
1991,83,2.804
1991,84,2.382
1991,85,2.016
1991,86,1.662
1991,87,1.326
1991,88,1.036
1991,89,0.802
1991,90,0.611
1991,91,0.447
1991,92,0.303
1991,93,0.196
1991,94,0.122
1991,95,0.081
1991,96,0.056
1991,97,0.049
1991,98,0.030
1991,99,0.010
1991,100,0.017
1992,0,63.757
1992,1,63.217
1992,2,62.213
1992,3,62.158
1992,4,62.148
1992,5,62.166
1992,6,62.191
1992,7,62.217
1992,8,62.229
1992,9,62.172
1992,10,62.013
1992,11,61.754
1992,12,61.452
1992,13,61.107
1992,14,60.589
1992,15,59.839
1992,16,58.919
1992,17,57.967
1992,18,56.990
1992,19,55.904
1992,20,54.692
1992,21,53.411
1992,22,52.083
1992,23,50.641
1992,24,49.490
1992,25,48.812
1992,26,48.399
1992,27,47.892
1992,28,47.397
1992,29,46.544
1992,30,45.125
1992,31,43.329
1992,32,41.579
1992,33,39.832
1992,34,38.016
1992,35,36.151
1992,36,34.276
1992,37,32.441
1992,38,30.669
1992,39,29.014
