year,age,population
1990,0,50.819
1990,1,50.892
1990,2,50.776
1990,3,50.481
1990,4,50.022
1990,5,49.416
1990,6,48.673
1990,7,47.809
1990,8,46.836
1990,9,45.767
1990,10,44.617
1990,11,43.392
1990,12,42.123
1990,13,40.828
1990,14,39.511
1990,15,38.150
1990,16,36.738
1990,17,35.391
1990,18,34.172
1990,19,33.021
1990,20,31.858
1990,21,30.735
1990,22,29.468
1990,23,27.969
1990,24,26.343
1990,25,24.780
1990,26,23.241
1990,27,21.870
1990,28,20.753
1990,29,19.831
1990,30,18.923
1990,31,18.040
1990,32,17.302
1990,33,16.741
1990,34,16.297
1990,35,15.887
1990,36,15.524
1990,37,15.096
1990,38,14.534
1990,39,13.886
1990,40,13.299
1990,41,12.783
1990,42,12.158
1990,43,11.360
1990,44,10.486
1990,45,9.660
1990,46,8.811
1990,47,8.305
1990,48,8.318
1990,49,8.669
1990,50,8.983
1990,51,9.328
1990,52,9.581
1990,53,9.651
1990,54,9.584
1990,55,9.555
1990,56,9.562
1990,57,9.395
1990,58,8.979
1990,59,8.407
1990,60,7.832
1990,61,7.206
1990,62,6.716
1990,63,6.458
1990,64,6.345
1990,65,6.191
1990,66,6.044
1990,67,5.821
1990,68,5.466
1990,69,5.031
1990,70,4.620
1990,71,4.215
1990,72,3.831
1990,73,3.489
1990,74,3.177
1990,75,2.864
1990,76,2.556
1990,77,2.270
1990,78,2.016
1990,79,1.785
1990,80,1.567
1990,81,1.367
1990,82,1.172
1990,83,0.981
1990,84,0.793
1990,85,0.624
1990,86,0.467
1990,87,0.340
1990,88,0.253
1990,89,0.194
1990,90,0.143
1990,91,0.105
1990,92,0.076
1990,93,0.049
1990,94,0.030
1990,95,0.018
1990,96,0.013
1990,97,0.012
1990,98,0.006
1990,99,0.001
1990,100,0.004
1991,0,51.214
1991,1,50.733
1991,2,50.685
1991,3,50.492
1991,4,50.153
1991,5,49.678
1991,6,49.086
1991,7,48.388
1991,8,47.543
1991,9,46.532
1991,10,45.396
1991,11,44.192
1991,12,42.917
1991,13,41.626
1991,14,40.353
1991,15,39.087
1991,16,37.771
1991,17,36.410
1991,18,35.090
1991,19,33.859
1991,20,32.671
1991,21,31.478
1991,22,30.327
1991,23,29.038
1991,24,27.526
1991,25,25.896
1991,26,24.328
1991,27,22.780
1991,28,21.420
1991,29,20.339
1991,30,19.469
1991,31,18.613
1991,32,17.784
1991,33,17.090
1991,34,16.550
1991,35,16.115
1991,36,15.717
1991,37,15.364
1991,38,14.946
1991,39,14.394
1991,40,13.755
1991,41,13.175
1991,42,12.662
1991,43,12.044
1991,44,11.258
1991,45,10.399
1991,46,9.587
1991,47,8.750
1991,48,8.249
1991,49,8.252
1991,50,8.585
1991,51,8.882
1991,52,9.208
1991,53,9.445
1991,54,9.502
1991,55,9.425
1991,56,9.386
1991,57,9.380
1991,58,9.206
1991,59,8.789
1991,60,8.220
1991,61,7.648
1991,62,7.027
1991,63,6.535
1991,64,6.265
1991,65,6.132
1991,66,5.962
1991,67,5.797
1991,68,5.562
1991,69,5.206
1991,70,4.775
1991,71,4.368
1991,72,3.969
1991,73,3.590
1991,74,3.256
1991,75,2.950
1991,76,2.647
1991,77,2.348
1991,78,2.074
1991,79,1.829
1991,80,1.607
1991,81,1.399
1991,82,1.209
1991,83,1.027
1991,84,0.854
1991,85,0.686
1991,86,0.536
1991,87,0.399
1991,88,0.289
1991,89,0.212
1991,90,0.162
1991,91,0.118
1991,92,0.087
1991,93,0.064
1991,94,0.040
1991,95,0.025
1991,96,0.014
1991,97,0.012
1991,98,0.006
1991,99,0.001
1991,100,0.004
1992,0,51.867
1992,1,51.660
1992,2,50.678
1992,3,50.512
1992,4,50.239
1992,5,49.858
1992,6,49.366
1992,7,48.785
1992,8,48.135
1992,9,47.307
1992,10,46.259
1992,11,45.052
1992,12,43.795
1992,13,42.470
1992,14,41.155
1992,15,39.904
1992,16,38.687
1992,17,37.416
1992,18,36.104
1992,19,34.812
1992,20,33.567
1992,21,32.341
1992,22,31.119
1992,23,29.938
1992,24,28.626
1992,25,27.101
1992,26,25.464
1992,27,23.891
1992,28,22.335
1992,29,20.982
1992,30,19.938
1992,31,19.120
1992,32,18.314
1992,33,17.540
1992,34,16.887
1992,35,16.370
1992,36,15.944
1992,37,15.555
1992,38,15.215
1992,39,14.806
1992,40,14.263
1992,41,13.633
1992,42,13.058
1992,43,12.549
1992,44,11.937
1992,45,11.163
1992,46,10.320
1992,47,9.519
1992,48,8.696
1992,49,8.197
1992,50,8.192
1992,51,8.506
1992,52,8.787
1992,53,9.093
1992,54,9.315
1992,55,9.359
1992,56,9.272
1992,57,9.223
1992,58,9.205
1992,59,9.022
