year,age,population
1990,0,119537.544
1990,1,116334.075
1990,2,113194.475
1990,3,110137.613
1990,4,107182.358
1990,5,104347.674
1990,6,101652.417
1990,7,99115.463
1990,8,96755.757
1990,9,94592.174
1990,10,92542.894
1990,11,90526.003
1990,12,89064.177
1990,13,88377.742
1990,14,88183.360
1990,15,87964.268
1990,16,87808.013
1990,17,87390.028
1990,18,86491.061
1990,19,85235.389
1990,20,84010.748
1990,21,82792.718
1990,22,81212.434
1990,23,79141.786
1990,24,76740.008
1990,25,74325.200
1990,26,71871.027
1990,27,69430.438
1990,28,67074.128
1990,29,64806.745
1990,30,62480.690
1990,31,60027.723
1990,32,58054.846
1990,33,56818.369
1990,34,56011.516
1990,35,55159.121
1990,36,54461.199
1990,37,53103.783
1990,38,50667.279
1990,39,47577.288
1990,40,44669.150
1990,41,41764.142
1990,42,39266.909
1990,43,37459.498
1990,44,36137.656
1990,45,34777.283
1990,46,33437.607
1990,47,32347.390
1990,48,31553.420
1990,49,30961.192
1990,50,30429.928
1990,51,29988.228
1990,52,29434.570
1990,53,28654.380
1990,54,27724.668
1990,55,26842.792
1990,56,25975.957
1990,57,25060.285
1990,58,24085.891
1990,59,23068.596
1990,60,22041.760
1990,61,21007.670
1990,62,19957.278
1990,63,18892.401
1990,64,17824.250
1990,65,16758.562
1990,66,15689.832
1990,67,14679.030
1990,68,13755.759
1990,69,12894.231
1990,70,12042.400
1990,71,11214.681
1990,72,10383.478
1990,73,9531.115
1990,74,8675.002
1990,75,7854.467
1990,76,7066.776
1990,77,6303.726
1990,78,5566.910
1990,79,4862.351
1990,80,4189.792
1990,81,3557.836
1990,82,2988.894
1990,83,2497.492
1990,84,2071.991
1990,85,1684.705
1990,86,1333.595
1990,87,1038.174
1990,88,802.933
1990,89,617.770
1990,90,464.562
1990,91,343.061
1990,92,247.106
1990,93,170.692
1990,94,112.301
1990,95,74.557
1990,96,57.220
1990,97,43.867
1990,98,27.982
1990,99,12.093
1990,100,27.262
1991,0,117768.098
1991,1,118213.815
1991,2,115451.984
1991,3,112628.216
1991,4,109779.441
1991,5,106942.491
1991,6,104139.354
1991,7,101391.832
1991,8,98811.936
1991,9,96466.669
1991,10,94347.827
1991,11,92300.087
1991,12,90258.146
1991,13,88769.687
1991,14,88060.811
1991,15,87846.976
1991,16,87603.728
1991,17,87419.301
1991,18,86983.568
1991,19,86083.409
1991,20,84837.872
1991,21,83622.654
1991,22,82415.026
1991,23,80847.146
1991,24,78789.938
1991,25,76402.330
1991,26,74002.837
1991,27,71564.872
1991,28,69138.528
1991,29,66793.035
1991,30,64533.786
1991,31,62215.873
1991,32,59771.171
1991,33,57802.665
1991,34,56565.169
1991,35,55753.795
1991,36,54896.436
1991,37,54191.991
1991,38,52831.043
1991,39,50396.399
1991,40,47311.401
1991,41,44406.603
1991,42,41504.081
1991,43,39007.652
1991,44,37198.392
1991,45,35872.471
1991,46,34507.461
1991,47,33162.495
1991,48,32064.248
1991,49,31258.734
1991,50,30652.315
1991,51,30106.050
1991,52,29648.310
1991,53,29078.017
1991,54,28281.036
1991,55,27334.266
1991,56,26434.840
1991,57,25550.425
1991,58,24616.262
1991,59,23622.157
1991,60,22584.675
1991,61,21538.324
1991,62,20485.143
1991,63,19417.772
1991,64,18338.975
1991,65,17259.373
1991,66,16183.637
1991,67,15107.046
1991,68,14088.551
1991,69,13156.772
1991,70,12287.435
1991,71,11430.742
1991,72,10600.611
1991,73,9772.275
1991,74,8929.695
1991,75,8089.055
1991,76,7286.100
1991,77,6518.233
1991,78,5780.641
1991,79,5076.030
1991,80,4408.569
1991,81,3774.597
1991,82,3181.461
1991,83,2652.535
1991,84,2201.800
1991,85,1816.798
1991,86,1469.058
1991,87,1157.548
1991,88,896.806
1991,89,689.038
1991,90,525.797
1991,91,393.349
1991,92,290.638
1991,93,209.636
1991,94,144.115
1991,95,93.309
1991,96,61.294
1991,97,46.245
1991,98,29.104
1991,99,12.433
