year,age,population
1990,0,79.531
1990,1,76.786
1990,2,74.153
1990,3,71.628
1990,4,69.202
1990,5,66.870
1990,6,64.627
1990,7,62.465
1990,8,60.380
1990,9,58.363
1990,10,56.415
1990,11,54.531
1990,12,52.686
1990,13,50.868
1990,14,49.079
1990,15,47.349
1990,16,45.678
1990,17,44.018
1990,18,42.342
1990,19,40.683
1990,20,39.076
1990,21,37.510
1990,22,36.040
1990,23,34.695
1990,24,33.448
1990,25,32.239
1990,26,31.073
1990,27,29.955
1990,28,28.879
1990,29,27.843
1990,30,26.847
1990,31,25.886
1990,32,24.951
1990,33,24.039
1990,34,23.146
1990,35,22.301
1990,36,21.526
1990,37,20.683
1990,38,19.708
1990,39,18.686
1990,40,17.711
1990,41,16.717
1990,42,16.020
1990,43,15.774
1990,44,15.810
1990,45,15.821
1990,46,15.891
1990,47,15.763
1990,48,15.294
1990,49,14.606
1990,50,13.974
1990,51,13.346
1990,52,12.744
1990,53,12.213
1990,54,11.722
1990,55,11.213
1990,56,10.692
1990,57,10.199
1990,58,9.740
1990,59,9.308
1990,60,8.877
1990,61,8.452
1990,62,8.033
1990,63,7.620
1990,64,7.213
1990,65,6.810
1990,66,6.421
1990,67,6.002
1990,68,5.538
1990,69,5.047
1990,70,4.571
1990,71,4.103
1990,72,3.659
1990,73,3.257
1990,74,2.885
1990,75,2.527
1990,76,2.185
1990,77,1.866
1990,78,1.572
1990,79,1.301
1990,80,1.051
1990,81,0.824
1990,82,0.631
1990,83,0.483
1990,84,0.370
1990,85,0.275
1990,86,0.194
1990,87,0.134
1990,88,0.088
1990,89,0.053
1990,90,0.031
1990,91,0.024
1990,92,0.017
1990,93,0.011
1990,94,0.004
1990,95,0.001
1990,96,0.002
1990,97,0.000
1990,98,0.002
1990,99,0.000
1990,100,0.000
1991,0,75.589
1991,1,74.803
1991,2,72.312
1991,3,69.945
1991,4,67.689
1991,5,65.531
1991,6,63.468
1991,7,61.502
1991,8,59.559
1991,9,57.604
1991,10,55.657
1991,11,53.777
1991,12,51.951
1991,13,50.167
1991,14,48.425
1991,15,46.720
1991,16,45.061
1991,17,43.453
1991,18,41.859
1991,19,40.255
1991,20,38.672
1991,21,37.137
1991,22,35.641
1991,23,34.239
1991,24,32.960
1991,25,31.775
1991,26,30.627
1991,27,29.521
1991,28,28.459
1991,29,27.436
1991,30,26.449
1991,31,25.500
1991,32,24.585
1991,33,23.694
1991,34,22.826
1991,35,21.976
1991,36,21.172
1991,37,20.435
1991,38,19.630
1991,39,18.696
1991,40,17.715
1991,41,16.780
1991,42,15.825
1991,43,15.157
1991,44,14.923
1991,45,14.962
1991,46,14.976
1991,47,15.046
1991,48,14.925
1991,49,14.472
1991,50,13.807
1991,51,13.196
1991,52,12.588
1991,53,12.007
1991,54,11.493
1991,55,11.019
1991,56,10.529
1991,57,10.025
1991,58,9.548
1991,59,9.104
1991,60,8.683
1991,61,8.265
1991,62,7.852
1991,63,7.445
1991,64,7.044
1991,65,6.647
1991,66,6.256
1991,67,5.878
1991,68,5.475
1991,69,5.030
1991,70,4.563
1991,71,4.111
1991,72,3.667
1991,73,3.251
1991,74,2.876
1991,75,2.534
1991,76,2.205
1991,77,1.893
1991,78,1.604
1991,79,1.342
1991,80,1.105
1991,81,0.887
1991,82,0.690
1991,83,0.524
1991,84,0.399
1991,85,0.302
1991,86,0.224
1991,87,0.158
1991,88,0.109
1991,89,0.072
1991,90,0.042
1991,91,0.024
1991,92,0.020
1991,93,0.013
1991,94,0.009
1991,95,0.003
1991,96,0.002
1991,97,0.000
1991,98,0.002
1991,99,0.000
1991,100,0.000
1992,0,72.088
1992,1,69.699
1992,2,70.423
1992,3,68.172
1992,4,66.056
1992,5,64.054
1992,6,62.148
1992,7,60.342
1992,8,58.638
1992,9,56.902
1992,10,55.066
1992,11,53.182
1992,12,51.364
1992,13,49.590
1992,14,47.860
1992,15,46.186
1992,16,44.558
1992,17,42.964
1992,18,41.413
1992,19,39.878
1992,20,38.341
1992,21,36.825
1992,22,35.357
1992,23,33.926
1992,24,32.586
1992,25,31.366
1992,26,30.239
1992,27,29.147
1992,28,28.095
1992,29,27.086
1992,30,26.111
1992,31,25.168
1992,32,24.263
1992,33,23.390
1992,34,22.539
1992,35,21.712
1992,36,20.902
1992,37,20.134
1992,38,19.432
1992,39,18.661
1992,40,17.767
1992,41,16.822
1992,42,15.922
1992,43,15.004
1992,44,14.360
1992,45,14.139
1992,46,14.180
1992,47,14.198
1992,48,14.268
1992,49,14.152
1992,50,13.715
1992,51,13.070
1992,52,12.477
1992,53,11.888
1992,54,11.324
1992,55,10.826
1992,56,10.369
1992,57,9.894
1992,58,9.406
1992,59,8.944
1992,60,8.511
1992,61,8.102
1992,62,7.694
1992,63,7.293
1992,64,6.896
1992,65,6.505
1992,66,6.117
1992,67,5.736
1992,68,5.369
1992,69,4.979
1992,70,4.553
1992,71,4.107
1992,72,3.676
1992,73,3.256
1992,74,2.864
1992,75,2.515
1992,76,2.201
1992,77,1.900
1992,78,1.615
1992,79,1.356
1992,80,1.124
1992,81,0.918
1992,82,0.730
1992,83,0.563
1992,84,0.423
1992,85,0.317
1992,86,0.238
1992,87,0.175
1992,88,0.123
1992,89,0.086
1992,90,0.056
1992,91,0.031
1992,92,0.019
1992,93,0.015
1992,94,0.010
1992,95,0.007
1992,96,0.002
1992,97,0.000
1992,98,0.002
1992,99,0.000
1992,100,0.000
1993,0,70.126
1993,1,67.698
1993,2,65.462
1993,3,66.793
1993,4,64.755
1993,5,62.863
1993,6,61.094
1993,7,59.416
1993,8,57.842
1993,9,56.381
1993,10,54.830
1993,11,53.095
1993,12,51.254
1993,13,49.480
1993,14,47.740
1993,15,46.046
1993,16,44.424
1993,17,42.857
1993,18,41.311
1993,19,39.802
1993,20,38.310
1993,21,36.824
1993,22,35.361
1993,23,33.944
1993,24,32.562
1993,25,31.271
1993,26,30.098
1993,27,29.017
1993,28,27.969
1993,29,26.962
1993,30,25.993
1993,31,25.056
1993,32,24.150
1993,33,23.278
1993,34,22.437
1993,35,21.619
1993,36,20.823
1993,37,20.044
1993,38,19.307
1993,39,18.631
1993,40,17.887
1993,41,17.021
1993,42,16.105
1993,43,15.232
1993,44,14.338
1993,45,13.715
1993,46,13.503
1993,47,13.547
1993,48,13.568
1993,49,13.639
1993,50,13.528
1993,51,13.101
1993,52,12.470
1993,53,11.891
1993,54,11.312
1993,55,10.762
1993,56,10.274
1993,57,9.829
1993,58,9.364
1993,59,8.889
1993,60,8.435
1993,61,8.011
1993,62,7.608
1993,63,7.207
1993,64,6.813
1993,65,6.424
1993,66,6.038
1993,67,5.656
1993,68,5.281
1993,69,4.920
1993,70,4.541
1993,71,4.127
1993,72,3.700
1993,73,3.285
1993,74,2.884
1993,75,2.513
1993,76,2.185
1993,77,1.896
1993,78,1.619
1993,79,1.359
1993,80,1.125
1993,81,0.921
1993,82,0.744
1993,83,0.584
1993,84,0.443
1993,85,0.327
1993,86,0.242
1993,87,0.177
1993,88,0.128
1993,89,0.092
1993,90,0.063
1993,91,0.041
1993,92,0.021
1993,93,0.013
1993,94,0.011
1993,95,0.007
1993,96,0.005
1993,97,0.001
1993,98,0.002
1993,99,0.000
1993,100,0.000
1994,0,71.044
1994,1,68.348
1994,2,65.929
1994,3,63.756
1994,4,64.302
1994,5,62.444
1994,6,60.745
1994,7,59.177
1994,8,57.700
1994,9,56.333
1994,10,55.088
1994,11,53.698
1994,12,52.034
1994,13,50.204
1994,14,48.445
1994,15,46.707
1994,16,45.022
1994,17,43.423
1994,18,41.889
1994,19,40.366
1994,20,38.872
1994,21,37.399
1994,22,35.937
1994,23,34.502
1994,24,33.112
1994,25,31.756
1994,26,30.491
1994,27,29.346
1994,28,28.290
1994,29,27.270
1994,30,26.290
1994,31,25.346
1994,32,24.431
1994,33,23.544
1994,34,22.692
1994,35,21.868
1994,36,21.069
1994,37,20.291
1994,38,19.530
1994,39,18.809
1994,40,18.149
1994,41,17.419
1994,42,16.567
1994,43,15.663
1994,44,14.801
1994,45,13.919
1994,46,13.304
1994,47,13.097
1994,48,13.146
1994,49,13.170
1994,50,13.244
1994,51,13.135
1994,52,12.711
1994,53,12.084
1994,54,11.506
1994,55,10.931
1994,56,10.383
1994,57,9.898
1994,58,9.457
1994,59,8.994
1994,60,8.522
1994,61,8.071
1994,62,7.648
1994,63,7.243
1994,64,6.843
1994,65,6.449
1994,66,6.060
1994,67,5.674
1994,68,5.290
1994,69,4.916
1994,70,4.555
1994,71,4.178
1994,72,3.773
1994,73,3.353
1994,74,2.951
1994,75,2.560
1994,76,2.203
1994,77,1.892
1994,78,1.623
1994,79,1.364
1994,80,1.125
1994,81,0.913
1994,82,0.733
1994,83,0.582
1994,84,0.448
1994,85,0.329
1994,86,0.238
1994,87,0.170
1994,88,0.119
1994,89,0.084
1994,90,0.060
1994,91,0.042
1994,92,0.027
1994,93,0.011
1994,94,0.008
1994,95,0.006
1994,96,0.004
1994,97,0.003
1994,98,0.001
1994,99,0.000
1994,100,0.000
1995,0,75.718
1995,1,72.480
1995,2,69.631
1995,3,67.130
1995,4,64.934
1995,5,63.000
1995,6,61.290
1995,7,59.759
1995,8,58.368
1995,9,57.072
1995,10,55.893
1995,11,54.849
1995,12,53.597
1995,13,51.974
1995,14,50.120
1995,15,48.338
1995,16,46.571
1995,17,44.859
1995,18,43.253
1995,19,41.723
1995,20,40.192
1995,21,38.685
1995,22,37.200
1995,23,35.735
1995,24,34.301
1995,25,32.910
1995,26,31.555
1995,27,30.291
1995,28,29.151
1995,29,28.103
1995,30,27.090
1995,31,26.118
1995,32,25.181
1995,33,24.270
1995,34,23.386
1995,35,22.537
1995,36,21.716
1995,37,20.919
