year,age,population
1990,0,130.758
1990,1,128.921
1990,2,127.403
1990,3,126.142
1990,4,125.089
1990,5,124.180
1990,6,123.364
1990,7,122.579
1990,8,121.773
1990,9,120.885
1990,10,119.933
1990,11,118.935
1990,12,117.466
1990,13,115.326
1990,14,112.677
1990,15,109.935
1990,16,107.083
1990,17,103.875
1990,18,100.251
1990,19,96.342
1990,20,92.386
1990,21,88.401
1990,22,84.405
1990,23,80.451
1990,24,76.593
1990,25,72.775
1990,26,68.948
1990,27,65.687
1990,28,63.254
1990,29,61.387
1990,30,59.540
1990,31,57.788
1990,32,56.064
1990,33,54.270
1990,34,52.426
1990,35,50.718
1990,36,49.188
1990,37,47.317
1990,38,44.890
1990,39,42.160
1990,40,39.549
1990,41,36.914
1990,42,34.800
1990,43,33.502
1990,44,32.743
1990,45,31.957
1990,46,31.258
1990,47,30.461
1990,48,29.410
1990,49,28.211
1990,50,27.124
1990,51,26.092
1990,52,25.100
1990,53,24.164
1990,54,23.272
1990,55,22.386
1990,56,21.513
1990,57,20.648
1990,58,19.789
1990,59,18.936
1990,60,18.089
1990,61,17.244
1990,62,16.417
1990,63,15.608
1990,64,14.810
1990,65,14.019
1990,66,13.252
1990,67,12.416
1990,68,11.471
1990,69,10.467
1990,70,9.492
1990,71,8.524
1990,72,7.643
1990,73,6.891
1990,74,6.237
1990,75,5.597
1990,76,4.988
1990,77,4.413
1990,78,3.862
1990,79,3.338
1990,80,2.860
1990,81,2.418
1990,82,2.018
1990,83,1.661
1990,84,1.342
1990,85,1.059
1990,86,0.801
1990,87,0.595
1990,88,0.439
1990,89,0.327
1990,90,0.238
1990,91,0.172
1990,92,0.121
1990,93,0.077
1990,94,0.043
1990,95,0.026
1990,96,0.020
1990,97,0.017
1990,98,0.009
1990,99,0.000
1990,100,0.004
1991,0,125.945
1991,1,129.600
1991,2,128.416
1991,3,127.313
1991,4,126.269
1991,5,125.270
1991,6,124.259
1991,7,123.180
1991,8,122.207
1991,9,121.399
1991,10,120.622
1991,11,119.702
1991,12,118.696
1991,13,117.223
1991,14,115.088
1991,15,112.449
1991,16,109.715
1991,17,106.872
1991,18,103.673
1991,19,100.063
1991,20,96.168
1991,21,92.227
1991,22,88.255
1991,23,84.270
1991,24,80.320
1991,25,76.461
1991,26,72.644
1991,27,68.815
1991,28,65.549
1991,29,63.107
1991,30,61.226
1991,31,59.366
1991,32,57.599
1991,33,55.862
1991,34,54.055
1991,35,52.202
1991,36,50.482
1991,37,48.940
1991,38,47.062
1991,39,44.634
1991,40,41.906
1991,41,39.298
1991,42,36.666
1991,43,34.552
1991,44,33.246
1991,45,32.477
1991,46,31.679
1991,47,30.970
1991,48,30.163
