year,age,population
1990,0,56.851
1990,1,57.750
1990,2,58.223
1990,3,58.328
1990,4,58.128
1990,5,57.679
1990,6,57.043
1990,7,56.279
1990,8,55.444
1990,9,54.602
1990,10,53.689
1990,11,52.646
1990,12,52.131
1990,13,52.444
1990,14,53.282
1990,15,54.101
1990,16,55.068
1990,17,55.694
1990,18,55.697
1990,19,55.348
1990,20,55.104
1990,21,54.765
1990,22,54.978
1990,23,56.079
1990,24,57.690
1990,25,59.102
1990,26,60.457
1990,27,61.348
1990,28,61.500
1990,29,61.096
1990,30,60.684
1990,31,60.264
1990,32,59.282
1990,33,57.541
1990,34,55.328
1990,35,53.104
1990,36,50.771
1990,37,48.814
1990,38,47.523
1990,39,46.697
1990,40,45.830
1990,41,44.996
1990,42,44.370
1990,43,43.976
1990,44,43.764
1990,45,43.625
1990,46,43.540
1990,47,43.562
1990,48,43.686
1990,49,43.864
1990,50,44.053
1990,51,44.273
1990,52,44.298
1990,53,44.009
1990,54,43.506
1990,55,42.957
1990,56,42.281
1990,57,41.694
1990,58,41.299
1990,59,40.960
1990,60,40.461
1990,61,39.858
1990,62,38.899
1990,63,37.439
1990,64,35.600
1990,65,33.780
1990,66,32.059
1990,67,29.825
1990,68,26.871
1990,69,23.554
1990,70,20.316
1990,71,16.920
1990,72,14.656
1990,73,14.163
1990,74,14.808
1990,75,15.319
1990,76,15.955
1990,77,16.206
1990,78,15.690
1990,79,14.669
1990,80,13.828
1990,81,13.081
1990,82,12.095
1990,83,10.779
1990,84,9.270
1990,85,7.778
1990,86,6.249
1990,87,4.954
1990,88,4.044
1990,89,3.406
1990,90,2.767
1990,91,2.170
1990,92,1.678
1990,93,1.292
1990,94,0.996
1990,95,0.767
1990,96,0.599
1990,97,0.464
1990,98,0.336
1990,99,0.222
1990,100,0.473
1991,0,54.574
1991,1,56.579
1991,2,57.473
1991,3,57.941
1991,4,58.039
1991,5,57.834
1991,6,57.378
1991,7,56.735
1991,8,55.969
1991,9,55.141
1991,10,54.311
1991,11,53.409
1991,12,52.378
1991,13,51.876
1991,14,52.206
1991,15,53.064
1991,16,53.899
1991,17,54.880
1991,18,55.519
1991,19,55.531
1991,20,55.186
1991,21,54.945
1991,22,54.608
1991,23,54.809
1991,24,55.875
1991,25,57.439
1991,26,58.804
1991,27,60.110
1991,28,60.956
1991,29,61.074
1991,30,60.641
1991,31,60.201
1991,32,59.752
1991,33,58.750
1991,34,57.005
1991,35,54.796
1991,36,52.577
1991,37,50.252
1991,38,48.304
1991,39,47.017
1991,40,46.196
1991,41,45.334
1991,42,44.504
1991,43,43.884
1991,44,43.501
1991,45,43.301
1991,46,43.171
1991,47,43.096
1991,48,43.116
1991,49,43.224
1991,50,43.374
1991,51,43.534
1991,52,43.723
1991,53,43.721
1991,54,43.409
1991,55,42.889
1991,56,42.319
1991,57,41.625
1991,58,41.012
1991,59,40.583
1991,60,40.203
1991,61,39.667
1991,62,39.030
1991,63,38.043
1991,64,36.566
1991,65,34.720
1991,66,32.890
1991,67,31.153
1991,68,28.927
1991,69,26.018
1991,70,22.764
1991,71,19.587
1991,72,16.260
1991,73,14.014
1991,74,13.455
1991,75,13.984
1991,76,14.392
1991,77,14.924
1991,78,15.094
1991,79,14.537
