year,age,population
1990,0,4.761
1990,1,4.718
1990,2,4.669
1990,3,4.613
1990,4,4.553
1990,5,4.493
1990,6,4.430
1990,7,4.372
1990,8,4.318
1990,9,4.272
1990,10,4.238
1990,11,4.220
1990,12,4.207
1990,13,4.198
1990,14,4.199
1990,15,4.217
1990,16,4.239
1990,17,4.339
1990,18,4.560
1990,19,4.856
1990,20,5.146
1990,21,5.437
1990,22,5.714
1990,23,5.947
1990,24,6.147
1990,25,6.346
1990,26,6.541
1990,27,6.670
1990,28,6.707
1990,29,6.676
1990,30,6.636
1990,31,6.576
1990,32,6.504
1990,33,6.435
1990,34,6.362
1990,35,6.270
1990,36,6.160
1990,37,6.056
1990,38,5.969
1990,39,5.887
1990,40,5.802
1990,41,5.722
1990,42,5.605
1990,43,5.432
1990,44,5.227
1990,45,5.031
1990,46,4.831
1990,47,4.685
1990,48,4.628
1990,49,4.632
1990,50,4.628
1990,51,4.635
1990,52,4.626
1990,53,4.586
1990,54,4.525
1990,55,4.468
1990,56,4.402
1990,57,4.364
1990,58,4.371
1990,59,4.397
1990,60,4.409
1990,61,4.423
1990,62,4.367
1990,63,4.207
1990,64,3.978
1990,65,3.755
1990,66,3.539
1990,67,3.307
1990,68,3.071
1990,69,2.839
1990,70,2.600
1990,71,2.341
1990,72,2.181
1990,73,2.169
1990,74,2.245
1990,75,2.311
1990,76,2.391
1990,77,2.391
1990,78,2.256
1990,79,2.032
1990,80,1.828
1990,81,1.623
1990,82,1.426
1990,83,1.256
1990,84,1.102
1990,85,0.942
1990,86,0.784
1990,87,0.642
1990,88,0.523
1990,89,0.426
1990,90,0.334
1990,91,0.250
1990,92,0.180
1990,93,0.131
1990,94,0.094
1990,95,0.065
1990,96,0.045
1990,97,0.030
1990,98,0.017
1990,99,0.007
1990,100,0.015
1991,0,4.942
1991,1,4.842
1991,2,4.789
1991,3,4.731
1991,4,4.666
1991,5,4.602
1991,6,4.538
1991,7,4.475
1991,8,4.415
1991,9,4.358
1991,10,4.306
1991,11,4.270
1991,12,4.249
1991,13,4.241
1991,14,4.251
1991,15,4.279
1991,16,4.321
1991,17,4.369
1991,18,4.490
1991,19,4.726
1991,20,5.031
1991,21,5.329
1991,22,5.631
1991,23,5.908
1991,24,6.133
1991,25,6.319
1991,26,6.502
1991,27,6.679
1991,28,6.792
1991,29,6.813
1991,30,6.767
1991,31,6.713
1991,32,6.636
1991,33,6.552
1991,34,6.473
1991,35,6.393
1991,36,6.294
1991,37,6.179
1991,38,6.069
1991,39,5.979
1991,40,5.894
1991,41,5.807
1991,42,5.726
1991,43,5.606
1991,44,5.431
1991,45,5.221
1991,46,5.023
1991,47,4.818
1991,48,4.669
1991,49,4.609
1991,50,4.608
1991,51,4.600
1991,52,4.603
1991,53,4.591
1991,54,4.546
1991,55,4.483
1991,56,4.422
1991,57,4.354
1991,58,4.313
1991,59,4.315
1991,60,4.337
1991,61,4.345
1991,62,4.354
1991,63,4.295
1991,64,4.133
1991,65,3.903
1991,66,3.678
1991,67,3.460
1991,68,3.226
1991,69,2.990
1991,70,2.758
1991,71,2.520
1991,72,2.262
1991,73,2.097
1991,74,2.073
1991,75,2.131
1991,76,2.181
1991,77,2.245
1991,78,2.234
1991,79,2.099
1991,80,1.881
1991,81,1.683
1991,82,1.484
1991,83,1.296
1991,84,1.135
1991,85,0.989
1991,86,0.840
1991,87,0.692
1991,88,0.562
1991,89,0.453
1991,90,0.367
1991,91,0.286
1991,92,0.213
1991,93,0.153
1991,94,0.109
1991,95,0.078
1991,96,0.049
1991,97,0.031
1991,98,0.018
1991,99,0.008
1991,100,0.016
1992,0,5.151
1992,1,5.071
1992,2,4.925
1992,3,4.862
1992,4,4.793
1992,5,4.722
1992,6,4.652
1992,7,4.584
1992,8,4.521
1992,9,4.460
