year,age,population
1990,0,497.314
1990,1,452.642
1990,2,415.660
1990,3,385.599
1990,4,361.680
1990,5,343.125
1990,6,329.165
1990,7,319.021
1990,8,311.916
1990,9,307.078
1990,10,304.667
1990,11,304.848
1990,12,302.152
1990,13,293.925
1990,14,282.208
1990,15,271.787
1990,16,261.815
1990,17,251.877
1990,18,242.274
1990,19,232.958
1990,20,223.533
1990,21,214.036
1990,22,205.275
1990,23,197.607
1990,24,190.732
1990,25,183.972
1990,26,177.434
1990,27,171.148
1990,28,165.051
1990,29,159.145
1990,30,153.393
1990,31,147.693
1990,32,142.342
1990,33,137.447
1990,34,132.782
1990,35,128.238
1990,36,124.106
1990,37,118.768
1990,38,111.495
1990,39,103.146
1990,40,95.223
1990,41,87.303
1990,42,80.915
1990,43,76.927
1990,44,74.600
1990,45,72.244
1990,46,70.109
1990,47,68.288
1990,48,66.623
1990,49,65.102
1990,50,63.850
1990,51,62.822
1990,52,61.645
1990,53,60.139
1990,54,58.396
1990,55,56.727
1990,56,55.104
1990,57,53.240
1990,58,51.034
1990,59,48.600
1990,60,46.152
1990,61,43.638
1990,62,41.219
1990,63,38.988
1990,64,36.875
1990,65,34.742
1990,66,32.657
1990,67,30.446
1990,68,28.017
1990,69,25.491
1990,70,23.057
1990,71,20.649
1990,72,18.545
1990,73,16.885
1990,74,15.542
1990,75,14.231
1990,76,12.995
1990,77,11.825
1990,78,10.689
1990,79,9.591
1990,80,8.594
1990,81,7.706
1990,82,6.765
1990,83,5.696
1990,84,4.578
1990,85,3.549
1990,86,2.565
1990,87,1.778
1990,88,1.277
1990,89,0.978
1990,90,0.712
1990,91,0.504
1990,92,0.345
1990,93,0.214
1990,94,0.113
1990,95,0.063
1990,96,0.058
1990,97,0.057
1990,98,0.034
1990,99,0.004
1990,100,0.013
1991,0,508.576
1991,1,483.704
1991,2,444.082
1991,3,410.584
1991,4,382.680
1991,5,359.835
1991,6,341.288
1991,7,326.288
1991,8,315.417
1991,9,308.591
1991,10,304.605
1991,11,302.508
1991,12,302.692
1991,13,299.988
1991,14,291.781
1991,15,280.097
1991,16,269.664
1991,17,259.649
1991,18,249.691
1991,19,240.113
1991,20,230.854
1991,21,221.475
1991,22,212.021
1991,23,203.304
1991,24,195.683
1991,25,188.855
1991,26,182.145
1991,27,175.658
1991,28,169.419
1991,29,163.366
1991,30,157.497
1991,31,151.786
1991,32,146.128
1991,33,140.812
1991,34,135.947
1991,35,131.306
1991,36,126.785
1991,37,122.673
1991,38,117.371
1991,39,110.160
1991,40,101.888
1991,41,94.036
1991,42,86.187
1991,43,79.852
1991,44,75.889
1991,45,73.568
1991,46,71.215
1991,47,69.082
1991,48,67.254
1991,49,65.577
1991,50,64.036
1991,51,62.762
1991,52,61.707
1991,53,60.501
1991,54,58.966
1991,55,57.194
1991,56,55.494
1991,57,53.839
1991,58,51.945
1991,59,49.714
1991,60,47.259
1991,61,44.790
1991,62,42.259
1991,63,39.822
1991,64,37.568
1991,65,35.430
1991,66,33.278
1991,67,31.175
1991,68,28.961
1991,69,26.552
1991,70,24.062
1991,71,21.665
1991,72,19.301
1991,73,17.237
1991,74,15.608
1991,75,14.289
1991,76,13.011
1991,77,11.813
1991,78,10.686
1991,79,9.597
1991,80,8.554
1991,81,7.612
1991,82,6.777
1991,83,5.912
1991,84,4.949
1991,85,3.956
1991,86,3.050
1991,87,2.187
1991,88,1.503
1991,89,1.069
1991,90,0.811
1991,91,0.588
1991,92,0.418
1991,93,0.289
1991,94,0.179
1991,95,0.091
1991,96,0.060
1991,97,0.060
1991,98,0.036
1991,99,0.005
1991,100,0.014
1992,0,513.242
1992,1,477.095
1992,2,471.821
1992,3,437.091
1992,4,406.946
1992,5,381.094
1992,6,359.239
1992,7,340.637
1992,8,324.548
1992,9,312.917
1992,10,306.345
1992,11,303.194
1992,12,301.401
1992,13,301.590
1992,14,298.869
1992,15,290.653
1992,16,278.960
1992,17,268.481
1992,18,258.388
1992,19,248.375
1992,20,238.791
1992,21,229.555
1992,22,220.190
1992,23,210.744
1992,24,202.044
1992,25,194.443
1992,26,187.638
1992,27,180.954
1992,28,174.495
1992,29,168.283
1992,30,162.251
1992,31,156.400
1992,32,150.709
1992,33,145.073
1992,34,139.776
1992,35,134.921
1992,36,130.289
1992,37,125.776
1992,38,121.670
1992,39,116.384
1992,40,109.211
1992,41,100.987
1992,42,93.178
1992,43,85.373
1992,44,79.070
1992,45,75.118
1992,46,72.793
1992,47,70.437
1992,48,68.297
1992,49,66.457
