year,age,population
1990,0,399.449
1990,1,371.142
1990,2,346.782
1990,3,325.994
1990,4,308.407
1990,5,293.651
1990,6,281.350
1990,7,271.136
1990,8,262.635
1990,9,255.476
1990,10,249.715
1990,11,245.417
1990,12,240.047
1990,13,232.378
1990,14,223.326
1990,15,215.078
1990,16,207.226
1990,17,199.563
1990,18,192.204
1990,19,185.117
1990,20,178.129
1990,21,171.251
1990,22,164.766
1990,23,158.798
1990,24,153.233
1990,25,147.816
1990,26,142.558
1990,27,137.564
1990,28,132.848
1990,29,128.349
1990,30,124.067
1990,31,120.103
1990,32,115.856
1990,33,111.063
1990,34,106.037
1990,35,101.190
1990,36,96.237
1990,37,92.411
1990,38,90.298
1990,39,89.226
1990,40,88.035
1990,41,87.092
1990,42,85.075
1990,43,81.262
1990,44,76.318
1990,45,71.662
1990,46,67.033
1990,47,62.708
1990,48,58.966
1990,49,55.659
1990,50,52.313
1990,51,48.993
1990,52,46.043
1990,53,43.578
1990,54,41.479
1990,55,39.492
1990,56,37.652
1990,57,35.919
1990,58,34.252
1990,59,32.651
1990,60,31.176
1990,61,29.814
1990,62,28.456
1990,63,27.055
1990,64,25.641
1990,65,24.274
1990,66,22.908
1990,67,21.670
1990,68,20.623
1990,69,19.679
1990,70,18.731
1990,71,17.851
1990,72,16.698
1990,73,15.114
1990,74,13.271
1990,75,11.509
1990,76,9.763
1990,77,8.193
1990,78,6.912
1990,79,5.847
1990,80,4.804
1990,81,3.813
1990,82,2.969
1990,83,2.304
1990,84,1.779
1990,85,1.329
1990,86,0.957
1990,87,0.661
1990,88,0.437
1990,89,0.274
1990,90,0.153
1990,91,0.108
1990,92,0.074
1990,93,0.039
1990,94,0.010
1990,95,0.008
1990,96,0.007
1990,97,0.005
1990,98,0.004
1990,99,0.002
1990,100,0.001
1991,0,405.463
1991,1,387.871
1991,2,362.500
1991,3,340.323
1991,4,321.067
1991,5,304.463
1991,6,290.171
1991,7,277.840
1991,8,267.574
1991,9,259.248
1991,10,252.371
1991,11,246.630
1991,12,242.154
1991,13,236.676
1991,14,229.059
1991,15,220.152
1991,16,211.978
1991,17,204.159
1991,18,196.508
1991,19,189.133
1991,20,182.002
1991,21,174.964
1991,22,168.040
1991,23,161.438
1991,24,155.250
1991,25,149.406
1991,26,143.724
1991,27,138.206
1991,28,132.991
1991,29,128.123
1991,30,123.529
1991,31,119.164
1991,32,115.127
1991,33,110.894
1991,34,106.230
1991,35,101.415
1991,36,96.795
1991,37,92.093
1991,38,88.530
1991,39,86.679
1991,40,85.868
1991,41,84.953
1991,42,84.292
1991,43,82.550
1991,44,78.997
1991,45,74.296
1991,46,69.878
1991,47,65.478
1991,48,61.355
1991,49,57.781
1991,50,54.612
1991,51,51.392
1991,52,48.188
1991,53,45.322
1991,54,42.902
1991,55,40.822
1991,56,38.844
1991,57,36.998
1991,58,35.264
1991,59,33.608
1991,60,32.025
1991,61,30.559
1991,62,29.198
1991,63,27.841
1991,64,26.444
1991,65,25.035
1991,66,23.671
1991,67,22.311
1991,68,21.062
1991,69,19.976
1991,70,18.976
1991,71,17.980
1991,72,17.049
1991,73,15.869
1991,74,14.295
1991,75,12.488
1991,76,10.761
1991,77,9.054
1991,78,7.529
1991,79,6.298
1991,80,5.285
1991,81,4.300
1991,82,3.367
1991,83,2.583
1991,84,1.978
1991,85,1.514
1991,86,1.118
1991,87,0.806
1991,88,0.559
1991,89,0.367
1991,90,0.225
1991,91,0.126
1991,92,0.089
1991,93,0.061
1991,94,0.032
1991,95,0.009
1991,96,0.007
1991,97,0.006
1991,98,0.003
1991,99,0.002
1991,100,0.001
1992,0,401.198
1992,1,378.833
1992,2,372.668
1992,3,350.482
1992,4,330.706
1992,5,313.167
1992,6,297.706
1992,7,284.009
1992,8,271.763
1992,9,261.538
1992,10,253.464
1992,11,246.936
1992,12,241.264
1992,13,236.653
1992,14,231.116
1992,15,223.621
1992,16,214.941
1992,17,206.915
1992,18,199.204
1992,19,191.633
1992,20,184.309
1992,21,177.201
1992,22,170.176
1992,23,163.269
1992,24,156.610
1992,25,150.258
1992,26,144.187
1992,27,138.289
1992,28,132.560
1992,29,127.172
1992,30,122.195
1992,31,117.547
1992,32,113.138
1992,33,109.066
1992,34,104.886
1992,35,100.393
1992,36,95.834
1992,37,91.486
1992,38,87.080
1992,39,83.815
1992,40,82.243
1992,41,81.702
1992,42,81.073
1992,43,80.702
1992,44,79.254
1992,45,75.993
1992,46,71.582
1992,47,67.442
1992,48,63.313
1992,49,59.432
1992,50,56.059
1992,51,53.058
1992,52,49.996
1992,53,46.935
1992,54,44.181
1992,55,41.830
1992,56,39.787
1992,57,37.835
1992,58,36.001
1992,59,34.281
1992,60,32.652
1992,61,31.103
1992,62,29.658
1992,63,28.310
1992,64,26.968
1992,65,25.587
1992,66,24.195
1992,67,22.848
1992,68,21.507
1992,69,20.257
1992,70,19.140
1992,71,18.096
1992,72,17.058
1992,73,16.086
1992,74,14.891
1992,75,13.340
1992,76,11.585
1992,77,9.910
1992,78,8.257
1992,79,6.793
1992,80,5.621
1992,81,4.673
1992,82,3.753
1992,83,2.886
1992,84,2.172
1992,85,1.632
1992,86,1.233
1992,87,0.896
1992,88,0.647
1992,89,0.450
1992,90,0.294
1992,91,0.174
1992,92,0.097
1992,93,0.069
1992,94,0.047
1992,95,0.026
1992,96,0.007
1992,97,0.006
1992,98,0.003
1992,99,0.003
1992,100,0.001
1993,0,392.044
1993,1,374.654
1993,2,358.253
1993,3,356.046
1993,4,337.115
1993,5,319.802
1993,6,304.042
1993,7,289.778
1993,8,276.729
1993,9,264.615
1993,10,254.475
1993,11,246.684
1993,12,240.526
1993,13,234.950
1993,14,230.221
1993,15,224.650
1993,16,217.305
1993,17,208.887
1993,18,201.042
1993,19,193.467
1993,20,186.008
1993,21,178.766
1993,22,171.708
1993,23,164.725
1993,24,157.863
1993,25,151.175
1993,26,144.687
1993,27,138.414
1993,28,132.327
1993,29,126.411
1993,30,120.873
1993,31,115.809
1993,32,111.126
1993,33,106.692
1993,34,102.601
1993,35,98.491
1993,36,94.187
1993,37,89.901
1993,38,85.839
1993,39,81.746
1993,40,78.789
1993,41,77.503
1993,42,77.231
1993,43,76.888
1993,44,76.808
1993,45,75.655
1993,46,72.701
1993,47,68.593
1993,48,64.748
1993,49,60.905
1993,50,57.278
1993,51,54.120
1993,52,51.298
1993,53,48.404
1993,54,45.500
1993,55,42.867
1993,56,40.593
1993,57,38.597
1993,58,36.679
1993,59,34.864
1993,60,33.165
1993,61,31.569
1993,62,30.060
1993,63,28.642
1993,64,27.313
1993,65,25.989
1993,66,24.632
1993,67,23.263
1993,68,21.936
1993,69,20.619
1993,70,19.375
1993,71,18.234
1993,72,17.148
1993,73,16.073
1993,74,15.064
1993,75,13.857
1993,76,12.337
1993,77,10.642
1993,78,9.024
1993,79,7.433
1993,80,6.033
