year,age,population
1990,0,491.926
1990,1,492.708
1990,2,491.168
1990,3,487.567
1990,4,482.159
1990,5,475.202
1990,6,466.952
1990,7,457.663
1990,8,447.596
1990,9,437.003
1990,10,425.845
1990,11,414.078
1990,12,403.452
1990,13,394.823
1990,14,387.549
1990,15,380.300
1990,16,373.537
1990,17,366.492
1990,18,358.710
1990,19,350.766
1990,20,343.119
1990,21,334.998
1990,22,330.008
1990,23,329.768
1990,24,332.255
1990,25,334.193
1990,26,336.683
1990,27,335.202
1990,28,327.315
1990,29,315.263
1990,30,303.635
1990,31,291.406
1990,32,280.319
1990,33,271.671
1990,34,264.447
1990,35,256.421
1990,36,248.152
1990,37,239.084
1990,38,228.758
1990,39,217.635
1990,40,206.912
1990,41,196.673
1990,42,185.924
1990,43,174.395
1990,44,162.715
1990,45,151.340
1990,46,139.624
1990,47,131.323
1990,48,128.180
1990,49,128.268
1990,50,128.207
1990,51,129.015
1990,52,127.240
1990,53,120.931
1990,54,111.864
1990,55,103.601
1990,56,95.224
1990,57,88.544
1990,58,84.750
1990,59,82.768
1990,60,80.448
1990,61,78.353
1990,62,75.370
1990,63,70.770
1990,64,65.227
1990,65,60.066
1990,66,54.934
1990,67,50.599
1990,68,47.543
1990,69,45.325
1990,70,43.038
1990,71,40.902
1990,72,38.499
1990,73,35.538
1990,74,32.266
1990,75,29.201
1990,76,26.220
1990,77,23.495
1990,78,21.163
1990,79,19.107
1990,80,17.112
1990,81,15.271
1990,82,13.330
1990,83,11.160
1990,84,8.912
1990,85,6.840
1990,86,4.855
1990,87,3.299
1990,88,2.356
1990,89,1.853
1990,90,1.411
1990,91,1.091
1990,92,0.835
1990,93,0.567
1990,94,0.319
1990,95,0.166
1990,96,0.128
1990,97,0.098
1990,98,0.057
1990,99,0.019
1990,100,0.028
1991,0,501.571
1991,1,495.322
1991,2,494.548
1991,3,491.969
1991,4,487.767
1991,5,482.118
1991,6,475.269
1991,7,467.469
1991,8,458.540
1991,9,448.519
1991,10,437.794
1991,11,426.679
1991,12,415.057
1991,13,404.564
1991,14,396.028
1991,15,388.823
1991,16,381.657
1991,17,374.980
1991,18,368.027
1991,19,360.349
1991,20,352.510
1991,21,344.960
1991,22,336.928
1991,23,332.010
1991,24,331.821
1991,25,334.338
1991,26,336.296
1991,27,338.795
1991,28,337.299
1991,29,329.364
1991,30,317.239
1991,31,305.529
1991,32,293.208
1991,33,282.014
1991,34,273.247
1991,35,265.893
1991,36,257.732
1991,37,249.320
1991,38,240.112
1991,39,229.654
1991,40,218.405
1991,41,207.552
1991,42,197.181
1991,43,186.306
1991,44,174.665
1991,45,162.880
1991,46,151.399
1991,47,139.583
1991,48,131.169
1991,49,127.895
1991,50,127.839
1991,51,127.639
1991,52,128.305
1991,53,126.407
1991,54,120.005
1991,55,110.865
1991,56,102.526
1991,57,94.088
1991,58,87.320
1991,59,83.399
1991,60,81.266
1991,61,78.808
1991,62,76.572
1991,63,73.492
1991,64,68.863
1991,65,63.335
1991,66,58.187
1991,67,53.078
1991,68,48.749
1991,69,45.663
1991,70,43.395
1991,71,41.072
1991,72,38.912
