year,age,population
1990,0,8.521
1990,1,8.619
1990,2,8.604
1990,3,8.491
1990,4,8.291
1990,5,8.024
1990,6,7.698
1990,7,7.331
1990,8,6.935
1990,9,6.526
1990,10,6.096
1990,11,5.635
1990,12,5.271
1990,13,5.058
1990,14,4.945
1990,15,4.823
1990,16,4.714
1990,17,4.597
1990,18,4.446
1990,19,4.279
1990,20,4.129
1990,21,3.989
1990,22,3.852
1990,23,3.721
1990,24,3.591
1990,25,3.461
1990,26,3.330
1990,27,3.199
1990,28,3.065
1990,29,2.929
1990,30,2.794
1990,31,2.668
1990,32,2.516
1990,33,2.324
1990,34,2.110
1990,35,1.909
1990,36,1.712
1990,37,1.552
1990,38,1.441
1990,39,1.370
1990,40,1.303
1990,41,1.243
1990,42,1.222
1990,43,1.253
1990,44,1.318
1990,45,1.388
1990,46,1.462
1990,47,1.526
1990,48,1.560
1990,49,1.572
1990,50,1.588
1990,51,1.603
1990,52,1.596
1990,53,1.555
1990,54,1.494
1990,55,1.428
1990,56,1.358
1990,57,1.280
1990,58,1.197
1990,59,1.111
1990,60,1.021
1990,61,0.928
1990,62,0.847
1990,63,0.789
1990,64,0.746
1990,65,0.701
1990,66,0.659
1990,67,0.614
1990,68,0.561
1990,69,0.504
1990,70,0.452
1990,71,0.400
1990,72,0.355
1990,73,0.317
1990,74,0.283
1990,75,0.251
1990,76,0.223
1990,77,0.193
1990,78,0.165
1990,79,0.135
1990,80,0.108
1990,81,0.084
1990,82,0.063
1990,83,0.048
1990,84,0.037
1990,85,0.025
1990,86,0.018
1990,87,0.011
1990,88,0.007
1990,89,0.003
1990,90,0.003
1990,91,0.002
1990,92,0.002
1990,93,0.001
1990,94,0.000
1990,95,0.000
1990,96,0.000
1990,97,0.000
1990,98,0.000
1990,99,0.000
1990,100,0.000
1991,0,8.330
1991,1,8.514
1991,2,8.592
1991,3,8.568
1991,4,8.452
1991,5,8.257
1991,6,8.000
1991,7,7.691
1991,8,7.335
1991,9,6.937
1991,10,6.518
1991,11,6.081
1991,12,5.616
1991,13,5.246
1991,14,5.026
1991,15,4.907
1991,16,4.778
1991,17,4.661
1991,18,4.541
1991,19,4.390
1991,20,4.226
1991,21,4.080
1991,22,3.943
1991,23,3.810
1991,24,3.683
1991,25,3.558
1991,26,3.434
1991,27,3.308
1991,28,3.180
1991,29,3.050
1991,30,2.915
1991,31,2.781
1991,32,2.656
1991,33,2.505
1991,34,2.314
1991,35,2.101
1991,36,1.902
1991,37,1.706
1991,38,1.546
1991,39,1.435
1991,40,1.365
1991,41,1.298
1991,42,1.238
1991,43,1.216
1991,44,1.247
1991,45,1.310
1991,46,1.380
1991,47,1.452
1991,48,1.515
1991,49,1.547
1991,50,1.559
1991,51,1.572
1991,52,1.586
1991,53,1.578
1991,54,1.536
1991,55,1.473
1991,56,1.407
1991,57,1.336
1991,58,1.257
1991,59,1.174
1991,60,1.086
1991,61,0.996
1991,62,0.902
1991,63,0.821
1991,64,0.762
1991,65,0.717
1991,66,0.672
1991,67,0.629
1991,68,0.584
1991,69,0.531
1991,70,0.475
1991,71,0.423
1991,72,0.374
1991,73,0.329
1991,74,0.292
1991,75,0.259
1991,76,0.227
1991,77,0.201
1991,78,0.172
1991,79,0.145
1991,80,0.119
1991,81,0.094
1991,82,0.072
1991,83,0.054
1991,84,0.041
1991,85,0.030
1991,86,0.021
1991,87,0.015
1991,88,0.009
1991,89,0.006
1991,90,0.003
1991,91,0.002
1991,92,0.002
1991,93,0.001
1991,94,0.001
1991,95,0.000
1991,96,0.000
1991,97,0.000
1991,98,0.000
1991,99,0.000
1991,100,0.000
1992,0,8.125
1992,1,8.420
1992,2,8.505
1992,3,8.565
1992,4,8.529
1992,5,8.412
1992,6,8.222
1992,7,7.975
1992,8,7.684
1992,9,7.338
1992,10,6.938
1992,11,6.510
1992,12,6.066
1992,13,5.596
1992,14,5.220
1992,15,4.994
1992,16,4.867
1992,17,4.733
