year,age,population
1990,0,350.268
1990,1,331.022
1990,2,313.979
1990,3,298.938
1990,4,285.692
1990,5,274.042
1990,6,263.779
1990,7,254.705
1990,8,246.612
1990,9,239.300
1990,10,232.739
1990,11,226.901
1990,12,220.706
1990,13,213.599
1990,14,205.903
1990,15,198.590
1990,16,191.581
1990,17,184.056
1990,18,175.739
1990,19,166.971
1990,20,158.420
1990,21,150.008
1990,22,141.943
1990,23,134.419
1990,24,127.383
1990,25,120.563
1990,26,113.963
1990,27,108.123
1990,28,103.275
1990,29,99.193
1990,30,95.326
1990,31,91.662
1990,32,88.564
1990,33,86.123
1990,34,84.106
1990,35,82.323
1990,36,80.974
1990,37,78.814
1990,38,75.254
1990,39,70.911
1990,40,66.839
1990,41,62.646
1990,42,59.660
1990,43,58.595
1990,44,58.722
1990,45,58.702
1990,46,58.921
1990,47,58.262
1990,48,56.074
1990,49,52.957
1990,50,50.126
1990,51,47.297
1990,52,44.973
1990,53,43.511
1990,54,42.620
1990,55,41.624
1990,56,40.637
1990,57,39.691
1990,58,38.723
1990,59,37.743
1990,60,36.810
1990,61,35.908
1990,62,34.933
1990,63,33.840
1990,64,32.651
1990,65,31.434
1990,66,30.181
1990,67,28.829
1990,68,27.360
1990,69,25.791
1990,70,24.196
1990,71,22.598
1990,72,20.836
1990,73,18.850
1990,74,16.735
1990,75,14.665
1990,76,12.617
1990,77,10.700
1990,78,8.982
1990,79,7.439
1990,80,5.957
1990,81,4.540
1990,82,3.364
1990,83,2.504
1990,84,1.886
1990,85,1.349
1990,86,0.911
1990,87,0.580
1990,88,0.341
1990,89,0.180
1990,90,0.100
1990,91,0.081
1990,92,0.060
1990,93,0.041
1990,94,0.020
1990,95,0.004
1990,96,0.004
1990,97,0.003
1990,98,0.001
1990,99,0.002
1990,100,0.000
1991,0,357.802
1991,1,340.140
1991,2,322.402
1991,3,306.784
1991,4,293.061
1991,5,281.012
1991,6,270.467
1991,7,261.257
1991,8,252.893
1991,9,245.044
1991,10,237.648
1991,11,230.955
1991,12,224.896
1991,13,218.486
1991,14,211.259
1991,15,203.495
1991,16,196.050
1991,17,188.865
1991,18,181.210
1991,19,172.844
1991,20,164.082
1991,21,155.535
