year,age,population
1990,0,6.220
1990,1,5.884
1990,2,5.648
1990,3,5.498
1990,4,5.419
1990,5,5.403
1990,6,5.432
1990,7,5.498
1990,8,5.583
1990,9,5.678
1990,10,5.793
1990,11,5.940
1990,12,5.985
1990,13,5.867
1990,14,5.648
1990,15,5.456
1990,16,5.278
1990,17,5.102
1990,18,4.937
1990,19,4.797
1990,20,4.658
1990,21,4.496
1990,22,4.495
1990,23,4.736
1990,24,5.124
1990,25,5.495
1990,26,5.882
1990,27,6.171
1990,28,6.280
1990,29,6.267
1990,30,6.278
1990,31,6.298
1990,32,6.262
1990,33,6.154
1990,34,6.008
1990,35,5.829
1990,36,5.579
1990,37,5.484
1990,38,5.642
1990,39,5.935
1990,40,6.195
1990,41,6.521
1990,42,6.490
1990,43,5.891
1990,44,4.956
1990,45,4.082
1990,46,3.138
1990,47,2.582
1990,48,2.662
1990,49,3.142
1990,50,3.549
1990,51,3.998
1990,52,4.249
1990,53,4.153
1990,54,3.837
1990,55,3.585
1990,56,3.339
1990,57,3.145
1990,58,3.056
1990,59,3.031
1990,60,2.979
1990,61,2.913
1990,62,2.858
1990,63,2.810
1990,64,2.770
1990,65,2.727
1990,66,2.696
1990,67,2.620
1990,68,2.470
1990,69,2.277
1990,70,2.091
1990,71,1.895
1990,72,1.740
1990,73,1.654
1990,74,1.612
1990,75,1.560
1990,76,1.506
1990,77,1.444
1990,78,1.353
1990,79,1.248
1990,80,1.149
1990,81,1.057
1990,82,0.951
1990,83,0.820
1990,84,0.680
1990,85,0.543
1990,86,0.405
1990,87,0.295
1990,88,0.224
1990,89,0.180
1990,90,0.138
1990,91,0.102
1990,92,0.073
1990,93,0.049
1990,94,0.031
1990,95,0.016
1990,96,0.012
1990,97,0.010
1990,98,0.006
1990,99,0.002
1990,100,0.001
1991,0,6.122
1991,1,6.121
1991,2,5.857
1991,3,5.667
1991,4,5.540
1991,5,5.468
1991,6,5.440
1991,7,5.440
1991,8,5.486
1991,9,5.570
1991,10,5.679
1991,11,5.797
1991,12,5.943
1991,13,5.988
1991,14,5.869
1991,15,5.649
1991,16,5.457
1991,17,5.279
1991,18,5.101
1991,19,4.934
1991,20,4.793
1991,21,4.651
1991,22,4.488
1991,23,4.484
1991,24,4.721
1991,25,5.104
1991,26,5.471
1991,27,5.853
1991,28,6.139
1991,29,6.247
1991,30,6.235
1991,31,6.246
1991,32,6.266
1991,33,6.232
1991,34,6.127
1991,35,5.984
1991,36,5.810
1991,37,5.564
1991,38,5.471
1991,39,5.631
1991,40,5.922
1991,41,6.181
1991,42,6.505
1991,43,6.475
1991,44,5.880
1991,45,4.948
1991,46,4.080
1991,47,3.139
1991,48,2.585
1991,49,2.665
1991,50,3.142
1991,51,3.546
1991,52,3.993
1991,53,4.240
1991,54,4.142
1991,55,3.823
1991,56,3.567
1991,57,3.318
1991,58,3.120
1991,59,3.028
1991,60,3.000
1991,61,2.945
1991,62,2.874
1991,63,2.816
1991,64,2.765
1991,65,2.720
1991,66,2.673
1991,67,2.638
1991,68,2.559
1991,69,2.407
1991,70,2.213
1991,71,2.027
1991,72,1.830
1991,73,1.673
1991,74,1.583
1991,75,1.535
1991,76,1.479
1991,77,1.420
1991,78,1.354
1991,79,1.259
1991,80,1.152
1991,81,1.050
1991,82,0.957
1991,83,0.851
1991,84,0.730
1991,85,0.601
1991,86,0.476
1991,87,0.352
1991,88,0.252
1991,89,0.189
1991,90,0.151
1991,91,0.115
1991,92,0.085
1991,93,0.061
1991,94,0.041
1991,95,0.025
1991,96,0.013
1991,97,0.010
1991,98,0.005
1991,99,0.003
1991,100,0.001
1992,0,5.859
1992,1,5.703
1992,2,6.034
1992,3,5.841
1992,4,5.696
1992,5,5.592
1992,6,5.527
1992,7,5.487
1992,8,5.458
1992,9,5.484
1992,10,5.568
1992,11,5.690
1992,12,5.812
1992,13,5.957
1992,14,6.001
1992,15,5.882
1992,16,5.661
1992,17,5.468
1992,18,5.289
1992,19,5.109
1992,20,4.942
1992,21,4.796
1992,22,4.654
1992,23,4.487
1992,24,4.482
1992,25,4.715
1992,26,5.093
1992,27,5.456
1992,28,5.835
1992,29,6.119
1992,30,6.226
1992,31,6.213
1992,32,6.225
1992,33,6.247
1992,34,6.213
1992,35,6.111
1992,36,5.972
1992,37,5.801
1992,38,5.559
1992,39,5.469
1992,40,5.629
1992,41,5.920
1992,42,6.178
1992,43,6.503
1992,44,6.472
1992,45,5.878
1992,46,4.951
1992,47,4.083
1992,48,3.146
1992,49,2.594
1992,50,2.672
1992,51,3.148
1992,52,3.551
1992,53,3.993
1992,54,4.241
1992,55,4.138
1992,56,3.815
1992,57,3.556
1992,58,3.303
1992,59,3.102
1992,60,3.006
1992,61,2.973
1992,62,2.916
1992,63,2.841
1992,64,2.780
1992,65,2.724
1992,66,2.675
1992,67,2.625
1992,68,2.585
1992,69,2.501
1992,70,2.350
1992,71,2.153
1992,72,1.966
1992,73,1.769
1992,74,1.610
1992,75,1.515
1992,76,1.462
1992,77,1.399
1992,78,1.336
1992,79,1.267
1992,80,1.169
1992,81,1.057
1992,82,0.954
1992,83,0.858
1992,84,0.754
1992,85,0.641
1992,86,0.523
1992,87,0.410
1992,88,0.299
1992,89,0.210
1992,90,0.154
1992,91,0.123
1992,92,0.092
1992,93,0.068
1992,94,0.050
1992,95,0.033
1992,96,0.019
1992,97,0.012
1992,98,0.005
1992,99,0.001
1992,100,0.001
1993,0,5.502
1993,1,5.535
1993,2,5.565
1993,3,5.953
1993,4,5.831
1993,5,5.731
1993,6,5.651
1993,7,5.591
1993,8,5.539
1993,9,5.483
1993,10,5.486
1993,11,5.573
1993,12,5.706
1993,13,5.833
1993,14,5.978
1993,15,6.020
1993,16,5.901
1993,17,5.679
1993,18,5.485
1993,19,5.304
1993,20,5.124
1993,21,4.952
1993,22,4.806
1993,23,4.661
1993,24,4.492
1993,25,4.484
1993,26,4.713
1993,27,5.088
1993,28,5.447
1993,29,5.824
1993,30,6.104
1993,31,6.211
1993,32,6.199
1993,33,6.211
1993,34,6.233
1993,35,6.201
1993,36,6.101
1993,37,5.966
1993,38,5.798
1993,39,5.560
1993,40,5.473
1993,41,5.634
1993,42,5.923
1993,43,6.182
1993,44,6.506
1993,45,6.475
1993,46,5.884
1993,47,4.958
1993,48,4.092
1993,49,3.156
1993,50,2.605
1993,51,2.682
1993,52,3.157
1993,53,3.558
1993,54,4.000
1993,55,4.244
1993,56,4.139
1993,57,3.811
1993,58,3.549
1993,59,3.292
1993,60,3.086
1993,61,2.987
1993,62,2.951
1993,63,2.889
1993,64,2.812
1993,65,2.745
1993,66,2.687
1993,67,2.632
1993,68,2.580
1993,69,2.534
1993,70,2.448
1993,71,2.293
1993,72,2.096
1993,73,1.908
1993,74,1.709
1993,75,1.548
1993,76,1.449
1993,77,1.389
1993,78,1.322
1993,79,1.254
1993,80,1.180
1993,81,1.079
1993,82,0.965
1993,83,0.858
1993,84,0.760
1993,85,0.658
1993,86,0.552
1993,87,0.446
1993,88,0.345
1993,89,0.246
1993,90,0.168
1993,91,0.120
1993,92,0.094
1993,93,0.069
1993,94,0.052
1993,95,0.037
1993,96,0.025
1993,97,0.014
1993,98,0.008
1993,99,0.000
1993,100,0.002
1994,0,5.158
1994,1,5.363
1994,2,5.516
1994,3,5.628
1994,4,5.870
1994,5,5.821
1994,6,5.765
1994,7,5.707
1994,8,5.655
1994,9,5.591
1994,10,5.506
1994,11,5.489
1994,12,5.575
1994,13,5.722
1994,14,5.853
1994,15,5.997
1994,16,6.038
1994,17,5.920
1994,18,5.696
1994,19,5.500
1994,20,5.318
1994,21,5.137
1994,22,4.964
1994,23,4.814
1994,24,4.666
1994,25,4.496
1994,26,4.485
1994,27,4.711
1994,28,5.082
1994,29,5.437
1994,30,5.811
1994,31,6.089
1994,32,6.194
1994,33,6.183
1994,34,6.196
1994,35,6.218
1994,36,6.188
1994,37,6.091
1994,38,5.959
1994,39,5.794
1994,40,5.560
1994,41,5.474
1994,42,5.638
1994,43,5.925
1994,44,6.185
1994,45,6.509
1994,46,6.478
1994,47,5.887
1994,48,4.964
1994,49,4.101
1994,50,3.166
1994,51,2.614
1994,52,2.692
1994,53,3.166
1994,54,3.565
1994,55,4.005
1994,56,4.247
1994,57,4.139
1994,58,3.807
1994,59,3.541
1994,60,3.279
1994,61,3.071
1994,62,2.967
1994,63,2.927
1994,64,2.863
1994,65,2.780
1994,66,2.712
1994,67,2.648
1994,68,2.590
1994,69,2.533
1994,70,2.484
1994,71,2.392
1994,72,2.237
1994,73,2.038
1994,74,1.849
1994,75,1.649
1994,76,1.486
1994,77,1.382
1994,78,1.316
1994,79,1.244
1994,80,1.172
1994,81,1.094
1994,82,0.989
1994,83,0.871
1994,84,0.762
1994,85,0.662
1994,86,0.561
1994,87,0.463
1994,88,0.368
1994,89,0.279
1994,90,0.194
1994,91,0.126
1994,92,0.085
1994,93,0.066
1994,94,0.046
1994,95,0.035
1994,96,0.026
1994,97,0.017
1994,98,0.008
1994,99,0.002
1994,100,0.003
1995,0,4.913
1995,1,5.218
1995,2,5.449
1995,3,5.615
1995,4,5.724
1995,5,5.784
1995,6,5.805
1995,7,5.795
1995,8,5.761
1995,9,5.714
1995,10,5.639
1995,11,5.525
1995,12,5.487
1995,13,5.574
1995,14,5.734
1995,15,5.869
1995,16,6.011
1995,17,6.053
1995,18,5.933
1995,19,5.709
1995,20,5.512
