year,age,population
1990,0,6.019
1990,1,6.068
1990,2,6.071
1990,3,6.040
1990,4,5.982
1990,5,5.907
1990,6,5.824
1990,7,5.744
1990,8,5.675
1990,9,5.629
1990,10,5.573
1990,11,5.484
1990,12,5.554
1990,13,5.871
1990,14,6.330
1990,15,6.765
1990,16,7.233
1990,17,7.504
1990,18,7.454
1990,19,7.198
1990,20,6.966
1990,21,6.696
1990,22,6.520
1990,23,6.525
1990,24,6.631
1990,25,6.692
1990,26,6.754
1990,27,6.714
1990,28,6.516
1990,29,6.221
1990,30,5.937
1990,31,5.642
1990,32,5.396
1990,33,5.246
1990,34,5.153
1990,35,5.043
1990,36,4.932
1990,37,4.813
1990,38,4.674
1990,39,4.521
1990,40,4.381
1990,41,4.257
1990,42,4.112
1990,43,3.939
1990,44,3.751
1990,45,3.572
1990,46,3.387
1990,47,3.268
1990,48,3.247
1990,49,3.291
1990,50,3.328
1990,51,3.379
1990,52,3.390
1990,53,3.323
1990,54,3.211
1990,55,3.112
1990,56,3.007
1990,57,2.928
1990,58,2.890
1990,59,2.878
1990,60,2.856
1990,61,2.830
1990,62,2.787
1990,63,2.719
1990,64,2.629
1990,65,2.541
1990,66,2.457
1990,67,2.353
1990,68,2.223
1990,69,2.081
1990,70,1.936
1990,71,1.787
1990,72,1.665
1990,73,1.587
1990,74,1.539
1990,75,1.485
1990,76,1.436
1990,77,1.372
1990,78,1.284
1990,79,1.181
1990,80,1.083
1990,81,0.988
1990,82,0.893
1990,83,0.795
1990,84,0.699
1990,85,0.605
1990,86,0.512
1990,87,0.429
1990,88,0.357
1990,89,0.295
1990,90,0.237
1990,91,0.184
1990,92,0.138
1990,93,0.105
1990,94,0.078
1990,95,0.056
1990,96,0.037
1990,97,0.025
1990,98,0.014
1990,99,0.006
1990,100,0.006
1991,0,5.918
1991,1,5.997
1991,2,6.046
1991,3,6.056
1991,4,6.036
1991,5,5.992
1991,6,5.932
1991,7,5.860
1991,8,5.795
1991,9,5.754
1991,10,5.735
1991,11,5.706
1991,12,5.657
1991,13,5.712
1991,14,5.926
1991,15,6.235
1991,16,6.528
1991,17,6.842
1991,18,7.030
1991,19,7.014
1991,20,6.864
1991,21,6.728
1991,22,6.564
1991,23,6.459
1991,24,6.470
1991,25,6.544
1991,26,6.584
1991,27,6.623
1991,28,6.581
1991,29,6.418
1991,30,6.177
1991,31,5.941
1991,32,5.695
1991,33,5.478
1991,34,5.325
1991,35,5.209
1991,36,5.080
1991,37,4.948
1991,38,4.812
1991,39,4.666
1991,40,4.513
1991,41,4.368
1991,42,4.237
1991,43,4.094
1991,44,3.938
1991,45,3.777
1991,46,3.623
1991,47,3.467
1991,48,3.358
1991,49,3.317
1991,50,3.321
1991,51,3.321
1991,52,3.332
1991,53,3.321
1991,54,3.263
1991,55,3.178
1991,56,3.103
1991,57,3.024
1991,58,2.958
1991,59,2.912
1991,60,2.878
1991,61,2.839
1991,62,2.794
1991,63,2.739
1991,64,2.664
1991,65,2.575
1991,66,2.486
1991,67,2.399
1991,68,2.295
1991,69,2.172
1991,70,2.037
1991,71,1.901
1991,72,1.760
1991,73,1.643
1991,74,1.563
1991,75,1.506
1991,76,1.447
1991,77,1.391
1991,78,1.320
1991,79,1.227
1991,80,1.118
1991,81,1.014
1991,82,0.914
1991,83,0.816
1991,84,0.722
1991,85,0.631
1991,86,0.543
1991,87,0.457
1991,88,0.380
1991,89,0.314
1991,90,0.258
1991,91,0.205
1991,92,0.159
1991,93,0.118
1991,94,0.089
1991,95,0.065
1991,96,0.042
1991,97,0.028
1991,98,0.016
1991,99,0.008
1991,100,0.008
1992,0,5.739
1992,1,5.873
1992,2,5.968
1992,3,6.020
1992,4,6.034
1992,5,6.025
1992,6,5.997
1992,7,5.950
1992,8,5.889
1992,9,5.841
1992,10,5.826
1992,11,5.834
1992,12,5.835
1992,13,5.824
1992,14,5.862
1992,15,5.976
1992,16,6.134
1992,17,6.284
1992,18,6.443
1992,19,6.550
1992,20,6.565
1992,21,6.523
1992,22,6.483
1992,23,6.426
1992,24,6.391
1992,25,6.409
1992,26,6.450
1992,27,6.469
1992,28,6.485
1992,29,6.442
