year,age,population
1990,0,75.458
1990,1,72.432
1990,2,69.668
1990,3,67.142
1990,4,64.832
1990,5,62.715
1990,6,60.767
1990,7,58.970
1990,8,57.294
1990,9,55.723
1990,10,54.253
1990,11,52.882
1990,12,51.481
1990,13,49.987
1990,14,48.437
1990,15,46.949
1990,16,45.502
1990,17,44.042
1990,18,42.551
1990,19,41.050
1990,20,39.574
1990,21,38.116
1990,22,36.707
1990,23,35.363
1990,24,34.075
1990,25,32.801
1990,26,31.546
1990,27,30.337
1990,28,29.188
1990,29,28.084
1990,30,27.005
1990,31,25.972
1990,32,24.898
1990,33,23.734
1990,34,22.536
1990,35,21.385
1990,36,20.268
1990,37,19.240
1990,38,18.343
1990,39,17.550
1990,40,16.783
1990,41,16.053
1990,42,15.395
1990,43,14.820
1990,44,14.309
1990,45,13.832
1990,46,13.396
1990,47,12.975
1990,48,12.563
1990,49,12.157
1990,50,11.777
1990,51,11.416
1990,52,11.061
1990,53,10.705
1990,54,10.348
1990,55,10.001
1990,56,9.657
1990,57,9.313
1990,58,8.958
1990,59,8.600
1990,60,8.240
1990,61,7.885
1990,62,7.520
1990,63,7.149
1990,64,6.770
1990,65,6.393
1990,66,6.018
1990,67,5.640
1990,68,5.262
1990,69,4.886
1990,70,4.513
1990,71,4.147
1990,72,3.785
1990,73,3.422
1990,74,3.066
1990,75,2.722
1990,76,2.391
1990,77,2.078
1990,78,1.787
1990,79,1.518
1990,80,1.264
1990,81,1.026
1990,82,0.819
1990,83,0.650
1990,84,0.510
1990,85,0.387
1990,86,0.279
1990,87,0.194
1990,88,0.132
1990,89,0.087
1990,90,0.058
1990,91,0.039
1990,92,0.026
1990,93,0.014
1990,94,0.003
1990,95,0.003
1990,96,0.003
1990,97,0.001
1990,98,0.002
1990,99,0.000
1990,100,0.000
1991,0,77.080
1991,1,74.561
1991,2,71.716
1991,3,69.099
1991,4,66.692
1991,5,64.474
1991,6,62.426
1991,7,60.525
1991,8,58.759
1991,9,57.103
1991,10,55.540
1991,11,54.067
1991,12,52.681
1991,13,51.264
1991,14,49.757
1991,15,48.195
1991,16,46.691
1991,17,45.226
1991,18,43.750
1991,19,42.252
1991,20,40.750
1991,21,39.272
1991,22,37.813
1991,23,36.404
1991,24,35.067
1991,25,33.788
1991,26,32.523
1991,27,31.278
1991,28,30.080
1991,29,28.940
1991,30,27.844
1991,31,26.773
1991,32,25.751
1991,33,24.684
1991,34,23.530
1991,35,22.341
1991,36,21.199
1991,37,20.090
1991,38,19.069
1991,39,18.178
1991,40,17.391
1991,41,16.628
1991,42,15.902
1991,43,15.247
1991,44,14.674
1991,45,14.163
1991,46,13.687
1991,47,13.251
1991,48,12.829
1991,49,12.415
1991,50,12.008
1991,51,11.625
1991,52,11.261
1991,53,10.903
1991,54,10.542
1991,55,10.180
1991,56,9.828
1991,57,9.479
1991,58,9.128
1991,59,8.768
1991,60,8.403
1991,61,8.036
1991,62,7.675
1991,63,7.304
1991,64,6.925
1991,65,6.538
1991,66,6.156
1991,67,5.773
1991,68,5.391
1991,69,5.008
1991,70,4.627
1991,71,4.252
1991,72,3.885
1991,73,3.523
1991,74,3.166
1991,75,2.819
1991,76,2.484
1991,77,2.164
1991,78,1.865
1991,79,1.590
1991,80,1.342
1991,81,1.109
1991,82,0.892
1991,83,0.705
1991,84,0.555
1991,85,0.432
1991,86,0.325
1991,87,0.234
1991,88,0.162
1991,89,0.110
1991,90,0.070
1991,91,0.048
1991,92,0.031
1991,93,0.022
1991,94,0.011
1991,95,0.003
1991,96,0.003
1991,97,0.001
1991,98,0.002
1991,99,0.000
1991,100,0.000
1992,0,78.709
1992,1,75.752
1992,2,73.741
1992,3,71.072
1992,4,68.601
1992,5,66.309
1992,6,64.183
1992,7,62.200
1992,8,60.344
1992,9,58.607
1992,10,56.970
1992,11,55.413
1992,12,53.934
1992,13,52.534
1992,14,51.099
1992,15,49.577
1992,16,48.003
