year,age,population
1990,0,19.191
1990,1,19.443
1990,2,19.664
1990,3,19.857
1990,4,20.026
1990,5,20.178
1990,6,20.316
1990,7,20.443
1990,8,20.568
1990,9,20.691
1990,10,20.806
1990,11,20.898
1990,12,21.052
1990,13,21.304
1990,14,21.613
1990,15,21.880
1990,16,22.104
1990,17,22.323
1990,18,22.535
1990,19,22.714
1990,20,22.851
1990,21,22.975
1990,22,22.868
1990,23,22.424
1990,24,21.752
1990,25,21.075
1990,26,20.357
1990,27,19.663
1990,28,19.058
1990,29,18.511
1990,30,17.929
1990,31,17.320
1990,32,16.793
1990,33,16.389
1990,34,16.061
1990,35,15.727
1990,36,15.393
1990,37,15.058
1990,38,14.707
1990,39,14.339
1990,40,13.977
1990,41,13.637
1990,42,13.204
1990,43,12.636
1990,44,11.986
1990,45,11.350
1990,46,10.712
1990,47,10.133
1990,48,9.660
1990,49,9.260
1990,50,8.855
1990,51,8.455
1990,52,8.098
1990,53,7.792
1990,54,7.520
1990,55,7.265
1990,56,7.034
1990,57,6.777
1990,58,6.468
1990,59,6.130
1990,60,5.805
1990,61,5.479
1990,62,5.201
1990,63,5.002
1990,64,4.849
1990,65,4.690
1990,66,4.545
1990,67,4.345
1990,68,4.052
1990,69,3.702
1990,70,3.368
1990,71,3.033
1990,72,2.735
1990,73,2.501
1990,74,2.310
1990,75,2.116
1990,76,1.931
1990,77,1.741
1990,78,1.536
1990,79,1.325
1990,80,1.128
1990,81,0.945
1990,82,0.782
1990,83,0.642
1990,84,0.528
1990,85,0.419
1990,86,0.322
1990,87,0.243
1990,88,0.186
1990,89,0.148
1990,90,0.116
1990,91,0.096
1990,92,0.077
1990,93,0.058
1990,94,0.037
1990,95,0.025
1990,96,0.016
1990,97,0.011
1990,98,0.005
1990,99,0.002
1990,100,0.008
1991,0,20.163
1991,1,19.297
1991,2,19.444
1991,3,19.600
1991,4,19.762
1991,5,19.928
1991,6,20.105
1991,7,20.294
1991,8,20.458
1991,9,20.581
1991,10,20.682
1991,11,20.786
1991,12,20.875
1991,13,21.025
1991,14,21.271
1991,15,21.572
1991,16,21.832
1991,17,22.049
1991,18,22.261
1991,19,22.468
1991,20,22.642
1991,21,22.774
1991,22,22.895
1991,23,22.786
1991,24,22.340
1991,25,21.671
1991,26,20.995
1991,27,20.279
1991,28,19.587
1991,29,18.984
1991,30,18.440
1991,31,17.860
1991,32,17.254
1991,33,16.729
1991,34,16.324
1991,35,15.995
1991,36,15.660
1991,37,15.325
1991,38,14.988
1991,39,14.635
1991,40,14.265
1991,41,13.901
1991,42,13.558
1991,43,13.123
1991,44,12.554
1991,45,11.901
1991,46,11.265
1991,47,10.624
1991,48,10.043
1991,49,9.568
1991,50,9.166
1991,51,8.759
1991,52,8.356
1991,53,7.997
1991,54,7.686
1991,55,7.410
1991,56,7.151
1991,57,6.914
1991,58,6.653
1991,59,6.340
1991,60,5.999
1991,61,5.672
1991,62,5.344
1991,63,5.062
1991,64,4.858
1991,65,4.698
1991,66,4.533
1991,67,4.381
1991,68,4.179
1991,69,3.888
1991,70,3.544
1991,71,3.215
1991,72,2.888
1991,73,2.594
1991,74,2.361
1991,75,2.166
1991,76,1.971
1991,77,1.784
1991,78,1.598
1991,79,1.404
1991,80,1.212
1991,81,1.032
1991,82,0.866
1991,83,0.717
1991,84,0.587
1991,85,0.480
1991,86,0.378
1991,87,0.288
1991,88,0.215
1991,89,0.163
1991,90,0.128
1991,91,0.101
1991,92,0.083
1991,93,0.066
1991,94,0.050
1991,95,0.031
1991,96,0.018
1991,97,0.013
1991,98,0.006
1991,99,0.003
1991,100,0.009
1992,0,21.707
1992,1,21.030
1992,2,19.396
1992,3,19.435
1992,4,19.527
1992,5,19.658
1992,6,19.823
1992,7,20.022
1992,8,20.263
1992,9,20.463
1992,10,20.586
1992,11,20.662
1992,12,20.758
1992,13,20.843
1992,14,20.988
1992,15,21.229
1992,16,21.522
1992,17,21.774
1992,18,21.984
1992,19,22.188
1992,20,22.391
1992,21,22.560
1992,22,22.689
1992,23,22.804
1992,24,22.693
1992,25,22.247
1992,26,21.580
1992,27,20.905
1992,28,20.193
1992,29,19.502
1992,30,18.902
1992,31,18.361
1992,32,17.783
1992,33,17.180
1992,34,16.657
1992,35,16.252
1992,36,15.922
1992,37,15.586
1992,38,15.250
1992,39,14.911
1992,40,14.556
1992,41,14.185
1992,42,13.819
1992,43,13.473
1992,44,13.037
1992,45,12.465
1992,46,11.813
1992,47,11.174
1992,48,10.531
1992,49,9.949
1992,50,9.472
1992,51,9.068
1992,52,8.658
1992,53,8.255
1992,54,7.891
1992,55,7.578
1992,56,7.296
1992,57,7.033
1992,58,6.791
1992,59,6.526
1992,60,6.209
1992,61,5.866
1992,62,5.537
1992,63,5.206
1992,64,4.921
1992,65,4.711
1992,66,4.545
1992,67,4.374
1992,68,4.217
1992,69,4.010
1992,70,3.723
1992,71,3.383
1992,72,3.062
1992,73,2.742
1992,74,2.452
1992,75,2.219
1992,76,2.022
1992,77,1.824
1992,78,1.637
1992,79,1.453
1992,80,1.274
1992,81,1.097
1992,82,0.935
1992,83,0.787
1992,84,0.652
1992,85,0.532
1992,86,0.431
1992,87,0.337
1992,88,0.254
1992,89,0.187
1992,90,0.139
1992,91,0.110
1992,92,0.085
1992,93,0.069
1992,94,0.056
1992,95,0.041
1992,96,0.026
1992,97,0.015
1992,98,0.009
1992,99,0.004
1992,100,0.009
1993,0,23.371
1993,1,22.107
1993,2,21.119
1993,3,19.489
1993,4,19.424
1993,5,19.451
1993,6,19.551
1993,7,19.713
1993,8,19.937
1993,9,20.229
1993,10,20.464
1993,11,20.587
1993,12,20.640
1993,13,20.726
1993,14,20.808
1993,15,20.947
1993,16,21.183
1993,17,21.468
1993,18,21.712
1993,19,21.916
1993,20,22.113
1993,21,22.309
1993,22,22.475
1993,23,22.598
1993,24,22.711
1993,25,22.595
1993,26,22.151
1993,27,21.486
1993,28,20.812
1993,29,20.102
1993,30,19.415
1993,31,18.816
1993,32,18.278
1993,33,17.704
1993,34,17.104
1993,35,16.582
1993,36,16.177
1993,37,15.847
1993,38,15.510
1993,39,15.171
1993,40,14.832
1993,41,14.475
1993,42,14.102
1993,43,13.735
1993,44,13.386
1993,45,12.948
1993,46,12.376
1993,47,11.721
1993,48,11.081
1993,49,10.437
1993,50,9.854
1993,51,9.374
1993,52,8.968
1993,53,8.557
1993,54,8.151
1993,55,7.785
1993,56,7.467
1993,57,7.183
1993,58,6.913
1993,59,6.667
1993,60,6.398
1993,61,6.077
1993,62,5.733
1993,63,5.400
1993,64,5.068
1993,65,4.780
1993,66,4.564
1993,67,4.391
1993,68,4.214
1993,69,4.051
1993,70,3.842
1993,71,3.556
1993,72,3.223
1993,73,2.908
1993,74,2.595
1993,75,2.310
1993,76,2.078
1993,77,1.876
1993,78,1.678
1993,79,1.489
1993,80,1.310
1993,81,1.141
1993,82,0.984
1993,83,0.838
1993,84,0.707
1993,85,0.587
1993,86,0.478
1993,87,0.382
1993,88,0.296
1993,89,0.220
1993,90,0.158
1993,91,0.116
1993,92,0.090
1993,93,0.070
1993,94,0.056
1993,95,0.046
1993,96,0.032
1993,97,0.020
1993,98,0.011
1993,99,0.005
1993,100,0.010
1994,0,24.542
1994,1,22.911
1994,2,21.626
1994,3,20.655
1994,4,19.595
1994,5,19.424
1994,6,19.386
1994,7,19.457
1994,8,19.615
1994,9,19.863
1994,10,20.207
1994,11,20.478
1994,12,20.600
1994,13,20.631
1994,14,20.705
1994,15,20.785
1994,16,20.920
1994,17,21.149
1994,18,21.427
1994,19,21.664
1994,20,21.860
1994,21,22.050
1994,22,22.242
1994,23,22.403
1994,24,22.522
1994,25,22.630
1994,26,22.512
