year,age,population
1990,0,3.933
1990,1,3.773
1990,2,3.622
1990,3,3.481
1990,4,3.345
1990,5,3.218
1990,6,3.097
1990,7,2.982
1990,8,2.872
1990,9,2.766
1990,10,2.667
1990,11,2.573
1990,12,2.479
1990,13,2.382
1990,14,2.282
1990,15,2.188
1990,16,2.093
1990,17,2.012
1990,18,1.947
1990,19,1.897
1990,20,1.844
1990,21,1.796
1990,22,1.737
1990,23,1.659
1990,24,1.567
1990,25,1.481
1990,26,1.396
1990,27,1.318
1990,28,1.252
1990,29,1.195
1990,30,1.138
1990,31,1.081
1990,32,1.033
1990,33,0.993
1990,34,0.961
1990,35,0.931
1990,36,0.904
1990,37,0.874
1990,38,0.835
1990,39,0.794
1990,40,0.754
1990,41,0.717
1990,42,0.684
1990,43,0.658
1990,44,0.639
1990,45,0.617
1990,46,0.599
1990,47,0.575
1990,48,0.548
1990,49,0.517
1990,50,0.487
1990,51,0.459
1990,52,0.433
1990,53,0.411
1990,54,0.394
1990,55,0.376
1990,56,0.360
1990,57,0.342
1990,58,0.324
1990,59,0.306
1990,60,0.288
1990,61,0.270
1990,62,0.257
1990,63,0.244
1990,64,0.236
1990,65,0.228
1990,66,0.220
1990,67,0.211
1990,68,0.195
1990,69,0.179
1990,70,0.163
1990,71,0.146
1990,72,0.134
1990,73,0.130
1990,74,0.130
1990,75,0.129
1990,76,0.129
1990,77,0.125
1990,78,0.116
1990,79,0.100
1990,80,0.087
1990,81,0.074
1990,82,0.062
1990,83,0.054
1990,84,0.049
1990,85,0.042
1990,86,0.037
1990,87,0.032
1990,88,0.026
1990,89,0.022
1990,90,0.018
1990,91,0.012
1990,92,0.010
1990,93,0.009
1990,94,0.005
1990,95,0.004
1990,96,0.004
1990,97,0.002
1990,98,0.001
1990,99,0.001
1990,100,0.001
1991,0,3.911
1991,1,3.955
1991,2,3.815
1991,3,3.677
1991,4,3.543
1991,5,3.411
1991,6,3.282
1991,7,3.154
1991,8,3.034
1991,9,2.925
1991,10,2.822
1991,11,2.724
1991,12,2.628
1991,13,2.534
1991,14,2.434
1991,15,2.332
1991,16,2.234
1991,17,2.136
1991,18,2.052
1991,19,1.986
1991,20,1.933
1991,21,1.878
1991,22,1.829
1991,23,1.768
1991,24,1.688
1991,25,1.596
1991,26,1.509
1991,27,1.423
1991,28,1.344
1991,29,1.277
1991,30,1.219
1991,31,1.161
1991,32,1.103
1991,33,1.053
1991,34,1.013
1991,35,0.979
1991,36,0.949
1991,37,0.920
1991,38,0.890
1991,39,0.850
1991,40,0.807
1991,41,0.767
1991,42,0.728
1991,43,0.694
1991,44,0.668
1991,45,0.648
1991,46,0.625
1991,47,0.605
1991,48,0.582
1991,49,0.554
1991,50,0.522
1991,51,0.492
1991,52,0.463
1991,53,0.437
1991,54,0.415
1991,55,0.397
1991,56,0.379
1991,57,0.362
1991,58,0.345
1991,59,0.326
1991,60,0.307
1991,61,0.289
1991,62,0.270
1991,63,0.257
1991,64,0.244
1991,65,0.235
1991,66,0.226
1991,67,0.218
1991,68,0.209
1991,69,0.192
1991,70,0.176
1991,71,0.160
1991,72,0.144
1991,73,0.131
1991,74,0.127
1991,75,0.126
1991,76,0.124
1991,77,0.124
1991,78,0.119
1991,79,0.110
1991,80,0.095
1991,81,0.081
1991,82,0.069
1991,83,0.057
1991,84,0.049
1991,85,0.044
1991,86,0.038
1991,87,0.033
1991,88,0.029
1991,89,0.022
1991,90,0.020
1991,91,0.015
1991,92,0.011
1991,93,0.008
1991,94,0.008
1991,95,0.004
1991,96,0.003
1991,97,0.003
1991,98,0.002
1991,99,0.000
1991,100,0.001
1992,0,3.839
1992,1,3.832
1992,2,3.994
1992,3,3.873
1992,4,3.749
1992,5,3.621
1992,6,3.491
1992,7,3.361
1992,8,3.225
1992,9,3.100
1992,10,2.990
1992,11,2.891
1992,12,2.792
1992,13,2.696
1992,14,2.600
1992,15,2.497
1992,16,2.391
1992,17,2.290
1992,18,2.189
1992,19,2.102
1992,20,2.033
1992,21,1.978
1992,22,1.920
1992,23,1.869
1992,24,1.807
1992,25,1.725
1992,26,1.632
1992,27,1.544
1992,28,1.456
1992,29,1.376
1992,30,1.308
1992,31,1.248
1992,32,1.189
1992,33,1.129
1992,34,1.078
1992,35,1.037
1992,36,1.003
1992,37,0.970
1992,38,0.941
1992,39,0.909
1992,40,0.868
1992,41,0.825
1992,42,0.782
1992,43,0.743
1992,44,0.708
1992,45,0.680
1992,46,0.659
1992,47,0.636
1992,48,0.615
1992,49,0.591
1992,50,0.562
1992,51,0.529
1992,52,0.499
1992,53,0.470
1992,54,0.443
1992,55,0.420
1992,56,0.403
1992,57,0.383
1992,58,0.367
1992,59,0.347
1992,60,0.330
1992,61,0.310
1992,62,0.291
1992,63,0.272
1992,64,0.258
1992,65,0.245
1992,66,0.235
1992,67,0.226
1992,68,0.216
1992,69,0.207
1992,70,0.190
1992,71,0.175
1992,72,0.158
1992,73,0.141
1992,74,0.129
1992,75,0.124
1992,76,0.123
1992,77,0.120
1992,78,0.119
1992,79,0.114
1992,80,0.105
1992,81,0.089
1992,82,0.077
1992,83,0.063
1992,84,0.053
1992,85,0.044
1992,86,0.040
1992,87,0.034
1992,88,0.029
1992,89,0.025
1992,90,0.019
1992,91,0.017
1992,92,0.013
1992,93,0.009
1992,94,0.007
1992,95,0.007
1992,96,0.003
1992,97,0.001
1992,98,0.002
1992,99,0.000
1992,100,0.001
1993,0,3.761
1993,1,3.843
1993,2,3.886
1993,3,4.036
1993,4,3.935
1993,5,3.824
1993,6,3.703
1993,7,3.575
1993,8,3.442
1993,9,3.299
1993,10,3.169
1993,11,3.059
1993,12,2.961
1993,13,2.864
1993,14,2.766
1993,15,2.668
1993,16,2.562
1993,17,2.453
1993,18,2.349
1993,19,2.244
1993,20,2.152
1993,21,2.083
1993,22,2.024
1993,23,1.965
1993,24,1.912
1993,25,1.847
1993,26,1.764
1993,27,1.669
1993,28,1.579
1993,29,1.491
1993,30,1.410
1993,31,1.340
1993,32,1.278
1993,33,1.218
1993,34,1.157
1993,35,1.104
1993,36,1.063
1993,37,1.026
1993,38,0.992
1993,39,0.962
1993,40,0.930
1993,41,0.888
1993,42,0.842
1993,43,0.799
1993,44,0.759
1993,45,0.722
1993,46,0.693
1993,47,0.671
1993,48,0.647
1993,49,0.625
1993,50,0.600
1993,51,0.571
1993,52,0.538
1993,53,0.506
1993,54,0.477
1993,55,0.448
1993,56,0.427
1993,57,0.408
1993,58,0.389
1993,59,0.370
1993,60,0.352
1993,61,0.333
1993,62,0.313
1993,63,0.294
1993,64,0.274
1993,65,0.259
1993,66,0.246
1993,67,0.235
1993,68,0.225
1993,69,0.216
1993,70,0.205
1993,71,0.189
1993,72,0.172
1993,73,0.157
1993,74,0.139
1993,75,0.127
1993,76,0.121
1993,77,0.119
1993,78,0.117
1993,79,0.114
1993,80,0.109
1993,81,0.099
1993,82,0.084
1993,83,0.072
1993,84,0.059
1993,85,0.047
1993,86,0.040
1993,87,0.035
1993,88,0.031
1993,89,0.025
1993,90,0.021
1993,91,0.016
1993,92,0.015
1993,93,0.011
1993,94,0.007
1993,95,0.005
1993,96,0.005
1993,97,0.003
1993,98,0.002
1993,99,0.001
1993,100,0.002
1994,0,3.743
1994,1,3.882
1994,2,3.968
1994,3,4.010
1994,4,4.068
1994,5,3.985
1994,6,3.888
1994,7,3.774
1994,8,3.649
1994,9,3.514
1994,10,3.364
1994,11,3.229
1994,12,3.118
1994,13,3.024
1994,14,2.927
1994,15,2.829
1994,16,2.728
1994,17,2.621
1994,18,2.508
1994,19,2.400
1994,20,2.293
1994,21,2.198
1994,22,2.125
1994,23,2.066
1994,24,2.003
1994,25,1.949
1994,26,1.883
1994,27,1.796
1994,28,1.703
1994,29,1.610
1994,30,1.521
1994,31,1.440
1994,32,1.368
1994,33,1.305
1994,34,1.244
1994,35,1.181
1994,36,1.127
1994,37,1.085
1994,38,1.047
1994,39,1.012
1994,40,0.981
1994,41,0.947
1994,42,0.905
1994,43,0.857
1994,44,0.814
1994,45,0.772
1994,46,0.734
1994,47,0.704
1994,48,0.681
1994,49,0.657
1994,50,0.633
1994,51,0.608
1994,52,0.578
1994,53,0.544
1994,54,0.512
1994,55,0.483
1994,56,0.453
1994,57,0.431
1994,58,0.413
1994,59,0.393
1994,60,0.373
1994,61,0.355
1994,62,0.336
1994,63,0.314
1994,64,0.296
1994,65,0.276
1994,66,0.260
1994,67,0.245
1994,68,0.235
1994,69,0.224
1994,70,0.214
1994,71,0.203
1994,72,0.187
1994,73,0.170
1994,74,0.154
1994,75,0.137
1994,76,0.124
1994,77,0.119
1994,78,0.115
1994,79,0.113
1994,80,0.108
1994,81,0.104
1994,82,0.093
1994,83,0.079
1994,84,0.066
1994,85,0.054
1994,86,0.043
1994,87,0.035
1994,88,0.031
1994,89,0.026
1994,90,0.021
1994,91,0.017
1994,92,0.014
1994,93,0.011
1994,94,0.009
1994,95,0.005
1994,96,0.004
1994,97,0.004
1994,98,0.002
1994,99,0.001
1994,100,0.002
1995,0,3.834
1995,1,3.971
1995,2,4.061
1995,3,4.105
1995,4,4.109
1995,5,4.080
1995,6,4.018
1995,7,3.934
1995,8,3.828
1995,9,3.706
1995,10,3.569
1995,11,3.414
1995,12,3.273
1995,13,3.164
1995,14,3.073
1995,15,2.976
1995,16,2.878
1995,17,2.777
1995,18,2.666
1995,19,2.552
1995,20,2.441
1995,21,2.330
1995,22,2.233
1995,23,2.159
1995,24,2.097
1995,25,2.033
1995,26,1.977
1995,27,1.909
1995,28,1.822
1995,29,1.727
1995,30,1.635
1995,31,1.544
1995,32,1.463
1995,33,1.390
1995,34,1.325
1995,35,1.264
1995,36,1.200
1995,37,1.145
1995,38,1.102
1995,39,1.063
1995,40,1.027
1995,41,0.995
1995,42,0.961
1995,43,0.917
1995,44,0.869
1995,45,0.825
1995,46,0.781
1995,47,0.743
1995,48,0.712
1995,49,0.688
1995,50,0.663
1995,51,0.639
1995,52,0.613
1995,53,0.582
1995,54,0.548
1995,55,0.516
1995,56,0.486
1995,57,0.456
1995,58,0.434
1995,59,0.415
1995,60,0.395
1995,61,0.375
1995,62,0.356
1995,63,0.337
1995,64,0.315
1995,65,0.296
1995,66,0.276
1995,67,0.259
1995,68,0.245
1995,69,0.233
1995,70,0.222
1995,71,0.211
1995,72,0.200
1995,73,0.184
1995,74,0.167
1995,75,0.151
1995,76,0.134
1995,77,0.121
1995,78,0.115
1995,79,0.111
1995,80,0.108
1995,81,0.103
1995,82,0.098
1995,83,0.087
1995,84,0.073
1995,85,0.061
1995,86,0.048
1995,87,0.038
1995,88,0.030
1995,89,0.026
1995,90,0.022
1995,91,0.017
1995,92,0.014
1995,93,0.010
1995,94,0.009
1995,95,0.006
1995,96,0.004
1995,97,0.002
1995,98,0.003
1995,99,0.001
1995,100,0.002
1996,0,4.129
1996,1,3.964
1996,2,4.055
1996,3,4.113
1996,4,4.141
